[4/19/23 11:30AM] Norman used command ::ref | Player rights = PLAYER	
[4/20/23 03:49PM] Norman used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 03:51PM] Norman used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 04:19PM] Norman used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 04:26PM] Norman used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 04:26PM] Norman used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 04:27PM] Norman used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 04:27PM] Norman used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 04:27PM] Norman used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 04:43PM] Norman used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 04:49PM] Norman used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 05:11PM] Norman used command ::vote | Player rights = CLERIC_DONATOR	
[4/20/23 05:12PM] Norman used command ::claimvote | Player rights = CLERIC_DONATOR	
[4/20/23 07:23PM] Norman used command ::vote | Player rights = CLERIC_DONATOR	
[4/21/23 01:18AM] Norman used command ::bank | Player rights = CLERIC_DONATOR	
[4/21/23 03:32AM] Norman used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 03:35AM] Norman used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 03:37AM] Norman used command ::emruem | Player rights = CLERIC_DONATOR	
[4/21/23 04:15AM] Norman used command ::vote | Player rights = CLERIC_DONATOR	
[4/21/23 04:16AM] Norman used command ::voted | Player rights = CLERIC_DONATOR	
[4/21/23 04:16AM] Norman used command ::claim | Player rights = CLERIC_DONATOR	
[4/21/23 04:16AM] Norman used command ::claimvote | Player rights = CLERIC_DONATOR	
[4/21/23 04:16AM] Norman used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/21/23 04:16AM] Norman used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/21/23 04:34AM] Norman used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 04:36AM] Norman used command ::vote | Player rights = CLERIC_DONATOR	
[4/21/23 04:37AM] Norman used command ::claimvote | Player rights = CLERIC_DONATOR	
[4/21/23 04:37AM] Norman used command ::claimvote | Player rights = CLERIC_DONATOR	
[4/21/23 04:38AM] Norman used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/21/23 04:38AM] Norman used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/21/23 04:38AM] Norman used command ::vote | Player rights = CLERIC_DONATOR	
[4/21/23 04:39AM] Norman used command ::claimvote | Player rights = CLERIC_DONATOR	
[4/21/23 04:40AM] Norman used command ::claimvote | Player rights = CLERIC_DONATOR	
[4/21/23 04:40AM] Norman used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/21/23 04:47AM] Norman used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/21/23 05:36AM] Norman used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 05:44AM] Norman used command ::bank | Player rights = CLERIC_DONATOR	
[4/21/23 05:44AM] Norman used command ::bank | Player rights = CLERIC_DONATOR	
[4/21/23 06:00AM] Norman used command ::afk | Player rights = CLERIC_DONATOR	
[4/21/23 06:09AM] Norman used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/21/23 06:19AM] Norman used command ::ref | Player rights = CLERIC_DONATOR	
[4/21/23 06:33AM] Norman used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 06:34AM] Norman used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 06:35AM] Norman used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 06:36AM] Norman used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 06:38AM] Norman used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 10:56AM] Norman used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 10:56AM] Norman used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 11:13AM] Norman used command ::vote4 | Player rights = CLERIC_DONATOR	
[4/21/23 11:13AM] Norman used command ::vote | Player rights = CLERIC_DONATOR	
[4/21/23 11:54AM] Norman used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 11:57AM] Norman used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 03:37PM] Norman used command ::noble | Player rights = CLERIC_DONATOR	
[4/21/23 04:10PM] Norman used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 04:32PM] Norman used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 04:34PM] Norman used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 04:35PM] Norman used command ::meruem::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 04:35PM] Norman used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 04:36PM] Norman used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 04:37PM] Norman used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 04:38PM] Norman used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 05:34PM] Norman used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 05:41PM] Norman used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/21/23 05:42PM] Norman used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/21/23 06:00PM] Norman used command ::bank | Player rights = CLERIC_DONATOR	
[4/21/23 06:00PM] Norman used command ::bank | Player rights = CLERIC_DONATOR	
[4/21/23 06:00PM] Norman used command ::bank | Player rights = CLERIC_DONATOR	
[4/21/23 06:00PM] Norman used command ::bank | Player rights = CLERIC_DONATOR	
[4/21/23 06:00PM] Norman used command ::bank | Player rights = CLERIC_DONATOR	
[4/21/23 06:03PM] Norman used command ::items | Player rights = CLERIC_DONATOR	
[4/21/23 06:07PM] Norman used command ::bank | Player rights = CLERIC_DONATOR	
[4/21/23 06:18PM] Norman used command ::vote | Player rights = CLERIC_DONATOR	
[4/21/23 06:19PM] Norman used command ::reward1 | Player rights = CLERIC_DONATOR	
[4/21/23 06:19PM] Norman used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/21/23 06:19PM] Norman used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/21/23 06:19PM] Norman used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/21/23 06:33PM] Norman used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 06:33PM] Norman used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 06:33PM] Norman used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 06:34PM] Norman used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 06:35PM] Norman used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 06:36PM] Norman used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 06:42PM] Norman used command ::afk | Player rights = CLERIC_DONATOR	
[4/21/23 07:03PM] Norman used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 07:04PM] Norman used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 07:19PM] Norman used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 07:27PM] Norman used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 07:39PM] Norman used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 07:44PM] Norman used command ::bank | Player rights = CLERIC_DONATOR	
[4/21/23 07:48PM] Norman used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 07:49PM] Norman used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 07:53PM] Norman used command ::bank | Player rights = CLERIC_DONATOR	
[4/21/23 07:55PM] Norman used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/21/23 07:58PM] Norman used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:20PM] Norman used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:22PM] Norman used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/21/23 08:28PM] Norman used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 08:35PM] Norman used command ::golden | Player rights = CLERIC_DONATOR	
[4/22/23 04:27AM] Norman used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 04:38AM] Norman used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 05:25AM] Norman used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 05:26AM] Norman used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 05:32AM] Norman used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 05:33AM] Norman used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 05:34AM] Norman used command ::golden | Player rights = CLERIC_DONATOR	
[4/22/23 05:39AM] Norman used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 05:41AM] Norman used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 05:43AM] Norman used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 05:44AM] Norman used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 05:52AM] Norman used command ::vboss | Player rights = CLERIC_DONATOR	
[4/22/23 07:33AM] Norman used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 07:33AM] Norman used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 07:34AM] Norman used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 07:36AM] Norman used command ::vboss | Player rights = CLERIC_DONATOR	
[4/22/23 07:42AM] Norman used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 07:47AM] Norman used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 07:57AM] Norman used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 07:57AM] Norman used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 08:03AM] Norman used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 08:30AM] Norman used command ::deals | Player rights = CLERIC_DONATOR	
[4/22/23 08:32AM] Norman used command ::donate | Player rights = CLERIC_DONATOR	
[4/22/23 08:33AM] Norman used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 08:33AM] Norman used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 08:34AM] Norman used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 08:34AM] Norman used command ::golden | Player rights = CLERIC_DONATOR	
[4/22/23 08:37AM] Norman used command ::vboss | Player rights = CLERIC_DONATOR	
[4/22/23 08:39AM] Norman used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 08:39AM] Norman used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 08:54AM] Norman used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 08:57AM] Norman used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 08:58AM] Norman used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 09:01AM] Norman used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 09:12AM] Norman used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 09:21AM] Norman used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 09:28AM] Norman used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 09:34AM] Norman used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 09:36AM] Norman used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 09:46AM] Norman used command ::dropsoff | Player rights = CLERIC_DONATOR	
[4/22/23 09:47AM] Norman used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/22/23 09:48AM] Norman used command ::princesspeach | Player rights = CLERIC_DONATOR	
[4/22/23 09:54AM] Norman used command ::dropon | Player rights = CLERIC_DONATOR	
[4/22/23 09:59AM] Norman used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 10:01AM] Norman used command ::vboss | Player rights = CLERIC_DONATOR	
[4/22/23 10:01AM] Norman used command ::vboss | Player rights = CLERIC_DONATOR	
[4/22/23 10:25AM] Norman used command ::bank | Player rights = CLERIC_DONATOR	
[4/22/23 10:25AM] Norman used command ::bank | Player rights = CLERIC_DONATOR	
[4/22/23 10:30AM] Norman used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 12:04PM] Norman used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 12:13PM] Norman used command ::golden | Player rights = CLERIC_DONATOR	
[4/22/23 12:15PM] Norman used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 12:21PM] Norman used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 12:27PM] Norman used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 12:43PM] Norman used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 01:10PM] Norman used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 01:29PM] Norman used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 01:30PM] Norman used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 01:31PM] Norman used command ::vboss | Player rights = CLERIC_DONATOR	
[4/22/23 01:31PM] Norman used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 01:33PM] Norman used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 01:34PM] Norman used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 01:34PM] Norman used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 01:43PM] Norman used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 01:43PM] Norman used command ::vote | Player rights = CLERIC_DONATOR	
[4/22/23 01:45PM] Norman used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/22/23 01:45PM] Norman used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/22/23 01:45PM] Norman used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/22/23 01:45PM] Norman used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/22/23 01:50PM] Norman used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 02:16PM] Norman used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/22/23 02:47PM] Norman used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 02:50PM] Norman used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 02:58PM] Norman used command ::bank | Player rights = CLERIC_DONATOR	
[4/22/23 03:04PM] Norman used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 03:08PM] Norman used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 03:09PM] Norman used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 03:22PM] Norman used command ::vboss | Player rights = CLERIC_DONATOR	
[4/22/23 03:48PM] Norman used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 03:49PM] Norman used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 03:51PM] Norman used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 04:15PM] Norman used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 04:15PM] Norman used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 04:25PM] Norman used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 04:36PM] Norman used command ::vboss | Player rights = CLERIC_DONATOR	
[4/22/23 04:41PM] Norman used command ::bank | Player rights = CLERIC_DONATOR	
[4/22/23 04:41PM] Norman used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 04:42PM] Norman used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 05:00PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 05:25PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 05:31PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 05:32PM] Norman used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 05:33PM] Norman used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/22/23 05:34PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 05:34PM] Norman used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/22/23 05:35PM] Norman used command ::golden | Player rights = TORMENTED_DONATOR	
[4/22/23 05:37PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 05:37PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 05:40PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 05:44PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 05:44PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 06:30PM] Norman used command ::dropon | Player rights = TORMENTED_DONATOR	
[4/22/23 06:32PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 07:02PM] Norman used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 08:07PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 08:10PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 08:11PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 08:15PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 08:17PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 08:19PM] Norman used command ::donate | Player rights = TORMENTED_DONATOR	
[4/22/23 08:27PM] Norman used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 08:29PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 08:31PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 08:31PM] Norman used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 08:31PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 08:32PM] Norman used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 08:34PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 08:37PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 08:43PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 08:45PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 08:48PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 08:50PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 08:56PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 08:57PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 08:59PM] Norman used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 08:59PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 09:00PM] Norman used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 09:00PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 09:00PM] Norman used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 09:00PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 09:02PM] Norman used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/23/23 07:14AM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 07:16AM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 07:19AM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 07:42AM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 07:50AM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 09:26AM] Norman used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/23/23 09:27AM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 10:01AM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 10:44AM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 10:47AM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 10:53AM] Norman used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/23/23 11:03AM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 11:04AM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 11:42AM] Norman used command ::bank | Player rights = TORMENTED_DONATOR	
[4/23/23 12:02PM] Norman used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/23/23 12:04PM] Norman used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/23/23 12:05PM] Norman used command ::dr | Player rights = TORMENTED_DONATOR	
[4/23/23 12:05PM] Norman used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/23/23 12:07PM] Norman used command ::golden | Player rights = TORMENTED_DONATOR	
[4/23/23 12:59PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 01:09PM] Norman used command ::bank | Player rights = TORMENTED_DONATOR	
[4/23/23 02:37PM] Norman used command ::bank | Player rights = TORMENTED_DONATOR	
[4/23/23 02:52PM] Norman used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/23/23 02:55PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 02:55PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 02:59PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 02:59PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 03:02PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 03:05PM] Norman used command ::bank | Player rights = TORMENTED_DONATOR	
[4/23/23 03:12PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 03:26PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 03:27PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 03:27PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 03:28PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 03:28PM] Norman used command ::bank | Player rights = TORMENTED_DONATOR	
[4/23/23 03:29PM] Norman used command ::bank | Player rights = TORMENTED_DONATOR	
[4/23/23 03:29PM] Norman used command ::bank | Player rights = TORMENTED_DONATOR	
[4/23/23 03:29PM] Norman used command ::kc | Player rights = TORMENTED_DONATOR	
[4/23/23 03:40PM] Norman used command ::dropoff | Player rights = TORMENTED_DONATOR	
[4/23/23 03:45PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 03:49PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 03:52PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 03:53PM] Norman used command ::bank | Player rights = TORMENTED_DONATOR	
[4/23/23 03:58PM] Norman used command ::bank | Player rights = TORMENTED_DONATOR	
[4/23/23 03:58PM] Norman used command ::dr | Player rights = TORMENTED_DONATOR	
[4/23/23 04:04PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 04:06PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 04:06PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 04:09PM] Norman used command ::bank | Player rights = TORMENTED_DONATOR	
[4/23/23 04:10PM] Norman used command ::bank | Player rights = TORMENTED_DONATOR	
[4/23/23 04:10PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 04:12PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 04:16PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 04:17PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 04:21PM] Norman used command ::bank | Player rights = TORMENTED_DONATOR	
[4/23/23 04:22PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 04:22PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 04:24PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
