[4/15/23 09:57AM] Mad used command ::claim | Player rights = PLAYER	
[4/15/23 12:28PM] Mad used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/15/23 12:29PM] Mad used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/15/23 12:30PM] Mad used command ::meruem | Player rights = CLERIC_DONATOR	
[4/15/23 12:30PM] Mad used command ::golden | Player rights = CLERIC_DONATOR	
[4/15/23 12:31PM] Mad used command ::afk | Player rights = CLERIC_DONATOR	
[4/15/23 02:44PM] Mad used command ::upgrade | Player rights = CLERIC_DONATOR	
[4/15/23 02:58PM] Mad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/15/23 03:17PM] Mad used command ::walkchaos | Player rights = CLERIC_DONATOR	
[4/15/23 03:25PM] Mad used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/15/23 03:28PM] Mad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/15/23 03:31PM] Mad used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/15/23 03:33PM] Mad used command ::golden | Player rights = CLERIC_DONATOR	
[4/15/23 03:34PM] Mad used command ::reward | Player rights = CLERIC_DONATOR	
[4/15/23 03:34PM] Mad used command ::claim | Player rights = CLERIC_DONATOR	
[4/15/23 03:45PM] Mad used command ::yell cheap starting items my pos!  | Player rights = CLERIC_DONATOR	
[4/15/23 03:48PM] Mad used command ::yell cheap starting items my pos!!@ | Player rights = CLERIC_DONATOR	
[4/15/23 03:53PM] Mad used command ::jipy | Player rights = CLERIC_DONATOR	
[4/15/23 03:53PM] Mad used command ::yell gzz | Player rights = CLERIC_DONATOR	
[4/16/23 01:55AM] Mad used command ::staff | Player rights = CLERIC_DONATOR	
[4/16/23 01:57AM] Mad used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/16/23 01:57AM] Mad used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/16/23 01:57AM] Mad used command ::reward all | Player rights = CLERIC_DONATOR	
[4/16/23 02:04AM] Mad used command ::instance | Player rights = CLERIC_DONATOR	
[4/16/23 02:07AM] Mad used command ::vote | Player rights = CLERIC_DONATOR	
[4/16/23 02:09AM] Mad used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/16/23 02:09AM] Mad used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/16/23 02:23AM] Mad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 02:25AM] Mad used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 02:26AM] Mad used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 02:27AM] Mad used command ::yell  | Player rights = CLERIC_DONATOR	
[4/16/23 02:27AM] Mad used command ::yell Guys make sure to vote to spawn voteboss 21 votes left 29/50!! | Player rights = CLERIC_DONATOR	
[4/16/23 02:28AM] Mad used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 02:28AM] Mad used command ::donate | Player rights = CLERIC_DONATOR	
[4/16/23 03:30AM] Mad used command ::yell all to voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 03:30AM] Mad used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 03:30AM] Mad used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/16/23 03:32AM] Mad used command ::yell all to voteboss big rewards!!! | Player rights = CLERIC_DONATOR	
[4/16/23 04:09AM] Mad used command ::yell all to ::voteboss!! | Player rights = CLERIC_DONATOR	
[4/16/23 04:23AM] Mad used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 04:23AM] Mad used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 04:23AM] Mad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 04:24AM] Mad used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 04:24AM] Mad used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 04:26AM] Mad used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 04:26AM] Mad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 04:26AM] Mad used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 04:30AM] Mad used command ::yell all to ::voteboss! | Player rights = CLERIC_DONATOR	
[4/16/23 04:40AM] Mad used command ::yell we need help at voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 04:46AM] Mad used command ::yell buy all votes 1bea | Player rights = CLERIC_DONATOR	
[4/16/23 04:53AM] Mad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 04:53AM] Mad used command ::yell all to veigar | Player rights = CLERIC_DONATOR	
[4/16/23 04:54AM] Mad used command ::yell merk come veigar | Player rights = CLERIC_DONATOR	
[4/16/23 05:00AM] Mad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 05:01AM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 05:10AM] Mad used command ::Reward 1 | Player rights = CLERIC_DONATOR	
[4/16/23 05:21AM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 05:23AM] Mad used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/16/23 05:25AM] Mad used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 05:26AM] Mad used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 05:28AM] Mad used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 05:29AM] Mad used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 05:29AM] Mad used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 05:33AM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 05:34AM] Mad used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 05:36AM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 05:39AM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 05:45AM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 05:52AM] Mad used command ::oos | Player rights = CLERIC_DONATOR	
[4/16/23 05:52AM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 05:52AM] Mad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 08:55AM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 08:56AM] Mad used command ::vote | Player rights = CLERIC_DONATOR	
[4/16/23 09:06AM] Mad used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 09:12AM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 09:27AM] Mad used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 09:40AM] Mad used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 09:42AM] Mad used command ::Vegiar | Player rights = CLERIC_DONATOR	
[4/16/23 09:42AM] Mad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 09:44AM] Mad used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 09:45AM] Mad used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 09:45AM] Mad used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 09:45AM] Mad used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 09:47AM] Mad used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 09:49AM] Mad used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 09:49AM] Mad used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 09:52AM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 09:54AM] Mad used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/16/23 10:25AM] Mad used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 10:25AM] Mad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 10:25AM] Mad used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 02:31PM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 02:41PM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 02:41PM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 02:48PM] Mad used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/18/23 02:52PM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 03:00PM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 03:41PM] Mad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 03:41PM] Mad used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 10:08AM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 10:11AM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 11:00AM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 11:13AM] Mad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 11:15AM] Mad used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 11:16AM] Mad used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 11:19AM] Mad used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/19/23 11:23AM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 11:43AM] Mad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 11:44AM] Mad used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 11:45AM] Mad used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 11:46AM] Mad used command ::golden | Player rights = CLERIC_DONATOR	
[4/19/23 11:52AM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 11:54AM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 11:58AM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 12:06PM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 12:06PM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 12:08PM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 12:13PM] Mad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 12:15PM] Mad used command ::vboss | Player rights = CLERIC_DONATOR	
[4/19/23 12:15PM] Mad used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 12:17PM] Mad used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 12:18PM] Mad used command ::golden | Player rights = CLERIC_DONATOR	
[4/19/23 12:19PM] Mad used command ::home | Player rights = CLERIC_DONATOR	
[4/19/23 12:22PM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 12:24PM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 12:34PM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 12:39PM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 12:39PM] Mad used command ::claim | Player rights = CLERIC_DONATOR	
[4/19/23 12:54PM] Mad used command ::wr3cked | Player rights = CLERIC_DONATOR	
[4/19/23 12:57PM] Mad used command ::bank | Player rights = CLERIC_DONATOR	
[4/19/23 12:59PM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 01:11PM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 01:12PM] Mad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 01:14PM] Mad used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 01:15PM] Mad used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 01:17PM] Mad used command ::vboss | Player rights = CLERIC_DONATOR	
[4/19/23 01:24PM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 01:26PM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 02:24PM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 02:25PM] Mad used command ::vboss | Player rights = CLERIC_DONATOR	
[4/19/23 02:31PM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 02:33PM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 02:33PM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 02:34PM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 02:36PM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 02:37PM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 02:41PM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 02:42PM] Mad used command ::yellowevent | Player rights = CLERIC_DONATOR	
[4/19/23 02:43PM] Mad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 02:56PM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 02:56PM] Mad used command ::yell goto::yellowevent for giveaway :))))))) | Player rights = CLERIC_DONATOR	
[4/19/23 03:01PM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 03:04PM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 03:04PM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 03:10PM] Mad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 03:11PM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 03:15PM] Mad used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 03:16PM] Mad used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 03:17PM] Mad used command ::golden | Player rights = CLERIC_DONATOR	
[4/19/23 03:19PM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 03:28PM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 03:41PM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 03:42PM] Mad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 03:51PM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 03:52PM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 03:58PM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 04:03PM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 04:05PM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 04:07PM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 04:12PM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 04:13PM] Mad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 04:19PM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 04:23PM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 04:29PM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 04:40PM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 04:42PM] Mad used command ::vboss | Player rights = CLERIC_DONATOR	
[4/19/23 04:43PM] Mad used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/19/23 04:45PM] Mad used command ::vboss | Player rights = CLERIC_DONATOR	
[4/19/23 04:48PM] Mad used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 04:50PM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 04:52PM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 04:52PM] Mad used command ::yell selling votes my pos! | Player rights = CLERIC_DONATOR	
[4/19/23 04:54PM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 04:57PM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 04:58PM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 05:01PM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 05:02PM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 05:04PM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 05:10PM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 05:12PM] Mad used command ::viegar | Player rights = CLERIC_DONATOR	
[4/19/23 05:12PM] Mad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 05:14PM] Mad used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 05:15PM] Mad used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 05:16PM] Mad used command ::golden | Player rights = CLERIC_DONATOR	
[4/19/23 05:21PM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 05:24PM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 05:25PM] Mad used command ::yell huge sale my pos !!! | Player rights = CLERIC_DONATOR	
[4/19/23 05:26PM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 05:27PM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 05:29PM] Mad used command ::yell sell 2 demon bows my pos very cheap!!! | Player rights = CLERIC_DONATOR	
[4/19/23 05:29PM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 05:30PM] Mad used command ::bank | Player rights = CLERIC_DONATOR	
[4/19/23 05:31PM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 05:35PM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 05:37PM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 01:16AM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 05:19AM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 05:19AM] Mad used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/20/23 05:21AM] Mad used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 05:22AM] Mad used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 05:24AM] Mad used command ::golden\ | Player rights = CLERIC_DONATOR	
[4/20/23 05:28AM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 05:54AM] Mad used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 05:58AM] Mad used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 06:18AM] Mad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 06:20AM] Mad used command ::mydr | Player rights = CLERIC_DONATOR	
[4/20/23 06:21AM] Mad used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 06:22AM] Mad used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 06:22AM] Mad used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 06:22AM] Mad used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 06:26AM] Mad used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 06:26AM] Mad used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 06:28AM] Mad used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 06:28AM] Mad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 06:32AM] Mad used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 06:49AM] Mad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 07:00AM] Mad used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 07:21AM] Mad used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 07:23AM] Mad used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 07:31AM] Mad used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 08:19AM] Mad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 08:21AM] Mad used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 08:50AM] Mad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 12:17PM] Mad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 12:20PM] Mad used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 12:21PM] Mad used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 12:22PM] Mad used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 12:48PM] Mad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 01:31PM] Mad used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 02:49PM] Mad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 02:50PM] Mad used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 03:18PM] Mad used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/20/23 03:20PM] Mad used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 03:21PM] Mad used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 03:22PM] Mad used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 03:23PM] Mad used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 03:23PM] Mad used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 04:41PM] Mad used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 04:46PM] Mad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 06:16PM] Mad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 06:20PM] Mad used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 06:21PM] Mad used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 06:23PM] Mad used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 08:29AM] Mad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 08:30AM] Mad used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 08:30AM] Mad used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 08:32AM] Mad used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 08:32AM] Mad used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/21/23 08:33AM] Mad used command ::Vboss | Player rights = CLERIC_DONATOR	
[4/21/23 08:34AM] Mad used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 08:35AM] Mad used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 08:36AM] Mad used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 08:37AM] Mad used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 08:39AM] Mad used command ::yell no triple? | Player rights = CLERIC_DONATOR	
[4/21/23 08:39AM] Mad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 08:40AM] Mad used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 08:44AM] Mad used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 08:45AM] Mad used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 09:46AM] Mad used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 02:59PM] Mad used command ::Viegar | Player rights = CLERIC_DONATOR	
[4/21/23 02:59PM] Mad used command ::Veigat | Player rights = CLERIC_DONATOR	
[4/21/23 03:00PM] Mad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 03:04PM] Mad used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 03:04PM] Mad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 03:06PM] Mad used command ::Vboss | Player rights = CLERIC_DONATOR	
[4/21/23 03:08PM] Mad used command ::spawnvboss | Player rights = CLERIC_DONATOR	
[4/22/23 10:37AM] Mad used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 10:38AM] Mad used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 10:39AM] Mad used command ::golden | Player rights = CLERIC_DONATOR	
[4/22/23 11:03AM] Mad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 11:04AM] Mad used command ::vboss | Player rights = CLERIC_DONATOR	
[4/22/23 01:32PM] Mad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 01:33PM] Mad used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 03:22PM] Mad used command ::vboss | Player rights = CLERIC_DONATOR	
[4/22/23 04:32PM] Mad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 04:33PM] Mad used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 04:34PM] Mad used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 04:36PM] Mad used command ::vboss | Player rights = CLERIC_DONATOR	
[4/26/23 04:58AM] Mad used command ::bank | Player rights = CLERIC_DONATOR	
[4/26/23 07:18PM] Mad used command ::vote | Player rights = CLERIC_DONATOR	
[4/26/23 07:18PM] Mad used command ::vboss | Player rights = CLERIC_DONATOR	
