[4/16/23 05:26PM] Froggers used command ::donate | Player rights = PLAYER	
[4/16/23 08:56PM] Froggers used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 08:56PM] Froggers used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 08:57PM] Froggers used command ::vboss | Player rights = CLERIC_DONATOR	
[4/16/23 09:42PM] Froggers used command ::VEIGAR | Player rights = CLERIC_DONATOR	
[4/16/23 09:42PM] Froggers used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 09:42PM] Froggers used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 09:43PM] Froggers used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 09:43PM] Froggers used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 09:43PM] Froggers used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 09:43PM] Froggers used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 09:46PM] Froggers used command ::vboss | Player rights = CLERIC_DONATOR	
[4/16/23 11:03PM] Froggers used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 11:12PM] Froggers used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 11:40PM] Froggers used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 11:46PM] Froggers used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 11:49PM] Froggers used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 04:26AM] Froggers used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 04:28AM] Froggers used command ::vote | Player rights = CLERIC_DONATOR	
[4/17/23 04:40AM] Froggers used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 04:40AM] Froggers used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 05:08AM] Froggers used command ::totem | Player rights = CLERIC_DONATOR	
[4/17/23 05:09AM] Froggers used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 05:39AM] Froggers used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 05:41AM] Froggers used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 05:42AM] Froggers used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 05:44AM] Froggers used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 11:02AM] Froggers used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 11:03AM] Froggers used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 11:04AM] Froggers used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 11:05AM] Froggers used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 11:07AM] Froggers used command ::vote | Player rights = CLERIC_DONATOR	
[4/17/23 11:08AM] Froggers used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/17/23 11:10AM] Froggers used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 11:24AM] Froggers used command ::upgrade | Player rights = CLERIC_DONATOR	
[4/17/23 11:32AM] Froggers used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 11:33AM] Froggers used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 11:33AM] Froggers used command ::yell Massive G/A now live at ::fpk - keyword: Tarn | Player rights = CLERIC_DONATOR	
[4/17/23 11:45AM] Froggers used command ::train | Player rights = CLERIC_DONATOR	
[4/17/23 11:52AM] Froggers used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 11:54AM] Froggers used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 11:55AM] Froggers used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 11:56AM] Froggers used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 12:02PM] Froggers used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:08PM] Froggers used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:09PM] Froggers used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 12:11PM] Froggers used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 12:13PM] Froggers used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 12:15PM] Froggers used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 12:16PM] Froggers used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:17PM] Froggers used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 12:18PM] Froggers used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 12:18PM] Froggers used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 12:19PM] Froggers used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 12:30PM] Froggers used command ::help | Player rights = CLERIC_DONATOR	
[4/17/23 12:32PM] Froggers used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:33PM] Froggers used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 12:33PM] Froggers used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 01:02PM] Froggers used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 01:08PM] Froggers used command ::afk | Player rights = CLERIC_DONATOR	
[4/17/23 01:32PM] Froggers used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 01:33PM] Froggers used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 01:33PM] Froggers used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 01:33PM] Froggers used command ::golden | Player rights = CLERIC_DONATOR	
