[4/18/23 06:41PM] Shore used command ::veigar | Player rights = PLAYER	
[4/19/23 05:14PM] Shore used command ::veigar | Player rights = PLAYER	
[4/19/23 05:17PM] Shore used command ::home | Player rights = PLAYER	
[4/19/23 05:19PM] Shore used command ::discord | Player rights = PLAYER	
[4/19/23 05:26PM] Shore used command ::pos | Player rights = PLAYER	
[4/19/23 05:37PM] Shore used command ::bank | Player rights = PLAYER	
[4/19/23 05:37PM] Shore used command ::bank | Player rights = PLAYER	
[4/19/23 05:43PM] Shore used command ::veigar | Player rights = PLAYER	
[4/19/23 06:13PM] Shore used command ::home | Player rights = PLAYER	
[4/19/23 06:13PM] Shore used command ::veigar | Player rights = PLAYER	
[4/19/23 06:15PM] Shore used command ::home | Player rights = PLAYER	
[4/19/23 06:16PM] Shore used command ::afk | Player rights = PLAYER	
[4/20/23 05:01AM] Shore used command ::home | Player rights = PLAYER	
[4/20/23 05:19AM] Shore used command ::veigar | Player rights = PLAYER	
[4/20/23 05:21AM] Shore used command ::ninetails | Player rights = PLAYER	
[4/20/23 05:22AM] Shore used command ::golden | Player rights = PLAYER	
[4/20/23 05:23AM] Shore used command ::home | Player rights = PLAYER	
[4/20/23 05:49AM] Shore used command ::veigar | Player rights = PLAYER	
[4/20/23 05:52AM] Shore used command ::golden | Player rights = PLAYER	
[4/20/23 05:52AM] Shore used command ::ninetails | Player rights = PLAYER	
[4/20/23 05:52AM] Shore used command ::ninetails | Player rights = PLAYER	
[4/20/23 05:52AM] Shore used command ::afk | Player rights = PLAYER	
[4/20/23 02:19PM] Shore used command ::veigar | Player rights = PLAYER	
[4/20/23 02:22PM] Shore used command ::afk | Player rights = PLAYER	
[4/20/23 02:24PM] Shore used command ::home | Player rights = PLAYER	
[4/20/23 02:34PM] Shore used command ::home | Player rights = PLAYER	
[4/20/23 02:49PM] Shore used command ::veigar | Player rights = PLAYER	
[4/20/23 02:51PM] Shore used command ::vboss | Player rights = PLAYER	
[4/20/23 02:56PM] Shore used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:13PM] Shore used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:19PM] Shore used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:20PM] Shore used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:21PM] Shore used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:21PM] Shore used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:22PM] Shore used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:25PM] Shore used command ::yellowboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:25PM] Shore used command ::wboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:25PM] Shore used command ::wboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 04:01PM] Shore used command ::Afk | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:29PM] Shore used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:49PM] Shore used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:51PM] Shore used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:12PM] Shore used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:18PM] Shore used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:03AM] Shore used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:05AM] Shore used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:32AM] Shore used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:36AM] Shore used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:46AM] Shore used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/21/23 02:45PM] Shore used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/21/23 02:56PM] Shore used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/21/23 02:59PM] Shore used command ::voted | Player rights = GRACEFUL_DONATOR	
[4/21/23 03:00PM] Shore used command ::voted | Player rights = GRACEFUL_DONATOR	
[4/21/23 03:00PM] Shore used command ::claimvote | Player rights = GRACEFUL_DONATOR	
[4/21/23 03:01PM] Shore used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/21/23 03:01PM] Shore used command ::claimvote | Player rights = GRACEFUL_DONATOR	
[4/21/23 03:01PM] Shore used command ::claimvote | Player rights = GRACEFUL_DONATOR	
[4/21/23 03:02PM] Shore used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 03:02PM] Shore used command ::claimvotes | Player rights = GRACEFUL_DONATOR	
[4/21/23 03:03PM] Shore used command ::claimvote | Player rights = GRACEFUL_DONATOR	
[4/21/23 03:04PM] Shore used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 03:04PM] Shore used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 03:06PM] Shore used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 03:16PM] Shore used command ::togglecoll | Player rights = GRACEFUL_DONATOR	
[4/21/23 03:17PM] Shore used command ::togglecollector | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:04PM] Shore used command ::noble | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:19PM] Shore used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:32PM] Shore used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:33PM] Shore used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:34PM] Shore used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:02PM] Shore used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:04PM] Shore used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:32PM] Shore used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:34PM] Shore used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:36PM] Shore used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:03PM] Shore used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:04PM] Shore used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/22/23 07:09AM] Shore used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 07:09AM] Shore used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 07:09AM] Shore used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 07:09AM] Shore used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:03AM] Shore used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:04AM] Shore used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:05AM] Shore used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:08AM] Shore used command ::voted | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:08AM] Shore used command ::claimvote | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:08AM] Shore used command ::claimvotes | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:08AM] Shore used command ::claimvote | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:08AM] Shore used command ::claimvote | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:09AM] Shore used command ::voted | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:09AM] Shore used command ::claimvotes | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:09AM] Shore used command ::voted | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:10AM] Shore used command ::reward | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:10AM] Shore used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:32AM] Shore used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:33AM] Shore used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:34AM] Shore used command ::king | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:34AM] Shore used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:34AM] Shore used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:35AM] Shore used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:38AM] Shore used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:54AM] Shore used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:02AM] Shore used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:08AM] Shore used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:32AM] Shore used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:33AM] Shore used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:34AM] Shore used command ::afk | Player rights = GRACEFUL_DONATOR	
