[4/20/23 09:49AM] Xio used command ::veigar | Player rights = PLAYER	
[4/21/23 10:58AM] Xio used command ::slayer | Player rights = CLERIC_DONATOR	
[4/21/23 05:32PM] Xio used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 05:33PM] Xio used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 05:34PM] Xio used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 05:58PM] Xio used command ::elo | Player rights = CLERIC_DONATOR	
[4/21/23 06:02PM] Xio used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 06:09PM] Xio used command ::upgrade | Player rights = CLERIC_DONATOR	
[4/21/23 06:30PM] Xio used command ::slayer | Player rights = CLERIC_DONATOR	
[4/21/23 06:32PM] Xio used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 06:33PM] Xio used command ::vote | Player rights = CLERIC_DONATOR	
[4/21/23 06:33PM] Xio used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 06:34PM] Xio used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 06:35PM] Xio used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 06:36PM] Xio used command ::vboss | Player rights = CLERIC_DONATOR	
[4/22/23 08:02AM] Xio used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 08:04AM] Xio used command ::raid | Player rights = CLERIC_DONATOR	
[4/22/23 08:04AM] Xio used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 08:32AM] Xio used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/22/23 08:33AM] Xio used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 08:34AM] Xio used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 08:34AM] Xio used command ::golden | Player rights = CLERIC_DONATOR	
[4/22/23 08:37AM] Xio used command ::vboss | Player rights = CLERIC_DONATOR	
[4/22/23 09:01AM] Xio used command ::instance | Player rights = CLERIC_DONATOR	
[4/22/23 09:03AM] Xio used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 09:03AM] Xio used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 09:08AM] Xio used command ::youtube | Player rights = CLERIC_DONATOR	
[4/22/23 09:09AM] Xio used command ::youtube | Player rights = CLERIC_DONATOR	
[4/22/23 09:13AM] Xio used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 09:18AM] Xio used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 09:30AM] Xio used command ::Dropoff | Player rights = CLERIC_DONATOR	
[4/22/23 09:32AM] Xio used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 09:32AM] Xio used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 09:33AM] Xio used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 09:34AM] Xio used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 09:36AM] Xio used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 09:41AM] Xio used command ::dr | Player rights = CLERIC_DONATOR	
[4/22/23 09:41AM] Xio used command ::dr | Player rights = CLERIC_DONATOR	
[4/22/23 09:42AM] Xio used command ::slayer | Player rights = CLERIC_DONATOR	
[4/22/23 09:47AM] Xio used command ::yell @yt/pricespeach | Player rights = CLERIC_DONATOR	
[4/22/23 09:56AM] Xio used command ::perks | Player rights = CLERIC_DONATOR	
[4/22/23 09:58AM] Xio used command ::vote | Player rights = CLERIC_DONATOR	
[4/22/23 10:00AM] Xio used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/22/23 10:01AM] Xio used command ::vboss | Player rights = CLERIC_DONATOR	
[4/22/23 10:02AM] Xio used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 10:04AM] Xio used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 10:11AM] Xio used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/22/23 10:11AM] Xio used command ::dropon | Player rights = CLERIC_DONATOR	
[4/22/23 10:14AM] Xio used command ::Dropoff | Player rights = CLERIC_DONATOR	
[4/22/23 10:24AM] Xio used command ::Afk | Player rights = CLERIC_DONATOR	
[4/22/23 10:25AM] Xio used command ::Shops | Player rights = CLERIC_DONATOR	
[4/22/23 10:25AM] Xio used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 10:26AM] Xio used command ::Afk | Player rights = CLERIC_DONATOR	
[4/22/23 10:26AM] Xio used command ::bank | Player rights = CLERIC_DONATOR	
[4/22/23 11:36AM] Xio used command ::afk | Player rights = CLERIC_DONATOR	
[4/22/23 01:16PM] Xio used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 01:16PM] Xio used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 12:02PM] Xio used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 12:04PM] Xio used command ::vboss | Player rights = CLERIC_DONATOR	
[4/23/23 12:05PM] Xio used command ::meruem | Player rights = CLERIC_DONATOR	
[4/23/23 12:33PM] Xio used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/23/23 12:33PM] Xio used command ::meruem | Player rights = CLERIC_DONATOR	
[4/23/23 12:34PM] Xio used command ::meruem | Player rights = CLERIC_DONATOR	
[4/23/23 12:34PM] Xio used command ::golden | Player rights = CLERIC_DONATOR	
[4/23/23 12:35PM] Xio used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/23/23 12:50PM] Xio used command ::empty | Player rights = CLERIC_DONATOR	
