[4/16/23 08:30PM] Trevlf used command ::ref FPK Merk | Player rights = PLAYER	
[4/18/23 04:16PM] Trevlf used command ::global | Player rights = PLAYER	
[4/18/23 04:16PM] Trevlf used command ::mereum | Player rights = PLAYER	
[4/18/23 04:40PM] Trevlf used command ::bank | Player rights = PLAYER	
[4/18/23 04:40PM] Trevlf used command ::bank | Player rights = PLAYER	
[4/18/23 04:42PM] Trevlf used command ::home | Player rights = PLAYER	
[4/18/23 04:43PM] Trevlf used command ::shops | Player rights = PLAYER	
[4/18/23 04:43PM] Trevlf used command ::shops | Player rights = PLAYER	
[4/18/23 04:53PM] Trevlf used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:55PM] Trevlf used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:55PM] Trevlf used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:55PM] Trevlf used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:57PM] Trevlf used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:57PM] Trevlf used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:57PM] Trevlf used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:58PM] Trevlf used command ::deals | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:00PM] Trevlf used command ::home | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:03PM] Trevlf used command ::home | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:30PM] Trevlf used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:35PM] Trevlf used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:39PM] Trevlf used command ::home | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:41PM] Trevlf used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:43PM] Trevlf used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:43PM] Trevlf used command ::store | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:45PM] Trevlf used command ::home | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:50PM] Trevlf used command ::home | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:53PM] Trevlf used command ::store | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:55PM] Trevlf used command ::claim | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:11PM] Trevlf used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:15PM] Trevlf used command ::elo | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:16PM] Trevlf used command ::home | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:42PM] Trevlf used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:43PM] Trevlf used command ::ninetails | Player rights = GRACEFUL_DONATOR	
