[4/21/23 03:14PM] Sartorius used command ::starter | Player rights = PLAYER	
[4/22/23 06:31AM] Sartorius used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 06:33AM] Sartorius used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 06:34AM] Sartorius used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 06:35AM] Sartorius used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/22/23 06:50AM] Sartorius used command ::slayer::slayer | Player rights = GRACEFUL_DONATOR	
[4/22/23 06:51AM] Sartorius used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/22/23 06:53AM] Sartorius used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/22/23 07:01AM] Sartorius used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/22/23 07:02AM] Sartorius used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 07:07AM] Sartorius used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/22/23 07:11AM] Sartorius used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/22/23 07:20AM] Sartorius used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/22/23 07:25AM] Sartorius used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/22/23 07:31AM] Sartorius used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/22/23 07:31AM] Sartorius used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 07:31AM] Sartorius used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 07:31AM] Sartorius used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 07:33AM] Sartorius used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 07:35AM] Sartorius used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 07:36AM] Sartorius used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:02AM] Sartorius used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:12AM] Sartorius used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:15AM] Sartorius used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:17AM] Sartorius used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:18AM] Sartorius used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:18AM] Sartorius used command ::reward 2 | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:19AM] Sartorius used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:19AM] Sartorius used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:20AM] Sartorius used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:25AM] Sartorius used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:31AM] Sartorius used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:32AM] Sartorius used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:33AM] Sartorius used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:34AM] Sartorius used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:34AM] Sartorius used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:35AM] Sartorius used command ::slayer\ | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:36AM] Sartorius used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:40AM] Sartorius used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:47AM] Sartorius used command ::slayer\ | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:47AM] Sartorius used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:32PM] Sartorius used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:33PM] Sartorius used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:34PM] Sartorius used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:35PM] Sartorius used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:35PM] Sartorius used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:03PM] Sartorius used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:34PM] Sartorius used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:43PM] Sartorius used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:33PM] Sartorius used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:34PM] Sartorius used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:37PM] Sartorius used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 05:03PM] Sartorius used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 05:33PM] Sartorius used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 05:34PM] Sartorius used command ::golden | Player rights = CLERIC_DONATOR	
[4/22/23 05:36PM] Sartorius used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 06:34PM] Sartorius used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 06:35PM] Sartorius used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 07:03PM] Sartorius used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 07:34PM] Sartorius used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 08:03PM] Sartorius used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 08:33PM] Sartorius used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 08:34PM] Sartorius used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 08:35PM] Sartorius used command ::golden | Player rights = CLERIC_DONATOR	
[4/22/23 11:03PM] Sartorius used command ::voteboss::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 11:03PM] Sartorius used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 11:04PM] Sartorius used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 11:04PM] Sartorius used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/22/23 11:10PM] Sartorius used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 11:31PM] Sartorius used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 11:34PM] Sartorius used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 11:34PM] Sartorius used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 11:35PM] Sartorius used command ::golden | Player rights = CLERIC_DONATOR	
[4/23/23 11:20AM] Sartorius used command ::veigar | Player rights = CLERIC_DONATOR	
