[4/15/23 10:33AM] Dogdonny used command ::refer walkchaos | Player rights = PLAYER	
[4/17/23 12:15PM] Dogdonny used command ::yell tyyy alex k3 | Player rights = CLERIC_DONATOR	
[4/17/23 12:16PM] Dogdonny used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:17PM] Dogdonny used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 12:18PM] Dogdonny used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 12:18PM] Dogdonny used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 12:19PM] Dogdonny used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 12:32PM] Dogdonny used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:33PM] Dogdonny used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 12:33PM] Dogdonny used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 12:40PM] Dogdonny used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 01:02PM] Dogdonny used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 01:21PM] Dogdonny used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 01:32PM] Dogdonny used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 01:34PM] Dogdonny used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 02:02PM] Dogdonny used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 02:04PM] Dogdonny used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 02:32PM] Dogdonny used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 02:33PM] Dogdonny used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 02:33PM] Dogdonny used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 02:34PM] Dogdonny used command ::yell sellin godly bow | Player rights = CLERIC_DONATOR	
[4/17/23 02:40PM] Dogdonny used command ::totem | Player rights = CLERIC_DONATOR	
[4/17/23 02:59PM] Dogdonny used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 03:02PM] Dogdonny used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/17/23 03:24PM] Dogdonny used command ::totem | Player rights = TORMENTED_DONATOR	
[4/17/23 03:32PM] Dogdonny used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/17/23 03:33PM] Dogdonny used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/17/23 04:02PM] Dogdonny used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/17/23 04:10PM] Dogdonny used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 04:26PM] Dogdonny used command ::home | Player rights = TORMENTED_DONATOR	
[4/17/23 04:32PM] Dogdonny used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/17/23 04:33PM] Dogdonny used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/17/23 04:33PM] Dogdonny used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/17/23 04:38PM] Dogdonny used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 05:02PM] Dogdonny used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/17/23 05:02PM] Dogdonny used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/17/23 05:10PM] Dogdonny used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 05:24PM] Dogdonny used command ::totem | Player rights = TORMENTED_DONATOR	
[4/17/23 05:32PM] Dogdonny used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/17/23 05:32PM] Dogdonny used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/17/23 05:33PM] Dogdonny used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/18/23 12:11PM] Dogdonny used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 12:16PM] Dogdonny used command ::vote | Player rights = TORMENTED_DONATOR	
[4/18/23 12:16PM] Dogdonny used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/18/23 12:31PM] Dogdonny used command ::totem | Player rights = TORMENTED_DONATOR	
[4/18/23 12:41PM] Dogdonny used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 12:41PM] Dogdonny used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 12:41PM] Dogdonny used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/18/23 12:42PM] Dogdonny used command ::golden | Player rights = TORMENTED_DONATOR	
[4/18/23 01:11PM] Dogdonny used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 01:41PM] Dogdonny used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 01:41PM] Dogdonny used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/18/23 01:41PM] Dogdonny used command ::golden | Player rights = TORMENTED_DONATOR	
[4/18/23 02:01PM] Dogdonny used command ::vote | Player rights = TORMENTED_DONATOR	
[4/18/23 02:10PM] Dogdonny used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 02:16PM] Dogdonny used command ::reward 1 all | Player rights = TORMENTED_DONATOR	
[4/20/23 01:27PM] Dogdonny used command ::vote | Player rights = TORMENTED_DONATOR	
[4/20/23 01:29PM] Dogdonny used command ::reward1 all | Player rights = TORMENTED_DONATOR	
[4/20/23 01:30PM] Dogdonny used command ::reward 1 all | Player rights = TORMENTED_DONATOR	
[4/20/23 01:30PM] Dogdonny used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/20/23 01:41PM] Dogdonny used command ::dr | Player rights = TORMENTED_DONATOR	
[4/20/23 01:49PM] Dogdonny used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/20/23 01:49PM] Dogdonny used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/20/23 01:49PM] Dogdonny used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/20/23 02:19PM] Dogdonny used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/20/23 02:19PM] Dogdonny used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/20/23 02:20PM] Dogdonny used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/20/23 02:22PM] Dogdonny used command ::pos | Player rights = TORMENTED_DONATOR	
[4/20/23 02:39PM] Dogdonny used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/20/23 02:39PM] Dogdonny used command ::bank | Player rights = TORMENTED_DONATOR	
[4/20/23 02:50PM] Dogdonny used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/20/23 02:50PM] Dogdonny used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/20/23 02:50PM] Dogdonny used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/20/23 03:16PM] Dogdonny used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 02:16AM] Dogdonny used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 02:23AM] Dogdonny used command ::vote | Player rights = TORMENTED_DONATOR	
[4/21/23 02:25AM] Dogdonny used command ::reward 1 all | Player rights = TORMENTED_DONATOR	
[4/21/23 02:26AM] Dogdonny used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/21/23 02:29AM] Dogdonny used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 02:34AM] Dogdonny used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/21/23 02:37AM] Dogdonny used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/21/23 02:39AM] Dogdonny used command ::golden | Player rights = TORMENTED_DONATOR	
[4/21/23 08:14AM] Dogdonny used command ::totem | Player rights = TORMENTED_DONATOR	
[4/21/23 08:18AM] Dogdonny used command ::deathgod2 | Player rights = TORMENTED_DONATOR	
[4/21/23 08:26AM] Dogdonny used command ::upgrade | Player rights = TORMENTED_DONATOR	
[4/21/23 08:29AM] Dogdonny used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 08:29AM] Dogdonny used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/21/23 08:31AM] Dogdonny used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/21/23 08:32AM] Dogdonny used command ::golden | Player rights = TORMENTED_DONATOR	
[4/21/23 08:32AM] Dogdonny used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 08:33AM] Dogdonny used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/21/23 08:34AM] Dogdonny used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/21/23 08:35AM] Dogdonny used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/21/23 08:35AM] Dogdonny used command ::golden | Player rights = TORMENTED_DONATOR	
[4/21/23 08:37AM] Dogdonny used command ::voteboss | Player rights = MYSTICAL_DONATOR	
[4/21/23 08:39AM] Dogdonny used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/21/23 08:40AM] Dogdonny used command ::voteboss | Player rights = MYSTICAL_DONATOR	
[4/21/23 08:43AM] Dogdonny used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/21/23 08:45AM] Dogdonny used command ::voteboss | Player rights = MYSTICAL_DONATOR	
[4/21/23 09:02AM] Dogdonny used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/21/23 09:02AM] Dogdonny used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/21/23 09:14AM] Dogdonny used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/21/23 09:20AM] Dogdonny used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 09:32AM] Dogdonny used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/21/23 09:32AM] Dogdonny used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/21/23 09:34AM] Dogdonny used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/21/23 09:42AM] Dogdonny used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 09:56AM] Dogdonny used command ::voteboss | Player rights = MYSTICAL_DONATOR	
[4/21/23 10:01AM] Dogdonny used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 10:02AM] Dogdonny used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/21/23 10:02AM] Dogdonny used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/21/23 10:04AM] Dogdonny used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/21/23 10:32AM] Dogdonny used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/21/23 10:33AM] Dogdonny used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/21/23 10:34AM] Dogdonny used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/21/23 10:36AM] Dogdonny used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 11:02AM] Dogdonny used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/21/23 11:03AM] Dogdonny used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/21/23 11:08AM] Dogdonny used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 11:09AM] Dogdonny used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 12:02PM] Dogdonny used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/21/23 12:05PM] Dogdonny used command ::voteboss | Player rights = MYSTICAL_DONATOR	
[4/21/23 12:05PM] Dogdonny used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/21/23 12:32PM] Dogdonny used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/21/23 12:34PM] Dogdonny used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/21/23 12:35PM] Dogdonny used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/21/23 12:57PM] Dogdonny used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/21/23 01:02PM] Dogdonny used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/21/23 01:10PM] Dogdonny used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/21/23 01:14PM] Dogdonny used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 01:32PM] Dogdonny used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/21/23 01:34PM] Dogdonny used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/21/23 02:02PM] Dogdonny used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/21/23 02:10PM] Dogdonny used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 02:11PM] Dogdonny used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 02:31PM] Dogdonny used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/21/23 02:33PM] Dogdonny used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/21/23 02:34PM] Dogdonny used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/21/23 02:35PM] Dogdonny used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/21/23 02:42PM] Dogdonny used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 02:42PM] Dogdonny used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/21/23 02:43PM] Dogdonny used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/21/23 03:02PM] Dogdonny used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/21/23 03:04PM] Dogdonny used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/21/23 03:04PM] Dogdonny used command ::vote | Player rights = MYSTICAL_DONATOR	
[4/21/23 03:06PM] Dogdonny used command ::reward 1 all | Player rights = MYSTICAL_DONATOR	
[4/21/23 03:22PM] Dogdonny used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 03:32PM] Dogdonny used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/21/23 03:33PM] Dogdonny used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/21/23 03:34PM] Dogdonny used command ::noble | Player rights = MYSTICAL_DONATOR	
[4/21/23 04:20PM] Dogdonny used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 04:20PM] Dogdonny used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 04:27PM] Dogdonny used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 04:28PM] Dogdonny used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 04:28PM] Dogdonny used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 04:29PM] Dogdonny used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 04:32PM] Dogdonny used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/21/23 04:34PM] Dogdonny used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/21/23 04:35PM] Dogdonny used command ::meruem | Player rights = MYSTICAL_DONATOR	
