[4/22/23 01:26PM] Shinigami used command ::starter | Player rights = PLAYER	
[4/23/23 09:17AM] Shinigami used command ::reward3 | Player rights = PLAYER	
[4/23/23 09:17AM] Shinigami used command ::reward 3 | Player rights = PLAYER	
[4/23/23 09:17AM] Shinigami used command ::reward id all | Player rights = PLAYER	
[4/23/23 09:17AM] Shinigami used command ::claimreward | Player rights = PLAYER	
[4/23/23 09:17AM] Shinigami used command ::claim | Player rights = PLAYER	
[4/23/23 09:17AM] Shinigami used command ::claimvotes | Player rights = PLAYER	
[4/23/23 09:17AM] Shinigami used command ::reward 1 | Player rights = PLAYER	
[4/23/23 09:39AM] Shinigami used command ::voteboss | Player rights = PLAYER	
[4/23/23 09:42AM] Shinigami used command ::voteboss | Player rights = PLAYER	
[4/23/23 09:44AM] Shinigami used command ::voteboss | Player rights = PLAYER	
[4/23/23 10:25AM] Shinigami used command ::veigar | Player rights = PLAYER	
[4/23/23 10:27AM] Shinigami used command ::home | Player rights = PLAYER	
[4/23/23 10:54AM] Shinigami used command ::veiga | Player rights = PLAYER	
[4/23/23 10:54AM] Shinigami used command ::Veigar | Player rights = PLAYER	
[4/23/23 10:55AM] Shinigami used command ::ninetails | Player rights = PLAYER	
[4/23/23 11:00AM] Shinigami used command ::afk | Player rights = PLAYER	
[4/23/23 11:03AM] Shinigami used command ::home | Player rights = PLAYER	
[4/23/23 11:04AM] Shinigami used command ::afk | Player rights = PLAYER	
[4/23/23 11:59AM] Shinigami used command ::veigar | Player rights = PLAYER	
[4/23/23 11:59AM] Shinigami used command ::meruem | Player rights = PLAYER	
[4/23/23 11:59AM] Shinigami used command ::ninetails | Player rights = PLAYER	
[4/23/23 11:59AM] Shinigami used command ::ninetails | Player rights = PLAYER	
[4/23/23 11:59AM] Shinigami used command ::meruem | Player rights = PLAYER	
[4/23/23 12:00PM] Shinigami used command ::golden | Player rights = PLAYER	
[4/23/23 12:02PM] Shinigami used command ::voteboss | Player rights = PLAYER	
[4/23/23 12:03PM] Shinigami used command ::hide | Player rights = PLAYER	
[4/23/23 12:03PM] Shinigami used command ::hide | Player rights = PLAYER	
[4/23/23 12:03PM] Shinigami used command ::fps | Player rights = PLAYER	
[4/23/23 12:06PM] Shinigami used command ::meruem | Player rights = PLAYER	
[4/23/23 12:06PM] Shinigami used command ::golden | Player rights = PLAYER	
[4/23/23 12:06PM] Shinigami used command ::ninetails | Player rights = PLAYER	
[4/23/23 12:07PM] Shinigami used command ::vboss | Player rights = PLAYER	
[4/26/23 11:05AM] Shinigami used command ::veigar | Player rights = PLAYER	
[4/26/23 11:06AM] Shinigami used command ::ninetails | Player rights = PLAYER	
[4/26/23 11:07AM] Shinigami used command ::meruem | Player rights = PLAYER	
[4/26/23 11:09AM] Shinigami used command ::voteboss | Player rights = PLAYER	
[4/26/23 11:19AM] Shinigami used command ::elo | Player rights = PLAYER	
[4/26/23 11:19AM] Shinigami used command ::elo | Player rights = PLAYER	
[4/26/23 11:20AM] Shinigami used command ::elo | Player rights = PLAYER	
[4/26/23 11:20AM] Shinigami used command ::elo | Player rights = PLAYER	
[4/26/23 11:20AM] Shinigami used command ::elo | Player rights = PLAYER	
[4/26/23 11:20AM] Shinigami used command ::elo | Player rights = PLAYER	
[4/26/23 11:20AM] Shinigami used command ::elo | Player rights = PLAYER	
[4/26/23 11:20AM] Shinigami used command ::veigar | Player rights = PLAYER	
[4/26/23 11:22AM] Shinigami used command ::veigar | Player rights = PLAYER	
[4/26/23 11:24AM] Shinigami used command ::ninetails | Player rights = PLAYER	
[4/26/23 11:28AM] Shinigami used command ::meruem | Player rights = PLAYER	
[4/26/23 11:30AM] Shinigami used command ::golen | Player rights = PLAYER	
[4/26/23 11:30AM] Shinigami used command ::golden | Player rights = PLAYER	
[4/26/23 11:33AM] Shinigami used command ::elo | Player rights = PLAYER	
[4/26/23 11:33AM] Shinigami used command ::elo | Player rights = PLAYER	
[4/26/23 11:33AM] Shinigami used command ::elo | Player rights = PLAYER	
[4/26/23 11:35AM] Shinigami used command ::veigar | Player rights = PLAYER	
[4/26/23 12:05PM] Shinigami used command ::veigar | Player rights = PLAYER	
[4/26/23 12:06PM] Shinigami used command ::ninetails | Player rights = PLAYER	
[4/26/23 12:07PM] Shinigami used command ::golden | Player rights = PLAYER	
[4/26/23 12:35PM] Shinigami used command ::veigar | Player rights = PLAYER	
[4/26/23 12:44PM] Shinigami used command ::reward 1 all | Player rights = PLAYER	
[4/26/23 12:44PM] Shinigami used command ::vote | Player rights = PLAYER	
[4/26/23 12:44PM] Shinigami used command ::voteboss | Player rights = PLAYER	
[4/26/23 12:45PM] Shinigami used command ::reward 1 all | Player rights = PLAYER	
[4/26/23 01:05PM] Shinigami used command ::veigar | Player rights = PLAYER	
[4/26/23 01:06PM] Shinigami used command ::ninetails | Player rights = PLAYER	
[4/26/23 01:07PM] Shinigami used command ::meruem | Player rights = PLAYER	
[4/26/23 01:15PM] Shinigami used command ::reward 1 all | Player rights = PLAYER	
[4/26/23 01:35PM] Shinigami used command ::veigar | Player rights = PLAYER	
[4/26/23 01:44PM] Shinigami used command ::vboss | Player rights = PLAYER	
[4/26/23 02:05PM] Shinigami used command ::veigar | Player rights = PLAYER	
[4/26/23 02:07PM] Shinigami used command ::ninetails | Player rights = PLAYER	
