[4/16/23 05:05PM] Slayerfly used command ::ref | Player rights = PLAYER	
[4/17/23 05:44AM] Slayerfly used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:44AM] Slayerfly used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:47AM] Slayerfly used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 06:09AM] Slayerfly used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 06:11AM] Slayerfly used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 06:23AM] Slayerfly used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 06:34PM] Slayerfly used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:02PM] Slayerfly used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:07PM] Slayerfly used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:31PM] Slayerfly used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:31PM] Slayerfly used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:33PM] Slayerfly used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:33PM] Slayerfly used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:33PM] Slayerfly used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:14PM] Slayerfly used command ::vegar | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:14PM] Slayerfly used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:15PM] Slayerfly used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:15PM] Slayerfly used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:15PM] Slayerfly used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:16PM] Slayerfly used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:33PM] Slayerfly used command ::store | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:44PM] Slayerfly used command ::veigare | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:44PM] Slayerfly used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:44PM] Slayerfly used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:00PM] Slayerfly used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:01PM] Slayerfly used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:27PM] Slayerfly used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:57PM] Slayerfly used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:58PM] Slayerfly used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:28PM] Slayerfly used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:28PM] Slayerfly used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:42PM] Slayerfly used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 10:42PM] Slayerfly used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 10:43PM] Slayerfly used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 10:44PM] Slayerfly used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 10:44PM] Slayerfly used command ::mereum | Player rights = CLERIC_DONATOR	
[4/17/23 10:45PM] Slayerfly used command ::mereum | Player rights = CLERIC_DONATOR	
[4/17/23 10:45PM] Slayerfly used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 10:45PM] Slayerfly used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 10:45PM] Slayerfly used command ::vboss | Player rights = CLERIC_DONATOR	
[4/17/23 10:46PM] Slayerfly used command ::vboss | Player rights = CLERIC_DONATOR	
[4/18/23 05:41AM] Slayerfly used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 05:42AM] Slayerfly used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 06:11AM] Slayerfly used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 06:12AM] Slayerfly used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 06:13AM] Slayerfly used command ::claim | Player rights = CLERIC_DONATOR	
[4/18/23 06:15AM] Slayerfly used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/18/23 11:10AM] Slayerfly used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 11:18AM] Slayerfly used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 11:34AM] Slayerfly used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 11:41AM] Slayerfly used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 11:41AM] Slayerfly used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 11:47AM] Slayerfly used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 11:48AM] Slayerfly used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 11:49AM] Slayerfly used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 12:04PM] Slayerfly used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/18/23 12:05PM] Slayerfly used command ::vote | Player rights = CLERIC_DONATOR	
[4/18/23 12:06PM] Slayerfly used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/18/23 12:11PM] Slayerfly used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 12:14PM] Slayerfly used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 12:14PM] Slayerfly used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 07:19AM] Slayerfly used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 07:19AM] Slayerfly used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 07:20AM] Slayerfly used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 07:22AM] Slayerfly used command ::mereum | Player rights = CLERIC_DONATOR	
[4/20/23 07:22AM] Slayerfly used command ::mereum | Player rights = CLERIC_DONATOR	
[4/20/23 07:22AM] Slayerfly used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 07:23AM] Slayerfly used command ::vote | Player rights = CLERIC_DONATOR	
[4/20/23 07:24AM] Slayerfly used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 07:25AM] Slayerfly used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/20/23 07:27AM] Slayerfly used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 07:32AM] Slayerfly used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 07:34AM] Slayerfly used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 07:37AM] Slayerfly used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 07:43AM] Slayerfly used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 07:46AM] Slayerfly used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 07:49AM] Slayerfly used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 08:02AM] Slayerfly used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 08:19AM] Slayerfly used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 08:21AM] Slayerfly used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 08:26AM] Slayerfly used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 08:26AM] Slayerfly used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 08:30AM] Slayerfly used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 08:33AM] Slayerfly used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 08:40AM] Slayerfly used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 08:49AM] Slayerfly used command ::veigar | Player rights = CLERIC_DONATOR	
