[4/19/23 01:51PM] Smurfit used command ::train | Player rights = PLAYER	
[4/25/23 10:32AM] Smurfit used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/25/23 10:33AM] Smurfit used command ::golden | Player rights = TORMENTED_DONATOR	
[4/25/23 10:41AM] Smurfit used command ::refer | Player rights = TORMENTED_DONATOR	
[4/25/23 11:31AM] Smurfit used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/25/23 11:32AM] Smurfit used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/25/23 11:33AM] Smurfit used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/25/23 11:34AM] Smurfit used command ::pos | Player rights = TORMENTED_DONATOR	
[4/25/23 12:54PM] Smurfit used command ::pos | Player rights = TORMENTED_DONATOR	
[4/25/23 12:55PM] Smurfit used command ::pos | Player rights = TORMENTED_DONATOR	
[4/25/23 12:58PM] Smurfit used command ::pos | Player rights = TORMENTED_DONATOR	
[4/25/23 01:13PM] Smurfit used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/25/23 01:14PM] Smurfit used command ::pos | Player rights = TORMENTED_DONATOR	
[4/25/23 01:15PM] Smurfit used command ::pos | Player rights = TORMENTED_DONATOR	
[4/25/23 01:16PM] Smurfit used command ::pos | Player rights = TORMENTED_DONATOR	
[4/25/23 01:17PM] Smurfit used command ::afkzone | Player rights = TORMENTED_DONATOR	
[4/25/23 01:17PM] Smurfit used command ::afk | Player rights = TORMENTED_DONATOR	
[4/25/23 07:26PM] Smurfit used command ::afk | Player rights = TORMENTED_DONATOR	
