[4/18/23 08:38PM] Eternal used command ::refer | Player rights = PLAYER	
[4/27/23 12:10PM] Eternal used command ::elo | Player rights = CLERIC_DONATOR	
[4/27/23 12:10PM] Eternal used command ::elo | Player rights = CLERIC_DONATOR	
[4/27/23 12:10PM] Eternal used command ::elo | Player rights = CLERIC_DONATOR	
[4/27/23 12:11PM] Eternal used command ::elo | Player rights = CLERIC_DONATOR	
[4/27/23 12:25PM] Eternal used command ::pos | Player rights = CLERIC_DONATOR	
[4/27/23 02:27PM] Eternal used command ::bank | Player rights = CLERIC_DONATOR	
[4/27/23 02:49PM] Eternal used command ::pos | Player rights = CLERIC_DONATOR	
[4/27/23 03:05PM] Eternal used command ::veigar | Player rights = CLERIC_DONATOR	
[4/27/23 03:06PM] Eternal used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/27/23 03:07PM] Eternal used command ::meruem | Player rights = CLERIC_DONATOR	
[4/27/23 03:08PM] Eternal used command ::golden | Player rights = CLERIC_DONATOR	
[4/27/23 03:34PM] Eternal used command ::home | Player rights = CLERIC_DONATOR	
[4/27/23 04:06PM] Eternal used command ::veigar | Player rights = CLERIC_DONATOR	
[4/27/23 04:06PM] Eternal used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/27/23 04:07PM] Eternal used command ::meruem | Player rights = CLERIC_DONATOR	
[4/27/23 04:28PM] Eternal used command ::leave | Player rights = CLERIC_DONATOR	
[4/27/23 04:28PM] Eternal used command ::home | Player rights = CLERIC_DONATOR	
[4/27/23 04:28PM] Eternal used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/27/23 04:31PM] Eternal used command ::pos | Player rights = CLERIC_DONATOR	
[4/27/23 04:39PM] Eternal used command ::pos | Player rights = CLERIC_DONATOR	
[4/27/23 04:39PM] Eternal used command ::pos | Player rights = CLERIC_DONATOR	
[4/27/23 04:42PM] Eternal used command ::pos | Player rights = CLERIC_DONATOR	
[4/27/23 04:42PM] Eternal used command ::pos | Player rights = CLERIC_DONATOR	
[4/27/23 04:44PM] Eternal used command ::pos | Player rights = CLERIC_DONATOR	
[4/27/23 04:44PM] Eternal used command ::pos | Player rights = CLERIC_DONATOR	
[4/27/23 04:56PM] Eternal used command ::pos | Player rights = CLERIC_DONATOR	
[4/27/23 04:57PM] Eternal used command ::pos | Player rights = CLERIC_DONATOR	
[4/27/23 04:57PM] Eternal used command ::pos | Player rights = CLERIC_DONATOR	
[4/27/23 05:00PM] Eternal used command ::veigar | Player rights = CLERIC_DONATOR	
[4/27/23 05:01PM] Eternal used command ::vboss | Player rights = CLERIC_DONATOR	
[4/27/23 05:03PM] Eternal used command ::veigar | Player rights = CLERIC_DONATOR	
[4/27/23 05:03PM] Eternal used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/27/23 05:03PM] Eternal used command ::pos | Player rights = CLERIC_DONATOR	
[4/27/23 05:04PM] Eternal used command ::meruem | Player rights = CLERIC_DONATOR	
[4/27/23 05:04PM] Eternal used command ::pos | Player rights = CLERIC_DONATOR	
[4/27/23 05:05PM] Eternal used command ::golden | Player rights = CLERIC_DONATOR	
[4/27/23 05:05PM] Eternal used command ::pos | Player rights = CLERIC_DONATOR	
[4/27/23 05:06PM] Eternal used command ::veigar | Player rights = CLERIC_DONATOR	
[4/27/23 05:06PM] Eternal used command ::pos | Player rights = CLERIC_DONATOR	
[4/27/23 05:06PM] Eternal used command ::pos | Player rights = CLERIC_DONATOR	
[4/27/23 05:07PM] Eternal used command ::pos | Player rights = CLERIC_DONATOR	
[4/27/23 05:07PM] Eternal used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/27/23 05:08PM] Eternal used command ::meruem | Player rights = CLERIC_DONATOR	
[4/27/23 05:09PM] Eternal used command ::pos | Player rights = CLERIC_DONATOR	
[4/27/23 05:48PM] Eternal used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/27/23 05:49PM] Eternal used command ::pos | Player rights = CLERIC_DONATOR	
[4/27/23 05:49PM] Eternal used command ::pos | Player rights = CLERIC_DONATOR	
[4/27/23 05:50PM] Eternal used command ::pos | Player rights = CLERIC_DONATOR	
[4/27/23 05:53PM] Eternal used command ::dr | Player rights = CLERIC_DONATOR	
[4/27/23 05:54PM] Eternal used command ::pos | Player rights = CLERIC_DONATOR	
[4/27/23 05:54PM] Eternal used command ::bank | Player rights = CLERIC_DONATOR	
[4/27/23 05:55PM] Eternal used command ::bank | Player rights = CLERIC_DONATOR	
[4/27/23 05:55PM] Eternal used command ::home | Player rights = CLERIC_DONATOR	
[4/27/23 05:58PM] Eternal used command ::pos | Player rights = CLERIC_DONATOR	
[4/27/23 05:59PM] Eternal used command ::pos | Player rights = CLERIC_DONATOR	
[4/27/23 06:12PM] Eternal used command ::pos | Player rights = CLERIC_DONATOR	
[4/27/23 06:24PM] Eternal used command ::pos | Player rights = CLERIC_DONATOR	
[4/27/23 06:30PM] Eternal used command ::home | Player rights = CLERIC_DONATOR	
[4/27/23 06:37PM] Eternal used command ::dr | Player rights = CLERIC_DONATOR	
[4/27/23 06:37PM] Eternal used command ::dr | Player rights = CLERIC_DONATOR	
