[4/18/23 05:05PM] Yavid used command ::ref | Player rights = PLAYER	
[4/20/23 08:19PM] Yavid used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 08:19PM] Yavid used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 08:19PM] Yavid used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 08:20PM] Yavid used command ::yell all to veigar | Player rights = CLERIC_DONATOR	
[4/20/23 08:32PM] Yavid used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 08:32PM] Yavid used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 08:32PM] Yavid used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 08:33PM] Yavid used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 08:35PM] Yavid used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 08:36PM] Yavid used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 08:38PM] Yavid used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 08:44PM] Yavid used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 08:59PM] Yavid used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 08:59PM] Yavid used command ::yell cheap $1 scrolls in my pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:02PM] Yavid used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 09:06PM] Yavid used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:08PM] Yavid used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:09PM] Yavid used command ::pOS | Player rights = CLERIC_DONATOR	
[4/20/23 09:10PM] Yavid used command ::HOME | Player rights = CLERIC_DONATOR	
[4/20/23 09:11PM] Yavid used command ::Pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:13PM] Yavid used command ::vote | Player rights = CLERIC_DONATOR	
[4/20/23 09:31PM] Yavid used command ::Pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:33PM] Yavid used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 09:34PM] Yavid used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 09:45PM] Yavid used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 09:48PM] Yavid used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:49PM] Yavid used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:49PM] Yavid used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:50PM] Yavid used command ::Pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:50PM] Yavid used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:50PM] Yavid used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:50PM] Yavid used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:53PM] Yavid used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 10:02PM] Yavid used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:32PM] Yavid used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:34PM] Yavid used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 10:36PM] Yavid used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 10:39PM] Yavid used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 11:02PM] Yavid used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 06:28AM] Yavid used command ::vote | Player rights = CLERIC_DONATOR	
[4/21/23 06:29AM] Yavid used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/21/23 06:32AM] Yavid used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 06:32AM] Yavid used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 06:34AM] Yavid used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 06:35AM] Yavid used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 06:38AM] Yavid used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 06:38AM] Yavid used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/21/23 06:42AM] Yavid used command ::Pos | Player rights = CLERIC_DONATOR	
[4/21/23 06:42AM] Yavid used command ::Pos | Player rights = CLERIC_DONATOR	
[4/21/23 06:45AM] Yavid used command ::Pos | Player rights = CLERIC_DONATOR	
[4/21/23 06:48AM] Yavid used command ::yell selling 3 25$ bonds for 4.5m pm me | Player rights = CLERIC_DONATOR	
[4/21/23 06:51AM] Yavid used command ::yell sellin 75$ in bonds for 4.5m | Player rights = CLERIC_DONATOR	
[4/21/23 07:03AM] Yavid used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 07:32AM] Yavid used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 07:34AM] Yavid used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 07:50AM] Yavid used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 07:57AM] Yavid used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 08:00AM] Yavid used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:01AM] Yavid used command ::yell 1$ scrolls for 55k ea in my pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:01AM] Yavid used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 08:02AM] Yavid used command ::Pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:02AM] Yavid used command ::Pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:03AM] Yavid used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 08:32AM] Yavid used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 08:32AM] Yavid used command ::veiger | Player rights = CLERIC_DONATOR	
[4/21/23 08:32AM] Yavid used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 08:33AM] Yavid used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 08:33AM] Yavid used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 08:33AM] Yavid used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 08:34AM] Yavid used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 08:35AM] Yavid used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 08:35AM] Yavid used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 08:36AM] Yavid used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 08:37AM] Yavid used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 08:39AM] Yavid used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 08:40AM] Yavid used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 08:40AM] Yavid used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 08:43AM] Yavid used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 08:45AM] Yavid used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/21/23 08:56AM] Yavid used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 11:02AM] Yavid used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 11:15AM] Yavid used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 11:16AM] Yavid used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 11:17AM] Yavid used command ::yell selling inf overload pot 1.8m | Player rights = TORMENTED_DONATOR	
[4/21/23 11:20AM] Yavid used command ::yell selling inf ovload pot 1.6m | Player rights = TORMENTED_DONATOR	
[4/21/23 11:25AM] Yavid used command ::yell selling inf overload pot cheap pm me | Player rights = TORMENTED_DONATOR	
[4/21/23 11:29AM] Yavid used command ::yell selling inf overload pot 1.2m cheapest around | Player rights = TORMENTED_DONATOR	
[4/21/23 11:32AM] Yavid used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 11:33AM] Yavid used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/21/23 11:35AM] Yavid used command ::golden | Player rights = TORMENTED_DONATOR	
[4/21/23 11:35AM] Yavid used command ::golden | Player rights = TORMENTED_DONATOR	
[4/21/23 11:36AM] Yavid used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 11:36AM] Yavid used command ::home | Player rights = TORMENTED_DONATOR	
[4/21/23 11:38AM] Yavid used command ::yell selling inf overload pot for 1m or trad for 29 vote scrolls | Player rights = TORMENTED_DONATOR	
[4/21/23 11:39AM] Yavid used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 12:02PM] Yavid used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 12:03PM] Yavid used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 12:04PM] Yavid used command ::yell selling inf overload pot 1m pm me | Player rights = TORMENTED_DONATOR	
[4/21/23 12:05PM] Yavid used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/21/23 12:09PM] Yavid used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 12:09PM] Yavid used command ::yell $1 scrolls for 39k ea in my pos | Player rights = TORMENTED_DONATOR	
[4/21/23 12:09PM] Yavid used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 12:10PM] Yavid used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 12:11PM] Yavid used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 12:13PM] Yavid used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 12:15PM] Yavid used command ::yell selling x2 25$ bonds for 1.9m | Player rights = TORMENTED_DONATOR	
[4/21/23 12:17PM] Yavid used command ::yell selling x2 25$ bonds both for 1.9m] | Player rights = TORMENTED_DONATOR	
[4/21/23 12:18PM] Yavid used command ::home | Player rights = TORMENTED_DONATOR	
[4/21/23 12:19PM] Yavid used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 12:22PM] Yavid used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 12:23PM] Yavid used command ::yell selling collector necklace 2 and inf overload pot pm me | Player rights = TORMENTED_DONATOR	
[4/21/23 12:32PM] Yavid used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 12:34PM] Yavid used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/21/23 12:34PM] Yavid used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 12:37PM] Yavid used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 12:39PM] Yavid used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 12:39PM] Yavid used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 12:39PM] Yavid used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 12:51PM] Yavid used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 12:51PM] Yavid used command ::Pos | Player rights = TORMENTED_DONATOR	
[4/21/23 12:54PM] Yavid used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 12:56PM] Yavid used command ::home | Player rights = TORMENTED_DONATOR	
[4/21/23 01:00PM] Yavid used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 01:02PM] Yavid used command ::po | Player rights = TORMENTED_DONATOR	
[4/21/23 01:02PM] Yavid used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 01:04PM] Yavid used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 01:05PM] Yavid used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/21/23 01:09PM] Yavid used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 01:11PM] Yavid used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 01:11PM] Yavid used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/21/23 01:15PM] Yavid used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 01:17PM] Yavid used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 01:18PM] Yavid used command ::yell collector ammy 2 for 800k in my pos | Player rights = TORMENTED_DONATOR	
[4/21/23 01:25PM] Yavid used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 01:32PM] Yavid used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 01:34PM] Yavid used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/21/23 01:41PM] Yavid used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 01:42PM] Yavid used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 01:43PM] Yavid used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 01:45PM] Yavid used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 01:48PM] Yavid used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 01:50PM] Yavid used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 02:03PM] Yavid used command ::veigat | Player rights = TORMENTED_DONATOR	
[4/21/23 02:03PM] Yavid used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 02:03PM] Yavid used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 03:30PM] Yavid used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 03:31PM] Yavid used command ::noble | Player rights = TORMENTED_DONATOR	
[4/21/23 03:32PM] Yavid used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 03:33PM] Yavid used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/21/23 03:45PM] Yavid used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 04:02PM] Yavid used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 04:04PM] Yavid used command ::home | Player rights = TORMENTED_DONATOR	
[4/21/23 04:19PM] Yavid used command ::yell join ::noble live right now be there or leave the server :P | Player rights = TORMENTED_DONATOR	
[4/21/23 04:27PM] Yavid used command ::yell noble giveawy being rolled now @::noble | Player rights = TORMENTED_DONATOR	
[4/21/23 04:32PM] Yavid used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 04:34PM] Yavid used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/21/23 04:35PM] Yavid used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/21/23 04:52PM] Yavid used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 04:55PM] Yavid used command ::Pos | Player rights = TORMENTED_DONATOR	
[4/21/23 05:02PM] Yavid used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 05:07PM] Yavid used command ::Pos | Player rights = TORMENTED_DONATOR	
[4/21/23 05:14PM] Yavid used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 05:32PM] Yavid used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 05:33PM] Yavid used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/21/23 05:34PM] Yavid used command ::golden | Player rights = TORMENTED_DONATOR	
[4/22/23 03:52PM] Yavid used command ::vote | Player rights = TORMENTED_DONATOR	
[4/22/23 03:53PM] Yavid used command ::reward 1 all | Player rights = TORMENTED_DONATOR	
[4/22/23 04:02PM] Yavid used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 04:25PM] Yavid used command ::yell 7 more votes till boss | Player rights = TORMENTED_DONATOR	
[4/22/23 04:31PM] Yavid used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 04:32PM] Yavid used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 04:33PM] Yavid used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/22/23 04:34PM] Yavid used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/22/23 04:36PM] Yavid used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/22/23 04:40PM] Yavid used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 04:41PM] Yavid used command ::yell vote scrolls for 32k ea in my pos | Player rights = TORMENTED_DONATOR	
[4/22/23 04:42PM] Yavid used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 04:43PM] Yavid used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 04:49PM] Yavid used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 04:50PM] Yavid used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 05:00PM] Yavid used command ::Po | Player rights = TORMENTED_DONATOR	
[4/22/23 05:00PM] Yavid used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 05:02PM] Yavid used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 05:10PM] Yavid used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 05:13PM] Yavid used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 05:14PM] Yavid used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 05:15PM] Yavid used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 05:32PM] Yavid used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 05:33PM] Yavid used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/22/23 05:34PM] Yavid used command ::golden | Player rights = TORMENTED_DONATOR	
[4/22/23 06:02PM] Yavid used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 06:25PM] Yavid used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 06:32PM] Yavid used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 06:34PM] Yavid used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/22/23 06:35PM] Yavid used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/22/23 06:40PM] Yavid used command ::Pos | Player rights = TORMENTED_DONATOR	
[4/22/23 06:43PM] Yavid used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 06:44PM] Yavid used command ::yell got a few cheap $1 in my pos | Player rights = TORMENTED_DONATOR	
[4/22/23 06:46PM] Yavid used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 06:48PM] Yavid used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 06:48PM] Yavid used command ::yell $1 scrolls for 55k ea in my pos | Player rights = TORMENTED_DONATOR	
[4/22/23 06:52PM] Yavid used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 07:03PM] Yavid used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 07:06PM] Yavid used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 07:11PM] Yavid used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 07:11PM] Yavid used command ::yell $1 scrolls in my pos for 50k ea  | Player rights = TORMENTED_DONATOR	
[4/22/23 07:12PM] Yavid used command ::pos | Player rights = TORMENTED_DONATOR	
