[4/19/23 01:25PM] Asylum used command ::train | Player rights = PLAYER	
[4/20/23 03:04PM] Asylum used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 03:15PM] Asylum used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 03:19PM] Asylum used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 03:19PM] Asylum used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 03:29PM] Asylum used command ::totem | Player rights = CLERIC_DONATOR	
[4/20/23 03:47PM] Asylum used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 03:49PM] Asylum used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/20/23 03:50PM] Asylum used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 12:43PM] Asylum used command ::vote | Player rights = CLERIC_DONATOR	
[4/21/23 12:48PM] Asylum used command ::vote | Player rights = CLERIC_DONATOR	
[4/21/23 12:55PM] Asylum used command ::toem | Player rights = CLERIC_DONATOR	
[4/21/23 12:55PM] Asylum used command ::totem | Player rights = CLERIC_DONATOR	
[4/21/23 12:57PM] Asylum used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/21/23 01:02PM] Asylum used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 01:03PM] Asylum used command ::kills | Player rights = CLERIC_DONATOR	
[4/21/23 01:12PM] Asylum used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/21/23 01:13PM] Asylum used command ::Voteboss | Player rights = CLERIC_DONATOR	
[4/21/23 01:13PM] Asylum used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 01:30PM] Asylum used command ::4123 | Player rights = CLERIC_DONATOR	
[4/21/23 01:31PM] Asylum used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 01:32PM] Asylum used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 01:50PM] Asylum used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 09:49AM] Asylum used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 09:57AM] Asylum used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 10:00AM] Asylum used command ::Claim | Player rights = CLERIC_DONATOR	
[4/22/23 10:01AM] Asylum used command ::Voteboss | Player rights = CLERIC_DONATOR	
[4/22/23 10:02AM] Asylum used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 10:28AM] Asylum used command ::Vote | Player rights = CLERIC_DONATOR	
[4/22/23 10:31AM] Asylum used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/22/23 10:32AM] Asylum used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 10:51AM] Asylum used command ::bank | Player rights = CLERIC_DONATOR	
[4/22/23 10:55AM] Asylum used command ::totem | Player rights = CLERIC_DONATOR	
[4/22/23 10:56AM] Asylum used command ::perks | Player rights = CLERIC_DONATOR	
[4/22/23 10:57AM] Asylum used command ::perks | Player rights = CLERIC_DONATOR	
[4/22/23 11:02AM] Asylum used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 11:06AM] Asylum used command ::vboss | Player rights = CLERIC_DONATOR	
[4/22/23 11:15AM] Asylum used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 11:20AM] Asylum used command ::::bank | Player rights = CLERIC_DONATOR	
[4/22/23 11:20AM] Asylum used command ::bank | Player rights = CLERIC_DONATOR	
[4/22/23 11:31AM] Asylum used command ::Vote | Player rights = CLERIC_DONATOR	
[4/22/23 11:32AM] Asylum used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 11:41AM] Asylum used command ::elo | Player rights = CLERIC_DONATOR	
[4/22/23 11:41AM] Asylum used command ::Elo | Player rights = CLERIC_DONATOR	
[4/22/23 11:41AM] Asylum used command ::elo | Player rights = CLERIC_DONATOR	
[4/22/23 11:41AM] Asylum used command ::elo | Player rights = CLERIC_DONATOR	
[4/22/23 11:41AM] Asylum used command ::elo | Player rights = CLERIC_DONATOR	
[4/22/23 11:42AM] Asylum used command ::elo | Player rights = CLERIC_DONATOR	
[4/22/23 11:42AM] Asylum used command ::elo | Player rights = CLERIC_DONATOR	
[4/22/23 11:42AM] Asylum used command ::elo | Player rights = CLERIC_DONATOR	
[4/22/23 11:42AM] Asylum used command ::elo | Player rights = CLERIC_DONATOR	
[4/22/23 11:42AM] Asylum used command ::Elo | Player rights = CLERIC_DONATOR	
[4/22/23 11:42AM] Asylum used command ::elo | Player rights = CLERIC_DONATOR	
[4/22/23 11:42AM] Asylum used command ::elo | Player rights = CLERIC_DONATOR	
[4/22/23 11:43AM] Asylum used command ::elo | Player rights = CLERIC_DONATOR	
[4/22/23 11:44AM] Asylum used command ::elo | Player rights = CLERIC_DONATOR	
[4/22/23 11:46AM] Asylum used command ::bank | Player rights = CLERIC_DONATOR	
[4/22/23 11:59AM] Asylum used command ::vboss | Player rights = CLERIC_DONATOR	
[4/22/23 12:02PM] Asylum used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 12:03PM] Asylum used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 12:03PM] Asylum used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 12:04PM] Asylum used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 12:07PM] Asylum used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 12:09PM] Asylum used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 12:09PM] Asylum used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 12:13PM] Asylum used command ::golden | Player rights = CLERIC_DONATOR	
[4/22/23 12:16PM] Asylum used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 12:19PM] Asylum used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 12:19PM] Asylum used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 12:25PM] Asylum used command ::bank | Player rights = CLERIC_DONATOR	
[4/25/23 02:36PM] Asylum used command ::pos | Player rights = CLERIC_DONATOR	
[4/25/23 02:37PM] Asylum used command ::pos | Player rights = CLERIC_DONATOR	
[4/25/23 02:46PM] Asylum used command ::bank | Player rights = CLERIC_DONATOR	
[4/25/23 02:47PM] Asylum used command ::pos | Player rights = CLERIC_DONATOR	
[4/25/23 02:50PM] Asylum used command ::playtime | Player rights = CLERIC_DONATOR	
[4/25/23 02:52PM] Asylum used command ::yell giveaway @nobledefeat. Only doing this to win spin | Player rights = CLERIC_DONATOR	
[4/25/23 02:53PM] Asylum used command ::vexia | Player rights = CLERIC_DONATOR	
[4/25/23 03:01PM] Asylum used command ::veigar | Player rights = CLERIC_DONATOR	
[4/25/23 03:04PM] Asylum used command ::commands | Player rights = CLERIC_DONATOR	
[4/25/23 03:04PM] Asylum used command ::gamble | Player rights = CLERIC_DONATOR	
[4/25/23 03:04PM] Asylum used command ::global | Player rights = CLERIC_DONATOR	
[4/25/23 03:04PM] Asylum used command ::globals | Player rights = CLERIC_DONATOR	
[4/25/23 03:05PM] Asylum used command ::vboss | Player rights = CLERIC_DONATOR	
[4/25/23 03:05PM] Asylum used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/25/23 03:05PM] Asylum used command ::vboss | Player rights = CLERIC_DONATOR	
[4/25/23 03:07PM] Asylum used command ::vboss | Player rights = CLERIC_DONATOR	
[4/25/23 03:13PM] Asylum used command ::totem | Player rights = CLERIC_DONATOR	
[4/25/23 03:31PM] Asylum used command ::veigar | Player rights = CLERIC_DONATOR	
[4/25/23 03:31PM] Asylum used command ::kills | Player rights = CLERIC_DONATOR	
