[4/15/23 09:50AM] Saladin used command ::vote | Player rights = PLAYER	
[4/16/23 02:23PM] Saladin used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 02:24PM] Saladin used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 03:23PM] Saladin used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 03:23PM] Saladin used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 03:24PM] Saladin used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 03:29PM] Saladin used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 03:53PM] Saladin used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 05:00AM] Saladin used command ::staff | Player rights = CLERIC_DONATOR	
[4/17/23 05:12AM] Saladin used command ::vote | Player rights = CLERIC_DONATOR	
[4/17/23 05:13AM] Saladin used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/17/23 05:13AM] Saladin used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/17/23 05:13AM] Saladin used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/17/23 05:39AM] Saladin used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 05:41AM] Saladin used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 05:42AM] Saladin used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 05:44AM] Saladin used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 05:47AM] Saladin used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 06:39AM] Saladin used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/17/23 06:41AM] Saladin used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/17/23 06:41AM] Saladin used command ::golden | Player rights = TORMENTED_DONATOR	
[4/17/23 08:09AM] Saladin used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/17/23 11:05AM] Saladin used command ::golden | Player rights = TORMENTED_DONATOR	
[4/17/23 11:09AM] Saladin used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/17/23 02:59PM] Saladin used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/17/23 03:00PM] Saladin used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 03:02PM] Saladin used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/17/23 03:31PM] Saladin used command ::veigaR | Player rights = TORMENTED_DONATOR	
[4/17/23 03:33PM] Saladin used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/17/23 03:39PM] Saladin used command ::yell disabled for now, there's a bug causing pos to wipe on updates | Player rights = TORMENTED_DONATOR	
[4/17/23 03:39PM] Saladin used command ::yell on updates | Player rights = TORMENTED_DONATOR	
[4/17/23 04:23PM] Saladin used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 04:32PM] Saladin used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/17/23 04:32PM] Saladin used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/17/23 04:33PM] Saladin used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/17/23 04:33PM] Saladin used command ::golden | Player rights = TORMENTED_DONATOR	
[4/18/23 05:58AM] Saladin used command ::vote | Player rights = TORMENTED_DONATOR	
[4/18/23 05:59AM] Saladin used command ::reward 1 | Player rights = TORMENTED_DONATOR	
[4/18/23 05:59AM] Saladin used command ::reward 1 | Player rights = TORMENTED_DONATOR	
[4/18/23 05:59AM] Saladin used command ::reward 1 | Player rights = TORMENTED_DONATOR	
[4/18/23 06:11AM] Saladin used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 06:26AM] Saladin used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/18/23 06:41AM] Saladin used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/18/23 06:42AM] Saladin used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/18/23 06:43AM] Saladin used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/18/23 07:11AM] Saladin used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/18/23 07:41AM] Saladin used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/18/23 07:42AM] Saladin used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/18/23 07:42AM] Saladin used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/18/23 07:58AM] Saladin used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/18/23 08:11AM] Saladin used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/18/23 08:40AM] Saladin used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/18/23 08:42AM] Saladin used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/18/23 08:42AM] Saladin used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/18/23 09:11AM] Saladin used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/18/23 09:14AM] Saladin used command ::voteboss | Player rights = MYSTICAL_DONATOR	
[4/18/23 09:41AM] Saladin used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/18/23 09:42AM] Saladin used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/18/23 10:11AM] Saladin used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/18/23 10:36AM] Saladin used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/18/23 10:41AM] Saladin used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/18/23 10:41AM] Saladin used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/18/23 10:42AM] Saladin used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/18/23 10:42AM] Saladin used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/18/23 11:11AM] Saladin used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/18/23 11:41AM] Saladin used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/18/23 11:42AM] Saladin used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/18/23 12:11PM] Saladin used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/18/23 12:16PM] Saladin used command ::voteboss | Player rights = MYSTICAL_DONATOR	
[4/18/23 12:16PM] Saladin used command ::voteboss | Player rights = MYSTICAL_DONATOR	
[4/18/23 12:41PM] Saladin used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/18/23 12:41PM] Saladin used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/18/23 12:42PM] Saladin used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/18/23 12:51PM] Saladin used command ::yell stacks to 4x instead of 5x | Player rights = MYSTICAL_DONATOR	
[4/18/23 01:11PM] Saladin used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/18/23 01:28PM] Saladin used command ::voteboss | Player rights = MYSTICAL_DONATOR	
[4/18/23 01:41PM] Saladin used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/18/23 01:41PM] Saladin used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/18/23 01:41PM] Saladin used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:11PM] Saladin used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:41PM] Saladin used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:41PM] Saladin used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:42PM] Saladin used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/18/23 04:15PM] Saladin used command ::voteboss | Player rights = MYSTICAL_DONATOR	
[4/18/23 04:15PM] Saladin used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/18/23 04:40PM] Saladin used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/18/23 04:41PM] Saladin used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/18/23 04:42PM] Saladin used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/18/23 04:42PM] Saladin used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/18/23 04:55PM] Saladin used command ::voteboss | Player rights = MYSTICAL_DONATOR	
[4/18/23 04:57PM] Saladin used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/18/23 05:10PM] Saladin used command ::vote | Player rights = MYSTICAL_DONATOR	
[4/18/23 05:11PM] Saladin used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/18/23 05:29PM] Saladin used command ::voteboss | Player rights = MYSTICAL_DONATOR	
[4/18/23 05:30PM] Saladin used command ::voteboss | Player rights = MYSTICAL_DONATOR	
[4/18/23 05:32PM] Saladin used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/18/23 05:35PM] Saladin used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/18/23 05:41PM] Saladin used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/18/23 05:43PM] Saladin used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/18/23 06:06PM] Saladin used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/19/23 07:39AM] Saladin used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 07:52AM] Saladin used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/19/23 08:46AM] Saladin used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/19/23 08:47AM] Saladin used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/19/23 08:56AM] Saladin used command ::voteboss | Player rights = MYSTICAL_DONATOR	
[4/19/23 10:11AM] Saladin used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/19/23 10:16AM] Saladin used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/19/23 12:11PM] Saladin used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/19/23 12:15PM] Saladin used command ::voteboss | Player rights = MYSTICAL_DONATOR	
[4/19/23 12:15PM] Saladin used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/19/23 12:17PM] Saladin used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/19/23 12:18PM] Saladin used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/19/23 01:12PM] Saladin used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/19/23 01:13PM] Saladin used command ::players | Player rights = MYSTICAL_DONATOR	
[4/19/23 01:13PM] Saladin used command ::players | Player rights = MYSTICAL_DONATOR	
[4/19/23 01:14PM] Saladin used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/19/23 01:15PM] Saladin used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/19/23 01:19PM] Saladin used command ::voteboss | Player rights = MYSTICAL_DONATOR	
[4/19/23 01:22PM] Saladin used command ::voteboss | Player rights = MYSTICAL_DONATOR	
[4/19/23 01:46PM] Saladin used command ::players | Player rights = MYSTICAL_DONATOR	
[4/19/23 01:54PM] Saladin used command ::players | Player rights = MYSTICAL_DONATOR	
[4/19/23 03:17PM] Saladin used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/19/23 03:17PM] Saladin used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/19/23 03:42PM] Saladin used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/19/23 04:15PM] Saladin used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/19/23 04:41PM] Saladin used command ::voteboss | Player rights = MYSTICAL_DONATOR	
[4/19/23 04:43PM] Saladin used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/19/23 04:45PM] Saladin used command ::voteboss | Player rights = MYSTICAL_DONATOR	
[4/19/23 04:48PM] Saladin used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/19/23 06:14PM] Saladin used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/19/23 06:15PM] Saladin used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/19/23 06:16PM] Saladin used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/19/23 06:31PM] Saladin used command ::vote | Player rights = MYSTICAL_DONATOR	
[4/19/23 06:32PM] Saladin used command ::reward 1 | Player rights = MYSTICAL_DONATOR	
[4/19/23 06:32PM] Saladin used command ::reward 1 | Player rights = MYSTICAL_DONATOR	
[4/19/23 06:32PM] Saladin used command ::reward 1 | Player rights = MYSTICAL_DONATOR	
[4/19/23 06:32PM] Saladin used command ::Reward 1 | Player rights = MYSTICAL_DONATOR	
[4/19/23 06:42PM] Saladin used command ::voteboss | Player rights = MYSTICAL_DONATOR	
[4/19/23 06:44PM] Saladin used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/19/23 06:45PM] Saladin used command ::voteboss | Player rights = MYSTICAL_DONATOR	
[4/19/23 06:48PM] Saladin used command ::home | Player rights = MYSTICAL_DONATOR	
[4/20/23 04:19AM] Saladin used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/20/23 04:21AM] Saladin used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/20/23 04:24AM] Saladin used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/20/23 07:19AM] Saladin used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/20/23 07:20AM] Saladin used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/20/23 07:22AM] Saladin used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/20/23 07:33AM] Saladin used command ::voteboss | Player rights = MYSTICAL_DONATOR	
[4/20/23 07:49AM] Saladin used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/20/23 08:19AM] Saladin used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/20/23 08:21AM] Saladin used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/20/23 08:49AM] Saladin used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/20/23 09:17AM] Saladin used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/20/23 09:20AM] Saladin used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/20/23 09:21AM] Saladin used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/20/23 09:23AM] Saladin used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/20/23 09:24AM] Saladin used command ::voteboss | Player rights = MYSTICAL_DONATOR	
[4/20/23 09:30AM] Saladin used command ::players | Player rights = MYSTICAL_DONATOR	
[4/20/23 09:39AM] Saladin used command ::players | Player rights = MYSTICAL_DONATOR	
[4/20/23 09:49AM] Saladin used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/20/23 10:02AM] Saladin used command ::players | Player rights = MYSTICAL_DONATOR	
[4/20/23 10:19AM] Saladin used command ::voteboss | Player rights = MYSTICAL_DONATOR	
[4/20/23 10:20AM] Saladin used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/20/23 10:22AM] Saladin used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/20/23 10:24AM] Saladin used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/20/23 10:27AM] Saladin used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/20/23 10:27AM] Saladin used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/20/23 10:30AM] Saladin used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/20/23 10:34AM] Saladin used command ::players | Player rights = MYSTICAL_DONATOR	
[4/20/23 10:34AM] Saladin used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/20/23 10:38AM] Saladin used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/20/23 10:42AM] Saladin used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/20/23 10:45AM] Saladin used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/20/23 10:47AM] Saladin used command ::voteboss | Player rights = MYSTICAL_DONATOR	
[4/20/23 10:49AM] Saladin used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/20/23 10:54AM] Saladin used command ::voteboss | Player rights = MYSTICAL_DONATOR	
[4/20/23 02:49PM] Saladin used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/20/23 02:50PM] Saladin used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/20/23 02:51PM] Saladin used command ::vote | Player rights = MYSTICAL_DONATOR	
[4/20/23 02:52PM] Saladin used command ::reward 1 | Player rights = MYSTICAL_DONATOR	
[4/20/23 02:52PM] Saladin used command ::reward 1 | Player rights = MYSTICAL_DONATOR	
[4/20/23 02:52PM] Saladin used command ::reward 1 | Player rights = MYSTICAL_DONATOR	
[4/20/23 03:17PM] Saladin used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/20/23 03:20PM] Saladin used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/20/23 03:21PM] Saladin used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/20/23 03:22PM] Saladin used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/20/23 04:43PM] Saladin used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/21/23 05:32AM] Saladin used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/21/23 05:34AM] Saladin used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/21/23 05:35AM] Saladin used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/21/23 05:36AM] Saladin used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/21/23 06:02AM] Saladin used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/21/23 06:32AM] Saladin used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/21/23 06:34AM] Saladin used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/21/23 06:35AM] Saladin used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/21/23 06:38AM] Saladin used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/21/23 09:55AM] Saladin used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/21/23 10:02AM] Saladin used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/21/23 10:32AM] Saladin used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/21/23 10:34AM] Saladin used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/21/23 11:02AM] Saladin used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/21/23 11:31AM] Saladin used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/21/23 11:33AM] Saladin used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/21/23 11:35AM] Saladin used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/21/23 12:02PM] Saladin used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/21/23 12:04PM] Saladin used command ::vote | Player rights = MYSTICAL_DONATOR	
[4/21/23 12:05PM] Saladin used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/21/23 12:32PM] Saladin used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/21/23 12:34PM] Saladin used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/21/23 12:35PM] Saladin used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/21/23 01:07PM] Saladin used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/21/23 01:32PM] Saladin used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/21/23 01:34PM] Saladin used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/21/23 02:02PM] Saladin used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/21/23 02:33PM] Saladin used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/21/23 02:34PM] Saladin used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/21/23 02:35PM] Saladin used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/21/23 03:02PM] Saladin used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/21/23 03:04PM] Saladin used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/21/23 03:04PM] Saladin used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 03:04PM] Saladin used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/21/23 03:32PM] Saladin used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/21/23 03:33PM] Saladin used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/21/23 04:02PM] Saladin used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/22/23 08:01AM] Saladin used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/22/23 08:03AM] Saladin used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/22/23 08:32AM] Saladin used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/22/23 08:33AM] Saladin used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/22/23 08:34AM] Saladin used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/22/23 08:34AM] Saladin used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/22/23 08:37AM] Saladin used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/22/23 10:01AM] Saladin used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/22/23 10:02AM] Saladin used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/22/23 10:33AM] Saladin used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/22/23 10:33AM] Saladin used command ::ninetails | Player rights = MYSTICAL_DONATOR	
