[4/16/23 11:26PM] Asquad used command ::ref | Player rights = PLAYER	
[4/17/23 09:06AM] Asquad used command ::Home | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:47AM] Asquad used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:48AM] Asquad used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:58AM] Asquad used command ::Dr | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:59AM] Asquad used command ::Dr | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:09AM] Asquad used command ::Home | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:32AM] Asquad used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:32AM] Asquad used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:34AM] Asquad used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:34AM] Asquad used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:35AM] Asquad used command ::Golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:02AM] Asquad used command ::Veigae | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:02AM] Asquad used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:07AM] Asquad used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:08AM] Asquad used command ::mereum | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:09AM] Asquad used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:10AM] Asquad used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:16AM] Asquad used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/17/23 11:16AM] Asquad used command ::Dr | Player rights = CLERIC_DONATOR	
[4/17/23 11:32AM] Asquad used command ::vegiar | Player rights = CLERIC_DONATOR	
[4/17/23 11:33AM] Asquad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 11:33AM] Asquad used command ::yell join ::merk massive giveaway | Player rights = CLERIC_DONATOR	
[4/17/23 11:39AM] Asquad used command ::Home | Player rights = CLERIC_DONATOR	
[4/17/23 11:45AM] Asquad used command ::Yell dont forget to vote :: vote to spawn vote boss | Player rights = CLERIC_DONATOR	
[4/17/23 11:45AM] Asquad used command ::train | Player rights = CLERIC_DONATOR	
[4/17/23 11:52AM] Asquad used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 11:53AM] Asquad used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 11:54AM] Asquad used command ::glden | Player rights = CLERIC_DONATOR	
[4/17/23 11:54AM] Asquad used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 11:55AM] Asquad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 11:56AM] Asquad used command ::Task | Player rights = CLERIC_DONATOR	
[4/17/23 11:56AM] Asquad used command ::task | Player rights = CLERIC_DONATOR	
[4/17/23 11:56AM] Asquad used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 12:02PM] Asquad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:02PM] Asquad used command ::yell lets hit 100 | Player rights = CLERIC_DONATOR	
[4/17/23 12:04PM] Asquad used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 12:04PM] Asquad used command ::Bank | Player rights = CLERIC_DONATOR	
[4/17/23 12:08PM] Asquad used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:09PM] Asquad used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 12:11PM] Asquad used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 12:12PM] Asquad used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 12:13PM] Asquad used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 12:15PM] Asquad used command ::VOTEBOSS | Player rights = CLERIC_DONATOR	
[4/17/23 12:16PM] Asquad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:17PM] Asquad used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 12:18PM] Asquad used command ::mereum | Player rights = CLERIC_DONATOR	
[4/17/23 12:18PM] Asquad used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 12:18PM] Asquad used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 12:19PM] Asquad used command ::vboss | Player rights = CLERIC_DONATOR	
[4/17/23 12:27PM] Asquad used command ::upgrade | Player rights = CLERIC_DONATOR	
[4/17/23 12:29PM] Asquad used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 12:29PM] Asquad used command ::Yell what dono rank can do ::Bank | Player rights = CLERIC_DONATOR	
[4/17/23 12:33PM] Asquad used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 12:33PM] Asquad used command ::mereum | Player rights = CLERIC_DONATOR	
[4/17/23 12:33PM] Asquad used command ::mreuem | Player rights = CLERIC_DONATOR	
[4/17/23 12:34PM] Asquad used command ::Golden | Player rights = CLERIC_DONATOR	
[4/17/23 12:34PM] Asquad used command ::Dr | Player rights = CLERIC_DONATOR	
[4/17/23 12:40PM] Asquad used command ::Voteboss | Player rights = CLERIC_DONATOR	
[4/18/23 02:39AM] Asquad used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/18/23 02:39AM] Asquad used command ::vote | Player rights = CLERIC_DONATOR	
[4/18/23 02:40AM] Asquad used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/18/23 02:41AM] Asquad used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/18/23 02:41AM] Asquad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 02:41AM] Asquad used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 02:42AM] Asquad used command ::mreuem | Player rights = CLERIC_DONATOR	
[4/18/23 02:42AM] Asquad used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/18/23 02:43AM] Asquad used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 02:44AM] Asquad used command ::bank | Player rights = CLERIC_DONATOR	
[4/18/23 03:17AM] Asquad used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 03:17AM] Asquad used command ::bank | Player rights = CLERIC_DONATOR	
[4/18/23 03:41AM] Asquad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 04:10AM] Asquad used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/18/23 04:33AM] Asquad used command ::bank | Player rights = CLERIC_DONATOR	
[4/18/23 04:39AM] Asquad used command ::Vegiar | Player rights = CLERIC_DONATOR	
[4/18/23 04:40AM] Asquad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 04:42AM] Asquad used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 04:43AM] Asquad used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 04:44AM] Asquad used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 05:41AM] Asquad used command ::vegiar | Player rights = CLERIC_DONATOR	
[4/18/23 05:41AM] Asquad used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/18/23 05:41AM] Asquad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 05:42AM] Asquad used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 05:47AM] Asquad used command ::Dr | Player rights = CLERIC_DONATOR	
[4/18/23 06:26AM] Asquad used command ::vboss | Player rights = CLERIC_DONATOR	
[4/18/23 07:41AM] Asquad used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/18/23 07:42AM] Asquad used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 07:42AM] Asquad used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 08:37AM] Asquad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 08:37AM] Asquad used command ::buff | Player rights = CLERIC_DONATOR	
[4/18/23 08:37AM] Asquad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 08:42AM] Asquad used command ::nintails | Player rights = CLERIC_DONATOR	
[4/18/23 08:42AM] Asquad used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 08:42AM] Asquad used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 08:43AM] Asquad used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 08:43AM] Asquad used command ::Home | Player rights = CLERIC_DONATOR	
[4/18/23 12:16PM] Asquad used command ::Voteboss | Player rights = CLERIC_DONATOR	
[4/18/23 12:20PM] Asquad used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 02:41PM] Asquad used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 02:42PM] Asquad used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 02:42PM] Asquad used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 02:43PM] Asquad used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 02:44PM] Asquad used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 02:45PM] Asquad used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 02:50PM] Asquad used command ::vboss | Player rights = CLERIC_DONATOR	
[4/18/23 03:41PM] Asquad used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/18/23 03:41PM] Asquad used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 04:01PM] Asquad used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 04:03PM] Asquad used command ::Dr | Player rights = CLERIC_DONATOR	
[4/18/23 04:14PM] Asquad used command ::vboss | Player rights = CLERIC_DONATOR	
[4/18/23 04:15PM] Asquad used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 04:18PM] Asquad used command ::bank | Player rights = CLERIC_DONATOR	
[4/18/23 04:25PM] Asquad used command ::Yell rigged :D | Player rights = CLERIC_DONATOR	
[4/18/23 04:38PM] Asquad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 04:41PM] Asquad used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 04:41PM] Asquad used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 04:42PM] Asquad used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 04:45PM] Asquad used command ::Home | Player rights = CLERIC_DONATOR	
[4/18/23 04:50PM] Asquad used command ::store | Player rights = CLERIC_DONATOR	
[4/18/23 04:52PM] Asquad used command ::Vote | Player rights = CLERIC_DONATOR	
[4/18/23 04:53PM] Asquad used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/18/23 04:53PM] Asquad used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/18/23 04:53PM] Asquad used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/18/23 04:53PM] Asquad used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/18/23 04:53PM] Asquad used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/18/23 04:55PM] Asquad used command ::vboss | Player rights = CLERIC_DONATOR	
[4/18/23 05:01PM] Asquad used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 05:11PM] Asquad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 05:22PM] Asquad used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/18/23 05:22PM] Asquad used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/18/23 05:29PM] Asquad used command ::vboss | Player rights = CLERIC_DONATOR	
[4/18/23 05:29PM] Asquad used command ::yell we didnt to kill him respawn | Player rights = CLERIC_DONATOR	
[4/18/23 05:32PM] Asquad used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 05:35PM] Asquad used command ::Dr | Player rights = CLERIC_DONATOR	
[4/18/23 05:35PM] Asquad used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 05:36PM] Asquad used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 05:38PM] Asquad used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 05:39PM] Asquad used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 05:41PM] Asquad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 05:44PM] Asquad used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 05:49PM] Asquad used command ::Dr | Player rights = CLERIC_DONATOR	
[4/18/23 06:11PM] Asquad used command ::Veiger | Player rights = CLERIC_DONATOR	
[4/18/23 06:11PM] Asquad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 06:13PM] Asquad used command ::Dr | Player rights = CLERIC_DONATOR	
[4/18/23 06:28PM] Asquad used command ::Home | Player rights = CLERIC_DONATOR	
[4/18/23 06:41PM] Asquad used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 06:41PM] Asquad used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 06:45PM] Asquad used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 06:51PM] Asquad used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 06:59PM] Asquad used command ::vboss | Player rights = CLERIC_DONATOR	
[4/18/23 07:01PM] Asquad used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 07:01PM] Asquad used command ::Yell yay new rank | Player rights = TORMENTED_DONATOR	
[4/18/23 07:03PM] Asquad used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 07:40PM] Asquad used command ::Veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 07:43PM] Asquad used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/18/23 07:44PM] Asquad used command ::Golden | Player rights = TORMENTED_DONATOR	
[4/18/23 07:46PM] Asquad used command ::train | Player rights = TORMENTED_DONATOR	
[4/18/23 07:57PM] Asquad used command ::dr | Player rights = TORMENTED_DONATOR	
[4/18/23 08:03PM] Asquad used command ::E | Player rights = TORMENTED_DONATOR	
[4/18/23 08:03PM] Asquad used command ::dr | Player rights = TORMENTED_DONATOR	
[4/18/23 08:11PM] Asquad used command ::Veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 08:11PM] Asquad used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 08:13PM] Asquad used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 08:16PM] Asquad used command ::shops | Player rights = TORMENTED_DONATOR	
[4/18/23 08:16PM] Asquad used command ::shop | Player rights = TORMENTED_DONATOR	
[4/18/23 08:16PM] Asquad used command ::shops | Player rights = TORMENTED_DONATOR	
[4/18/23 08:42PM] Asquad used command ::dr | Player rights = TORMENTED_DONATOR	
[4/18/23 08:43PM] Asquad used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/18/23 08:45PM] Asquad used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/18/23 08:47PM] Asquad used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 09:01PM] Asquad used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 09:11PM] Asquad used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 09:41PM] Asquad used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 09:43PM] Asquad used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/18/23 09:49PM] Asquad used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 10:17PM] Asquad used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/18/23 10:21PM] Asquad used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 10:46PM] Asquad used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/18/23 10:48PM] Asquad used command ::golden | Player rights = TORMENTED_DONATOR	
[4/18/23 10:53PM] Asquad used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 10:53PM] Asquad used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 11:05PM] Asquad used command ::Veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 11:07PM] Asquad used command ::Yell gz | Player rights = TORMENTED_DONATOR	
[4/18/23 11:14PM] Asquad used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 11:17PM] Asquad used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 11:19PM] Asquad used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 11:20PM] Asquad used command ::Dr | Player rights = TORMENTED_DONATOR	
[4/18/23 11:30PM] Asquad used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 01:23AM] Asquad used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 01:24AM] Asquad used command ::yell everyone ::veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 01:28AM] Asquad used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 05:23AM] Asquad used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 05:23AM] Asquad used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 05:24AM] Asquad used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 05:24AM] Asquad used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 05:26AM] Asquad used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 06:26AM] Asquad used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 06:26AM] Asquad used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 06:27AM] Asquad used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 06:28AM] Asquad used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 06:28AM] Asquad used command ::Empty | Player rights = TORMENTED_DONATOR	
[4/19/23 06:28AM] Asquad used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 06:29AM] Asquad used command ::empty | Player rights = TORMENTED_DONATOR	
[4/19/23 06:42AM] Asquad used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 06:43AM] Asquad used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 01:24PM] Asquad used command ::Vvb | Player rights = TORMENTED_DONATOR	
[4/19/23 01:24PM] Asquad used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/19/23 01:24PM] Asquad used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 01:31PM] Asquad used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 01:31PM] Asquad used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 01:32PM] Asquad used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 01:35PM] Asquad used command ::yell everyone go vote for huge rewards and maybe double spawns | Player rights = TORMENTED_DONATOR	
[4/19/23 01:36PM] Asquad used command ::Store | Player rights = TORMENTED_DONATOR	
[4/19/23 01:44PM] Asquad used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 01:47PM] Asquad used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 01:48PM] Asquad used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 01:56PM] Asquad used command ::yell buying all in name dono pm me | Player rights = TORMENTED_DONATOR	
[4/19/23 01:59PM] Asquad used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 02:09PM] Asquad used command ::vote | Player rights = TORMENTED_DONATOR	
[4/19/23 02:10PM] Asquad used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 02:12PM] Asquad used command ::Yell gllll | Player rights = TORMENTED_DONATOR	
[4/19/23 02:13PM] Asquad used command ::Veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 02:15PM] Asquad used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/19/23 02:18PM] Asquad used command ::rewar1  | Player rights = TORMENTED_DONATOR	
[4/19/23 02:18PM] Asquad used command ::reward 1 | Player rights = TORMENTED_DONATOR	
[4/19/23 02:18PM] Asquad used command ::reward 1 | Player rights = TORMENTED_DONATOR	
[4/19/23 02:18PM] Asquad used command ::reward 1 | Player rights = TORMENTED_DONATOR	
[4/19/23 02:19PM] Asquad used command ::reward 1 | Player rights = TORMENTED_DONATOR	
[4/19/23 02:19PM] Asquad used command ::vote | Player rights = TORMENTED_DONATOR	
[4/19/23 02:25PM] Asquad used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/19/23 02:30PM] Asquad used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 02:30PM] Asquad used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 02:32PM] Asquad used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 02:33PM] Asquad used command ::yell bonds in my pos | Player rights = TORMENTED_DONATOR	
[4/19/23 02:33PM] Asquad used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 02:46PM] Asquad used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 02:48PM] Asquad used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 03:02PM] Asquad used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 03:11PM] Asquad used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 03:13PM] Asquad used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 03:15PM] Asquad used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/19/23 03:16PM] Asquad used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/19/23 03:17PM] Asquad used command ::golden | Player rights = TORMENTED_DONATOR	
[4/19/23 03:18PM] Asquad used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 03:43PM] Asquad used command ::Veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 04:11PM] Asquad used command ::Veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 04:15PM] Asquad used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/19/23 04:17PM] Asquad used command ::Yell wb | Player rights = TORMENTED_DONATOR	
[4/19/23 04:32PM] Asquad used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 04:33PM] Asquad used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 04:43PM] Asquad used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/19/23 04:43PM] Asquad used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 04:45PM] Asquad used command ::Vboss | Player rights = TORMENTED_DONATOR	
[4/19/23 04:48PM] Asquad used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 04:48PM] Asquad used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/19/23 04:49PM] Asquad used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/19/23 04:50PM] Asquad used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 04:52PM] Asquad used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 04:52PM] Asquad used command ::Yell selling 230. in bonds | Player rights = TORMENTED_DONATOR	
[4/19/23 05:12PM] Asquad used command ::yell selling 230$ bonds pm me | Player rights = TORMENTED_DONATOR	
[4/19/23 05:12PM] Asquad used command ::yell selling 230$ bonds | Player rights = TORMENTED_DONATOR	
[4/19/23 05:14PM] Asquad used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 05:14PM] Asquad used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/19/23 05:16PM] Asquad used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/19/23 05:16PM] Asquad used command ::golden | Player rights = TORMENTED_DONATOR	
[4/19/23 05:17PM] Asquad used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/19/23 05:19PM] Asquad used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 05:19PM] Asquad used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 05:20PM] Asquad used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 05:20PM] Asquad used command ::dr | Player rights = TORMENTED_DONATOR	
[4/19/23 05:26PM] Asquad used command ::yell selling 230$ pmm e | Player rights = TORMENTED_DONATOR	
[4/19/23 05:27PM] Asquad used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 05:29PM] Asquad used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 05:30PM] Asquad used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 06:05PM] Asquad used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 06:05PM] Asquad used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 06:13PM] Asquad used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 06:13PM] Asquad used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 06:14PM] Asquad used command ::yell gl | Player rights = TORMENTED_DONATOR	
[4/19/23 06:15PM] Asquad used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/19/23 06:16PM] Asquad used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/19/23 06:16PM] Asquad used command ::golden | Player rights = TORMENTED_DONATOR	
[4/19/23 06:25PM] Asquad used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 06:27PM] Asquad used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 06:36PM] Asquad used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 06:43PM] Asquad used command ::Vboss | Player rights = TORMENTED_DONATOR	
[4/19/23 06:43PM] Asquad used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 06:44PM] Asquad used command ::Gamble | Player rights = TORMENTED_DONATOR	
[4/19/23 06:44PM] Asquad used command ::Yell gambling aoe wep | Player rights = TORMENTED_DONATOR	
[4/19/23 06:44PM] Asquad used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 06:45PM] Asquad used command ::Vboss | Player rights = TORMENTED_DONATOR	
