[4/20/23 07:36PM] Iron Uokm8 used command ::refer | Player rights = PLAYER	
[4/21/23 03:06PM] Iron Uokm8 used command ::vbodd | Player rights = GRACEFUL_DONATOR	
[4/21/23 03:06PM] Iron Uokm8 used command ::Vboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 03:32PM] Iron Uokm8 used command ::noble | Player rights = GRACEFUL_DONATOR	
[4/21/23 03:33PM] Iron Uokm8 used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 03:34PM] Iron Uokm8 used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 03:35PM] Iron Uokm8 used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:32PM] Iron Uokm8 used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:33PM] Iron Uokm8 used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:34PM] Iron Uokm8 used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:35PM] Iron Uokm8 used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:32PM] Iron Uokm8 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:34PM] Iron Uokm8 used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 06:24AM] Iron Uokm8 used command ::Vote | Player rights = GRACEFUL_DONATOR	
[4/22/23 06:25AM] Iron Uokm8 used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/22/23 06:32AM] Iron Uokm8 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 06:33AM] Iron Uokm8 used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 06:34AM] Iron Uokm8 used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 06:34AM] Iron Uokm8 used command ::mereum | Player rights = GRACEFUL_DONATOR	
[4/22/23 06:35AM] Iron Uokm8 used command ::mereum | Player rights = GRACEFUL_DONATOR	
[4/22/23 06:35AM] Iron Uokm8 used command ::muerem | Player rights = GRACEFUL_DONATOR	
[4/22/23 06:35AM] Iron Uokm8 used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 06:35AM] Iron Uokm8 used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/22/23 07:32AM] Iron Uokm8 used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 07:33AM] Iron Uokm8 used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:32PM] Iron Uokm8 used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:33PM] Iron Uokm8 used command ::mereum | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:33PM] Iron Uokm8 used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:34PM] Iron Uokm8 used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:35PM] Iron Uokm8 used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:23PM] Iron Uokm8 used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:32PM] Iron Uokm8 used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:34PM] Iron Uokm8 used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:34PM] Iron Uokm8 used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:03PM] Iron Uokm8 used command ::vEIGAR | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:05PM] Iron Uokm8 used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/23/23 01:03AM] Iron Uokm8 used command ::VEIGAR | Player rights = GRACEFUL_DONATOR	
[4/23/23 01:33AM] Iron Uokm8 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/27/23 01:05PM] Iron Uokm8 used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/27/23 01:06PM] Iron Uokm8 used command ::yell Global boss order is in teles > misc > | Player rights = GRACEFUL_DONATOR	
[4/27/23 01:06PM] Iron Uokm8 used command ::yell <f><col=ff0000><shad=ff0000> Global Boss Kill Order = @whi@Teles > Misc> | Player rights = GRACEFUL_DONATOR	
[4/27/23 01:08PM] Iron Uokm8 used command ::yell <f><col=ff0000><shad=000000>Global KILL ORDER > Teles> Misc> down the lis | Player rights = GRACEFUL_DONATOR	
[4/27/23 01:11PM] Iron Uokm8 used command ::yell ty for reminde | Player rights = GRACEFUL_DONATOR	
[4/27/23 01:12PM] Iron Uokm8 used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/27/23 01:13PM] Iron Uokm8 used command ::Yell why is runelocus acting up -_- | Player rights = GRACEFUL_DONATOR	
[4/27/23 01:13PM] Iron Uokm8 used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/27/23 01:15PM] Iron Uokm8 used command ::yell <col=fa0000><shad=ff0000>Guys                ::vote      32/50 for drop | Player rights = GRACEFUL_DONATOR	
[4/27/23 01:35PM] Iron Uokm8 used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/27/23 02:05PM] Iron Uokm8 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/27/23 02:08PM] Iron Uokm8 used command ::yell <f><col=ffd700><shad=000000> All to         ::yellowphat | Player rights = GRACEFUL_DONATOR	
[4/27/23 02:11PM] Iron Uokm8 used command ::all to ::yellowdick | Player rights = GRACEFUL_DONATOR	
[4/27/23 02:35PM] Iron Uokm8 used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/27/23 03:05PM] Iron Uokm8 used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/27/23 03:35PM] Iron Uokm8 used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/27/23 04:05PM] Iron Uokm8 used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/27/23 04:05PM] Iron Uokm8 used command ::yell  <f><col=ff0000><shad=000000> GLOBAL ORDER > TELES > MISC > GO DOWN | Player rights = GRACEFUL_DONATOR	
[4/27/23 04:06PM] Iron Uokm8 used command ::yell @red@Ain't finish college but he caught a body that's his first degree | Player rights = GRACEFUL_DONATOR	
[4/27/23 04:06PM] Iron Uokm8 used command ::yell first degree | Player rights = GRACEFUL_DONATOR	
[4/27/23 04:07PM] Iron Uokm8 used command ::yell first degree* | Player rights = GRACEFUL_DONATOR	
[4/27/23 04:07PM] Iron Uokm8 used command ::yell first degree * | Player rights = GRACEFUL_DONATOR	
[4/27/23 04:07PM] Iron Uokm8 used command ::yell first degree* | Player rights = GRACEFUL_DONATOR	
[4/27/23 06:34PM] Iron Uokm8 used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/27/23 06:34PM] Iron Uokm8 used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/27/23 06:37PM] Iron Uokm8 used command ::VBOSS | Player rights = GRACEFUL_DONATOR	
[4/27/23 06:37PM] Iron Uokm8 used command ::YELL <f><col=ffff00><shad=ff0000> All ::vote       For fat loot   8 votes left | Player rights = GRACEFUL_DONATOR	
[4/27/23 06:45PM] Iron Uokm8 used command ::bank | Player rights = CLERIC_DONATOR	
[4/27/23 07:05PM] Iron Uokm8 used command ::viegar | Player rights = CLERIC_DONATOR	
[4/27/23 07:05PM] Iron Uokm8 used command ::viegar | Player rights = CLERIC_DONATOR	
[4/27/23 07:05PM] Iron Uokm8 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/27/23 07:06PM] Iron Uokm8 used command ::yell @red@Global boss order = teles>misc> down the list | Player rights = CLERIC_DONATOR	
[4/27/23 07:12PM] Iron Uokm8 used command ::dropoff | Player rights = CLERIC_DONATOR	
