[4/20/23 09:28AM] Afk Soup used command ::afkzone | Player rights = PLAYER	
[4/20/23 12:20PM] Afk Soup used command ::veigar | Player rights = PLAYER	
[4/20/23 12:20PM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/20/23 12:20PM] Afk Soup used command ::vboss | Player rights = PLAYER	
[4/20/23 12:21PM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/20/23 12:50PM] Afk Soup used command ::veigar | Player rights = PLAYER	
[4/20/23 12:51PM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/20/23 01:20PM] Afk Soup used command ::veigar | Player rights = PLAYER	
[4/20/23 01:20PM] Afk Soup used command ::ninetails | Player rights = PLAYER	
[4/20/23 01:21PM] Afk Soup used command ::meruem | Player rights = PLAYER	
[4/20/23 01:22PM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/20/23 01:30PM] Afk Soup used command ::vboss | Player rights = PLAYER	
[4/20/23 01:35PM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/20/23 01:38PM] Afk Soup used command ::home | Player rights = PLAYER	
[4/20/23 01:40PM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/20/23 02:19PM] Afk Soup used command ::veigar | Player rights = PLAYER	
[4/20/23 02:20PM] Afk Soup used command ::ninetails | Player rights = PLAYER	
[4/20/23 02:22PM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/20/23 02:49PM] Afk Soup used command ::veigar | Player rights = PLAYER	
[4/20/23 02:50PM] Afk Soup used command ::ninetails | Player rights = PLAYER	
[4/20/23 02:51PM] Afk Soup used command ::vboss | Player rights = PLAYER	
[4/20/23 02:54PM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/20/23 03:19PM] Afk Soup used command ::veigar | Player rights = PLAYER	
[4/20/23 03:20PM] Afk Soup used command ::ninetails | Player rights = PLAYER	
[4/20/23 03:21PM] Afk Soup used command ::meruem | Player rights = PLAYER	
[4/20/23 03:22PM] Afk Soup used command ::golden | Player rights = PLAYER	
[4/20/23 03:23PM] Afk Soup used command ::golden | Player rights = PLAYER	
[4/20/23 03:23PM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/20/23 04:43PM] Afk Soup used command ::vboss | Player rights = PLAYER	
[4/20/23 04:45PM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/20/23 04:49PM] Afk Soup used command ::veigar | Player rights = PLAYER	
[4/20/23 04:51PM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/20/23 05:19PM] Afk Soup used command ::veigar | Player rights = PLAYER	
[4/20/23 05:20PM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/20/23 05:20PM] Afk Soup used command ::ninetails | Player rights = PLAYER	
[4/20/23 05:21PM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/20/23 05:21PM] Afk Soup used command ::meruem | Player rights = PLAYER	
[4/20/23 05:22PM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/20/23 05:27PM] Afk Soup used command ::home | Player rights = PLAYER	
[4/20/23 05:27PM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/20/23 06:03PM] Afk Soup used command ::home | Player rights = PLAYER	
[4/20/23 06:19PM] Afk Soup used command ::veigar | Player rights = PLAYER	
[4/20/23 06:20PM] Afk Soup used command ::ninetails | Player rights = PLAYER	
[4/20/23 06:21PM] Afk Soup used command ::golden | Player rights = PLAYER	
[4/20/23 06:21PM] Afk Soup used command ::golden | Player rights = PLAYER	
[4/20/23 06:22PM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/20/23 06:40PM] Afk Soup used command ::vboss | Player rights = PLAYER	
[4/20/23 06:40PM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/20/23 06:45PM] Afk Soup used command ::home | Player rights = PLAYER	
[4/20/23 06:45PM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/20/23 06:49PM] Afk Soup used command ::veigar | Player rights = PLAYER	
[4/20/23 06:50PM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/20/23 07:19PM] Afk Soup used command ::veigar | Player rights = PLAYER	
[4/20/23 07:20PM] Afk Soup used command ::ninetails | Player rights = PLAYER	
[4/20/23 07:21PM] Afk Soup used command ::meruem | Player rights = PLAYER	
[4/20/23 07:22PM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/20/23 07:49PM] Afk Soup used command ::veigar | Player rights = PLAYER	
[4/20/23 07:51PM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/20/23 08:19PM] Afk Soup used command ::veigar | Player rights = PLAYER	
[4/20/23 08:23PM] Afk Soup used command ::veigar | Player rights = PLAYER	
[4/20/23 08:24PM] Afk Soup used command ::ninetails | Player rights = PLAYER	
[4/20/23 08:25PM] Afk Soup used command ::ninetails | Player rights = PLAYER	
[4/20/23 08:36PM] Afk Soup used command ::ninetails | Player rights = PLAYER	
[4/20/23 08:37PM] Afk Soup used command ::meruem | Player rights = PLAYER	
[4/20/23 08:38PM] Afk Soup used command ::meruem | Player rights = PLAYER	
[4/20/23 08:38PM] Afk Soup used command ::golden | Player rights = PLAYER	
[4/20/23 08:39PM] Afk Soup used command ::golden | Player rights = PLAYER	
[4/20/23 08:44PM] Afk Soup used command ::golden | Player rights = PLAYER	
[4/20/23 08:44PM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/20/23 08:59PM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/20/23 09:02PM] Afk Soup used command ::veigar | Player rights = PLAYER	
[4/20/23 09:06PM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/20/23 09:07PM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/20/23 09:07PM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/20/23 09:07PM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/20/23 09:33PM] Afk Soup used command ::veigar | Player rights = PLAYER	
[4/20/23 09:34PM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/20/23 09:34PM] Afk Soup used command ::home | Player rights = PLAYER	
[4/20/23 09:35PM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/20/23 09:45PM] Afk Soup used command ::vboss | Player rights = PLAYER	
[4/20/23 09:46PM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/20/23 09:47PM] Afk Soup used command ::vboss | Player rights = PLAYER	
[4/20/23 09:48PM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/20/23 10:02PM] Afk Soup used command ::veigar | Player rights = PLAYER	
[4/20/23 10:05PM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/20/23 10:33PM] Afk Soup used command ::veigar | Player rights = PLAYER	
[4/20/23 10:34PM] Afk Soup used command ::ninetails | Player rights = PLAYER	
[4/20/23 10:36PM] Afk Soup used command ::meruem | Player rights = PLAYER	
[4/20/23 10:37PM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/20/23 11:02PM] Afk Soup used command ::veigar | Player rights = PLAYER	
[4/20/23 11:16PM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/20/23 11:33PM] Afk Soup used command ::veigar | Player rights = PLAYER	
[4/20/23 11:34PM] Afk Soup used command ::ninetails | Player rights = PLAYER	
[4/20/23 11:35PM] Afk Soup used command ::golden | Player rights = PLAYER	
[4/20/23 11:36PM] Afk Soup used command ::golden | Player rights = PLAYER	
[4/20/23 11:38PM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/21/23 12:04AM] Afk Soup used command ::veigar | Player rights = PLAYER	
[4/21/23 12:04AM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/21/23 12:35AM] Afk Soup used command ::golden | Player rights = PLAYER	
[4/21/23 12:36AM] Afk Soup used command ::veigar | Player rights = PLAYER	
[4/21/23 12:36AM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/21/23 12:36AM] Afk Soup used command ::meruem | Player rights = PLAYER	
[4/21/23 12:38AM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/21/23 01:03AM] Afk Soup used command ::veigar | Player rights = PLAYER	
[4/21/23 01:07AM] Afk Soup used command ::home | Player rights = PLAYER	
[4/21/23 01:08AM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/21/23 01:33AM] Afk Soup used command ::veigar | Player rights = PLAYER	
[4/21/23 01:35AM] Afk Soup used command ::ninetails | Player rights = PLAYER	
[4/21/23 01:39AM] Afk Soup used command ::home | Player rights = PLAYER	
[4/21/23 01:41AM] Afk Soup used command ::af | Player rights = PLAYER	
[4/21/23 01:43AM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/21/23 02:03AM] Afk Soup used command ::veigar | Player rights = PLAYER	
[4/21/23 02:07AM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/21/23 02:26AM] Afk Soup used command ::vboss | Player rights = PLAYER	
[4/21/23 02:29AM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/21/23 02:33AM] Afk Soup used command ::veigar | Player rights = PLAYER	
[4/21/23 02:34AM] Afk Soup used command ::ninetails | Player rights = PLAYER	
[4/21/23 02:37AM] Afk Soup used command ::meruem | Player rights = PLAYER	
[4/21/23 02:39AM] Afk Soup used command ::golden | Player rights = PLAYER	
[4/21/23 02:40AM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/21/23 02:42AM] Afk Soup used command ::home | Player rights = PLAYER	
[4/21/23 02:43AM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/21/23 04:03AM] Afk Soup used command ::veigar | Player rights = PLAYER	
[4/21/23 04:05AM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/21/23 04:21AM] Afk Soup used command ::vboss | Player rights = PLAYER	
[4/21/23 04:24AM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/21/23 04:32AM] Afk Soup used command ::veigar | Player rights = PLAYER	
[4/21/23 04:36AM] Afk Soup used command ::ninetails | Player rights = PLAYER	
[4/21/23 04:38AM] Afk Soup used command ::meruem | Player rights = PLAYER	
[4/21/23 04:43AM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/21/23 05:03AM] Afk Soup used command ::veigar | Player rights = PLAYER	
[4/21/23 05:05AM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/21/23 05:32AM] Afk Soup used command ::veigar | Player rights = PLAYER	
[4/21/23 05:34AM] Afk Soup used command ::ninetails | Player rights = PLAYER	
[4/21/23 05:36AM] Afk Soup used command ::meruem | Player rights = PLAYER	
[4/21/23 05:36AM] Afk Soup used command ::golden | Player rights = PLAYER	
[4/21/23 05:37AM] Afk Soup used command ::afj | Player rights = PLAYER	
[4/21/23 05:37AM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/21/23 11:03AM] Afk Soup used command ::veigar | Player rights = PLAYER	
[4/21/23 11:05AM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/21/23 11:32AM] Afk Soup used command ::Veigar | Player rights = PLAYER	
[4/21/23 11:33AM] Afk Soup used command ::ninetails | Player rights = PLAYER	
[4/21/23 11:35AM] Afk Soup used command ::Golden | Player rights = PLAYER	
[4/21/23 11:35AM] Afk Soup used command ::Golden | Player rights = PLAYER	
[4/21/23 11:44AM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/21/23 12:03PM] Afk Soup used command ::veigar | Player rights = PLAYER	
[4/21/23 12:06PM] Afk Soup used command ::vboss | Player rights = PLAYER	
[4/21/23 12:15PM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/21/23 12:33PM] Afk Soup used command ::veigar | Player rights = PLAYER	
[4/21/23 12:34PM] Afk Soup used command ::ninetails | Player rights = PLAYER	
[4/21/23 12:35PM] Afk Soup used command ::meruem | Player rights = PLAYER	
[4/21/23 12:37PM] Afk Soup used command ::home | Player rights = PLAYER	
[4/21/23 12:37PM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/21/23 01:02PM] Afk Soup used command ::veigar | Player rights = PLAYER	
[4/21/23 01:06PM] Afk Soup used command ::vboss | Player rights = PLAYER	
[4/21/23 01:16PM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/21/23 02:03PM] Afk Soup used command ::veigar | Player rights = PLAYER	
[4/21/23 02:04PM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/21/23 06:19PM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/21/23 06:33PM] Afk Soup used command ::veigar | Player rights = PLAYER	
[4/21/23 06:33PM] Afk Soup used command ::ninetails | Player rights = PLAYER	
[4/21/23 06:34PM] Afk Soup used command ::meruem | Player rights = PLAYER	
[4/21/23 06:35PM] Afk Soup used command ::golden | Player rights = PLAYER	
[4/21/23 06:35PM] Afk Soup used command ::golden | Player rights = PLAYER	
[4/21/23 06:36PM] Afk Soup used command ::golden | Player rights = PLAYER	
[4/21/23 06:36PM] Afk Soup used command ::vboss | Player rights = PLAYER	
[4/21/23 06:39PM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/21/23 06:40PM] Afk Soup used command ::home | Player rights = PLAYER	
[4/21/23 06:41PM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/21/23 07:03PM] Afk Soup used command ::veigar | Player rights = PLAYER	
[4/21/23 07:04PM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/21/23 08:02PM] Afk Soup used command ::veigar | Player rights = PLAYER	
[4/21/23 08:04PM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/21/23 08:28PM] Afk Soup used command ::vboss | Player rights = PLAYER	
[4/21/23 08:30PM] Afk Soup used command ::home | Player rights = PLAYER	
[4/21/23 08:30PM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/21/23 08:32PM] Afk Soup used command ::veigar | Player rights = PLAYER	
[4/21/23 08:33PM] Afk Soup used command ::ninetails | Player rights = PLAYER	
[4/21/23 08:34PM] Afk Soup used command ::meruem | Player rights = PLAYER	
[4/21/23 08:35PM] Afk Soup used command ::golden | Player rights = PLAYER	
[4/21/23 08:35PM] Afk Soup used command ::golden | Player rights = PLAYER	
[4/21/23 08:36PM] Afk Soup used command ::golde | Player rights = PLAYER	
[4/21/23 08:36PM] Afk Soup used command ::Afk | Player rights = PLAYER	
[4/21/23 11:34PM] Afk Soup used command ::golden | Player rights = PLAYER	
[4/21/23 11:34PM] Afk Soup used command ::home | Player rights = PLAYER	
[4/21/23 11:35PM] Afk Soup used command ::golden | Player rights = PLAYER	
[4/21/23 11:35PM] Afk Soup used command ::home | Player rights = PLAYER	
[4/21/23 11:35PM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/21/23 11:35PM] Afk Soup used command ::golden | Player rights = PLAYER	
[4/21/23 11:36PM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/21/23 11:39PM] Afk Soup used command ::vboss | Player rights = PLAYER	
[4/21/23 11:39PM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/22/23 12:33AM] Afk Soup used command ::veigar | Player rights = PLAYER	
[4/22/23 12:33AM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/22/23 12:34AM] Afk Soup used command ::ninetails | Player rights = PLAYER	
[4/22/23 12:34AM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/22/23 12:35AM] Afk Soup used command ::golden | Player rights = PLAYER	
[4/22/23 12:35AM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/22/23 12:36AM] Afk Soup used command ::bank | Player rights = PLAYER	
[4/22/23 12:36AM] Afk Soup used command ::home | Player rights = PLAYER	
[4/22/23 12:36AM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/22/23 01:45AM] Afk Soup used command ::vboss | Player rights = PLAYER	
[4/22/23 01:46AM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/22/23 01:46AM] Afk Soup used command ::vboss | Player rights = PLAYER	
[4/22/23 01:48AM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/22/23 02:33AM] Afk Soup used command ::veigar | Player rights = PLAYER	
[4/22/23 02:33AM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/22/23 02:34AM] Afk Soup used command ::ninetails | Player rights = PLAYER	
[4/22/23 02:36AM] Afk Soup used command ::meruem | Player rights = PLAYER	
[4/22/23 02:36AM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/22/23 02:37AM] Afk Soup used command ::meruem | Player rights = PLAYER	
[4/22/23 02:37AM] Afk Soup used command ::Golden | Player rights = PLAYER	
[4/22/23 02:38AM] Afk Soup used command ::golden | Player rights = PLAYER	
[4/22/23 02:38AM] Afk Soup used command ::golden | Player rights = PLAYER	
[4/22/23 02:39AM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/22/23 03:33AM] Afk Soup used command ::veigar | Player rights = PLAYER	
[4/22/23 03:34AM] Afk Soup used command ::ninetails | Player rights = PLAYER	
[4/22/23 03:36AM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/22/23 03:40AM] Afk Soup used command ::vboss | Player rights = PLAYER	
[4/22/23 03:42AM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/22/23 03:55AM] Afk Soup used command ::home | Player rights = PLAYER	
[4/22/23 03:56AM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/22/23 04:04AM] Afk Soup used command ::veigar | Player rights = PLAYER	
[4/22/23 04:04AM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/22/23 04:33AM] Afk Soup used command ::veigar | Player rights = PLAYER	
[4/22/23 04:34AM] Afk Soup used command ::ninetails | Player rights = PLAYER	
[4/22/23 04:35AM] Afk Soup used command ::meruem | Player rights = PLAYER	
[4/22/23 04:36AM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/22/23 05:33AM] Afk Soup used command ::veigar | Player rights = PLAYER	
[4/22/23 05:33AM] Afk Soup used command ::ninetails | Player rights = PLAYER	
[4/22/23 05:34AM] Afk Soup used command ::golden | Player rights = PLAYER	
[4/22/23 05:35AM] Afk Soup used command ::golden | Player rights = PLAYER	
[4/22/23 05:35AM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/22/23 06:33AM] Afk Soup used command ::veigar | Player rights = PLAYER	
[4/22/23 06:33AM] Afk Soup used command ::ninetails | Player rights = PLAYER	
[4/22/23 06:34AM] Afk Soup used command ::meruem | Player rights = PLAYER	
[4/22/23 06:35AM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/22/23 03:50PM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/22/23 07:43PM] Afk Soup used command ::voteboss | Player rights = PLAYER	
[4/22/23 07:44PM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/22/23 08:03PM] Afk Soup used command ::veigar | Player rights = PLAYER	
[4/22/23 08:06PM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/22/23 08:33PM] Afk Soup used command ::meruem | Player rights = PLAYER	
[4/22/23 08:35PM] Afk Soup used command ::::golden | Player rights = PLAYER	
[4/22/23 08:35PM] Afk Soup used command ::golden | Player rights = PLAYER	
[4/22/23 08:36PM] Afk Soup used command ::golde | Player rights = PLAYER	
[4/22/23 08:36PM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/22/23 10:32PM] Afk Soup used command ::veigar | Player rights = PLAYER	
[4/22/23 10:33PM] Afk Soup used command ::ninetails | Player rights = PLAYER	
[4/22/23 10:34PM] Afk Soup used command ::meruem | Player rights = PLAYER	
[4/22/23 10:35PM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/23/23 12:33AM] Afk Soup used command ::veigar | Player rights = PLAYER	
[4/23/23 12:33AM] Afk Soup used command ::ninetails | Player rights = PLAYER	
[4/23/23 12:35AM] Afk Soup used command ::meruem | Player rights = PLAYER	
[4/23/23 12:37AM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/23/23 05:07AM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/23/23 07:26AM] Afk Soup used command ::afk | Player rights = PLAYER	
[4/23/23 10:26AM] Afk Soup used command ::afk | Player rights = PLAYER	
