[4/16/23 11:18PM] Cd Black used command ::store | Player rights = PLAYER	
[4/18/23 04:44PM] Cd Black used command ::afk | Player rights = CLERIC_DONATOR	
[4/18/23 05:11PM] Cd Black used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 05:12PM] Cd Black used command ::afk | Player rights = CLERIC_DONATOR	
[4/18/23 05:30PM] Cd Black used command ::vboss | Player rights = CLERIC_DONATOR	
[4/18/23 05:33PM] Cd Black used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 06:14PM] Cd Black used command ::afk | Player rights = CLERIC_DONATOR	
[4/18/23 06:41PM] Cd Black used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 06:43PM] Cd Black used command ::naintails | Player rights = CLERIC_DONATOR	
[4/18/23 06:43PM] Cd Black used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 06:45PM] Cd Black used command ::meruem::afk | Player rights = CLERIC_DONATOR	
[4/18/23 06:59PM] Cd Black used command ::::vboss | Player rights = CLERIC_DONATOR	
[4/18/23 06:59PM] Cd Black used command ::vboss | Player rights = CLERIC_DONATOR	
[4/18/23 07:11PM] Cd Black used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 07:40PM] Cd Black used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 07:43PM] Cd Black used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 07:44PM] Cd Black used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 07:45PM] Cd Black used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 07:52PM] Cd Black used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 08:11PM] Cd Black used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 08:40PM] Cd Black used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 08:43PM] Cd Black used command ::ninitails | Player rights = CLERIC_DONATOR	
[4/18/23 08:43PM] Cd Black used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 08:45PM] Cd Black used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 08:52PM] Cd Black used command ::afk | Player rights = CLERIC_DONATOR	
[4/19/23 06:35AM] Cd Black used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 06:35AM] Cd Black used command ::goldern | Player rights = CLERIC_DONATOR	
[4/19/23 06:35AM] Cd Black used command ::golden | Player rights = CLERIC_DONATOR	
[4/19/23 06:36AM] Cd Black used command ::golden | Player rights = CLERIC_DONATOR	
[4/19/23 06:36AM] Cd Black used command ::golden | Player rights = CLERIC_DONATOR	
[4/19/23 06:53AM] Cd Black used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 07:17AM] Cd Black used command ::vote | Player rights = CLERIC_DONATOR	
[4/19/23 07:19AM] Cd Black used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/19/23 07:22AM] Cd Black used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/19/23 07:23AM] Cd Black used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 07:25AM] Cd Black used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 07:31AM] Cd Black used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 08:15AM] Cd Black used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 08:17AM] Cd Black used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 08:37AM] Cd Black used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 08:46AM] Cd Black used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 08:47AM] Cd Black used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 08:52AM] Cd Black used command ::vote | Player rights = CLERIC_DONATOR	
[4/19/23 08:53AM] Cd Black used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/19/23 08:56AM] Cd Black used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/19/23 12:25PM] Cd Black used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 12:25PM] Cd Black used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 12:42PM] Cd Black used command ::voted | Player rights = CLERIC_DONATOR	
[4/19/23 12:42PM] Cd Black used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/19/23 12:43PM] Cd Black used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 12:45PM] Cd Black used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/19/23 01:11PM] Cd Black used command ::bank | Player rights = CLERIC_DONATOR	
[4/19/23 01:13PM] Cd Black used command ::veiger | Player rights = CLERIC_DONATOR	
[4/19/23 01:14PM] Cd Black used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 01:15PM] Cd Black used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 01:15PM] Cd Black used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 01:18PM] Cd Black used command ::vboss | Player rights = CLERIC_DONATOR	
[4/19/23 01:28PM] Cd Black used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 01:29PM] Cd Black used command ::store | Player rights = CLERIC_DONATOR	
[4/19/23 01:33PM] Cd Black used command ::Afk | Player rights = CLERIC_DONATOR	
[4/19/23 02:13PM] Cd Black used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 02:15PM] Cd Black used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 02:25PM] Cd Black used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 02:44PM] Cd Black used command ::globals | Player rights = CLERIC_DONATOR	
[4/19/23 02:44PM] Cd Black used command ::globals | Player rights = CLERIC_DONATOR	
[4/19/23 02:44PM] Cd Black used command ::globals | Player rights = CLERIC_DONATOR	
[4/19/23 02:44PM] Cd Black used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 03:31PM] Cd Black used command ::afk | Player rights = CLERIC_DONATOR	
[4/19/23 03:44PM] Cd Black used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 04:13PM] Cd Black used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 04:14PM] Cd Black used command :::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 04:14PM] Cd Black used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 04:15PM] Cd Black used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 04:18PM] Cd Black used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 04:43PM] Cd Black used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 04:45PM] Cd Black used command ::vboss' | Player rights = CLERIC_DONATOR	
[4/19/23 04:46PM] Cd Black used command ::vboss | Player rights = CLERIC_DONATOR	
[4/19/23 04:51PM] Cd Black used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 05:13PM] Cd Black used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 05:14PM] Cd Black used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 05:16PM] Cd Black used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 05:17PM] Cd Black used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 05:22PM] Cd Black used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 05:22PM] Cd Black used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 05:44PM] Cd Black used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 03:12AM] Cd Black used command ::vote | Player rights = CLERIC_DONATOR	
[4/20/23 03:18AM] Cd Black used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 03:21AM] Cd Black used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 03:22AM] Cd Black used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 03:24AM] Cd Black used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 03:25AM] Cd Black used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 03:26AM] Cd Black used command ::rewards 1 | Player rights = CLERIC_DONATOR	
[4/20/23 03:27AM] Cd Black used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 03:27AM] Cd Black used command ::rewards 1 | Player rights = CLERIC_DONATOR	
[4/20/23 03:28AM] Cd Black used command ::reward 4 | Player rights = CLERIC_DONATOR	
[4/20/23 03:44AM] Cd Black used command ::Afk | Player rights = CLERIC_DONATOR	
[4/20/23 07:17AM] Cd Black used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 07:21AM] Cd Black used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 07:22AM] Cd Black used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 07:46AM] Cd Black used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 07:49AM] Cd Black used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 08:06AM] Cd Black used command ::rewads 1 | Player rights = CLERIC_DONATOR	
[4/20/23 08:06AM] Cd Black used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/20/23 08:06AM] Cd Black used command ::afk | Player rights = CLERIC_DONATOR	
[4/20/23 08:07AM] Cd Black used command ::afk | Player rights = CLERIC_DONATOR	
[4/20/23 08:18AM] Cd Black used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 08:21AM] Cd Black used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 08:49AM] Cd Black used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 09:01PM] Cd Black used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 09:09PM] Cd Black used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:15PM] Cd Black used command ::vote | Player rights = CLERIC_DONATOR	
[4/20/23 09:17PM] Cd Black used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/20/23 09:31PM] Cd Black used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 09:34PM] Cd Black used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 09:39PM] Cd Black used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:45PM] Cd Black used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/20/23 09:45PM] Cd Black used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/20/23 09:45PM] Cd Black used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 10:03PM] Cd Black used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:06PM] Cd Black used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 10:25PM] Cd Black used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 10:32PM] Cd Black used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:34PM] Cd Black used command :::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 10:34PM] Cd Black used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 11:07PM] Cd Black used command ::Store | Player rights = CLERIC_DONATOR	
[4/20/23 11:32PM] Cd Black used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 11:34PM] Cd Black used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 11:35PM] Cd Black used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 11:36PM] Cd Black used command :::golden | Player rights = CLERIC_DONATOR	
[4/20/23 11:36PM] Cd Black used command ::golen | Player rights = CLERIC_DONATOR	
[4/20/23 11:36PM] Cd Black used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 12:02AM] Cd Black used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 12:34AM] Cd Black used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 12:35AM] Cd Black used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 12:36AM] Cd Black used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 12:38AM] Cd Black used command ::Vboss | Player rights = CLERIC_DONATOR	
[4/21/23 12:39AM] Cd Black used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/21/23 12:40AM] Cd Black used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/21/23 12:40AM] Cd Black used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/21/23 01:01AM] Cd Black used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 01:32AM] Cd Black used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 01:35AM] Cd Black used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 02:26AM] Cd Black used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 02:31AM] Cd Black used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 02:34AM] Cd Black used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 02:39AM] Cd Black used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 02:41AM] Cd Black used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 02:45AM] Cd Black used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 02:51AM] Cd Black used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 03:02AM] Cd Black used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 03:05AM] Cd Black used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 03:05AM] Cd Black used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 03:31AM] Cd Black used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 03:32AM] Cd Black used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 03:35AM] Cd Black used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 03:38AM] Cd Black used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 03:41AM] Cd Black used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 03:44AM] Cd Black used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 04:02AM] Cd Black used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 04:17AM] Cd Black used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 04:17AM] Cd Black used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 04:19AM] Cd Black used command ::vote | Player rights = CLERIC_DONATOR	
[4/21/23 04:19AM] Cd Black used command ::rewards 1 | Player rights = CLERIC_DONATOR	
[4/21/23 04:20AM] Cd Black used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/21/23 04:28AM] Cd Black used command ::Afk | Player rights = CLERIC_DONATOR	
[4/21/23 06:00AM] Cd Black used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 06:02AM] Cd Black used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 06:09AM] Cd Black used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 06:31AM] Cd Black used command ::globals | Player rights = CLERIC_DONATOR	
[4/21/23 06:32AM] Cd Black used command ::viegar | Player rights = CLERIC_DONATOR	
[4/21/23 06:32AM] Cd Black used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 06:34AM] Cd Black used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 06:35AM] Cd Black used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 06:38AM] Cd Black used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 06:40AM] Cd Black used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 07:03AM] Cd Black used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 07:16AM] Cd Black used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 07:17AM] Cd Black used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 07:21AM] Cd Black used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 07:33AM] Cd Black used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 07:34AM] Cd Black used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/21/23 07:38AM] Cd Black used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 07:42AM] Cd Black used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 07:57AM] Cd Black used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/21/23 08:01AM] Cd Black used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 08:03AM] Cd Black used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 08:31AM] Cd Black used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 08:32AM] Cd Black used command ::golden | Player rights = TORMENTED_DONATOR	
[4/21/23 08:32AM] Cd Black used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 08:33AM] Cd Black used command ::Vboss | Player rights = TORMENTED_DONATOR	
[4/21/23 08:34AM] Cd Black used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/21/23 08:35AM] Cd Black used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/21/23 08:36AM] Cd Black used command ::golden | Player rights = TORMENTED_DONATOR	
[4/21/23 08:36AM] Cd Black used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 08:37AM] Cd Black used command ::vote | Player rights = TORMENTED_DONATOR	
[4/21/23 08:37AM] Cd Black used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/21/23 08:39AM] Cd Black used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 08:39AM] Cd Black used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 08:40AM] Cd Black used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/21/23 08:41AM] Cd Black used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 08:42AM] Cd Black used command ::wtf | Player rights = TORMENTED_DONATOR	
[4/21/23 08:43AM] Cd Black used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/21/23 08:46AM] Cd Black used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 08:56AM] Cd Black used command ::/pm me shhesh | Player rights = TORMENTED_DONATOR	
[4/21/23 09:02AM] Cd Black used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 09:30AM] Cd Black used command ::reward 1 all | Player rights = TORMENTED_DONATOR	
[4/21/23 09:32AM] Cd Black used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 09:34AM] Cd Black used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/21/23 11:51AM] Cd Black used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 12:18PM] Cd Black used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 12:33PM] Cd Black used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 12:34PM] Cd Black used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/21/23 12:35PM] Cd Black used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/21/23 12:37PM] Cd Black used command ::vote | Player rights = TORMENTED_DONATOR	
[4/21/23 12:37PM] Cd Black used command ::store | Player rights = TORMENTED_DONATOR	
[4/21/23 12:46PM] Cd Black used command ::store | Player rights = TORMENTED_DONATOR	
[4/21/23 12:56PM] Cd Black used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 01:00PM] Cd Black used command ::reward 1 all | Player rights = TORMENTED_DONATOR	
[4/21/23 01:02PM] Cd Black used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 01:05PM] Cd Black used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/21/23 01:08PM] Cd Black used command ::vote | Player rights = TORMENTED_DONATOR	
[4/21/23 01:11PM] Cd Black used command ::reward 1 | Player rights = TORMENTED_DONATOR	
[4/21/23 01:13PM] Cd Black used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 01:15PM] Cd Black used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 01:32PM] Cd Black used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 01:34PM] Cd Black used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/21/23 08:51PM] Cd Black used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 11:18PM] Cd Black used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 11:31PM] Cd Black used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 11:34PM] Cd Black used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/21/23 11:35PM] Cd Black used command ::golden | Player rights = TORMENTED_DONATOR	
[4/21/23 11:35PM] Cd Black used command ::golden | Player rights = TORMENTED_DONATOR	
[4/21/23 11:35PM] Cd Black used command ::golden | Player rights = TORMENTED_DONATOR	
[4/21/23 11:38PM] Cd Black used command ::vote | Player rights = TORMENTED_DONATOR	
[4/21/23 11:38PM] Cd Black used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/21/23 11:39PM] Cd Black used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 11:41PM] Cd Black used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 11:44PM] Cd Black used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 10:07AM] Cd Black used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 10:10AM] Cd Black used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 10:18AM] Cd Black used command ::vote | Player rights = TORMENTED_DONATOR	
[4/23/23 10:21AM] Cd Black used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/23/23 10:22AM] Cd Black used command ::reward 1 all | Player rights = TORMENTED_DONATOR	
[4/23/23 10:54AM] Cd Black used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/23/23 10:55AM] Cd Black used command :::ninetails | Player rights = TORMENTED_DONATOR	
[4/23/23 10:55AM] Cd Black used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/23/23 10:24PM] Cd Black used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 10:28PM] Cd Black used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/23/23 10:33PM] Cd Black used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/23/23 10:35PM] Cd Black used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/24/23 09:21AM] Cd Black used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/24/23 09:24AM] Cd Black used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/24/23 09:24AM] Cd Black used command ::vote | Player rights = TORMENTED_DONATOR	
[4/24/23 09:25AM] Cd Black used command ::golden | Player rights = TORMENTED_DONATOR	
[4/24/23 09:26AM] Cd Black used command ::golden | Player rights = TORMENTED_DONATOR	
[4/24/23 09:26AM] Cd Black used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/24/23 09:30AM] Cd Black used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/24/23 09:32AM] Cd Black used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/24/23 09:33AM] Cd Black used command ::golden | Player rights = TORMENTED_DONATOR	
[4/24/23 09:33AM] Cd Black used command ::golden | Player rights = TORMENTED_DONATOR	
[4/24/23 09:43AM] Cd Black used command ::pos | Player rights = TORMENTED_DONATOR	
[4/24/23 09:47AM] Cd Black used command ::pos | Player rights = TORMENTED_DONATOR	
[4/25/23 06:21AM] Cd Black used command ::pos | Player rights = TORMENTED_DONATOR	
[4/25/23 06:22AM] Cd Black used command ::afk | Player rights = TORMENTED_DONATOR	
[4/25/23 11:19AM] Cd Black used command ::pos | Player rights = TORMENTED_DONATOR	
[4/25/23 11:21AM] Cd Black used command ::Vote | Player rights = TORMENTED_DONATOR	
[4/25/23 11:21AM] Cd Black used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/25/23 11:25AM] Cd Black used command ::rewards 1 all | Player rights = TORMENTED_DONATOR	
[4/25/23 11:29AM] Cd Black used command ::veigar | Player rights = TORMENTED_DONATOR	
