[4/16/23 12:04PM] Kariko17 used command ::bank | Player rights = PLAYER	
[4/21/23 10:35AM] Kariko17 used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 11:45AM] Kariko17 used command ::dr | Player rights = CLERIC_DONATOR	
[4/21/23 11:45AM] Kariko17 used command ::dr | Player rights = CLERIC_DONATOR	
[4/21/23 12:02PM] Kariko17 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 12:04PM] Kariko17 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 12:09PM] Kariko17 used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/21/23 12:32PM] Kariko17 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 12:34PM] Kariko17 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 12:35PM] Kariko17 used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 12:36PM] Kariko17 used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 12:36PM] Kariko17 used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 12:38PM] Kariko17 used command ::dr | Player rights = CLERIC_DONATOR	
