[4/15/23 03:21PM] Esso used command ::vote | Player rights = PLAYER	
[4/16/23 04:48AM] Esso used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:48AM] Esso used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:51AM] Esso used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:53AM] Esso used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:11AM] Esso used command ::tasks | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:23AM] Esso used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:25AM] Esso used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:26AM] Esso used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:28AM] Esso used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:53AM] Esso used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:22AM] Esso used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:23AM] Esso used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:27AM] Esso used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:28AM] Esso used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:29AM] Esso used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:29AM] Esso used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:32AM] Esso used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:53AM] Esso used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:54AM] Esso used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:54AM] Esso used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:54AM] Esso used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:47AM] Esso used command ::fpk | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:49AM] Esso used command ::fef | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:49AM] Esso used command ::ref  | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:02AM] Esso used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:03AM] Esso used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:04AM] Esso used command ::progression | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:04AM] Esso used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:05AM] Esso used command ::tasks | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:05AM] Esso used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:07AM] Esso used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:08AM] Esso used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:09AM] Esso used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:13AM] Esso used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:28AM] Esso used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:32AM] Esso used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:33AM] Esso used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:37AM] Esso used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:43AM] Esso used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:43AM] Esso used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:52AM] Esso used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:52AM] Esso used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:53AM] Esso used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:54AM] Esso used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:55AM] Esso used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:56AM] Esso used command ::task | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:56AM] Esso used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:58AM] Esso used command ::tasks | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:59AM] Esso used command ::tasks | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:02PM] Esso used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:08PM] Esso used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:09PM] Esso used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:11PM] Esso used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:13PM] Esso used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:15PM] Esso used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:16PM] Esso used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:17PM] Esso used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:18PM] Esso used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:18PM] Esso used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:19PM] Esso used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:19PM] Esso used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:32PM] Esso used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:33PM] Esso used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:33PM] Esso used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:34PM] Esso used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:39PM] Esso used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:48PM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 12:51PM] Esso used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 12:51PM] Esso used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 12:51PM] Esso used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 12:51PM] Esso used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 12:51PM] Esso used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 12:51PM] Esso used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 12:51PM] Esso used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 12:51PM] Esso used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 12:51PM] Esso used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 12:51PM] Esso used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 12:54PM] Esso used command ::totem | Player rights = CLERIC_DONATOR	
[4/17/23 12:56PM] Esso used command ::dr | Player rights = CLERIC_DONATOR	
[4/17/23 01:01PM] Esso used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 01:02PM] Esso used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 01:21PM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 01:31PM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 01:31PM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 01:31PM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 01:31PM] Esso used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 01:33PM] Esso used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 01:33PM] Esso used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 01:33PM] Esso used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 01:34PM] Esso used command ::afk | Player rights = CLERIC_DONATOR	
[4/17/23 01:34PM] Esso used command ::shops | Player rights = CLERIC_DONATOR	
[4/17/23 01:34PM] Esso used command ::shops | Player rights = CLERIC_DONATOR	
[4/17/23 01:34PM] Esso used command ::shop | Player rights = CLERIC_DONATOR	
[4/17/23 01:36PM] Esso used command ::afk | Player rights = CLERIC_DONATOR	
[4/17/23 01:44PM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 11:10AM] Esso used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 11:17AM] Esso used command ::vote | Player rights = CLERIC_DONATOR	
[4/20/23 11:19AM] Esso used command ::veigart | Player rights = CLERIC_DONATOR	
[4/20/23 11:19AM] Esso used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 11:21AM] Esso used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 11:22AM] Esso used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 11:22AM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 11:23AM] Esso used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 11:24AM] Esso used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/20/23 11:33AM] Esso used command ::dr | Player rights = CLERIC_DONATOR	
[4/20/23 11:34AM] Esso used command ::dr | Player rights = CLERIC_DONATOR	
[4/20/23 11:36AM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 11:37AM] Esso used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 11:37AM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 11:43AM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 11:49AM] Esso used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 11:51AM] Esso used command ::donate | Player rights = CLERIC_DONATOR	
[4/20/23 11:58AM] Esso used command ::upgrade | Player rights = CLERIC_DONATOR	
[4/20/23 11:58AM] Esso used command ::forge | Player rights = CLERIC_DONATOR	
[4/20/23 12:15PM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 12:19PM] Esso used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 12:20PM] Esso used command ::ninetials | Player rights = CLERIC_DONATOR	
[4/20/23 12:20PM] Esso used command ::ninetail | Player rights = CLERIC_DONATOR	
[4/20/23 12:20PM] Esso used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 12:21PM] Esso used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 12:22PM] Esso used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 12:28PM] Esso used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 12:28PM] Esso used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 12:40PM] Esso used command ::totem | Player rights = CLERIC_DONATOR	
[4/20/23 12:49PM] Esso used command ::elo | Player rights = CLERIC_DONATOR	
[4/20/23 12:49PM] Esso used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 12:51PM] Esso used command ::elo | Player rights = CLERIC_DONATOR	
[4/20/23 12:51PM] Esso used command ::elo | Player rights = CLERIC_DONATOR	
[4/20/23 12:51PM] Esso used command ::elo | Player rights = CLERIC_DONATOR	
[4/20/23 12:51PM] Esso used command ::elo | Player rights = CLERIC_DONATOR	
[4/20/23 12:51PM] Esso used command ::elo | Player rights = CLERIC_DONATOR	
[4/20/23 12:52PM] Esso used command ::elo | Player rights = CLERIC_DONATOR	
[4/20/23 12:54PM] Esso used command ::dr | Player rights = CLERIC_DONATOR	
[4/20/23 12:55PM] Esso used command ::totem | Player rights = CLERIC_DONATOR	
[4/20/23 01:14PM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 01:14PM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 01:15PM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 01:17PM] Esso used command ::lano | Player rights = CLERIC_DONATOR	
[4/20/23 01:19PM] Esso used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 01:20PM] Esso used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 01:21PM] Esso used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 01:23PM] Esso used command ::dr | Player rights = CLERIC_DONATOR	
[4/20/23 01:27PM] Esso used command ::yell come on guys vote !!! | Player rights = CLERIC_DONATOR	
[4/20/23 01:29PM] Esso used command ::yell 32/50 votes come on !!! | Player rights = CLERIC_DONATOR	
[4/20/23 01:30PM] Esso used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 01:33PM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 01:42PM] Esso used command ::raid | Player rights = CLERIC_DONATOR	
[4/20/23 01:42PM] Esso used command ::raids | Player rights = CLERIC_DONATOR	
[4/20/23 01:43PM] Esso used command ::dr | Player rights = CLERIC_DONATOR	
[4/20/23 01:43PM] Esso used command ::dr | Player rights = CLERIC_DONATOR	
[4/21/23 10:12AM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 10:12AM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 10:13AM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 10:13AM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 10:15AM] Esso used command ::dr | Player rights = CLERIC_DONATOR	
[4/21/23 10:17AM] Esso used command ::vote | Player rights = CLERIC_DONATOR	
[4/21/23 10:19AM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 10:21AM] Esso used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/21/23 10:21AM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 10:23AM] Esso used command ::totem | Player rights = CLERIC_DONATOR	
[4/21/23 10:24AM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 10:26AM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 10:26AM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 10:26AM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 10:28AM] Esso used command ::dr | Player rights = CLERIC_DONATOR	
[4/21/23 10:32AM] Esso used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 10:33AM] Esso used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 10:34AM] Esso used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 10:36AM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 10:42AM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 10:48AM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 10:49AM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 10:50AM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 10:51AM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 10:55AM] Esso used command ::dr | Player rights = CLERIC_DONATOR	
[4/21/23 10:55AM] Esso used command ::dr | Player rights = CLERIC_DONATOR	
[4/21/23 11:02AM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 11:02AM] Esso used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 11:24AM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 11:30AM] Esso used command ::yell can we get vote boss up | Player rights = CLERIC_DONATOR	
[4/21/23 11:30AM] Esso used command ::yell vote guys !  | Player rights = CLERIC_DONATOR	
[4/21/23 11:30AM] Esso used command ::yell come om guys vote :) | Player rights = CLERIC_DONATOR	
[4/21/23 11:31AM] Esso used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 11:34AM] Esso used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 11:35AM] Esso used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 11:35AM] Esso used command ::yell come on guys vote!! :)  | Player rights = CLERIC_DONATOR	
[4/21/23 11:36AM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 11:36AM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 11:37AM] Esso used command ::wiki | Player rights = CLERIC_DONATOR	
[4/21/23 11:40AM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 11:40AM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 11:42AM] Esso used command ::dr | Player rights = CLERIC_DONATOR	
[4/21/23 11:42AM] Esso used command ::dr | Player rights = CLERIC_DONATOR	
[4/21/23 11:42AM] Esso used command ::dr | Player rights = CLERIC_DONATOR	
[4/21/23 11:43AM] Esso used command ::totem | Player rights = CLERIC_DONATOR	
[4/21/23 11:45AM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 11:47AM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 11:47AM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 11:51AM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 11:53AM] Esso used command ::yell only 18 votes left !!!!!!!!! | Player rights = CLERIC_DONATOR	
[4/21/23 11:56AM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 12:00PM] Esso used command ::yell 14 votes left guys !!!! | Player rights = CLERIC_DONATOR	
[4/21/23 12:02PM] Esso used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 12:03PM] Esso used command ::yell come on guys vote  | Player rights = CLERIC_DONATOR	
[4/21/23 12:05PM] Esso used command ::yell COME ON VOTE GUYS ALEX DOUBLING BOSS | Player rights = CLERIC_DONATOR	
[4/21/23 12:05PM] Esso used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/21/23 12:08PM] Esso used command ::dr | Player rights = CLERIC_DONATOR	
[4/21/23 12:08PM] Esso used command ::dr | Player rights = CLERIC_DONATOR	
[4/21/23 12:11PM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 12:13PM] Esso used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/21/23 12:16PM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 12:20PM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 12:25PM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 12:28PM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 01:02PM] Esso used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 01:02PM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 01:07PM] Esso used command ::vote | Player rights = CLERIC_DONATOR	
[4/22/23 01:10PM] Esso used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/22/23 01:10PM] Esso used command ::yell come on guys vote only 16 left !!! | Player rights = CLERIC_DONATOR	
[4/22/23 01:30PM] Esso used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/22/23 01:33PM] Esso used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 01:39PM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 01:40PM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 01:41PM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 02:06PM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 02:08PM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 02:10PM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 02:20PM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 02:31PM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 02:31PM] Esso used command ::dr | Player rights = CLERIC_DONATOR	
[4/22/23 02:32PM] Esso used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 02:33PM] Esso used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 02:34PM] Esso used command ::golden | Player rights = CLERIC_DONATOR	
[4/22/23 02:34PM] Esso used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 02:35PM] Esso used command ::golden | Player rights = CLERIC_DONATOR	
[4/22/23 02:36PM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 02:36PM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 02:37PM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 02:39PM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 11:47AM] Esso used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/23/23 11:48AM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 11:51AM] Esso used command ::yellowzone | Player rights = CLERIC_DONATOR	
[4/23/23 11:53AM] Esso used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/23/23 11:55AM] Esso used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 11:56AM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 12:37PM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 12:37PM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 12:41PM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 12:42PM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 12:48PM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 12:49PM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/24/23 10:43AM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/24/23 10:43AM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/24/23 10:43AM] Esso used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/24/23 10:44AM] Esso used command ::vote | Player rights = CLERIC_DONATOR	
[4/24/23 10:44AM] Esso used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/24/23 10:47AM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/24/23 10:50AM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/24/23 10:54AM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/24/23 11:00AM] Esso used command ::wiki | Player rights = CLERIC_DONATOR	
[4/24/23 11:01AM] Esso used command ::veigar | Player rights = CLERIC_DONATOR	
[4/24/23 11:01AM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/24/23 11:09AM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/24/23 11:22AM] Esso used command ::dr | Player rights = CLERIC_DONATOR	
[4/24/23 11:27AM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/24/23 11:29AM] Esso used command ::bank | Player rights = CLERIC_DONATOR	
[4/24/23 11:30AM] Esso used command ::veigar | Player rights = CLERIC_DONATOR	
[4/24/23 11:32AM] Esso used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/24/23 11:34AM] Esso used command ::meruem | Player rights = CLERIC_DONATOR	
[4/24/23 11:34AM] Esso used command ::golden | Player rights = CLERIC_DONATOR	
[4/25/23 11:01AM] Esso used command ::veigar | Player rights = CLERIC_DONATOR	
[4/25/23 11:06AM] Esso used command ::vote | Player rights = CLERIC_DONATOR	
[4/25/23 11:07AM] Esso used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/25/23 11:08AM] Esso used command ::yell only 20 votes left guys !  | Player rights = CLERIC_DONATOR	
[4/25/23 11:14AM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/25/23 11:15AM] Esso used command ::yell 14 votes left !!!!!!! | Player rights = CLERIC_DONATOR	
[4/25/23 11:20AM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/25/23 11:21AM] Esso used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/25/23 11:22AM] Esso used command ::yell only 8 votes left guys !!!!!!!!!! | Player rights = CLERIC_DONATOR	
[4/25/23 11:25AM] Esso used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/25/23 11:28AM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/25/23 11:29AM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/25/23 11:29AM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/25/23 11:30AM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/25/23 11:31AM] Esso used command ::veigar | Player rights = CLERIC_DONATOR	
[4/25/23 11:32AM] Esso used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/25/23 11:33AM] Esso used command ::meruem | Player rights = CLERIC_DONATOR	
[4/25/23 11:35AM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/25/23 11:35AM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/25/23 11:38AM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/25/23 11:39AM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/25/23 11:39AM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/25/23 01:03PM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/25/23 01:05PM] Esso used command ::dr | Player rights = CLERIC_DONATOR	
