[4/17/23 05:02PM] Smartass used command ::veigar | Player rights = PLAYER	
[4/18/23 05:41PM] Smartass used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:41PM] Smartass used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:41PM] Smartass used command ::home | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:42PM] Smartass used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:43PM] Smartass used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:52PM] Smartass used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/18/23 08:41PM] Smartass used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 08:43PM] Smartass used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 09:11PM] Smartass used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 09:31PM] Smartass used command ::kills | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:11AM] Smartass used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:15AM] Smartass used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:16AM] Smartass used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:20AM] Smartass used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:42AM] Smartass used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:44AM] Smartass used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:45AM] Smartass used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:46AM] Smartass used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:46AM] Smartass used command ::wr3cked | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:49AM] Smartass used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:13PM] Smartass used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:15PM] Smartass used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:15PM] Smartass used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:17PM] Smartass used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:18PM] Smartass used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:21PM] Smartass used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:25PM] Smartass used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:42PM] Smartass used command ::yellowevent | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:43PM] Smartass used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:51PM] Smartass used command ::ref | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:13PM] Smartass used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:15PM] Smartass used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:16PM] Smartass used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:17PM] Smartass used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:43PM] Smartass used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:47PM] Smartass used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 03:53PM] Smartass used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 03:57PM] Smartass used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 04:03PM] Smartass used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 04:05PM] Smartass used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 04:10PM] Smartass used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 04:13PM] Smartass used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 04:17PM] Smartass used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 04:18PM] Smartass used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 04:19PM] Smartass used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 04:39PM] Smartass used command ::elo | Player rights = CLERIC_DONATOR	
[4/19/23 04:46PM] Smartass used command ::vboss | Player rights = CLERIC_DONATOR	
[4/19/23 04:48PM] Smartass used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 04:52PM] Smartass used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 04:52PM] Smartass used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 05:44PM] Smartass used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 05:45PM] Smartass used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 07:13PM] Smartass used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 07:14PM] Smartass used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 07:15PM] Smartass used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 07:16PM] Smartass used command ::golden | Player rights = CLERIC_DONATOR	
[4/19/23 07:21PM] Smartass used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 07:23PM] Smartass used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 07:43PM] Smartass used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 10:49PM] Smartass used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 10:52PM] Smartass used command ::ninetails | Player rights = CLERIC_DONATOR	
