[4/15/23 06:34AM] A Fatality used command ::train | Player rights = PLAYER	
[4/16/23 05:53AM] A Fatality used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 05:57AM] A Fatality used command ::collection | Player rights = CLERIC_DONATOR	
[4/16/23 06:13AM] A Fatality used command ::collection | Player rights = CLERIC_DONATOR	
[4/16/23 06:22AM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 06:23AM] A Fatality used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 06:28AM] A Fatality used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 06:29AM] A Fatality used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 06:30AM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 06:53AM] A Fatality used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 06:54AM] A Fatality used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 07:07AM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 07:10AM] A Fatality used command ::vote | Player rights = CLERIC_DONATOR	
[4/16/23 07:11AM] A Fatality used command ::claimvote | Player rights = CLERIC_DONATOR	
[4/16/23 07:11AM] A Fatality used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/16/23 07:11AM] A Fatality used command ::tasks | Player rights = CLERIC_DONATOR	
[4/16/23 07:16AM] A Fatality used command ::collection | Player rights = CLERIC_DONATOR	
[4/16/23 07:23AM] A Fatality used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 07:24AM] A Fatality used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 07:24AM] A Fatality used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 07:25AM] A Fatality used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 07:29AM] A Fatality used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/16/23 07:29AM] A Fatality used command ::vboss | Player rights = CLERIC_DONATOR	
[4/16/23 07:42AM] A Fatality used command ::Store | Player rights = CLERIC_DONATOR	
[4/16/23 07:53AM] A Fatality used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 08:13AM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 08:15AM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 08:18AM] A Fatality used command ::collection | Player rights = CLERIC_DONATOR	
[4/16/23 08:23AM] A Fatality used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 08:23AM] A Fatality used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 08:24AM] A Fatality used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 08:26AM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 08:30AM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 08:32AM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 08:33AM] A Fatality used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 08:36AM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 08:42AM] A Fatality used command ::collection | Player rights = CLERIC_DONATOR	
[4/16/23 08:42AM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 08:48AM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 08:51AM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 08:51AM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 08:52AM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 08:53AM] A Fatality used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 08:55AM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 09:03AM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 09:05AM] A Fatality used command ::vboss | Player rights = CLERIC_DONATOR	
[4/16/23 09:07AM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 09:15AM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 09:21AM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 09:23AM] A Fatality used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 09:23AM] A Fatality used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 09:24AM] A Fatality used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 09:25AM] A Fatality used command ::collection | Player rights = CLERIC_DONATOR	
[4/16/23 09:26AM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 09:28AM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 09:39AM] A Fatality used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 09:42AM] A Fatality used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 09:44AM] A Fatality used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 09:45AM] A Fatality used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 09:47AM] A Fatality used command ::vboss | Player rights = CLERIC_DONATOR	
[4/16/23 09:49AM] A Fatality used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 09:49AM] A Fatality used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 09:51AM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 09:53AM] A Fatality used command ::tasks | Player rights = CLERIC_DONATOR	
[4/16/23 09:53AM] A Fatality used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 09:54AM] A Fatality used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 09:55AM] A Fatality used command ::tasks | Player rights = CLERIC_DONATOR	
[4/16/23 10:18AM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 10:19AM] A Fatality used command ::collection | Player rights = CLERIC_DONATOR	
[4/16/23 10:20AM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 10:23AM] A Fatality used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 10:25AM] A Fatality used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 10:28AM] A Fatality used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 10:29AM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 10:32AM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 02:43PM] A Fatality used command ::collection | Player rights = CLERIC_DONATOR	
[4/16/23 02:53PM] A Fatality used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 02:56PM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 02:59PM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 02:59PM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 03:03PM] A Fatality used command ::collection | Player rights = CLERIC_DONATOR	
[4/16/23 03:03PM] A Fatality used command ::collection | Player rights = CLERIC_DONATOR	
[4/16/23 03:04PM] A Fatality used command ::tasks | Player rights = CLERIC_DONATOR	
[4/16/23 03:05PM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 03:08PM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 03:11PM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 03:13PM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 03:14PM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 03:16PM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 03:17PM] A Fatality used command ::dr | Player rights = CLERIC_DONATOR	
[4/16/23 03:23PM] A Fatality used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 03:23PM] A Fatality used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 03:24PM] A Fatality used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 03:24PM] A Fatality used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 03:24PM] A Fatality used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 03:27PM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 03:29PM] A Fatality used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 03:30PM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 03:34PM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 03:37PM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 03:48PM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 03:48PM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 05:43PM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 05:44PM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 05:45PM] A Fatality used command ::collection | Player rights = CLERIC_DONATOR	
[4/16/23 05:53PM] A Fatality used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 05:54PM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 06:11PM] A Fatality used command ::staff | Player rights = CLERIC_DONATOR	
[4/16/23 06:15PM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 06:19PM] A Fatality used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 06:25PM] A Fatality used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 06:28PM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 06:36PM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 07:52PM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 07:53PM] A Fatality used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 07:54PM] A Fatality used command ::store | Player rights = CLERIC_DONATOR	
[4/16/23 07:57PM] A Fatality used command ::vote | Player rights = CLERIC_DONATOR	
[4/16/23 08:07PM] A Fatality used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 08:10PM] A Fatality used command ::bank | Player rights = TORMENTED_DONATOR	
[4/16/23 08:22PM] A Fatality used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/16/23 08:24PM] A Fatality used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/16/23 08:25PM] A Fatality used command ::golden | Player rights = TORMENTED_DONATOR	
[4/16/23 08:29PM] A Fatality used command ::bank | Player rights = TORMENTED_DONATOR	
[4/16/23 08:29PM] A Fatality used command ::pos | Player rights = TORMENTED_DONATOR	
[4/16/23 08:44PM] A Fatality used command ::vote | Player rights = TORMENTED_DONATOR	
[4/16/23 08:47PM] A Fatality used command ::pos | Player rights = TORMENTED_DONATOR	
[4/16/23 08:55PM] A Fatality used command ::golden | Player rights = TORMENTED_DONATOR	
[4/16/23 08:55PM] A Fatality used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/16/23 08:55PM] A Fatality used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/16/23 08:55PM] A Fatality used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/16/23 08:56PM] A Fatality used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/16/23 08:56PM] A Fatality used command ::golden | Player rights = TORMENTED_DONATOR	
[4/16/23 08:57PM] A Fatality used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/16/23 09:48PM] A Fatality used command ::reward 1 all | Player rights = TORMENTED_DONATOR	
[4/16/23 09:49PM] A Fatality used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/16/23 09:58PM] A Fatality used command ::pos | Player rights = TORMENTED_DONATOR	
[4/16/23 10:09PM] A Fatality used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/16/23 10:39PM] A Fatality used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/16/23 10:39PM] A Fatality used command ::bank | Player rights = TORMENTED_DONATOR	
[4/16/23 10:39PM] A Fatality used command ::collection | Player rights = TORMENTED_DONATOR	
[4/16/23 10:40PM] A Fatality used command ::collection | Player rights = TORMENTED_DONATOR	
[4/16/23 10:42PM] A Fatality used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/16/23 10:45PM] A Fatality used command ::pos | Player rights = TORMENTED_DONATOR	
[4/16/23 10:49PM] A Fatality used command ::pos | Player rights = TORMENTED_DONATOR	
[4/16/23 10:51PM] A Fatality used command ::home | Player rights = TORMENTED_DONATOR	
[4/16/23 10:53PM] A Fatality used command ::task | Player rights = TORMENTED_DONATOR	
[4/16/23 10:53PM] A Fatality used command ::tasks | Player rights = TORMENTED_DONATOR	
[4/16/23 10:57PM] A Fatality used command ::pos | Player rights = TORMENTED_DONATOR	
[4/16/23 10:58PM] A Fatality used command ::bank | Player rights = TORMENTED_DONATOR	
[4/16/23 10:59PM] A Fatality used command ::pos | Player rights = TORMENTED_DONATOR	
[4/16/23 11:04PM] A Fatality used command ::Tasks | Player rights = TORMENTED_DONATOR	
[4/16/23 11:07PM] A Fatality used command ::pos | Player rights = TORMENTED_DONATOR	
[4/16/23 11:09PM] A Fatality used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/16/23 11:10PM] A Fatality used command ::dr | Player rights = TORMENTED_DONATOR	
[4/16/23 11:11PM] A Fatality used command ::dr | Player rights = TORMENTED_DONATOR	
[4/16/23 11:14PM] A Fatality used command ::collection | Player rights = TORMENTED_DONATOR	
[4/16/23 11:17PM] A Fatality used command ::collection | Player rights = TORMENTED_DONATOR	
[4/16/23 11:17PM] A Fatality used command ::tasks | Player rights = TORMENTED_DONATOR	
[4/16/23 11:19PM] A Fatality used command ::tasks | Player rights = TORMENTED_DONATOR	
[4/16/23 11:35PM] A Fatality used command ::collection | Player rights = TORMENTED_DONATOR	
[4/16/23 11:39PM] A Fatality used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/16/23 11:46PM] A Fatality used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/16/23 11:49PM] A Fatality used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/16/23 11:52PM] A Fatality used command ::store | Player rights = TORMENTED_DONATOR	
[4/17/23 12:09AM] A Fatality used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/17/23 12:18AM] A Fatality used command ::collection | Player rights = TORMENTED_DONATOR	
[4/17/23 12:18AM] A Fatality used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 02:28AM] A Fatality used command ::pos | Player rights = TORMENTED_DONATOR	
[4/17/23 02:34AM] A Fatality used command ::tasks | Player rights = TORMENTED_DONATOR	
[4/17/23 02:37AM] A Fatality used command ::collection | Player rights = TORMENTED_DONATOR	
[4/17/23 02:38AM] A Fatality used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/17/23 02:40AM] A Fatality used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/17/23 02:46AM] A Fatality used command ::pos | Player rights = TORMENTED_DONATOR	
[4/17/23 03:06AM] A Fatality used command ::collection | Player rights = TORMENTED_DONATOR	
[4/17/23 03:07AM] A Fatality used command ::pos | Player rights = TORMENTED_DONATOR	
[4/17/23 03:09AM] A Fatality used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/17/23 03:11AM] A Fatality used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 03:18AM] A Fatality used command ::pos | Player rights = TORMENTED_DONATOR	
[4/17/23 03:19AM] A Fatality used command ::pos | Player rights = TORMENTED_DONATOR	
[4/17/23 03:20AM] A Fatality used command ::pos | Player rights = TORMENTED_DONATOR	
[4/17/23 03:26AM] A Fatality used command ::collection | Player rights = TORMENTED_DONATOR	
[4/17/23 03:27AM] A Fatality used command ::pos | Player rights = TORMENTED_DONATOR	
[4/17/23 03:27AM] A Fatality used command ::pos | Player rights = TORMENTED_DONATOR	
[4/17/23 03:39AM] A Fatality used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/17/23 03:41AM] A Fatality used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/17/23 03:42AM] A Fatality used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/17/23 03:43AM] A Fatality used command ::golden | Player rights = TORMENTED_DONATOR	
[4/17/23 03:44AM] A Fatality used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 03:45AM] A Fatality used command ::pos | Player rights = TORMENTED_DONATOR	
