[4/16/23 01:42PM] Multi used command ::refer | Player rights = PLAYER	
[4/17/23 11:56AM] Multi used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:58AM] Multi used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:02PM] Multi used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:09PM] Multi used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:09PM] Multi used command ::,eruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:09PM] Multi used command ::Meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:11PM] Multi used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:13PM] Multi used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:15PM] Multi used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:17PM] Multi used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 12:19PM] Multi used command ::VBOSS | Player rights = CLERIC_DONATOR	
[4/17/23 12:40PM] Multi used command ::vboss | Player rights = CLERIC_DONATOR	
[4/17/23 01:35PM] Multi used command ::teleport | Player rights = CLERIC_DONATOR	
[4/17/23 03:50PM] Multi used command ::afk | Player rights = CLERIC_DONATOR	
[4/17/23 03:50PM] Multi used command ::forums | Player rights = CLERIC_DONATOR	
[4/17/23 03:51PM] Multi used command ::donate | Player rights = CLERIC_DONATOR	
[4/17/23 03:53PM] Multi used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 03:53PM] Multi used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 03:53PM] Multi used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 10:52PM] Multi used command ::yell gn gn | Player rights = CLERIC_DONATOR	
[4/17/23 10:58PM] Multi used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 10:59PM] Multi used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 11:04PM] Multi used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 11:41PM] Multi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 11:42PM] Multi used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 11:46PM] Multi used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 12:11AM] Multi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 12:14AM] Multi used command ::totem | Player rights = CLERIC_DONATOR	
[4/18/23 12:17AM] Multi used command ::afk | Player rights = CLERIC_DONATOR	
[4/18/23 12:18AM] Multi used command ::bank | Player rights = CLERIC_DONATOR	
[4/18/23 12:18AM] Multi used command ::bank | Player rights = CLERIC_DONATOR	
[4/18/23 12:19AM] Multi used command ::afk | Player rights = CLERIC_DONATOR	
[4/18/23 01:11AM] Multi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 01:12AM] Multi used command ::afk | Player rights = CLERIC_DONATOR	
[4/18/23 09:20AM] Multi used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 09:41AM] Multi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 09:42AM] Multi used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 12:11PM] Multi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 12:38PM] Multi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 12:41PM] Multi used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 12:42PM] Multi used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 01:40PM] Multi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 01:42PM] Multi used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 01:42PM] Multi used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 02:30PM] Multi used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 02:50PM] Multi used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/19/23 09:36AM] Multi used command ::home | Player rights = CLERIC_DONATOR	
[4/19/23 09:36AM] Multi used command ::afk | Player rights = CLERIC_DONATOR	
[4/19/23 03:50PM] Multi used command ::home | Player rights = CLERIC_DONATOR	
[4/19/23 03:50PM] Multi used command ::home | Player rights = CLERIC_DONATOR	
[4/19/23 03:51PM] Multi used command ::afk | Player rights = CLERIC_DONATOR	
[4/20/23 01:54AM] Multi used command ::afk | Player rights = CLERIC_DONATOR	
[4/20/23 02:49AM] Multi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 02:54AM] Multi used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 03:12AM] Multi used command ::afk | Player rights = CLERIC_DONATOR	
[4/20/23 09:11AM] Multi used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:12AM] Multi used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:14AM] Multi used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:19AM] Multi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 09:20AM] Multi used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 09:21AM] Multi used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 09:23AM] Multi used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 09:23AM] Multi used command ::vote | Player rights = CLERIC_DONATOR	
[4/20/23 09:24AM] Multi used command ::claim 1 all | Player rights = CLERIC_DONATOR	
[4/20/23 09:24AM] Multi used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 09:24AM] Multi used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/20/23 09:30AM] Multi used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:36AM] Multi used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 10:22AM] Multi used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 10:24AM] Multi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:28AM] Multi used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 10:30AM] Multi used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 10:34AM] Multi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:38AM] Multi used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 10:42AM] Multi used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 10:45AM] Multi used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 10:47AM] Multi used command ::Voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 10:50AM] Multi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:54AM] Multi used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 11:19AM] Multi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 11:21AM] Multi used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 11:22AM] Multi used command ::Meruem | Player rights = CLERIC_DONATOR	
[4/20/23 11:49AM] Multi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 12:19PM] Multi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 12:23PM] Multi used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 12:23PM] Multi used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 12:49PM] Multi used command ::viegar | Player rights = CLERIC_DONATOR	
[4/20/23 12:49PM] Multi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 02:00PM] Multi used command ::afk | Player rights = CLERIC_DONATOR	
[4/20/23 11:50PM] Multi used command ::afk | Player rights = CLERIC_DONATOR	
[4/21/23 01:04AM] Multi used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 01:04AM] Multi used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 01:04AM] Multi used command ::afk | Player rights = CLERIC_DONATOR	
[4/21/23 01:06AM] Multi used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 02:13AM] Multi used command ::afk | Player rights = CLERIC_DONATOR	
[4/21/23 06:02AM] Multi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 06:13AM] Multi used command ::afk | Player rights = CLERIC_DONATOR	
[4/21/23 06:18AM] Multi used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 06:18AM] Multi used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 06:19AM] Multi used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 10:59AM] Multi used command ::afk | Player rights = CLERIC_DONATOR	
[4/21/23 10:59AM] Multi used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 02:49AM] Multi used command ::vote | Player rights = CLERIC_DONATOR	
[4/22/23 02:50AM] Multi used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/22/23 03:15AM] Multi used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 03:15AM] Multi used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 03:16AM] Multi used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 03:40AM] Multi used command ::vboss | Player rights = CLERIC_DONATOR	
[4/22/23 04:02AM] Multi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 04:33AM] Multi used command ::viegar | Player rights = CLERIC_DONATOR	
[4/22/23 04:33AM] Multi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 05:02AM] Multi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 05:48AM] Multi used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 05:51AM] Multi used command ::vboss | Player rights = CLERIC_DONATOR	
[4/22/23 05:53AM] Multi used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 05:55AM] Multi used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 06:02AM] Multi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 06:12AM] Multi used command ::afk | Player rights = CLERIC_DONATOR	
[4/22/23 10:39AM] Multi used command ::golden | Player rights = CLERIC_DONATOR	
[4/22/23 10:40AM] Multi used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 10:42AM] Multi used command ::afk | Player rights = CLERIC_DONATOR	
[4/22/23 04:50PM] Multi used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 04:50PM] Multi used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 06:34AM] Multi used command ::afk | Player rights = CLERIC_DONATOR	
[4/23/23 07:03AM] Multi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 07:04AM] Multi used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/23/23 07:05AM] Multi used command ::meruem | Player rights = CLERIC_DONATOR	
[4/23/23 07:05AM] Multi used command ::golden | Player rights = CLERIC_DONATOR	
[4/23/23 07:05AM] Multi used command ::golden | Player rights = CLERIC_DONATOR	
[4/23/23 07:05AM] Multi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 07:34AM] Multi used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 07:34AM] Multi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 07:40AM] Multi used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 07:44AM] Multi used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 07:59AM] Multi used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 08:01AM] Multi used command ::yell selling blue h'ween pm your offers :) idn prices or if its rare | Player rights = CLERIC_DONATOR	
[4/23/23 08:07AM] Multi used command ::vboss | Player rights = CLERIC_DONATOR	
[4/23/23 08:08AM] Multi used command ::afk | Player rights = CLERIC_DONATOR	
<<<<<<< Updated upstream
[4/26/23 02:22AM] Multi used command ::afk | Player rights = CLERIC_DONATOR	
=======
[4/23/23 04:04PM] Multi used command ::home | Player rights = CLERIC_DONATOR	
[4/23/23 04:04PM] Multi used command ::afk | Player rights = CLERIC_DONATOR	
[4/23/23 04:31PM] Multi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 04:32PM] Multi used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/23/23 04:33PM] Multi used command ::meruem | Player rights = CLERIC_DONATOR	
[4/23/23 04:43PM] Multi used command ::yell keep the comments off yell and /help channel | Player rights = CLERIC_DONATOR	
[4/23/23 04:59PM] Multi used command ::afk | Player rights = CLERIC_DONATOR	
[4/24/23 02:01AM] Multi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/24/23 02:05AM] Multi used command ::AFK | Player rights = CLERIC_DONATOR	
[4/24/23 02:09AM] Multi used command ::vboss | Player rights = CLERIC_DONATOR	
[4/24/23 02:09AM] Multi used command ::vote | Player rights = CLERIC_DONATOR	
[4/24/23 02:11AM] Multi used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/24/23 02:31AM] Multi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/24/23 02:32AM] Multi used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/24/23 02:34AM] Multi used command ::meruem | Player rights = CLERIC_DONATOR	
[4/24/23 02:36AM] Multi used command ::golden | Player rights = CLERIC_DONATOR	
[4/24/23 02:55AM] Multi used command ::afk | Player rights = CLERIC_DONATOR	
[4/24/23 01:41PM] Multi used command ::home | Player rights = CLERIC_DONATOR	
[4/24/23 01:41PM] Multi used command ::home | Player rights = CLERIC_DONATOR	
[4/24/23 01:41PM] Multi used command ::home | Player rights = CLERIC_DONATOR	
[4/24/23 01:42PM] Multi used command ::afk | Player rights = CLERIC_DONATOR	
[4/24/23 02:01PM] Multi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/24/23 02:24PM] Multi used command ::home | Player rights = CLERIC_DONATOR	
[4/24/23 02:24PM] Multi used command ::home | Player rights = CLERIC_DONATOR	
[4/24/23 02:24PM] Multi used command ::home | Player rights = CLERIC_DONATOR	
[4/24/23 02:32PM] Multi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/24/23 02:48PM] Multi used command ::pos | Player rights = CLERIC_DONATOR	
[4/24/23 02:48PM] Multi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/24/23 02:51PM] Multi used command ::Ninetails | Player rights = CLERIC_DONATOR	
[4/24/23 02:56PM] Multi used command ::mereum | Player rights = CLERIC_DONATOR	
[4/24/23 03:01PM] Multi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/24/23 03:09PM] Multi used command ::afk | Player rights = CLERIC_DONATOR	
[4/24/23 03:09PM] Multi used command ::bank | Player rights = CLERIC_DONATOR	
[4/25/23 01:01AM] Multi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/25/23 01:53AM] Multi used command ::afk | Player rights = CLERIC_DONATOR	
[4/25/23 03:31PM] Multi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/25/23 03:32PM] Multi used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/25/23 03:33PM] Multi used command ::meruem | Player rights = CLERIC_DONATOR	
[4/25/23 03:35PM] Multi used command ::golden | Player rights = CLERIC_DONATOR	
[4/25/23 03:54PM] Multi used command ::pos | Player rights = CLERIC_DONATOR	
[4/25/23 04:01PM] Multi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/25/23 04:08PM] Multi used command ::pos | Player rights = CLERIC_DONATOR	
[4/25/23 04:10PM] Multi used command ::pos | Player rights = CLERIC_DONATOR	
[4/25/23 04:13PM] Multi used command ::afk | Player rights = CLERIC_DONATOR	
>>>>>>> Stashed changes
