[4/16/23 06:02AM] Dopamine used command ::dr | Player rights = PLAYER	
[4/16/23 08:23AM] Dopamine used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:23AM] Dopamine used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:24AM] Dopamine used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:10AM] Dopamine used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:11AM] Dopamine used command ::hide | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:11AM] Dopamine used command ::hideplayers | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:23AM] Dopamine used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:23AM] Dopamine used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:24AM] Dopamine used command ::merum | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:24AM] Dopamine used command ::merum | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:24AM] Dopamine used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:45AM] Dopamine used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:45AM] Dopamine used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:47AM] Dopamine used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:49AM] Dopamine used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:49AM] Dopamine used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:50AM] Dopamine used command ::yell no, i got 7$ in total and 3m l00000l | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:50AM] Dopamine used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:53AM] Dopamine used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:52PM] Dopamine used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:53PM] Dopamine used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:53PM] Dopamine used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:54PM] Dopamine used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:55PM] Dopamine used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:56PM] Dopamine used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:57PM] Dopamine used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:40PM] Dopamine used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:41PM] Dopamine used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:42PM] Dopamine used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:42PM] Dopamine used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:43PM] Dopamine used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:45PM] Dopamine used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:00PM] Dopamine used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:09PM] Dopamine used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:21PM] Dopamine used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:24PM] Dopamine used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:34PM] Dopamine used command ::dr | Player rights = CLERIC_DONATOR	
[4/16/23 10:37PM] Dopamine used command ::dr | Player rights = CLERIC_DONATOR	
[4/16/23 10:39PM] Dopamine used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 10:42PM] Dopamine used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 11:12PM] Dopamine used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 11:15PM] Dopamine used command ::dr | Player rights = CLERIC_DONATOR	
[4/16/23 11:15PM] Dopamine used command ::dr | Player rights = CLERIC_DONATOR	
[4/16/23 11:35PM] Dopamine used command ::dr | Player rights = CLERIC_DONATOR	
[4/16/23 11:39PM] Dopamine used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 11:46PM] Dopamine used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 11:49PM] Dopamine used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 11:53PM] Dopamine used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 11:53PM] Dopamine used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 11:54PM] Dopamine used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/17/23 12:09AM] Dopamine used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:09AM] Dopamine used command ::dr | Player rights = CLERIC_DONATOR	
[4/17/23 12:15AM] Dopamine used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:31AM] Dopamine used command ::dr | Player rights = CLERIC_DONATOR	
[4/17/23 12:39AM] Dopamine used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 12:40AM] Dopamine used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 12:47AM] Dopamine used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 12:55AM] Dopamine used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 01:03AM] Dopamine used command ::vboss | Player rights = CLERIC_DONATOR	
[4/17/23 01:10AM] Dopamine used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 01:11AM] Dopamine used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 01:39AM] Dopamine used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 01:40AM] Dopamine used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 01:41AM] Dopamine used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 01:44AM] Dopamine used command ::afk | Player rights = CLERIC_DONATOR	
[4/17/23 01:45AM] Dopamine used command ::afk | Player rights = CLERIC_DONATOR	
[4/17/23 01:45AM] Dopamine used command ::afk | Player rights = CLERIC_DONATOR	
[4/17/23 01:54AM] Dopamine used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 01:56AM] Dopamine used command ::yell ::vote ::vote | Player rights = CLERIC_DONATOR	
[4/17/23 02:09AM] Dopamine used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 02:37AM] Dopamine used command ::dr | Player rights = CLERIC_DONATOR	
[4/17/23 02:39AM] Dopamine used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 02:40AM] Dopamine used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 03:09AM] Dopamine used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 03:11AM] Dopamine used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 03:30AM] Dopamine used command ::zones | Player rights = CLERIC_DONATOR	
[4/17/23 10:35AM] Dopamine used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 10:44AM] Dopamine used command ::szone | Player rights = CLERIC_DONATOR	
[4/17/23 10:44AM] Dopamine used command ::sz | Player rights = CLERIC_DONATOR	
[4/17/23 10:44AM] Dopamine used command ::dz | Player rights = CLERIC_DONATOR	
[4/17/23 10:44AM] Dopamine used command ::dzone | Player rights = CLERIC_DONATOR	
[4/17/23 10:46AM] Dopamine used command ::::Pfpk | Player rights = CLERIC_DONATOR	
[4/17/23 10:46AM] Dopamine used command ::fpk | Player rights = CLERIC_DONATOR	
[4/17/23 11:02AM] Dopamine used command ::veigfar | Player rights = CLERIC_DONATOR	
[4/17/23 11:02AM] Dopamine used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 11:03AM] Dopamine used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 11:04AM] Dopamine used command ::naintails | Player rights = CLERIC_DONATOR	
[4/17/23 11:04AM] Dopamine used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 11:05AM] Dopamine used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 11:07AM] Dopamine used command ::dr | Player rights = CLERIC_DONATOR	
[4/17/23 11:08AM] Dopamine used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 11:55AM] Dopamine used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 11:56AM] Dopamine used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 11:57AM] Dopamine used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 09:25PM] Dopamine used command ::dr | Player rights = CLERIC_DONATOR	
[4/17/23 09:28PM] Dopamine used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 10:28PM] Dopamine used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 10:42PM] Dopamine used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 10:42PM] Dopamine used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 10:42PM] Dopamine used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 10:43PM] Dopamine used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 10:43PM] Dopamine used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 10:43PM] Dopamine used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 10:44PM] Dopamine used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 10:44PM] Dopamine used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 10:45PM] Dopamine used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 10:45PM] Dopamine used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 10:52PM] Dopamine used command ::yell gn | Player rights = CLERIC_DONATOR	
[4/17/23 11:41PM] Dopamine used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 11:42PM] Dopamine used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 12:00AM] Dopamine used command ::teleport | Player rights = CLERIC_DONATOR	
[4/18/23 12:06AM] Dopamine used command ::yell Shaq plays | Player rights = CLERIC_DONATOR	
[4/18/23 12:06AM] Dopamine used command ::yell and Wins | Player rights = CLERIC_DONATOR	
[4/18/23 12:09AM] Dopamine used command ::yell <img=103> | Player rights = CLERIC_DONATOR	
[4/18/23 12:11AM] Dopamine used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 12:13AM] Dopamine used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 12:26AM] Dopamine used command ::upgrade | Player rights = CLERIC_DONATOR	
[4/18/23 12:27AM] Dopamine used command ::vote | Player rights = CLERIC_DONATOR	
[4/18/23 12:27AM] Dopamine used command ::yell :;:vote ,;vote ;;vote | Player rights = CLERIC_DONATOR	
[4/18/23 12:28AM] Dopamine used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/18/23 12:36AM] Dopamine used command ::dr | Player rights = CLERIC_DONATOR	
[4/18/23 12:40AM] Dopamine used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 12:42AM] Dopamine used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 12:42AM] Dopamine used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 12:45AM] Dopamine used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/18/23 01:11AM] Dopamine used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 01:12AM] Dopamine used command ::collectionlog | Player rights = CLERIC_DONATOR	
[4/18/23 01:41AM] Dopamine used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 01:41AM] Dopamine used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 01:41AM] Dopamine used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 01:41AM] Dopamine used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 01:42AM] Dopamine used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 01:42AM] Dopamine used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 01:42AM] Dopamine used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 01:42AM] Dopamine used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 02:11AM] Dopamine used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 02:41AM] Dopamine used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 02:41AM] Dopamine used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 02:42AM] Dopamine used command ::vboss | Player rights = CLERIC_DONATOR	
[4/18/23 02:43AM] Dopamine used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 02:43AM] Dopamine used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/18/23 02:43AM] Dopamine used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 02:44AM] Dopamine used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 03:41AM] Dopamine used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 03:42AM] Dopamine used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 05:11AM] Dopamine used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 05:41AM] Dopamine used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 05:42AM] Dopamine used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 10:11AM] Dopamine used command ::bank | Player rights = CLERIC_DONATOR	
[4/18/23 10:11AM] Dopamine used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 09:37PM] Dopamine used command ::vote | Player rights = CLERIC_DONATOR	
[4/18/23 09:41PM] Dopamine used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/18/23 09:41PM] Dopamine used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 09:44PM] Dopamine used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 10:11PM] Dopamine used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 10:15PM] Dopamine used command ::vboss | Player rights = CLERIC_DONATOR	
[4/18/23 11:35PM] Dopamine used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 11:36PM] Dopamine used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 11:36PM] Dopamine used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 11:36PM] Dopamine used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 11:38PM] Dopamine used command ::vboss | Player rights = CLERIC_DONATOR	
[4/18/23 11:38PM] Dopamine used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 12:05AM] Dopamine used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 12:09AM] Dopamine used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 11:09PM] Dopamine used command ::donate | Player rights = CLERIC_DONATOR	
[4/19/23 11:16PM] Dopamine used command ::dr | Player rights = CLERIC_DONATOR	
[4/19/23 11:16PM] Dopamine used command ::vote | Player rights = CLERIC_DONATOR	
[4/19/23 11:17PM] Dopamine used command ::rewar 1 all | Player rights = CLERIC_DONATOR	
[4/19/23 11:17PM] Dopamine used command ::claimvote | Player rights = CLERIC_DONATOR	
[4/19/23 11:17PM] Dopamine used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/19/23 11:19PM] Dopamine used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 11:21PM] Dopamine used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 11:23PM] Dopamine used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 11:27PM] Dopamine used command ::dr | Player rights = CLERIC_DONATOR	
[4/19/23 11:37PM] Dopamine used command ::store | Player rights = CLERIC_DONATOR	
[4/19/23 11:49PM] Dopamine used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 11:53PM] Dopamine used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 12:03AM] Dopamine used command ::achievements | Player rights = CLERIC_DONATOR	
[4/20/23 12:04AM] Dopamine used command ::dr | Player rights = CLERIC_DONATOR	
[4/20/23 12:05AM] Dopamine used command ::dr | Player rights = CLERIC_DONATOR	
[4/20/23 12:05AM] Dopamine used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/20/23 12:05AM] Dopamine used command ::achievements | Player rights = CLERIC_DONATOR	
[4/20/23 12:19AM] Dopamine used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 12:21AM] Dopamine used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 12:21AM] Dopamine used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 12:23AM] Dopamine used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 12:28AM] Dopamine used command ::achievements | Player rights = CLERIC_DONATOR	
[4/20/23 12:49AM] Dopamine used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 01:02AM] Dopamine used command ::dr | Player rights = CLERIC_DONATOR	
[4/20/23 01:05AM] Dopamine used command ::loots | Player rights = CLERIC_DONATOR	
[4/20/23 01:05AM] Dopamine used command ::gear | Player rights = CLERIC_DONATOR	
[4/20/23 01:05AM] Dopamine used command ::bestinslot | Player rights = CLERIC_DONATOR	
[4/20/23 01:05AM] Dopamine used command ::loots | Player rights = CLERIC_DONATOR	
[4/20/23 01:19AM] Dopamine used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 01:21AM] Dopamine used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 01:23AM] Dopamine used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 01:49AM] Dopamine used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 02:00AM] Dopamine used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 02:00AM] Dopamine used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 02:06AM] Dopamine used command ::achievem,ents | Player rights = CLERIC_DONATOR	
[4/20/23 02:06AM] Dopamine used command ::achievemetns | Player rights = CLERIC_DONATOR	
[4/20/23 02:06AM] Dopamine used command ::achievements | Player rights = CLERIC_DONATOR	
[4/20/23 08:33PM] Dopamine used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 08:35PM] Dopamine used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 08:36PM] Dopamine used command ::::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 08:36PM] Dopamine used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 08:36PM] Dopamine used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 08:38PM] Dopamine used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 08:44PM] Dopamine used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 08:52PM] Dopamine used command ::dr | Player rights = CLERIC_DONATOR	
[4/20/23 09:03PM] Dopamine used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 09:33PM] Dopamine used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 09:34PM] Dopamine used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 09:37PM] Dopamine used command ::dr | Player rights = CLERIC_DONATOR	
[4/20/23 09:45PM] Dopamine used command ::vote | Player rights = CLERIC_DONATOR	
[4/20/23 09:45PM] Dopamine used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 09:48PM] Dopamine used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 09:51PM] Dopamine used command ::dr | Player rights = CLERIC_DONATOR	
[4/20/23 10:04PM] Dopamine used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:33PM] Dopamine used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:34PM] Dopamine used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 10:36PM] Dopamine used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 10:38PM] Dopamine used command ::dr | Player rights = TORMENTED_DONATOR	
[4/20/23 10:38PM] Dopamine used command ::home | Player rights = TORMENTED_DONATOR	
[4/20/23 10:38PM] Dopamine used command ::dr | Player rights = TORMENTED_DONATOR	
[4/20/23 10:40PM] Dopamine used command ::yell Buying 60$ in-name  | Player rights = TORMENTED_DONATOR	
[4/20/23 10:50PM] Dopamine used command ::reward 1 all | Player rights = TORMENTED_DONATOR	
[4/20/23 10:51PM] Dopamine used command ::achievements | Player rights = TORMENTED_DONATOR	
[4/20/23 10:53PM] Dopamine used command ::slayer | Player rights = TORMENTED_DONATOR	
[4/20/23 10:55PM] Dopamine used command ::altar | Player rights = TORMENTED_DONATOR	
[4/20/23 10:55PM] Dopamine used command ::prayer | Player rights = TORMENTED_DONATOR	
[4/20/23 11:02PM] Dopamine used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/20/23 11:16PM] Dopamine used command ::yell Also you can vote on your afk account via mobile. | Player rights = TORMENTED_DONATOR	
[4/20/23 11:16PM] Dopamine used command ::slayer | Player rights = TORMENTED_DONATOR	
[4/20/23 11:18PM] Dopamine used command ::fog | Player rights = TORMENTED_DONATOR	
[4/20/23 11:18PM] Dopamine used command ::fow | Player rights = TORMENTED_DONATOR	
[4/20/23 11:18PM] Dopamine used command ::togglefog | Player rights = TORMENTED_DONATOR	
[4/20/23 11:19PM] Dopamine used command ::slayer | Player rights = TORMENTED_DONATOR	
[4/20/23 11:23PM] Dopamine used command ::dr | Player rights = TORMENTED_DONATOR	
[4/20/23 11:24PM] Dopamine used command ::slayer | Player rights = TORMENTED_DONATOR	
[4/20/23 11:32PM] Dopamine used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/20/23 11:34PM] Dopamine used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/20/23 11:35PM] Dopamine used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/20/23 11:35PM] Dopamine used command ::golden | Player rights = TORMENTED_DONATOR	
[4/20/23 11:36PM] Dopamine used command ::golden | Player rights = TORMENTED_DONATOR	
[4/20/23 11:36PM] Dopamine used command ::yell @red@Has received Golden ape 8x8 @yel@Goldtier AOE PERK. | Player rights = TORMENTED_DONATOR	
[4/20/23 11:37PM] Dopamine used command ::home | Player rights = TORMENTED_DONATOR	
[4/20/23 11:38PM] Dopamine used command ::slayer | Player rights = TORMENTED_DONATOR	
[4/20/23 11:47PM] Dopamine used command ::altar | Player rights = TORMENTED_DONATOR	
[4/20/23 11:47PM] Dopamine used command ::altar | Player rights = TORMENTED_DONATOR	
[4/20/23 11:47PM] Dopamine used command ::prayer | Player rights = TORMENTED_DONATOR	
[4/20/23 11:47PM] Dopamine used command ::home | Player rights = TORMENTED_DONATOR	
[4/21/23 12:03AM] Dopamine used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 12:19AM] Dopamine used command ::slayer | Player rights = TORMENTED_DONATOR	
[4/21/23 12:23AM] Dopamine used command ::yell oow deeznutz | Player rights = TORMENTED_DONATOR	
[4/21/23 12:32AM] Dopamine used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 12:34AM] Dopamine used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/21/23 12:36AM] Dopamine used command ::dr | Player rights = TORMENTED_DONATOR	
[4/21/23 12:36AM] Dopamine used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/21/23 12:43AM] Dopamine used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/21/23 12:46AM] Dopamine used command ::slayer | Player rights = TORMENTED_DONATOR	
[4/21/23 12:46AM] Dopamine used command ::maxhit | Player rights = TORMENTED_DONATOR	
[4/21/23 12:47AM] Dopamine used command ::maxhit | Player rights = TORMENTED_DONATOR	
[4/21/23 12:48AM] Dopamine used command ::claim | Player rights = TORMENTED_DONATOR	
[4/21/23 01:02AM] Dopamine used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 01:33AM] Dopamine used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 01:35AM] Dopamine used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/21/23 01:42AM] Dopamine used command ::home | Player rights = TORMENTED_DONATOR	
[4/21/23 02:02AM] Dopamine used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 02:26AM] Dopamine used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/21/23 02:35AM] Dopamine used command ::golden | Player rights = TORMENTED_DONATOR	
[4/21/23 03:33AM] Dopamine used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/21/23 03:33AM] Dopamine used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 03:35AM] Dopamine used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/21/23 04:21AM] Dopamine used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/21/23 04:23AM] Dopamine used command ::dr | Player rights = TORMENTED_DONATOR	
[4/21/23 04:35AM] Dopamine used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 04:36AM] Dopamine used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/21/23 04:38AM] Dopamine used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/21/23 05:02AM] Dopamine used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 05:32AM] Dopamine used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 05:34AM] Dopamine used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/21/23 05:35AM] Dopamine used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/21/23 05:36AM] Dopamine used command ::golden | Player rights = TORMENTED_DONATOR	
[4/21/23 06:00AM] Dopamine used command ::win | Player rights = TORMENTED_DONATOR	
