[4/15/23 06:38AM] Rotter used command ::vote | Player rights = PLAYER	
[4/19/23 11:08AM] Rotter used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:08AM] Rotter used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:13AM] Rotter used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:15AM] Rotter used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:16AM] Rotter used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:17AM] Rotter used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:19AM] Rotter used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:39AM] Rotter used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:41AM] Rotter used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:43AM] Rotter used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:44AM] Rotter used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 11:45AM] Rotter used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 11:46AM] Rotter used command ::golden | Player rights = CLERIC_DONATOR	
[4/19/23 11:48AM] Rotter used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 11:50AM] Rotter used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 11:50AM] Rotter used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 11:53AM] Rotter used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 11:56AM] Rotter used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 11:57AM] Rotter used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:32AM] Rotter used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:32AM] Rotter used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 06:38AM] Rotter used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:46AM] Rotter used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 06:49AM] Rotter used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 06:52AM] Rotter used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 06:52AM] Rotter used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 01:15AM] Rotter used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 01:43AM] Rotter used command ::pos | Player rights = CLERIC_DONATOR	
