[4/20/23 08:52AM] Fairy used command ::totem | Player rights = PLAYER	
[4/22/23 11:07AM] Fairy used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 11:14AM] Fairy used command ::elo | Player rights = CLERIC_DONATOR	
[4/22/23 11:14AM] Fairy used command ::elo | Player rights = CLERIC_DONATOR	
[4/22/23 11:25AM] Fairy used command ::vote | Player rights = CLERIC_DONATOR	
[4/22/23 11:26AM] Fairy used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/22/23 11:27AM] Fairy used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 11:28AM] Fairy used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 11:32AM] Fairy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 04:02PM] Fairy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 04:08PM] Fairy used command ::bank | Player rights = CLERIC_DONATOR	
[4/23/23 01:02AM] Fairy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 01:32AM] Fairy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 02:02AM] Fairy used command ::veigar | Player rights = CLERIC_DONATOR	
