[4/19/23 11:57AM] Elven used command ::train | Player rights = PLAYER	
[4/20/23 06:19AM] Elven used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 06:22AM] Elven used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 06:22AM] Elven used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 06:25AM] Elven used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 06:27AM] Elven used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 06:28AM] Elven used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 06:30AM] Elven used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 06:33AM] Elven used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 06:38AM] Elven used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 06:40AM] Elven used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 06:42AM] Elven used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 06:43AM] Elven used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 06:45AM] Elven used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 06:46AM] Elven used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 06:49AM] Elven used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 06:49AM] Elven used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 06:53AM] Elven used command ::vote | Player rights = CLERIC_DONATOR	
[4/20/23 06:55AM] Elven used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/20/23 06:55AM] Elven used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 06:57AM] Elven used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 06:59AM] Elven used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 07:01AM] Elven used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 07:03AM] Elven used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 07:05AM] Elven used command ::veaigar | Player rights = CLERIC_DONATOR	
[4/20/23 07:05AM] Elven used command ::veidar | Player rights = CLERIC_DONATOR	
[4/20/23 07:06AM] Elven used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 07:21AM] Elven used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 07:22AM] Elven used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 07:24AM] Elven used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 07:36AM] Elven used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 07:43AM] Elven used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 07:48AM] Elven used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 08:08AM] Elven used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 08:19AM] Elven used command ::veidar | Player rights = CLERIC_DONATOR	
[4/20/23 08:19AM] Elven used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 08:21AM] Elven used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 09:49AM] Elven used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 09:52AM] Elven used command ::slayer | Player rights = CLERIC_DONATOR	
[4/21/23 04:02AM] Elven used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 04:08AM] Elven used command ::slayer | Player rights = CLERIC_DONATOR	
[4/21/23 04:15AM] Elven used command ::bank | Player rights = CLERIC_DONATOR	
[4/21/23 04:15AM] Elven used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 04:15AM] Elven used command ::slayer | Player rights = CLERIC_DONATOR	
[4/21/23 04:17AM] Elven used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/21/23 04:17AM] Elven used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/21/23 04:19AM] Elven used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 04:20AM] Elven used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/21/23 04:20AM] Elven used command ::vote | Player rights = CLERIC_DONATOR	
[4/21/23 04:22AM] Elven used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/21/23 04:28AM] Elven used command ::slayer | Player rights = CLERIC_DONATOR	
[4/21/23 04:31AM] Elven used command ::slayer | Player rights = CLERIC_DONATOR	
[4/21/23 04:32AM] Elven used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 04:36AM] Elven used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 04:38AM] Elven used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 04:52AM] Elven used command ::slayer | Player rights = CLERIC_DONATOR	
[4/21/23 04:59AM] Elven used command ::slayer | Player rights = CLERIC_DONATOR	
[4/21/23 05:01AM] Elven used command ::slayer | Player rights = CLERIC_DONATOR	
[4/21/23 05:02AM] Elven used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 05:08AM] Elven used command ::slayer | Player rights = CLERIC_DONATOR	
[4/21/23 05:11AM] Elven used command ::slayer | Player rights = CLERIC_DONATOR	
[4/21/23 05:13AM] Elven used command ::slayer | Player rights = CLERIC_DONATOR	
[4/21/23 05:16AM] Elven used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 05:16AM] Elven used command ::slayer | Player rights = CLERIC_DONATOR	
[4/21/23 05:18AM] Elven used command ::slayer | Player rights = CLERIC_DONATOR	
[4/21/23 05:23AM] Elven used command ::slayer | Player rights = CLERIC_DONATOR	
[4/21/23 05:28AM] Elven used command ::slayer | Player rights = CLERIC_DONATOR	
[4/21/23 05:31AM] Elven used command ::slayer | Player rights = CLERIC_DONATOR	
[4/21/23 05:31AM] Elven used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 05:34AM] Elven used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 05:35AM] Elven used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 05:37AM] Elven used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 05:45AM] Elven used command ::slayer | Player rights = CLERIC_DONATOR	
[4/21/23 05:59AM] Elven used command ::slayer | Player rights = CLERIC_DONATOR	
[4/21/23 06:01AM] Elven used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 06:02AM] Elven used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 06:04AM] Elven used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 06:23AM] Elven used command ::slayer | Player rights = CLERIC_DONATOR	
[4/21/23 06:23AM] Elven used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 06:26AM] Elven used command ::slayer | Player rights = CLERIC_DONATOR	
[4/21/23 06:30AM] Elven used command ::slayer | Player rights = CLERIC_DONATOR	
[4/21/23 06:32AM] Elven used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 06:34AM] Elven used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 06:35AM] Elven used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 06:37AM] Elven used command ::slayer | Player rights = CLERIC_DONATOR	
[4/21/23 06:40AM] Elven used command ::slayer | Player rights = CLERIC_DONATOR	
[4/21/23 06:43AM] Elven used command ::slayer | Player rights = CLERIC_DONATOR	
[4/21/23 06:46AM] Elven used command ::slayer | Player rights = CLERIC_DONATOR	
[4/21/23 06:48AM] Elven used command ::slayer | Player rights = CLERIC_DONATOR	
[4/21/23 06:51AM] Elven used command ::slayer | Player rights = CLERIC_DONATOR	
[4/21/23 06:55AM] Elven used command ::slayer | Player rights = CLERIC_DONATOR	
[4/21/23 06:57AM] Elven used command ::slayer | Player rights = CLERIC_DONATOR	
[4/21/23 07:02AM] Elven used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 07:04AM] Elven used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 07:11AM] Elven used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 07:13AM] Elven used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 07:31AM] Elven used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 07:32AM] Elven used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 07:34AM] Elven used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 07:35AM] Elven used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 07:38AM] Elven used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 07:39AM] Elven used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 07:58AM] Elven used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/21/23 07:59AM] Elven used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 08:02AM] Elven used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 08:04AM] Elven used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 08:16AM] Elven used command ::slayer | Player rights = CLERIC_DONATOR	
[4/21/23 08:24AM] Elven used command ::slayer | Player rights = CLERIC_DONATOR	
[4/21/23 08:30AM] Elven used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 08:30AM] Elven used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 08:31AM] Elven used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 08:31AM] Elven used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 08:32AM] Elven used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 08:32AM] Elven used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 08:33AM] Elven used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/21/23 08:33AM] Elven used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 08:33AM] Elven used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/21/23 08:34AM] Elven used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 08:35AM] Elven used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/21/23 08:35AM] Elven used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 08:36AM] Elven used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 08:37AM] Elven used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/21/23 08:39AM] Elven used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 08:40AM] Elven used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/21/23 08:42AM] Elven used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:43AM] Elven used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 08:45AM] Elven used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/21/23 08:45AM] Elven used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 08:46AM] Elven used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/21/23 08:47AM] Elven used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 08:52AM] Elven used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:57AM] Elven used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 09:02AM] Elven used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 09:03AM] Elven used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 09:04AM] Elven used command ::slayer | Player rights = CLERIC_DONATOR	
[4/21/23 09:08AM] Elven used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 09:08AM] Elven used command ::poss | Player rights = CLERIC_DONATOR	
[4/21/23 09:08AM] Elven used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 09:09AM] Elven used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 09:10AM] Elven used command ::donate | Player rights = CLERIC_DONATOR	
[4/21/23 09:48AM] Elven used command ::slayer | Player rights = CLERIC_DONATOR	
[4/21/23 09:54AM] Elven used command ::slayer | Player rights = CLERIC_DONATOR	
[4/21/23 09:57AM] Elven used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/21/23 09:57AM] Elven used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 09:58AM] Elven used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 10:02AM] Elven used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 10:11AM] Elven used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 10:13AM] Elven used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 10:14AM] Elven used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 10:14AM] Elven used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 10:17AM] Elven used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 10:20AM] Elven used command ::slayer | Player rights = CLERIC_DONATOR	
[4/21/23 10:21AM] Elven used command ::upgrade | Player rights = CLERIC_DONATOR	
[4/21/23 10:22AM] Elven used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 10:24AM] Elven used command ::slayer | Player rights = CLERIC_DONATOR	
[4/21/23 10:25AM] Elven used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 10:31AM] Elven used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 10:33AM] Elven used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 10:34AM] Elven used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 10:36AM] Elven used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 10:36AM] Elven used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 10:37AM] Elven used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 10:38AM] Elven used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 10:50AM] Elven used command ::slayer | Player rights = TORMENTED_DONATOR	
[4/21/23 11:00AM] Elven used command ::slayer | Player rights = TORMENTED_DONATOR	
[4/21/23 11:00AM] Elven used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 11:01AM] Elven used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 11:06AM] Elven used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 11:14AM] Elven used command ::slayer | Player rights = TORMENTED_DONATOR	
[4/21/23 11:19AM] Elven used command ::slayer | Player rights = TORMENTED_DONATOR	
[4/21/23 11:26AM] Elven used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 11:27AM] Elven used command ::slayer | Player rights = TORMENTED_DONATOR	
[4/21/23 11:31AM] Elven used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 11:33AM] Elven used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/21/23 11:35AM] Elven used command ::golden | Player rights = TORMENTED_DONATOR	
[4/21/23 11:39AM] Elven used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 11:40AM] Elven used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 11:43AM] Elven used command ::slayer | Player rights = TORMENTED_DONATOR	
[4/21/23 11:49AM] Elven used command ::slayer | Player rights = TORMENTED_DONATOR	
[4/21/23 11:57AM] Elven used command ::slayer | Player rights = TORMENTED_DONATOR	
[4/21/23 12:02PM] Elven used command ::slayer | Player rights = TORMENTED_DONATOR	
[4/21/23 12:02PM] Elven used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 12:04PM] Elven used command ::home | Player rights = TORMENTED_DONATOR	
[4/21/23 12:04PM] Elven used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 12:05PM] Elven used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/21/23 12:14PM] Elven used command ::home | Player rights = TORMENTED_DONATOR	
[4/21/23 12:16PM] Elven used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 12:17PM] Elven used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 12:28PM] Elven used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 12:32PM] Elven used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 12:34PM] Elven used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/21/23 12:35PM] Elven used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/21/23 12:36PM] Elven used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 12:37PM] Elven used command ::home | Player rights = TORMENTED_DONATOR	
[4/21/23 12:39PM] Elven used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 12:40PM] Elven used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 12:40PM] Elven used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 12:45PM] Elven used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 12:47PM] Elven used command ::vote | Player rights = TORMENTED_DONATOR	
[4/21/23 01:01PM] Elven used command ::home | Player rights = TORMENTED_DONATOR	
[4/21/23 01:01PM] Elven used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 01:02PM] Elven used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 01:03PM] Elven used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 01:04PM] Elven used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 01:05PM] Elven used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 01:05PM] Elven used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/21/23 01:14PM] Elven used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 01:15PM] Elven used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 01:16PM] Elven used command ::home | Player rights = TORMENTED_DONATOR	
[4/21/23 01:16PM] Elven used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 01:17PM] Elven used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 01:23PM] Elven used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 01:24PM] Elven used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 01:32PM] Elven used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 01:34PM] Elven used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/21/23 01:44PM] Elven used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 01:46PM] Elven used command ::home | Player rights = TORMENTED_DONATOR	
[4/21/23 02:01PM] Elven used command ::home | Player rights = TORMENTED_DONATOR	
[4/21/23 02:02PM] Elven used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 02:03PM] Elven used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 02:04PM] Elven used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 02:04PM] Elven used command ::home | Player rights = TORMENTED_DONATOR	
[4/21/23 02:29PM] Elven used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 02:29PM] Elven used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 02:32PM] Elven used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 02:33PM] Elven used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/21/23 02:34PM] Elven used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/21/23 02:35PM] Elven used command ::golden | Player rights = TORMENTED_DONATOR	
[4/21/23 02:36PM] Elven used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 02:36PM] Elven used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 02:36PM] Elven used command ::home | Player rights = TORMENTED_DONATOR	
[4/21/23 02:40PM] Elven used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 02:42PM] Elven used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 02:50PM] Elven used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 02:51PM] Elven used command ::home | Player rights = TORMENTED_DONATOR	
[4/21/23 02:54PM] Elven used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 02:58PM] Elven used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 03:02PM] Elven used command ::slayer | Player rights = TORMENTED_DONATOR	
[4/21/23 03:06PM] Elven used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/21/23 03:08PM] Elven used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 03:09PM] Elven used command ::slayer | Player rights = TORMENTED_DONATOR	
[4/21/23 03:09PM] Elven used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 03:12PM] Elven used command ::slayer | Player rights = TORMENTED_DONATOR	
[4/21/23 03:14PM] Elven used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 03:18PM] Elven used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 03:24PM] Elven used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 03:24PM] Elven used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 03:28PM] Elven used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 03:32PM] Elven used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 03:48PM] Elven used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 03:48PM] Elven used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 03:49PM] Elven used command ::home | Player rights = TORMENTED_DONATOR	
[4/22/23 02:19AM] Elven used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 02:32AM] Elven used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 02:34AM] Elven used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/22/23 02:36AM] Elven used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/22/23 02:37AM] Elven used command ::golden | Player rights = TORMENTED_DONATOR	
[4/22/23 02:39AM] Elven used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 02:39AM] Elven used command ::home | Player rights = TORMENTED_DONATOR	
[4/22/23 02:49AM] Elven used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 02:52AM] Elven used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 02:53AM] Elven used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 03:02AM] Elven used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 03:05AM] Elven used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 03:15AM] Elven used command ::home | Player rights = TORMENTED_DONATOR	
[4/22/23 03:32AM] Elven used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 03:34AM] Elven used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/22/23 03:37AM] Elven used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/22/23 03:37AM] Elven used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 03:37AM] Elven used command ::vote | Player rights = TORMENTED_DONATOR	
[4/22/23 03:39AM] Elven used command ::reward 1 | Player rights = TORMENTED_DONATOR	
[4/22/23 03:42AM] Elven used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 03:51AM] Elven used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 03:51AM] Elven used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 04:02AM] Elven used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 04:04AM] Elven used command ::home | Player rights = TORMENTED_DONATOR	
[4/22/23 04:05AM] Elven used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 04:06AM] Elven used command ::afk | Player rights = TORMENTED_DONATOR	
[4/22/23 04:13AM] Elven used command ::pos | Player rights = TORMENTED_DONATOR	
