[4/20/23 08:16AM] Empty One used command ::train | Player rights = PLAYER	
[4/20/23 10:53AM] Empty One used command ::claimvote | Player rights = CLERIC_DONATOR	
[4/20/23 10:53AM] Empty One used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/20/23 10:53AM] Empty One used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/20/23 10:54AM] Empty One used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 10:56AM] Empty One used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 11:42AM] Empty One used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/20/23 11:49AM] Empty One used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 12:00PM] Empty One used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 12:03PM] Empty One used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/21/23 01:32AM] Empty One used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 01:33AM] Empty One used command ::vote | Player rights = CLERIC_DONATOR	
[4/21/23 01:35AM] Empty One used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 01:36AM] Empty One used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/21/23 01:39AM] Empty One used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 01:42AM] Empty One used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/21/23 01:46AM] Empty One used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 01:47AM] Empty One used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 02:02AM] Empty One used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 03:32AM] Empty One used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 03:35AM] Empty One used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 03:49AM] Empty One used command ::ref alone | Player rights = CLERIC_DONATOR	
[4/21/23 04:03AM] Empty One used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 04:21AM] Empty One used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/21/23 04:32AM] Empty One used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 04:36AM] Empty One used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 04:38AM] Empty One used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 04:41AM] Empty One used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/21/23 06:32AM] Empty One used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 06:34AM] Empty One used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 06:35AM] Empty One used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 06:36AM] Empty One used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 06:38AM] Empty One used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/21/23 06:39AM] Empty One used command ::Home | Player rights = CLERIC_DONATOR	
[4/21/23 06:41AM] Empty One used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 06:42AM] Empty One used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 06:48AM] Empty One used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 06:55AM] Empty One used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 08:14AM] Empty One used command ::progression | Player rights = CLERIC_DONATOR	
[4/21/23 08:17AM] Empty One used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 08:28AM] Empty One used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 08:30AM] Empty One used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 08:31AM] Empty One used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 08:32AM] Empty One used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 08:32AM] Empty One used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 08:33AM] Empty One used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 08:34AM] Empty One used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 08:35AM] Empty One used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 08:35AM] Empty One used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 08:36AM] Empty One used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 08:39AM] Empty One used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 08:40AM] Empty One used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 08:43AM] Empty One used command ::mereum | Player rights = CLERIC_DONATOR	
[4/21/23 08:44AM] Empty One used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 08:45AM] Empty One used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 08:47AM] Empty One used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 09:02AM] Empty One used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 09:33AM] Empty One used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 09:34AM] Empty One used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 01:02AM] Empty One used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 01:04AM] Empty One used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 01:04AM] Empty One used command ::bank | Player rights = CLERIC_DONATOR	
[4/22/23 01:11AM] Empty One used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 01:32AM] Empty One used command ::collection | Player rights = CLERIC_DONATOR	
[4/22/23 01:32AM] Empty One used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 01:34AM] Empty One used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 01:36AM] Empty One used command ::vote | Player rights = CLERIC_DONATOR	
[4/22/23 01:38AM] Empty One used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/22/23 01:45AM] Empty One used command ::vboss | Player rights = CLERIC_DONATOR	
[4/22/23 01:53AM] Empty One used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 02:01AM] Empty One used command ::collection | Player rights = CLERIC_DONATOR	
[4/22/23 02:02AM] Empty One used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 02:03AM] Empty One used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/22/23 02:05AM] Empty One used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 02:11AM] Empty One used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 02:32AM] Empty One used command ::mxhit | Player rights = CLERIC_DONATOR	
[4/22/23 02:32AM] Empty One used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/22/23 02:32AM] Empty One used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 02:34AM] Empty One used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 02:36AM] Empty One used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 02:37AM] Empty One used command ::golden | Player rights = CLERIC_DONATOR	
[4/22/23 02:47AM] Empty One used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 07:02AM] Empty One used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 07:18AM] Empty One used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 07:24AM] Empty One used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 07:32AM] Empty One used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 07:33AM] Empty One used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 07:36AM] Empty One used command ::vboss | Player rights = CLERIC_DONATOR	
[4/22/23 07:47AM] Empty One used command ::collection | Player rights = CLERIC_DONATOR	
[4/22/23 07:48AM] Empty One used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 07:57AM] Empty One used command ::collection | Player rights = CLERIC_DONATOR	
[4/22/23 08:02AM] Empty One used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 08:04AM] Empty One used command ::collection | Player rights = CLERIC_DONATOR	
[4/22/23 08:23AM] Empty One used command :::home | Player rights = CLERIC_DONATOR	
[4/22/23 08:23AM] Empty One used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 08:32AM] Empty One used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 08:33AM] Empty One used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 08:38AM] Empty One used command ::vboss | Player rights = CLERIC_DONATOR	
[4/22/23 08:42AM] Empty One used command ::collection | Player rights = CLERIC_DONATOR	
[4/22/23 08:58AM] Empty One used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 08:59AM] Empty One used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 09:02AM] Empty One used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 09:04AM] Empty One used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/23/23 12:58AM] Empty One used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/23/23 01:01AM] Empty One used command ::vote | Player rights = CLERIC_DONATOR	
[4/23/23 01:02AM] Empty One used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 01:08AM] Empty One used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/23/23 01:08AM] Empty One used command ::collection | Player rights = CLERIC_DONATOR	
