[4/15/23 09:14AM] Sipsick used command ::empty | Player rights = DEVELOPER	
[4/15/23 09:16AM] Sipsick used command ::item 22226 | Player rights = DEVELOPER	
[4/15/23 09:16AM] Sipsick used command ::item 22227 | Player rights = DEVELOPER	
[4/15/23 09:16AM] Sipsick used command ::item 22228 | Player rights = DEVELOPER	
[4/15/23 09:17AM] Sipsick used command ::item 22229 | Player rights = DEVELOPER	
[4/15/23 09:17AM] Sipsick used command ::empty | Player rights = DEVELOPER	
[4/15/23 09:17AM] Sipsick used command ::item 15003 20 | Player rights = DEVELOPER	
[4/15/23 09:17AM] Sipsick used command ::item 15002 20 | Player rights = DEVELOPER	
[4/15/23 09:17AM] Sipsick used command ::item 15004 20 | Player rights = DEVELOPER	
[4/15/23 09:17AM] Sipsick used command ::item 20489 20 | Player rights = DEVELOPER	
[4/15/23 09:17AM] Sipsick used command ::item 20491 20 | Player rights = DEVELOPER	
[4/15/23 09:17AM] Sipsick used command ::item 20490 20 | Player rights = DEVELOPER	
[4/15/23 09:19AM] Sipsick used command ::item 17542 | Player rights = DEVELOPER	
[4/15/23 09:19AM] Sipsick used command ::item 17542 2 | Player rights = DEVELOPER	
[4/15/23 09:19AM] Sipsick used command ::item 3094 3 | Player rights = DEVELOPER	
[4/15/23 09:19AM] Sipsick used command ::item 3088 3 | Player rights = DEVELOPER	
[4/15/23 09:19AM] Sipsick used command ::item 3082 3 | Player rights = DEVELOPER	
[4/15/23 10:03AM] Sipsick used command ::find bond | Player rights = DEVELOPER	
[4/15/23 10:05AM] Sipsick used command ::empty | Player rights = DEVELOPER	
[4/15/23 10:06AM] Sipsick used command ::find owner's | Player rights = DEVELOPER	
[4/15/23 10:06AM] Sipsick used command ::item 22240 | Player rights = DEVELOPER	
[4/15/23 10:06AM] Sipsick used command ::item 22239 | Player rights = DEVELOPER	
[4/15/23 10:06AM] Sipsick used command ::item 22238 | Player rights = DEVELOPER	
[4/15/23 10:06AM] Sipsick used command ::item 22237 | Player rights = DEVELOPER	
[4/15/23 10:06AM] Sipsick used command ::item 22236 | Player rights = DEVELOPER	
[4/15/23 10:06AM] Sipsick used command ::item 22235 | Player rights = DEVELOPER	
[4/15/23 10:06AM] Sipsick used command ::item 22234 | Player rights = DEVELOPER	
[4/15/23 10:06AM] Sipsick used command ::item 22233 | Player rights = DEVELOPER	
[4/15/23 10:06AM] Sipsick used command ::item 22232 | Player rights = DEVELOPER	
[4/15/23 10:06AM] Sipsick used command ::item 22231 | Player rights = DEVELOPER	
[4/15/23 10:06AM] Sipsick used command ::item 22111 | Player rights = DEVELOPER	
[4/15/23 10:06AM] Sipsick used command ::item 6640 | Player rights = DEVELOPER	
[4/15/23 10:06AM] Sipsick used command ::item 8832 | Player rights = DEVELOPER	
[4/15/23 10:06AM] Sipsick used command ::item 14882 | Player rights = DEVELOPER	
[4/15/23 10:06AM] Sipsick used command ::item 15834 | Player rights = DEVELOPER	
[4/15/23 10:07AM] Sipsick used command ::empty | Player rights = DEVELOPER	
[4/15/23 10:07AM] Sipsick used command ::item 2736 500 | Player rights = DEVELOPER	
[4/15/23 10:07AM] Sipsick used command ::item 15003 50 | Player rights = DEVELOPER	
[4/15/23 10:07AM] Sipsick used command ::item 15002 50 | Player rights = DEVELOPER	
[4/15/23 10:07AM] Sipsick used command ::item 15004 50 | Player rights = DEVELOPER	
[4/15/23 10:07AM] Sipsick used command ::item 20489 50 | Player rights = DEVELOPER	
[4/15/23 10:07AM] Sipsick used command ::item 20491 50 | Player rights = DEVELOPER	
[4/15/23 10:07AM] Sipsick used command ::item 20490 50 | Player rights = DEVELOPER	
[4/15/23 10:07AM] Sipsick used command ::random | Player rights = DEVELOPER	
[4/15/23 10:08AM] Sipsick used command ::item 8788 5 | Player rights = DEVELOPER	
[4/15/23 10:15AM] Sipsick used command ::bank | Player rights = DEVELOPER	
[4/15/23 10:15AM] Sipsick used command ::find bond | Player rights = DEVELOPER	
[4/15/23 10:15AM] Sipsick used command ::item 23059 | Player rights = DEVELOPER	
[4/15/23 10:15AM] Sipsick used command ::item 15003 | Player rights = DEVELOPER	
[4/15/23 10:15AM] Sipsick used command ::bank | Player rights = DEVELOPER	
[4/15/23 10:15AM] Sipsick used command ::bank | Player rights = DEVELOPER	
[4/16/23 05:31AM] Sipsick used command ::Yell yooo | Player rights = DEVELOPER	
[4/16/23 05:48AM] Sipsick used command ::upgrade | Player rights = DEVELOPER	
[4/16/23 05:54AM] Sipsick used command ::Veigar | Player rights = DEVELOPER	
[4/16/23 06:04AM] Sipsick used command ::Refer sipsick | Player rights = DEVELOPER	
[4/16/23 06:05AM] Sipsick used command ::refer | Player rights = DEVELOPER	
[4/16/23 06:05AM] Sipsick used command ::refer | Player rights = DEVELOPER	
