[4/18/23 09:25PM] F3ez used command ::refer | Player rights = PLAYER	
[4/18/23 10:46PM] F3ez used command ::meruem | Player rights = PLAYER	
[4/18/23 10:48PM] F3ez used command ::meruem | Player rights = PLAYER	
[4/18/23 10:49PM] F3ez used command ::golden | Player rights = PLAYER	
[4/18/23 10:49PM] F3ez used command ::home | Player rights = PLAYER	
[4/18/23 10:51PM] F3ez used command ::golden | Player rights = PLAYER	
[4/18/23 10:58PM] F3ez used command ::bank | Player rights = PLAYER	
[4/18/23 11:00PM] F3ez used command ::Refer | Player rights = PLAYER	
[4/18/23 11:00PM] F3ez used command ::refer | Player rights = PLAYER	
[4/18/23 11:02PM] F3ez used command ::maxhit | Player rights = PLAYER	
[4/18/23 11:05PM] F3ez used command ::veigar | Player rights = PLAYER	
[4/18/23 11:11PM] F3ez used command ::maxhit | Player rights = PLAYER	
[4/19/23 12:04AM] F3ez used command ::shops | Player rights = PLAYER	
[4/19/23 12:05AM] F3ez used command ::veigar | Player rights = PLAYER	
[4/19/23 12:09AM] F3ez used command ::ninetils | Player rights = PLAYER	
[4/19/23 12:09AM] F3ez used command ::ninetails | Player rights = PLAYER	
[4/19/23 12:30AM] F3ez used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:30AM] F3ez used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:31AM] F3ez used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:37AM] F3ez used command ::veigae | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:37AM] F3ez used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:44AM] F3ez used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:51AM] F3ez used command ::mureum | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:51AM] F3ez used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:43PM] F3ez used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:14PM] F3ez used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:14PM] F3ez used command ::D | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:14PM] F3ez used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:14PM] F3ez used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:15PM] F3ez used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:16PM] F3ez used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:43PM] F3ez used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:43PM] F3ez used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:45PM] F3ez used command ::vb | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:45PM] F3ez used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:49PM] F3ez used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:50PM] F3ez used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:50PM] F3ez used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:54PM] F3ez used command ::pos | Player rights = CLERIC_DONATOR	
