[4/15/23 02:29PM] Jig Saw used command ::veigar | Player rights = PLAYER	
[4/16/23 07:44PM] Jig Saw used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:53PM] Jig Saw used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:53PM] Jig Saw used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:54PM] Jig Saw used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:08PM] Jig Saw used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:10PM] Jig Saw used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:12PM] Jig Saw used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:15PM] Jig Saw used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:15PM] Jig Saw used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:19PM] Jig Saw used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:22PM] Jig Saw used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:23PM] Jig Saw used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:24PM] Jig Saw used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:25PM] Jig Saw used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:26PM] Jig Saw used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:41PM] Jig Saw used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:42PM] Jig Saw used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:44PM] Jig Saw used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:53PM] Jig Saw used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:55PM] Jig Saw used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:55PM] Jig Saw used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:55PM] Jig Saw used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:56PM] Jig Saw used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:57PM] Jig Saw used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:59PM] Jig Saw used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:40PM] Jig Saw used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:41PM] Jig Saw used command ::Dropoff | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:41PM] Jig Saw used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:42PM] Jig Saw used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:42PM] Jig Saw used command ::mereum | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:42PM] Jig Saw used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:43PM] Jig Saw used command ::merurm | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:43PM] Jig Saw used command ::mereum | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:43PM] Jig Saw used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:43PM] Jig Saw used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:44PM] Jig Saw used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:44PM] Jig Saw used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:45PM] Jig Saw used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:47PM] Jig Saw used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:07PM] Jig Saw used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:09PM] Jig Saw used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:13PM] Jig Saw used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:19PM] Jig Saw used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 01:19PM] Jig Saw used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/17/23 01:20PM] Jig Saw used command ::reward all | Player rights = GRACEFUL_DONATOR	
[4/17/23 01:20PM] Jig Saw used command ::reward all | Player rights = GRACEFUL_DONATOR	
[4/17/23 01:20PM] Jig Saw used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/17/23 01:20PM] Jig Saw used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/17/23 01:21PM] Jig Saw used command ::reward 2 | Player rights = GRACEFUL_DONATOR	
[4/17/23 01:21PM] Jig Saw used command ::reward all | Player rights = GRACEFUL_DONATOR	
[4/17/23 01:26PM] Jig Saw used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 01:32PM] Jig Saw used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 01:33PM] Jig Saw used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 01:33PM] Jig Saw used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 01:34PM] Jig Saw used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 01:51PM] Jig Saw used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/17/23 02:02PM] Jig Saw used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 02:03PM] Jig Saw used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 02:06PM] Jig Saw used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/17/23 02:06PM] Jig Saw used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 02:12PM] Jig Saw used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 02:14PM] Jig Saw used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 03:29PM] Jig Saw used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/17/23 03:32PM] Jig Saw used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 03:33PM] Jig Saw used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 03:34PM] Jig Saw used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 03:38PM] Jig Saw used command ::home | Player rights = CLERIC_DONATOR	
[4/19/23 09:23AM] Jig Saw used command ::pos | Player rights = CLERIC_DONATOR	
