[4/15/23 08:31AM] Dup used command ::bank | Player rights = PLAYER	
[4/15/23 01:14PM] Dup used command ::elo | Player rights = CLERIC_DONATOR	
[4/15/23 01:22PM] Dup used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/15/23 01:23PM] Dup used command ::store | Player rights = CLERIC_DONATOR	
[4/15/23 01:29PM] Dup used command ::veigar | Player rights = CLERIC_DONATOR	
[4/15/23 01:29PM] Dup used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/15/23 01:30PM] Dup used command ::meruem | Player rights = CLERIC_DONATOR	
[4/15/23 01:44PM] Dup used command ::store | Player rights = CLERIC_DONATOR	
[4/15/23 01:46PM] Dup used command ::claim | Player rights = CLERIC_DONATOR	
[4/15/23 01:58PM] Dup used command ::voted | Player rights = CLERIC_DONATOR	
[4/15/23 01:59PM] Dup used command ::veigar | Player rights = CLERIC_DONATOR	
[4/15/23 01:59PM] Dup used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/15/23 02:02PM] Dup used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/15/23 02:06PM] Dup used command ::bank | Player rights = CLERIC_DONATOR	
[4/15/23 02:06PM] Dup used command ::bank | Player rights = CLERIC_DONATOR	
[4/15/23 02:28PM] Dup used command ::veigar | Player rights = CLERIC_DONATOR	
[4/15/23 02:29PM] Dup used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/15/23 02:29PM] Dup used command ::meruem | Player rights = CLERIC_DONATOR	
[4/15/23 02:59PM] Dup used command ::veigar | Player rights = CLERIC_DONATOR	
[4/15/23 03:01PM] Dup used command ::nye | Player rights = CLERIC_DONATOR	
[4/16/23 06:52AM] Dup used command ::vote | Player rights = CLERIC_DONATOR	
[4/16/23 06:53AM] Dup used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 06:54AM] Dup used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 06:54AM] Dup used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/16/23 07:20AM] Dup used command ::reward 2 | Player rights = CLERIC_DONATOR	
[4/16/23 07:20AM] Dup used command ::walkchaos | Player rights = CLERIC_DONATOR	
[4/16/23 07:23AM] Dup used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 07:23AM] Dup used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 07:24AM] Dup used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 07:30AM] Dup used command ::vboss | Player rights = CLERIC_DONATOR	
[4/16/23 07:40AM] Dup used command ::store | Player rights = CLERIC_DONATOR	
[4/16/23 07:42AM] Dup used command ::claim | Player rights = CLERIC_DONATOR	
[4/16/23 07:44AM] Dup used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 07:51AM] Dup used command ::store | Player rights = TORMENTED_DONATOR	
[4/16/23 07:52AM] Dup used command ::claim | Player rights = TORMENTED_DONATOR	
[4/16/23 07:52AM] Dup used command ::claim | Player rights = TORMENTED_DONATOR	
[4/16/23 07:54AM] Dup used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/16/23 07:57AM] Dup used command ::bank | Player rights = TORMENTED_DONATOR	
[4/16/23 07:59AM] Dup used command ::reward 1 all | Player rights = TORMENTED_DONATOR	
[4/16/23 08:22AM] Dup used command ::bank | Player rights = TORMENTED_DONATOR	
[4/16/23 08:23AM] Dup used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/16/23 08:24AM] Dup used command ::golden | Player rights = TORMENTED_DONATOR	
[4/16/23 08:25AM] Dup used command ::bank | Player rights = TORMENTED_DONATOR	
[4/16/23 08:26AM] Dup used command ::bank | Player rights = TORMENTED_DONATOR	
[4/16/23 08:28AM] Dup used command ::home | Player rights = TORMENTED_DONATOR	
[4/16/23 08:34AM] Dup used command ::golden | Player rights = TORMENTED_DONATOR	
[4/16/23 08:36AM] Dup used command ::voted | Player rights = TORMENTED_DONATOR	
[4/16/23 08:36AM] Dup used command ::reward 1 all | Player rights = TORMENTED_DONATOR	
[4/16/23 08:43AM] Dup used command ::bank | Player rights = TORMENTED_DONATOR	
[4/16/23 08:53AM] Dup used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/16/23 08:54AM] Dup used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/16/23 08:59AM] Dup used command ::bank | Player rights = TORMENTED_DONATOR	
[4/16/23 08:59AM] Dup used command ::bank | Player rights = TORMENTED_DONATOR	
[4/16/23 09:00AM] Dup used command ::bank | Player rights = TORMENTED_DONATOR	
[4/16/23 09:03AM] Dup used command ::reward all 1 | Player rights = TORMENTED_DONATOR	
[4/16/23 09:06AM] Dup used command ::vboss/kk | Player rights = TORMENTED_DONATOR	
[4/16/23 09:09AM] Dup used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/16/23 09:23AM] Dup used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/16/23 09:23AM] Dup used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/16/23 09:24AM] Dup used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/16/23 09:24AM] Dup used command ::golden | Player rights = TORMENTED_DONATOR	
[4/16/23 09:40AM] Dup used command ::bank | Player rights = TORMENTED_DONATOR	
[4/16/23 09:40AM] Dup used command ::bank | Player rights = TORMENTED_DONATOR	
[4/16/23 09:43AM] Dup used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/16/23 09:43AM] Dup used command ::golden | Player rights = TORMENTED_DONATOR	
[4/16/23 09:43AM] Dup used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/16/23 09:43AM] Dup used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/16/23 09:45AM] Dup used command ::golden | Player rights = TORMENTED_DONATOR	
[4/16/23 09:47AM] Dup used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/16/23 09:49AM] Dup used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/16/23 09:49AM] Dup used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/16/23 09:50AM] Dup used command ::yell thanks Alex | Player rights = TORMENTED_DONATOR	
[4/16/23 09:50AM] Dup used command ::bank | Player rights = TORMENTED_DONATOR	
[4/16/23 09:53AM] Dup used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/16/23 09:54AM] Dup used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/16/23 10:23AM] Dup used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/16/23 10:31AM] Dup used command ::bank | Player rights = TORMENTED_DONATOR	
[4/16/23 10:44AM] Dup used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/16/23 10:49AM] Dup used command ::bank | Player rights = TORMENTED_DONATOR	
[4/16/23 10:53AM] Dup used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/16/23 11:15AM] Dup used command ::bank | Player rights = TORMENTED_DONATOR	
[4/16/23 11:47AM] Dup used command ::home | Player rights = TORMENTED_DONATOR	
[4/16/23 11:55AM] Dup used command ::veigae | Player rights = TORMENTED_DONATOR	
[4/16/23 11:55AM] Dup used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/16/23 12:04PM] Dup used command ::bank | Player rights = TORMENTED_DONATOR	
[4/16/23 12:10PM] Dup used command ::pos | Player rights = TORMENTED_DONATOR	
[4/16/23 12:11PM] Dup used command ::bank | Player rights = TORMENTED_DONATOR	
[4/16/23 12:11PM] Dup used command ::pos | Player rights = TORMENTED_DONATOR	
[4/16/23 12:12PM] Dup used command ::pos | Player rights = TORMENTED_DONATOR	
[4/16/23 12:23PM] Dup used command ::bank | Player rights = TORMENTED_DONATOR	
[4/16/23 12:23PM] Dup used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/16/23 12:24PM] Dup used command ::bank | Player rights = TORMENTED_DONATOR	
[4/16/23 12:49PM] Dup used command ::bank | Player rights = TORMENTED_DONATOR	
[4/16/23 01:06PM] Dup used command ::bank | Player rights = TORMENTED_DONATOR	
[4/16/23 01:10PM] Dup used command ::bank | Player rights = TORMENTED_DONATOR	
[4/16/23 01:20PM] Dup used command ::bank | Player rights = TORMENTED_DONATOR	
[4/16/23 01:20PM] Dup used command ::bank | Player rights = TORMENTED_DONATOR	
[4/16/23 01:22PM] Dup used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/16/23 01:24PM] Dup used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/16/23 01:24PM] Dup used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/16/23 01:31PM] Dup used command ::bank | Player rights = TORMENTED_DONATOR	
[4/16/23 01:41PM] Dup used command ::bank | Player rights = TORMENTED_DONATOR	
[4/16/23 01:42PM] Dup used command ::bank | Player rights = TORMENTED_DONATOR	
[4/16/23 02:02PM] Dup used command ::discord | Player rights = TORMENTED_DONATOR	
[4/16/23 02:15PM] Dup used command ::store | Player rights = TORMENTED_DONATOR	
[4/16/23 02:16PM] Dup used command ::claim | Player rights = TORMENTED_DONATOR	
[4/16/23 02:17PM] Dup used command ::claim | Player rights = TORMENTED_DONATOR	
[4/16/23 02:24PM] Dup used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/16/23 02:24PM] Dup used command ::golden | Player rights = TORMENTED_DONATOR	
[4/16/23 02:30PM] Dup used command ::bank | Player rights = TORMENTED_DONATOR	
[4/16/23 02:30PM] Dup used command ::bank | Player rights = TORMENTED_DONATOR	
[4/16/23 02:53PM] Dup used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/16/23 03:07PM] Dup used command ::bank | Player rights = TORMENTED_DONATOR	
[4/16/23 03:22PM] Dup used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/16/23 03:22PM] Dup used command ::bank | Player rights = TORMENTED_DONATOR	
[4/16/23 03:23PM] Dup used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/16/23 03:24PM] Dup used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/16/23 03:46PM] Dup used command ::pos | Player rights = TORMENTED_DONATOR	
[4/16/23 03:53PM] Dup used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/16/23 04:06PM] Dup used command ::bank | Player rights = TORMENTED_DONATOR	
[4/16/23 04:39PM] Dup used command ::bank | Player rights = TORMENTED_DONATOR	
[4/16/23 04:39PM] Dup used command ::bank | Player rights = TORMENTED_DONATOR	
[4/16/23 05:01PM] Dup used command ::reward 1 all | Player rights = TORMENTED_DONATOR	
[4/16/23 05:02PM] Dup used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/16/23 05:06PM] Dup used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/16/23 05:22PM] Dup used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/16/23 05:22PM] Dup used command ::golden | Player rights = TORMENTED_DONATOR	
[4/16/23 05:22PM] Dup used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/16/23 05:23PM] Dup used command ::bank | Player rights = TORMENTED_DONATOR	
[4/16/23 05:24PM] Dup used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/16/23 05:24PM] Dup used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/16/23 05:25PM] Dup used command ::golden | Player rights = TORMENTED_DONATOR	
[4/16/23 05:48PM] Dup used command ::pos | Player rights = TORMENTED_DONATOR	
[4/16/23 05:48PM] Dup used command ::bank | Player rights = TORMENTED_DONATOR	
[4/16/23 05:48PM] Dup used command ::pos | Player rights = TORMENTED_DONATOR	
[4/16/23 05:50PM] Dup used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/16/23 06:04PM] Dup used command ::discord | Player rights = MYSTICAL_DONATOR	
[4/16/23 06:12PM] Dup used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/16/23 06:12PM] Dup used command ::home | Player rights = MYSTICAL_DONATOR	
[4/19/23 05:22PM] Dup used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/19/23 05:25PM] Dup used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/19/23 05:30PM] Dup used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/19/23 05:43PM] Dup used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/22/23 06:03PM] Dup used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/22/23 06:34PM] Dup used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/22/23 06:34PM] Dup used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/22/23 06:35PM] Dup used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/22/23 06:36PM] Dup used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/22/23 06:41PM] Dup used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/22/23 06:43PM] Dup used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/22/23 06:51PM] Dup used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/22/23 06:53PM] Dup used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/22/23 06:54PM] Dup used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/22/23 07:20PM] Dup used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/22/23 07:25PM] Dup used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/22/23 07:29PM] Dup used command ::vote | Player rights = MYSTICAL_DONATOR	
[4/22/23 07:32PM] Dup used command ::reward 1 all | Player rights = MYSTICAL_DONATOR	
[4/22/23 07:32PM] Dup used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/22/23 07:34PM] Dup used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/22/23 07:35PM] Dup used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/22/23 07:39PM] Dup used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/22/23 07:40PM] Dup used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/22/23 07:40PM] Dup used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/22/23 07:43PM] Dup used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/22/23 08:11PM] Dup used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/23/23 06:36AM] Dup used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/23/23 07:02AM] Dup used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/23/23 07:03AM] Dup used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/23/23 07:04AM] Dup used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/23/23 07:05AM] Dup used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/23/23 07:13AM] Dup used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/23/23 07:26AM] Dup used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/23/23 07:33AM] Dup used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/23/23 08:06AM] Dup used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/23/23 08:27AM] Dup used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/23/23 08:57AM] Dup used command ::maxhit | Player rights = MYSTICAL_DONATOR	
[4/23/23 09:04AM] Dup used command ::vegar | Player rights = MYSTICAL_DONATOR	
[4/23/23 09:04AM] Dup used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/23/23 09:05AM] Dup used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/23/23 09:05AM] Dup used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/23/23 09:39AM] Dup used command ::reward 1 all | Player rights = MYSTICAL_DONATOR	
[4/23/23 09:39AM] Dup used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/23/23 09:41AM] Dup used command ::vote | Player rights = MYSTICAL_DONATOR	
[4/23/23 09:44AM] Dup used command ::reward 1 all | Player rights = MYSTICAL_DONATOR	
[4/23/23 09:46AM] Dup used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/23/23 10:02AM] Dup used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/23/23 10:44AM] Dup used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/23/23 11:10AM] Dup used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/23/23 11:13AM] Dup used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/23/23 11:25AM] Dup used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/23/23 11:35AM] Dup used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/23/23 11:44AM] Dup used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/23/23 11:54AM] Dup used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/23/23 11:55AM] Dup used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/23/23 11:55AM] Dup used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/23/23 11:55AM] Dup used command ::veigar | Player rights = MYSTICAL_DONATOR	
