[4/18/23 07:46AM] Jackal used command ::Ref | Player rights = PLAYER	
[4/19/23 12:18PM] Jackal used command ::golden | Player rights = CLERIC_DONATOR	
[4/19/23 12:43PM] Jackal used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 01:58PM] Jackal used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 02:17PM] Jackal used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/19/23 02:23PM] Jackal used command ::home | Player rights = CLERIC_DONATOR	
[4/19/23 02:28PM] Jackal used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/19/23 02:28PM] Jackal used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/19/23 02:29PM] Jackal used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 02:32PM] Jackal used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 02:33PM] Jackal used command ::bank | Player rights = CLERIC_DONATOR	
[4/19/23 02:33PM] Jackal used command ::bank | Player rights = CLERIC_DONATOR	
[4/19/23 02:39PM] Jackal used command ::noble | Player rights = CLERIC_DONATOR	
[4/19/23 02:44PM] Jackal used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/19/23 02:56PM] Jackal used command ::yell ::noble or u lame | Player rights = CLERIC_DONATOR	
[4/19/23 03:08PM] Jackal used command ::yell all to ::noble dont miss out | Player rights = CLERIC_DONATOR	
[4/19/23 03:11PM] Jackal used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 03:12PM] Jackal used command ::yell get in ::noble its a vibe | Player rights = CLERIC_DONATOR	
[4/19/23 03:15PM] Jackal used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 03:15PM] Jackal used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 03:16PM] Jackal used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 03:17PM] Jackal used command ::golden | Player rights = CLERIC_DONATOR	
[4/19/23 03:27PM] Jackal used command ::Dr | Player rights = CLERIC_DONATOR	
[4/19/23 03:42PM] Jackal used command ::viegar | Player rights = CLERIC_DONATOR	
[4/19/23 03:42PM] Jackal used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 05:43PM] Jackal used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 06:00PM] Jackal used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 06:01PM] Jackal used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 06:14PM] Jackal used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 06:14PM] Jackal used command ::viegar | Player rights = CLERIC_DONATOR	
[4/19/23 06:15PM] Jackal used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 06:16PM] Jackal used command ::golden | Player rights = CLERIC_DONATOR	
[4/19/23 06:26PM] Jackal used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 06:30PM] Jackal used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 06:30PM] Jackal used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 06:31PM] Jackal used command ::home | Player rights = CLERIC_DONATOR	
[4/19/23 06:31PM] Jackal used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 06:33PM] Jackal used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 06:34PM] Jackal used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 06:39PM] Jackal used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 06:40PM] Jackal used command ::vote | Player rights = CLERIC_DONATOR	
[4/19/23 06:43PM] Jackal used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/19/23 06:43PM] Jackal used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 06:45PM] Jackal used command ::Voteboss | Player rights = CLERIC_DONATOR	
[4/19/23 06:46PM] Jackal used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 06:47PM] Jackal used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 06:48PM] Jackal used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 07:00PM] Jackal used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 07:03PM] Jackal used command ::home | Player rights = CLERIC_DONATOR	
[4/19/23 07:13PM] Jackal used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 07:14PM] Jackal used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 07:15PM] Jackal used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 07:32PM] Jackal used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/19/23 07:43PM] Jackal used command ::dr | Player rights = CLERIC_DONATOR	
[4/19/23 07:43PM] Jackal used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/19/23 08:05PM] Jackal used command ::elo | Player rights = CLERIC_DONATOR	
[4/19/23 08:05PM] Jackal used command ::elo | Player rights = CLERIC_DONATOR	
[4/19/23 08:07PM] Jackal used command ::elo | Player rights = CLERIC_DONATOR	
[4/19/23 08:07PM] Jackal used command ::elo | Player rights = CLERIC_DONATOR	
[4/19/23 08:07PM] Jackal used command ::elo | Player rights = CLERIC_DONATOR	
[4/19/23 08:07PM] Jackal used command ::elo | Player rights = CLERIC_DONATOR	
[4/19/23 08:14PM] Jackal used command ::elo | Player rights = CLERIC_DONATOR	
[4/19/23 08:14PM] Jackal used command ::elo | Player rights = CLERIC_DONATOR	
[4/19/23 08:15PM] Jackal used command ::elo | Player rights = CLERIC_DONATOR	
[4/19/23 08:15PM] Jackal used command ::elo | Player rights = CLERIC_DONATOR	
[4/19/23 08:15PM] Jackal used command ::elo | Player rights = CLERIC_DONATOR	
[4/19/23 08:28PM] Jackal used command ::bank | Player rights = CLERIC_DONATOR	
[4/19/23 08:28PM] Jackal used command ::bank | Player rights = CLERIC_DONATOR	
[4/19/23 08:38PM] Jackal used command ::bank | Player rights = CLERIC_DONATOR	
[4/19/23 08:56PM] Jackal used command ::home | Player rights = CLERIC_DONATOR	
[4/19/23 08:56PM] Jackal used command ::home | Player rights = CLERIC_DONATOR	
[4/19/23 08:56PM] Jackal used command ::home | Player rights = CLERIC_DONATOR	
[4/19/23 08:56PM] Jackal used command ::home | Player rights = CLERIC_DONATOR	
[4/19/23 08:56PM] Jackal used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/19/23 09:01PM] Jackal used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 09:02PM] Jackal used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 09:04PM] Jackal used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 09:06PM] Jackal used command ::golden | Player rights = CLERIC_DONATOR	
[4/19/23 09:06PM] Jackal used command ::Dr | Player rights = CLERIC_DONATOR	
[4/19/23 09:07PM] Jackal used command ::home | Player rights = CLERIC_DONATOR	
[4/19/23 09:07PM] Jackal used command ::slayer | Player rights = CLERIC_DONATOR	
[4/19/23 09:08PM] Jackal used command ::home | Player rights = CLERIC_DONATOR	
[4/19/23 09:08PM] Jackal used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/19/23 09:09PM] Jackal used command ::players | Player rights = CLERIC_DONATOR	
[4/19/23 09:13PM] Jackal used command ::dr | Player rights = CLERIC_DONATOR	
[4/19/23 09:17PM] Jackal used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 09:21PM] Jackal used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 09:22PM] Jackal used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 09:23PM] Jackal used command ::golden | Player rights = CLERIC_DONATOR	
[4/19/23 09:25PM] Jackal used command ::bank | Player rights = CLERIC_DONATOR	
[4/19/23 09:25PM] Jackal used command ::bank | Player rights = CLERIC_DONATOR	
[4/19/23 09:25PM] Jackal used command ::bank | Player rights = CLERIC_DONATOR	
[4/19/23 09:29PM] Jackal used command ::Dr | Player rights = CLERIC_DONATOR	
[4/19/23 09:33PM] Jackal used command ::home | Player rights = CLERIC_DONATOR	
[4/19/23 09:47PM] Jackal used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 09:49PM] Jackal used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 09:54PM] Jackal used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 09:57PM] Jackal used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 09:59PM] Jackal used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 10:19PM] Jackal used command ::viegar | Player rights = CLERIC_DONATOR	
[4/19/23 10:19PM] Jackal used command ::viegar | Player rights = CLERIC_DONATOR	
[4/19/23 10:19PM] Jackal used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/19/23 10:21PM] Jackal used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 06:51AM] Jackal used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 07:19AM] Jackal used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 07:21AM] Jackal used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 07:22AM] Jackal used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 07:24AM] Jackal used command ::Dr | Player rights = CLERIC_DONATOR	
[4/20/23 07:34AM] Jackal used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 02:19PM] Jackal used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 02:20PM] Jackal used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 02:39PM] Jackal used command ::Vote | Player rights = CLERIC_DONATOR	
[4/20/23 02:40PM] Jackal used command ::Reward 1 all | Player rights = CLERIC_DONATOR	
[4/20/23 02:49PM] Jackal used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 02:50PM] Jackal used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 02:51PM] Jackal used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 02:53PM] Jackal used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 02:54PM] Jackal used command ::dr | Player rights = CLERIC_DONATOR	
[4/21/23 07:33AM] Jackal used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 07:34AM] Jackal used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 07:55AM] Jackal used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 07:58AM] Jackal used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 07:58AM] Jackal used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 08:18AM] Jackal used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 08:40AM] Jackal used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 08:40AM] Jackal used command ::::hideall | Player rights = CLERIC_DONATOR	
[4/21/23 08:42AM] Jackal used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:44AM] Jackal used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 08:45AM] Jackal used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 01:31PM] Jackal used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 01:34PM] Jackal used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/26/23 06:23PM] Jackal used command ::vote | Player rights = CLERIC_DONATOR	
[4/26/23 06:24PM] Jackal used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/26/23 06:24PM] Jackal used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/26/23 06:24PM] Jackal used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/26/23 06:24PM] Jackal used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/26/23 06:35PM] Jackal used command ::veigar | Player rights = CLERIC_DONATOR	
[4/26/23 06:37PM] Jackal used command ::golden | Player rights = CLERIC_DONATOR	
[4/26/23 06:37PM] Jackal used command ::home | Player rights = CLERIC_DONATOR	
[4/26/23 06:37PM] Jackal used command ::home | Player rights = CLERIC_DONATOR	
[4/26/23 06:37PM] Jackal used command ::home | Player rights = CLERIC_DONATOR	
[4/26/23 06:37PM] Jackal used command ::home | Player rights = CLERIC_DONATOR	
[4/26/23 06:37PM] Jackal used command ::home | Player rights = CLERIC_DONATOR	
[4/26/23 06:37PM] Jackal used command ::home | Player rights = CLERIC_DONATOR	
[4/26/23 06:37PM] Jackal used command ::home | Player rights = CLERIC_DONATOR	
[4/26/23 07:23PM] Jackal used command ::VOTEBOSS | Player rights = CLERIC_DONATOR	
