[4/16/23 08:46AM] Dezero used command ::bank | Player rights = PLAYER	
[4/22/23 05:30AM] Dezero used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 05:31AM] Dezero used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 05:33AM] Dezero used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/22/23 05:34AM] Dezero used command ::golden | Player rights = TORMENTED_DONATOR	
[4/22/23 05:51AM] Dezero used command ::vote | Player rights = TORMENTED_DONATOR	
[4/22/23 05:51AM] Dezero used command ::reward 1 all | Player rights = TORMENTED_DONATOR	
[4/22/23 05:51AM] Dezero used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/22/23 05:52AM] Dezero used command ::reward 1 all | Player rights = TORMENTED_DONATOR	
[4/22/23 05:52AM] Dezero used command ::home | Player rights = TORMENTED_DONATOR	
[4/22/23 05:56AM] Dezero used command ::donate | Player rights = TORMENTED_DONATOR	
[4/22/23 05:57AM] Dezero used command ::donate | Player rights = TORMENTED_DONATOR	
[4/22/23 06:00AM] Dezero used command ::loot | Player rights = TORMENTED_DONATOR	
[4/22/23 06:02AM] Dezero used command ::Veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 06:02AM] Dezero used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 06:04AM] Dezero used command ::loot | Player rights = TORMENTED_DONATOR	
[4/22/23 06:04AM] Dezero used command ::donate | Player rights = TORMENTED_DONATOR	
[4/22/23 06:05AM] Dezero used command ::claim | Player rights = TORMENTED_DONATOR	
[4/22/23 06:05AM] Dezero used command ::claim | Player rights = TORMENTED_DONATOR	
[4/22/23 06:05AM] Dezero used command ::claim | Player rights = TORMENTED_DONATOR	
[4/22/23 06:06AM] Dezero used command ::clai | Player rights = TORMENTED_DONATOR	
[4/22/23 06:06AM] Dezero used command ::claim | Player rights = TORMENTED_DONATOR	
[4/22/23 06:12AM] Dezero used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/22/23 06:26AM] Dezero used command ::maxhit | Player rights = TORMENTED_DONATOR	
[4/22/23 06:26AM] Dezero used command ::maxhit | Player rights = TORMENTED_DONATOR	
[4/22/23 06:33AM] Dezero used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 06:33AM] Dezero used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/22/23 06:34AM] Dezero used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/22/23 07:03AM] Dezero used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 07:31AM] Dezero used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 07:33AM] Dezero used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/22/23 07:36AM] Dezero used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/22/23 08:02AM] Dezero used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 08:32AM] Dezero used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 08:33AM] Dezero used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 08:33AM] Dezero used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/22/23 08:34AM] Dezero used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/22/23 08:35AM] Dezero used command ::golden | Player rights = TORMENTED_DONATOR	
[4/22/23 08:37AM] Dezero used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/22/23 08:38AM] Dezero used command ::sasuke | Player rights = TORMENTED_DONATOR	
[4/22/23 09:03AM] Dezero used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 09:33AM] Dezero used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 10:01AM] Dezero used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/22/23 10:01AM] Dezero used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/22/23 10:02AM] Dezero used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 10:32AM] Dezero used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 10:33AM] Dezero used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/22/23 10:34AM] Dezero used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/22/23 10:35AM] Dezero used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 10:37AM] Dezero used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/22/23 10:38AM] Dezero used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/22/23 10:39AM] Dezero used command ::golden | Player rights = TORMENTED_DONATOR	
[4/22/23 10:54AM] Dezero used command ::perks | Player rights = TORMENTED_DONATOR	
[4/22/23 11:02AM] Dezero used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 11:05AM] Dezero used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/22/23 11:57AM] Dezero used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/22/23 11:59AM] Dezero used command ::perks | Player rights = TORMENTED_DONATOR	
[4/22/23 12:30PM] Dezero used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 12:33PM] Dezero used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/22/23 12:34PM] Dezero used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/22/23 12:36PM] Dezero used command ::wr3cked | Player rights = TORMENTED_DONATOR	
[4/22/23 12:50PM] Dezero used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/22/23 12:50PM] Dezero used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/22/23 01:03PM] Dezero used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/22/23 01:31PM] Dezero used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/22/23 01:32PM] Dezero used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/22/23 01:33PM] Dezero used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/22/23 01:41PM] Dezero used command ::maxhit | Player rights = MYSTICAL_DONATOR	
[4/22/23 01:41PM] Dezero used command ::maxhit | Player rights = MYSTICAL_DONATOR	
[4/22/23 02:02PM] Dezero used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/22/23 02:29PM] Dezero used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/22/23 02:33PM] Dezero used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/22/23 02:34PM] Dezero used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/22/23 02:35PM] Dezero used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/22/23 02:35PM] Dezero used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/22/23 02:36PM] Dezero used command ::dropoff | Player rights = MYSTICAL_DONATOR	
[4/22/23 02:38PM] Dezero used command ::upgrade | Player rights = MYSTICAL_DONATOR	
[4/22/23 02:38PM] Dezero used command ::home | Player rights = MYSTICAL_DONATOR	
[4/22/23 03:03PM] Dezero used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/22/23 03:07PM] Dezero used command ::noble | Player rights = MYSTICAL_DONATOR	
[4/22/23 03:21PM] Dezero used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/22/23 03:22PM] Dezero used command ::voteboss | Player rights = MYSTICAL_DONATOR	
[4/22/23 03:22PM] Dezero used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/22/23 03:32PM] Dezero used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/22/23 03:34PM] Dezero used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/22/23 03:36PM] Dezero used command ::elo | Player rights = MYSTICAL_DONATOR	
[4/22/23 03:37PM] Dezero used command ::elo | Player rights = MYSTICAL_DONATOR	
[4/22/23 03:37PM] Dezero used command ::elo | Player rights = MYSTICAL_DONATOR	
[4/22/23 03:37PM] Dezero used command ::elo | Player rights = MYSTICAL_DONATOR	
[4/22/23 03:37PM] Dezero used command ::elo | Player rights = MYSTICAL_DONATOR	
[4/23/23 03:32AM] Dezero used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/23/23 03:32AM] Dezero used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/23/23 03:32AM] Dezero used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/23/23 03:32AM] Dezero used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/23/23 03:32AM] Dezero used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/23/23 03:35AM] Dezero used command ::dropoff | Player rights = MYSTICAL_DONATOR	
[4/23/23 03:40AM] Dezero used command ::voteboss | Player rights = MYSTICAL_DONATOR	
[4/23/23 03:41AM] Dezero used command ::voteboss | Player rights = MYSTICAL_DONATOR	
[4/23/23 03:53AM] Dezero used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/23/23 03:53AM] Dezero used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/23/23 03:59AM] Dezero used command ::dropoff | Player rights = MYSTICAL_DONATOR	
[4/23/23 04:05AM] Dezero used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/23/23 04:05AM] Dezero used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/23/23 04:05AM] Dezero used command ::dropoff | Player rights = MYSTICAL_DONATOR	
[4/23/23 04:06AM] Dezero used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/23/23 04:06AM] Dezero used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/23/23 04:06AM] Dezero used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/23/23 04:31AM] Dezero used command ::voteboss | Player rights = MYSTICAL_DONATOR	
[4/23/23 04:34AM] Dezero used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/23/23 04:55AM] Dezero used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/23/23 04:57AM] Dezero used command ::donate | Player rights = MYSTICAL_DONATOR	
[4/23/23 05:04AM] Dezero used command ::veigart | Player rights = MYSTICAL_DONATOR	
[4/23/23 05:04AM] Dezero used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/23/23 05:05AM] Dezero used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/23/23 05:11AM] Dezero used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/23/23 05:19AM] Dezero used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/23/23 05:52AM] Dezero used command ::donate | Player rights = MYSTICAL_DONATOR	
[4/23/23 05:53AM] Dezero used command ::home | Player rights = MYSTICAL_DONATOR	
[4/23/23 05:57AM] Dezero used command ::claim | Player rights = MYSTICAL_DONATOR	
[4/23/23 05:57AM] Dezero used command ::claim | Player rights = MYSTICAL_DONATOR	
[4/23/23 05:57AM] Dezero used command ::donated | Player rights = MYSTICAL_DONATOR	
[4/23/23 05:58AM] Dezero used command ::claim | Player rights = MYSTICAL_DONATOR	
[4/23/23 06:00AM] Dezero used command ::dropoff | Player rights = MYSTICAL_DONATOR	
[4/23/23 06:00AM] Dezero used command ::claim | Player rights = MYSTICAL_DONATOR	
[4/23/23 06:04AM] Dezero used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/23/23 06:04AM] Dezero used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/23/23 06:05AM] Dezero used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/23/23 06:05AM] Dezero used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/23/23 06:34AM] Dezero used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/23/23 06:39AM] Dezero used command ::npc 11 | Player rights = MYSTICAL_DONATOR	
[4/23/23 06:39AM] Dezero used command ::npc 331 1 | Player rights = MYSTICAL_DONATOR	
[4/23/23 06:39AM] Dezero used command ::npc 1 1 | Player rights = MYSTICAL_DONATOR	
[4/23/23 06:39AM] Dezero used command ::item 14496 1 | Player rights = MYSTICAL_DONATOR	
[4/23/23 06:39AM] Dezero used command ::home | Player rights = MYSTICAL_DONATOR	
[4/23/23 06:57AM] Dezero used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/23/23 06:57AM] Dezero used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/23/23 07:04AM] Dezero used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/23/23 07:05AM] Dezero used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/23/23 07:05AM] Dezero used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/23/23 07:34AM] Dezero used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/23/23 08:01AM] Dezero used command ::claim | Player rights = MYSTICAL_DONATOR	
[4/23/23 08:04AM] Dezero used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/23/23 08:04AM] Dezero used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/23/23 08:05AM] Dezero used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/23/23 08:07AM] Dezero used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/23/23 09:25AM] Dezero used command ::claim | Player rights = MYSTICAL_DONATOR	
[4/23/23 09:26AM] Dezero used command ::voteboss | Player rights = MYSTICAL_DONATOR	
[4/23/23 09:27AM] Dezero used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/23/23 09:28AM] Dezero used command ::dropoff | Player rights = MYSTICAL_DONATOR	
[4/23/23 09:33AM] Dezero used command ::save | Player rights = MYSTICAL_DONATOR	
