[4/15/23 11:51PM] Fanta used command ::ref | Player rights = PLAYER	
[4/17/23 06:34PM] Fanta used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 06:35PM] Fanta used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:01PM] Fanta used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:04PM] Fanta used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:33PM] Fanta used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:33PM] Fanta used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:35PM] Fanta used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:28PM] Fanta used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:29PM] Fanta used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:01PM] Fanta used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:05PM] Fanta used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:28PM] Fanta used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:29PM] Fanta used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:58PM] Fanta used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:58PM] Fanta used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:58PM] Fanta used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:58PM] Fanta used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:00PM] Fanta used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:33AM] Fanta used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:46AM] Fanta used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:56AM] Fanta used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/18/23 08:53PM] Fanta used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/18/23 11:21PM] Fanta used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/19/23 10:11AM] Fanta used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:50PM] Fanta used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:51PM] Fanta used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:52PM] Fanta used command ::redeem all 1 | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:53PM] Fanta used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:53PM] Fanta used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 12:02AM] Fanta used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/20/23 12:08AM] Fanta used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:53PM] Fanta used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:10PM] Fanta used command ::Afk | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:10PM] Fanta used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:12PM] Fanta used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:21PM] Fanta used command ::Afk | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:16AM] Fanta used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:45AM] Fanta used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:46AM] Fanta used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:24PM] Fanta used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:26PM] Fanta used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:30PM] Fanta used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:35PM] Fanta used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:35PM] Fanta used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:36PM] Fanta used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:36PM] Fanta used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:28PM] Fanta used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:30PM] Fanta used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:33PM] Fanta used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:34PM] Fanta used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:35PM] Fanta used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:38PM] Fanta used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:56PM] Fanta used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:02PM] Fanta used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:31PM] Fanta used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:32PM] Fanta used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:32PM] Fanta used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:33PM] Fanta used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:34PM] Fanta used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:23PM] Fanta used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:31PM] Fanta used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:33PM] Fanta used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:35PM] Fanta used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:40PM] Fanta used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:51PM] Fanta used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/22/23 06:28PM] Fanta used command ::vote | Player rights = CLERIC_DONATOR	
[4/22/23 06:30PM] Fanta used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/22/23 06:32PM] Fanta used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 06:34PM] Fanta used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 06:35PM] Fanta used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 06:49PM] Fanta used command ::afk | Player rights = CLERIC_DONATOR	
[4/22/23 07:32PM] Fanta used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 09:08PM] Fanta used command ::ninetails::Afk | Player rights = CLERIC_DONATOR	
[4/22/23 09:08PM] Fanta used command ::afk | Player rights = CLERIC_DONATOR	
[4/22/23 09:49PM] Fanta used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/22/23 10:02PM] Fanta used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 10:05PM] Fanta used command ::Afk | Player rights = CLERIC_DONATOR	
[4/26/23 08:31AM] Fanta used command ::afk | Player rights = CLERIC_DONATOR	
[4/26/23 09:04AM] Fanta used command ::veigar | Player rights = CLERIC_DONATOR	
[4/26/23 09:06AM] Fanta used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/26/23 09:07AM] Fanta used command ::meruem | Player rights = CLERIC_DONATOR	
[4/26/23 09:09AM] Fanta used command ::golden | Player rights = CLERIC_DONATOR	
[4/26/23 09:10AM] Fanta used command ::vote | Player rights = CLERIC_DONATOR	
[4/26/23 09:10AM] Fanta used command ::lano | Player rights = CLERIC_DONATOR	
[4/26/23 09:19AM] Fanta used command ::elo | Player rights = CLERIC_DONATOR	
[4/26/23 09:21AM] Fanta used command ::elo | Player rights = CLERIC_DONATOR	
[4/26/23 09:21AM] Fanta used command ::elo | Player rights = CLERIC_DONATOR	
[4/26/23 09:22AM] Fanta used command ::vboss | Player rights = CLERIC_DONATOR	
[4/26/23 09:22AM] Fanta used command ::elo | Player rights = CLERIC_DONATOR	
[4/26/23 09:23AM] Fanta used command ::elo | Player rights = CLERIC_DONATOR	
[4/26/23 09:23AM] Fanta used command ::elo | Player rights = CLERIC_DONATOR	
[4/26/23 09:24AM] Fanta used command ::elo | Player rights = CLERIC_DONATOR	
[4/26/23 09:24AM] Fanta used command ::elo | Player rights = CLERIC_DONATOR	
[4/26/23 09:50AM] Fanta used command ::elo | Player rights = CLERIC_DONATOR	
[4/26/23 09:50AM] Fanta used command ::elo | Player rights = CLERIC_DONATOR	
[4/26/23 09:51AM] Fanta used command ::elo | Player rights = CLERIC_DONATOR	
[4/26/23 09:51AM] Fanta used command ::elo | Player rights = CLERIC_DONATOR	
[4/26/23 09:52AM] Fanta used command ::elo | Player rights = CLERIC_DONATOR	
[4/26/23 10:02AM] Fanta used command ::vote | Player rights = CLERIC_DONATOR	
[4/26/23 10:05AM] Fanta used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/26/23 10:05AM] Fanta used command ::veigar | Player rights = CLERIC_DONATOR	
[4/26/23 10:05AM] Fanta used command ::veigar | Player rights = CLERIC_DONATOR	
[4/26/23 10:06AM] Fanta used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/26/23 10:07AM] Fanta used command ::vboss | Player rights = CLERIC_DONATOR	
[4/26/23 10:07AM] Fanta used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/26/23 10:07AM] Fanta used command ::vboss | Player rights = CLERIC_DONATOR	
[4/26/23 10:08AM] Fanta used command ::meruem | Player rights = CLERIC_DONATOR	
[4/26/23 10:08AM] Fanta used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/26/23 10:09AM] Fanta used command ::meruem | Player rights = CLERIC_DONATOR	
[4/26/23 10:10AM] Fanta used command ::golden | Player rights = CLERIC_DONATOR	
[4/26/23 10:17AM] Fanta used command ::elo | Player rights = CLERIC_DONATOR	
[4/26/23 10:52AM] Fanta used command ::afk | Player rights = CLERIC_DONATOR	
[4/26/23 03:30PM] Fanta used command ::elo | Player rights = CLERIC_DONATOR	
[4/26/23 03:32PM] Fanta used command ::afk | Player rights = CLERIC_DONATOR	
[4/26/23 04:49PM] Fanta used command ::afk | Player rights = CLERIC_DONATOR	
[4/26/23 05:33PM] Fanta used command ::vboss | Player rights = CLERIC_DONATOR	
[4/26/23 05:36PM] Fanta used command ::veigar | Player rights = CLERIC_DONATOR	
[4/26/23 05:37PM] Fanta used command ::elo | Player rights = CLERIC_DONATOR	
[4/26/23 05:38PM] Fanta used command ::elo | Player rights = CLERIC_DONATOR	
[4/26/23 05:38PM] Fanta used command ::elo | Player rights = CLERIC_DONATOR	
[4/26/23 05:41PM] Fanta used command ::afk | Player rights = CLERIC_DONATOR	
[4/26/23 07:50PM] Fanta used command ::vboss | Player rights = CLERIC_DONATOR	
[4/26/23 07:58PM] Fanta used command ::elo | Player rights = CLERIC_DONATOR	
[4/26/23 07:58PM] Fanta used command ::elo | Player rights = CLERIC_DONATOR	
[4/26/23 07:59PM] Fanta used command ::elo | Player rights = CLERIC_DONATOR	
[4/26/23 08:06PM] Fanta used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/26/23 08:06PM] Fanta used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/26/23 08:07PM] Fanta used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/26/23 08:55PM] Fanta used command ::elo | Player rights = CLERIC_DONATOR	
[4/26/23 08:55PM] Fanta used command ::elo | Player rights = CLERIC_DONATOR	
[4/26/23 09:01PM] Fanta used command ::raids | Player rights = CLERIC_DONATOR	
[4/26/23 09:01PM] Fanta used command ::elo | Player rights = CLERIC_DONATOR	
[4/26/23 09:05PM] Fanta used command ::veigar | Player rights = CLERIC_DONATOR	
[4/26/23 09:06PM] Fanta used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/26/23 09:08PM] Fanta used command ::meruem | Player rights = CLERIC_DONATOR	
[4/26/23 09:09PM] Fanta used command ::golden | Player rights = CLERIC_DONATOR	
[4/26/23 09:11PM] Fanta used command ::elo | Player rights = CLERIC_DONATOR	
[4/26/23 09:46PM] Fanta used command ::vote | Player rights = CLERIC_DONATOR	
[4/26/23 09:47PM] Fanta used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/26/23 09:48PM] Fanta used command ::vboss | Player rights = CLERIC_DONATOR	
[4/26/23 09:48PM] Fanta used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/26/23 10:31PM] Fanta used command ::afk | Player rights = CLERIC_DONATOR	
[4/27/23 12:19AM] Fanta used command ::afk | Player rights = CLERIC_DONATOR	
[4/27/23 09:03AM] Fanta used command ::veigar | Player rights = CLERIC_DONATOR	
[4/27/23 09:06AM] Fanta used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/27/23 09:07AM] Fanta used command ::meruem | Player rights = CLERIC_DONATOR	
[4/27/23 09:08AM] Fanta used command ::golden | Player rights = CLERIC_DONATOR	
[4/27/23 09:09AM] Fanta used command ::vboss | Player rights = CLERIC_DONATOR	
[4/27/23 09:14AM] Fanta used command ::afk | Player rights = CLERIC_DONATOR	
[4/27/23 04:04PM] Fanta used command ::veigar | Player rights = CLERIC_DONATOR	
[4/27/23 04:06PM] Fanta used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/27/23 04:06PM] Fanta used command ::vote | Player rights = CLERIC_DONATOR	
[4/27/23 04:08PM] Fanta used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/27/23 04:10PM] Fanta used command ::elo | Player rights = CLERIC_DONATOR	
[4/27/23 04:22PM] Fanta used command ::afk | Player rights = CLERIC_DONATOR	
[4/27/23 04:28PM] Fanta used command ::vboss | Player rights = CLERIC_DONATOR	
[4/27/23 04:43PM] Fanta used command ::afk | Player rights = CLERIC_DONATOR	
[4/27/23 09:00PM] Fanta used command ::elo | Player rights = CLERIC_DONATOR	
[4/27/23 09:00PM] Fanta used command ::raids | Player rights = CLERIC_DONATOR	
[4/27/23 09:04PM] Fanta used command ::veigar | Player rights = CLERIC_DONATOR	
[4/27/23 09:06PM] Fanta used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/27/23 09:08PM] Fanta used command ::meruem | Player rights = CLERIC_DONATOR	
[4/27/23 09:10PM] Fanta used command ::golden | Player rights = CLERIC_DONATOR	
[4/27/23 09:11PM] Fanta used command ::home | Player rights = CLERIC_DONATOR	
[4/27/23 09:11PM] Fanta used command ::pos | Player rights = CLERIC_DONATOR	
[4/27/23 09:12PM] Fanta used command ::pos | Player rights = CLERIC_DONATOR	
[4/27/23 09:13PM] Fanta used command ::afk | Player rights = CLERIC_DONATOR	
[4/27/23 09:47PM] Fanta used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/27/23 09:47PM] Fanta used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/27/23 09:49PM] Fanta used command ::pos | Player rights = CLERIC_DONATOR	
[4/27/23 09:51PM] Fanta used command ::afk | Player rights = CLERIC_DONATOR	
