[4/18/23 12:19PM] Jizzle used command ::refer | Player rights = PLAYER	
[4/20/23 11:17AM] Jizzle used command ::afk | Player rights = PLAYER	
[4/20/23 11:19AM] Jizzle used command ::veigar | Player rights = PLAYER	
[4/20/23 11:21AM] Jizzle used command ::ninetails | Player rights = PLAYER	
[4/20/23 11:22AM] Jizzle used command ::meruem | Player rights = PLAYER	
[4/20/23 11:24AM] Jizzle used command ::afk | Player rights = PLAYER	
[4/20/23 12:18PM] Jizzle used command ::veigar | Player rights = PLAYER	
[4/20/23 12:20PM] Jizzle used command ::ninetails | Player rights = PLAYER	
[4/20/23 12:21PM] Jizzle used command ::golden | Player rights = PLAYER	
[4/20/23 12:22PM] Jizzle used command ::vboss | Player rights = PLAYER	
[4/20/23 12:25PM] Jizzle used command ::afk | Player rights = PLAYER	
[4/20/23 03:19PM] Jizzle used command ::veigar | Player rights = PLAYER	
[4/20/23 03:20PM] Jizzle used command ::ninetails | Player rights = PLAYER	
[4/20/23 03:21PM] Jizzle used command ::meruem | Player rights = PLAYER	
[4/20/23 03:22PM] Jizzle used command ::golden | Player rights = PLAYER	
[4/20/23 03:23PM] Jizzle used command ::golden | Player rights = PLAYER	
[4/20/23 03:25PM] Jizzle used command ::afk | Player rights = PLAYER	
[4/21/23 02:04AM] Jizzle used command ::afk | Player rights = PLAYER	
[4/21/23 02:26AM] Jizzle used command ::Vboss | Player rights = PLAYER	
[4/21/23 02:29AM] Jizzle used command ::afk | Player rights = PLAYER	
[4/21/23 02:33AM] Jizzle used command ::veigar | Player rights = PLAYER	
[4/21/23 02:35AM] Jizzle used command ::ninetails | Player rights = PLAYER	
[4/21/23 02:37AM] Jizzle used command ::meruem | Player rights = PLAYER	
[4/21/23 02:39AM] Jizzle used command ::golden | Player rights = PLAYER	
[4/21/23 02:41AM] Jizzle used command ::afk | Player rights = PLAYER	
[4/21/23 03:07PM] Jizzle used command ::vboss | Player rights = PLAYER	
[4/21/23 03:07PM] Jizzle used command ::afk | Player rights = PLAYER	
