[4/20/23 11:28AM] Roe used command ::training | Player rights = PLAYER	
[4/21/23 08:34AM] Roe used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:35AM] Roe used command ::mureums | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:35AM] Roe used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:37AM] Roe used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:39AM] Roe used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:40AM] Roe used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:57PM] Roe used command ::discord | Player rights = GRACEFUL_DONATOR	
[4/21/23 01:00PM] Roe used command ::ref nobledefeat | Player rights = GRACEFUL_DONATOR	
[4/21/23 01:02PM] Roe used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 01:05PM] Roe used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 01:12PM] Roe used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/21/23 01:12PM] Roe used command ::voteball | Player rights = GRACEFUL_DONATOR	
[4/21/23 01:12PM] Roe used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 01:23PM] Roe used command ::gamble | Player rights = GRACEFUL_DONATOR	
[4/21/23 01:32PM] Roe used command ::veogar | Player rights = GRACEFUL_DONATOR	
[4/21/23 01:32PM] Roe used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 01:34PM] Roe used command ::nine tails | Player rights = GRACEFUL_DONATOR	
[4/21/23 01:34PM] Roe used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 01:46PM] Roe used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:55AM] Roe used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:57AM] Roe used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:02AM] Roe used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:04AM] Roe used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:06AM] Roe used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:12AM] Roe used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:15AM] Roe used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:22AM] Roe used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:22AM] Roe used command ::Dr | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:32AM] Roe used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:33AM] Roe used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:33AM] Roe used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:33AM] Roe used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:34AM] Roe used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:35AM] Roe used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:48AM] Roe used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:53AM] Roe used command ::hom | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:53AM] Roe used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:58AM] Roe used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:02PM] Roe used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:09PM] Roe used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:11PM] Roe used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:13PM] Roe used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:14PM] Roe used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:15PM] Roe used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:16PM] Roe used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:16PM] Roe used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:18PM] Roe used command ::Dr | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:18PM] Roe used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:20PM] Roe used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:21PM] Roe used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:21PM] Roe used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:23PM] Roe used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:32PM] Roe used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:33PM] Roe used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:34PM] Roe used command ::mureum | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:34PM] Roe used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:17PM] Roe used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:18PM] Roe used command ::Dr | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:18PM] Roe used command ::Dr | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:22PM] Roe used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:26PM] Roe used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:31PM] Roe used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:31PM] Roe used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:32PM] Roe used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:32PM] Roe used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:34PM] Roe used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:35PM] Roe used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:35PM] Roe used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:42PM] Roe used command ::yell selling 90dr 60ddr pet @ pm | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:48PM] Roe used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:48PM] Roe used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:02PM] Roe used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:05PM] Roe used command ::home | Player rights = GRACEFUL_DONATOR	
