[4/19/23 11:53AM] Army used command ::refer | Player rights = PLAYER	
[4/19/23 11:07PM] Army used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:10PM] Army used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:14PM] Army used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:16PM] Army used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:19PM] Army used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:21PM] Army used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:23PM] Army used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:25PM] Army used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:26PM] Army used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:29PM] Army used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:33PM] Army used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:37PM] Army used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:38PM] Army used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:39PM] Army used command ::shop | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:39PM] Army used command ::shops | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:39PM] Army used command ::shops | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:39PM] Army used command ::skilling | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:40PM] Army used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:42PM] Army used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:48PM] Army used command ::homw | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:48PM] Army used command ::hom | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:48PM] Army used command ::homw | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:48PM] Army used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:48PM] Army used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:48PM] Army used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:51PM] Army used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:53PM] Army used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 12:02AM] Army used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/20/23 05:50AM] Army used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 05:53AM] Army used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 05:58AM] Army used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:03AM] Army used command ::afk | Player rights = CLERIC_DONATOR	
[4/20/23 06:20AM] Army used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 06:21AM] Army used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 06:22AM] Army used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 06:26AM] Army used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 06:28AM] Army used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 06:30AM] Army used command ::vote | Player rights = CLERIC_DONATOR	
[4/20/23 06:32AM] Army used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/20/23 06:32AM] Army used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/20/23 06:32AM] Army used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/20/23 06:32AM] Army used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 06:32AM] Army used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/20/23 06:36AM] Army used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:49AM] Army used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 06:52AM] Army used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:53AM] Army used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 06:57AM] Army used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 07:05AM] Army used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 07:17AM] Army used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 07:21AM] Army used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 07:22AM] Army used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 07:24AM] Army used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 07:27AM] Army used command ::afk | Player rights = CLERIC_DONATOR	
[4/20/23 08:18AM] Army used command ::afk | Player rights = CLERIC_DONATOR	
[4/20/23 08:19AM] Army used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 08:21AM] Army used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 08:23AM] Army used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 08:37AM] Army used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 08:42AM] Army used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 08:43AM] Army used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 08:43AM] Army used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 08:49AM] Army used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 09:13AM] Army used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 09:20AM] Army used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 09:22AM] Army used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 09:23AM] Army used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 09:24AM] Army used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 09:28AM] Army used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:49AM] Army used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 09:50AM] Army used command ::donate | Player rights = CLERIC_DONATOR	
[4/20/23 09:54AM] Army used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 10:09AM] Army used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 10:12AM] Army used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 10:19AM] Army used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 10:20AM] Army used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:21AM] Army used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 10:22AM] Army used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 10:23AM] Army used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 10:24AM] Army used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:25AM] Army used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:26AM] Army used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 10:26AM] Army used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:28AM] Army used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 10:30AM] Army used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 10:30AM] Army used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 10:31AM] Army used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 10:32AM] Army used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 10:34AM] Army used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:35AM] Army used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 10:38AM] Army used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 10:42AM] Army used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 10:44AM] Army used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 10:46AM] Army used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 10:47AM] Army used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 10:48AM] Army used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:49AM] Army used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 10:49AM] Army used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 10:49AM] Army used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 10:49AM] Army used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 10:51AM] Army used command ::afk | Player rights = CLERIC_DONATOR	
[4/20/23 11:08AM] Army used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 11:08AM] Army used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 11:09AM] Army used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 11:15AM] Army used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 11:19AM] Army used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 11:21AM] Army used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 11:22AM] Army used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 11:23AM] Army used command ::afk | Player rights = CLERIC_DONATOR	
[4/20/23 11:53AM] Army used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 03:47PM] Army used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 03:47PM] Army used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 03:49PM] Army used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 04:08PM] Army used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 04:13PM] Army used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 04:14PM] Army used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 04:19PM] Army used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 04:20PM] Army used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 04:27PM] Army used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 04:34PM] Army used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 04:43PM] Army used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 04:45PM] Army used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 04:49PM] Army used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 04:51PM] Army used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 04:58PM] Army used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 05:02PM] Army used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 05:08PM] Army used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 05:12PM] Army used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 05:19PM] Army used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 05:20PM] Army used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 05:21PM] Army used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 05:23PM] Army used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 05:26PM] Army used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 05:27PM] Army used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 05:47PM] Army used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 06:13PM] Army used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:20PM] Army used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 06:21PM] Army used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 06:24PM] Army used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:26PM] Army used command ::vote | Player rights = CLERIC_DONATOR	
[4/20/23 06:28PM] Army used command ::claimvote | Player rights = CLERIC_DONATOR	
[4/20/23 06:28PM] Army used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/20/23 06:37PM] Army used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/20/23 06:37PM] Army used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 06:47PM] Army used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 07:11PM] Army used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 07:20PM] Army used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 07:21PM] Army used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 07:57PM] Army used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 08:19PM] Army used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 08:34PM] Army used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 08:35PM] Army used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 08:35PM] Army used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 08:37PM] Army used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 08:37PM] Army used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 08:38PM] Army used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 08:41PM] Army used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 08:43PM] Army used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 08:44PM] Army used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 08:48PM] Army used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 08:56PM] Army used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 09:02PM] Army used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 09:29PM] Army used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 09:53PM] Army used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 09:54PM] Army used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 09:55PM] Army used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:59PM] Army used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 10:02PM] Army used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:06PM] Army used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 10:23PM] Army used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 10:29PM] Army used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:34PM] Army used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 10:36PM] Army used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 10:51PM] Army used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 11:25PM] Army used command ::vigar | Player rights = CLERIC_DONATOR	
[4/20/23 11:25PM] Army used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 11:25PM] Army used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 11:27PM] Army used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 11:29PM] Army used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 11:34PM] Army used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 11:35PM] Army used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 11:38PM] Army used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:46AM] Army used command ::vote | Player rights = CLERIC_DONATOR	
[4/21/23 08:48AM] Army used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/21/23 08:48AM] Army used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/21/23 08:48AM] Army used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/21/23 08:48AM] Army used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/21/23 09:27AM] Army used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 03:32PM] Army used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 03:34PM] Army used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 04:02PM] Army used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 04:33PM] Army used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 04:34PM] Army used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 04:35PM] Army used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 04:35PM] Army used command ::vote | Player rights = CLERIC_DONATOR	
[4/21/23 05:21PM] Army used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 05:21PM] Army used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 05:25PM] Army used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 05:33PM] Army used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 05:34PM] Army used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 06:03PM] Army used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 06:28PM] Army used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 06:33PM] Army used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 06:34PM] Army used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 06:35PM] Army used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 06:36PM] Army used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 06:44PM] Army used command ::slayer | Player rights = CLERIC_DONATOR	
[4/21/23 06:48PM] Army used command ::slayer | Player rights = CLERIC_DONATOR	
[4/21/23 06:54PM] Army used command ::slayer | Player rights = CLERIC_DONATOR	
[4/21/23 07:00PM] Army used command ::slayer | Player rights = CLERIC_DONATOR	
[4/21/23 07:03PM] Army used command ::veigar' | Player rights = CLERIC_DONATOR	
[4/21/23 07:04PM] Army used command ::slayer | Player rights = CLERIC_DONATOR	
[4/21/23 07:09PM] Army used command ::slayer | Player rights = CLERIC_DONATOR	
[4/21/23 07:13PM] Army used command ::slayer | Player rights = CLERIC_DONATOR	
[4/21/23 07:18PM] Army used command ::slayer | Player rights = CLERIC_DONATOR	
[4/21/23 07:24PM] Army used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 07:26PM] Army used command ::bank | Player rights = CLERIC_DONATOR	
[4/21/23 08:29PM] Army used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 08:30PM] Army used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 08:31PM] Army used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 08:33PM] Army used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 08:34PM] Army used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 08:35PM] Army used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 08:36PM] Army used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 09:00PM] Army used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 09:01PM] Army used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 09:02PM] Army used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 09:02PM] Army used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 09:32PM] Army used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 09:34PM] Army used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/21/23 10:00PM] Army used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/21/23 10:01PM] Army used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 10:06PM] Army used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/21/23 10:19PM] Army used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 10:20PM] Army used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/21/23 10:21PM] Army used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 10:21PM] Army used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 10:26PM] Army used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 11:20PM] Army used command ::reward 1 all | Player rights = TORMENTED_DONATOR	
[4/22/23 06:37AM] Army used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 07:25AM] Army used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 07:32AM] Army used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 07:32AM] Army used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 07:33AM] Army used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/22/23 07:34AM] Army used command ::vote | Player rights = TORMENTED_DONATOR	
[4/22/23 07:36AM] Army used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/22/23 08:02AM] Army used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 08:02AM] Army used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 08:04AM] Army used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 08:08AM] Army used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 08:30AM] Army used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 08:31AM] Army used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 08:33AM] Army used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/22/23 08:34AM] Army used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/22/23 08:34AM] Army used command ::golden | Player rights = TORMENTED_DONATOR	
[4/22/23 08:36AM] Army used command ::vote | Player rights = TORMENTED_DONATOR	
[4/22/23 08:37AM] Army used command ::reward 1 | Player rights = TORMENTED_DONATOR	
[4/22/23 08:37AM] Army used command ::vbos | Player rights = TORMENTED_DONATOR	
[4/22/23 08:37AM] Army used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/22/23 08:41AM] Army used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 09:03AM] Army used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 09:30AM] Army used command ::dropoff | Player rights = TORMENTED_DONATOR	
[4/22/23 09:33AM] Army used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 09:33AM] Army used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/22/23 09:37AM] Army used command ::afk | Player rights = TORMENTED_DONATOR	
[4/22/23 01:30PM] Army used command ::vote | Player rights = TORMENTED_DONATOR	
[4/22/23 01:30PM] Army used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/22/23 01:31PM] Army used command ::reward 1 all | Player rights = TORMENTED_DONATOR	
[4/22/23 01:32PM] Army used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 01:33PM] Army used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/22/23 01:40PM] Army used command ::dropoff | Player rights = TORMENTED_DONATOR	
[4/22/23 02:02PM] Army used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 02:32PM] Army used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 02:33PM] Army used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/22/23 02:34PM] Army used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/22/23 02:35PM] Army used command ::golden | Player rights = TORMENTED_DONATOR	
[4/22/23 04:19PM] Army used command ::reward 1 all | Player rights = TORMENTED_DONATOR	
[4/22/23 04:20PM] Army used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 04:21PM] Army used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 04:26PM] Army used command ::dropoff | Player rights = TORMENTED_DONATOR	
[4/22/23 04:32PM] Army used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 04:33PM] Army used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/22/23 04:34PM] Army used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/22/23 04:36PM] Army used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/22/23 05:03PM] Army used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 05:32PM] Army used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 05:33PM] Army used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/22/23 05:34PM] Army used command ::golden | Player rights = TORMENTED_DONATOR	
[4/22/23 05:47PM] Army used command ::elo | Player rights = TORMENTED_DONATOR	
[4/22/23 05:47PM] Army used command ::raids | Player rights = TORMENTED_DONATOR	
[4/22/23 05:50PM] Army used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 05:50PM] Army used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 05:52PM] Army used command ::Bank | Player rights = TORMENTED_DONATOR	
[4/22/23 05:53PM] Army used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 06:00PM] Army used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 06:02PM] Army used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 06:07PM] Army used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 06:07PM] Army used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 06:32PM] Army used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 06:34PM] Army used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/22/23 06:35PM] Army used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/22/23 07:02PM] Army used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 07:05PM] Army used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 07:32PM] Army used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 07:34PM] Army used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/22/23 07:40PM] Army used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/22/23 09:37PM] Army used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 02:11AM] Army used command ::vote | Player rights = TORMENTED_DONATOR	
[4/23/23 02:16AM] Army used command ::reward 1 all | Player rights = TORMENTED_DONATOR	
[4/23/23 02:19AM] Army used command ::pos | Player rights = TORMENTED_DONATOR	
