[4/15/23 08:36PM] Reaperboi used command ::ref walkchaos | Player rights = PLAYER	
[4/15/23 11:07PM] Reaperboi used command ::viegar | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:07PM] Reaperboi used command ::viegar | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:07PM] Reaperboi used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:08PM] Reaperboi used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:08PM] Reaperboi used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:09PM] Reaperboi used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:09PM] Reaperboi used command ::muem | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:09PM] Reaperboi used command ::mueum | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:38PM] Reaperboi used command ::yell tradeing rogue sword for range or mage @PM | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:40PM] Reaperboi used command ::raid | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:44PM] Reaperboi used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:44PM] Reaperboi used command ::meriem | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:44PM] Reaperboi used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:52PM] Reaperboi used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:53PM] Reaperboi used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:23AM] Reaperboi used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:25AM] Reaperboi used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:27AM] Reaperboi used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:56AM] Reaperboi used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:58AM] Reaperboi used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:25PM] Reaperboi used command ::donate | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:29PM] Reaperboi used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:30PM] Reaperboi used command ::donate | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:42PM] Reaperboi used command ::donate | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:50PM] Reaperboi used command ::yell selling $50 in name @PM | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:58PM] Reaperboi used command ::yell selling $50 in name donation @PM | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:02PM] Reaperboi used command ::dissolve | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:02PM] Reaperboi used command ::dissolve | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:10PM] Reaperboi used command ::yell selling $50 in name @PM | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:11PM] Reaperboi used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:13PM] Reaperboi used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:14PM] Reaperboi used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:47PM] Reaperboi used command ::upgrade | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:48PM] Reaperboi used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:49PM] Reaperboi used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:49PM] Reaperboi used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:53PM] Reaperboi used command ::yell selling $50 in name @PM | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:02AM] Reaperboi used command ::yell selling $10 bond pm :) | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:11AM] Reaperboi used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:19AM] Reaperboi used command ::yell selling $50 in name @PM | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:49AM] Reaperboi used command ::yell selling $50 IN NAME donation @PM | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:19AM] Reaperboi used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:20AM] Reaperboi used command ::viegar | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:20AM] Reaperboi used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:21AM] Reaperboi used command ::donate | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:22AM] Reaperboi used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:23AM] Reaperboi used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:23AM] Reaperboi used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:24AM] Reaperboi used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:27AM] Reaperboi used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:27AM] Reaperboi used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:30AM] Reaperboi used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:34AM] Reaperboi used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 11:28AM] Reaperboi used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 11:28AM] Reaperboi used command ::yell selling $50 in name @PM | Player rights = GRACEFUL_DONATOR	
