[4/15/23 08:53PM] Jroc used command ::teleport | Player rights = PLAYER	
[4/16/23 11:13AM] Jroc used command ::yell buying any good weapon! trying to spend 1.5m | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:21AM] Jroc used command ::yell buying exe bow 1m | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:21AM] Jroc used command ::yell can somebody sell me a damn ass weapon please?  | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:22AM] Jroc used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:24AM] Jroc used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:24AM] Jroc used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:25AM] Jroc used command ::GOLDEN | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:30AM] Jroc used command ::Voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:53AM] Jroc used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 12:23PM] Jroc used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 12:53PM] Jroc used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:23PM] Jroc used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:24PM] Jroc used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:53PM] Jroc used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:54PM] Jroc used command ::teleport | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:59PM] Jroc used command ::yell buying exe bow or blood weps | Player rights = GRACEFUL_DONATOR	
[4/16/23 02:04PM] Jroc used command ::YELL BUYING BLOOD WEAPONS 500K EACH | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:53PM] Jroc used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:23PM] Jroc used command ::VEIGAR | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:23PM] Jroc used command ::NINETAILS | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:24PM] Jroc used command ::MUREUM | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:24PM] Jroc used command ::muruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:24PM] Jroc used command ::mureum | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:24PM] Jroc used command ::murmeum | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:25PM] Jroc used command ::meuem | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:25PM] Jroc used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:25PM] Jroc used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:53PM] Jroc used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:53PM] Jroc used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:16PM] Jroc used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:16PM] Jroc used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:19PM] Jroc used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:21PM] Jroc used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:53PM] Jroc used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:43PM] Jroc used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:43PM] Jroc used command ::mereum | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:43PM] Jroc used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:43PM] Jroc used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:45PM] Jroc used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:53PM] Jroc used command ::skilling | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:09PM] Jroc used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:39PM] Jroc used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:41PM] Jroc used command ::Vote | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:42PM] Jroc used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:56PM] Jroc used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:59PM] Jroc used command ::Yell selling emerald body with 58% dr bonus in pos | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:03PM] Jroc used command ::yell triple kills cbow in pos | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:04PM] Jroc used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:09PM] Jroc used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:11PM] Jroc used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:37PM] Jroc used command ::yell buying blood armor | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:39PM] Jroc used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:41PM] Jroc used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:46PM] Jroc used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:49PM] Jroc used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:52PM] Jroc used command ::donate | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:09AM] Jroc used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:16AM] Jroc used command ::yell buying votes 12k each | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:23AM] Jroc used command ::yell buying votes 12k each | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:40AM] Jroc used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:45AM] Jroc used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:47AM] Jroc used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 01:14AM] Jroc used command ::elo | Player rights = GRACEFUL_DONATOR	
[4/17/23 01:39AM] Jroc used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 01:39AM] Jroc used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 01:40AM] Jroc used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 01:41AM] Jroc used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 01:42AM] Jroc used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 01:44AM] Jroc used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:39AM] Jroc used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:42AM] Jroc used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:44AM] Jroc used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:45AM] Jroc used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:39AM] Jroc used command ::vote | Player rights = CLERIC_DONATOR	
[4/17/23 10:46AM] Jroc used command ::fpk | Player rights = CLERIC_DONATOR	
[4/17/23 11:02AM] Jroc used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 11:03AM] Jroc used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 11:04AM] Jroc used command ::progression | Player rights = CLERIC_DONATOR	
[4/17/23 11:05AM] Jroc used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 11:05AM] Jroc used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 11:06AM] Jroc used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 11:08AM] Jroc used command ::vote | Player rights = CLERIC_DONATOR	
[4/17/23 11:08AM] Jroc used command ::claimvote | Player rights = CLERIC_DONATOR	
[4/17/23 11:09AM] Jroc used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 11:10AM] Jroc used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 11:21AM] Jroc used command ::yell buying transfer crystal | Player rights = CLERIC_DONATOR	
[4/17/23 11:32AM] Jroc used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 11:33AM] Jroc used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 11:41AM] Jroc used command ::yell buying transfer crystals 60k each | Player rights = CLERIC_DONATOR	
[4/17/23 11:43AM] Jroc used command ::yell buying transfer crystals @Pm | Player rights = CLERIC_DONATOR	
[4/17/23 11:44AM] Jroc used command ::yell buying votes 15k each | Player rights = CLERIC_DONATOR	
[4/17/23 11:47AM] Jroc used command ::yell buying votes and transfer crystals | Player rights = CLERIC_DONATOR	
[4/17/23 11:52AM] Jroc used command ::yell buying votes and transfer crystals | Player rights = CLERIC_DONATOR	
[4/17/23 11:52AM] Jroc used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 11:53AM] Jroc used command ::Voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 11:54AM] Jroc used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 11:55AM] Jroc used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 11:55AM] Jroc used command ::Vote | Player rights = CLERIC_DONATOR	
[4/17/23 11:56AM] Jroc used command ::Claimvote | Player rights = CLERIC_DONATOR	
[4/17/23 11:56AM] Jroc used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/17/23 11:56AM] Jroc used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 12:02PM] Jroc used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:04PM] Jroc used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 12:04PM] Jroc used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 12:04PM] Jroc used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 12:04PM] Jroc used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 12:05PM] Jroc used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 12:06PM] Jroc used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 12:08PM] Jroc used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:09PM] Jroc used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 12:11PM] Jroc used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 12:12PM] Jroc used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 12:14PM] Jroc used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 12:14PM] Jroc used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 12:15PM] Jroc used command ::vOTEBOSS | Player rights = CLERIC_DONATOR	
[4/17/23 12:16PM] Jroc used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:17PM] Jroc used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 12:18PM] Jroc used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 12:18PM] Jroc used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 12:18PM] Jroc used command ::yell buying all $1 15k each | Player rights = CLERIC_DONATOR	
[4/17/23 12:19PM] Jroc used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 12:29PM] Jroc used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 12:30PM] Jroc used command ::yell selling rogue arua 250k | Player rights = CLERIC_DONATOR	
[4/17/23 12:32PM] Jroc used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:33PM] Jroc used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 12:33PM] Jroc used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 12:34PM] Jroc used command ::yell selling obsidian body 175k-200k stats | Player rights = CLERIC_DONATOR	
[4/17/23 12:34PM] Jroc used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 12:39PM] Jroc used command ::teleport | Player rights = CLERIC_DONATOR	
[4/17/23 12:39PM] Jroc used command ::Voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 12:40PM] Jroc used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 12:45PM] Jroc used command ::Dr | Player rights = CLERIC_DONATOR	
[4/17/23 12:46PM] Jroc used command ::yell buying $10 bonds 200k each | Player rights = CLERIC_DONATOR	
[4/17/23 01:00PM] Jroc used command ::dr | Player rights = CLERIC_DONATOR	
[4/17/23 01:02PM] Jroc used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 01:04PM] Jroc used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 01:28PM] Jroc used command ::yell selling groudon-flame boots 1.5m | Player rights = TORMENTED_DONATOR	
[4/17/23 01:32PM] Jroc used command ::Dr | Player rights = TORMENTED_DONATOR	
[4/17/23 01:32PM] Jroc used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/17/23 01:32PM] Jroc used command ::yell anyone have an item with over 20% ddr bonus on it for sale? | Player rights = TORMENTED_DONATOR	
[4/17/23 01:32PM] Jroc used command ::yell for sale? | Player rights = TORMENTED_DONATOR	
[4/17/23 01:33PM] Jroc used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/17/23 01:33PM] Jroc used command ::golden | Player rights = TORMENTED_DONATOR	
[4/17/23 01:40PM] Jroc used command ::Yell selling groudon boots 700k-800k stats 1.5m | Player rights = TORMENTED_DONATOR	
[4/17/23 01:45PM] Jroc used command ::yell sellng groudon armor pieces 1.5m each | Player rights = TORMENTED_DONATOR	
[4/17/23 01:55PM] Jroc used command ::dr | Player rights = TORMENTED_DONATOR	
[4/17/23 01:56PM] Jroc used command ::Yell selling groudon body and boots | Player rights = TORMENTED_DONATOR	
[4/17/23 01:58PM] Jroc used command ::yell buying double cash perk item | Player rights = TORMENTED_DONATOR	
[4/17/23 01:59PM] Jroc used command ::yell buying double gold perk | Player rights = TORMENTED_DONATOR	
[4/17/23 02:02PM] Jroc used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/17/23 02:03PM] Jroc used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/17/23 02:04PM] Jroc used command ::dr | Player rights = TORMENTED_DONATOR	
[4/17/23 02:30PM] Jroc used command ::yell selling groudon armor 700k stats and mythic tyrant aura 1m stats | Player rights = TORMENTED_DONATOR	
[4/17/23 02:30PM] Jroc used command ::yell 1m stats | Player rights = TORMENTED_DONATOR	
[4/17/23 02:32PM] Jroc used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/17/23 02:33PM] Jroc used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/17/23 02:34PM] Jroc used command ::Golden | Player rights = TORMENTED_DONATOR	
[4/17/23 02:34PM] Jroc used command ::yell selling groudon armor pieces 1m each | Player rights = TORMENTED_DONATOR	
[4/17/23 02:53PM] Jroc used command ::yell buying all bonds $1/20k | Player rights = TORMENTED_DONATOR	
[4/17/23 02:59PM] Jroc used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/17/23 03:05PM] Jroc used command ::yell trading triple kc item for bonds | Player rights = TORMENTED_DONATOR	
[4/17/23 03:43PM] Jroc used command ::pos | Player rights = TORMENTED_DONATOR	
[4/17/23 04:03PM] Jroc used command ::yell selling gear with 1m+ stats for bonds pm me | Player rights = TORMENTED_DONATOR	
[4/17/23 05:02PM] Jroc used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/17/23 05:03PM] Jroc used command ::home | Player rights = TORMENTED_DONATOR	
[4/17/23 05:05PM] Jroc used command ::yell selling lots of 700k-1m+ items for bonds @home | Player rights = TORMENTED_DONATOR	
[4/17/23 05:22PM] Jroc used command ::yell just a little bit | Player rights = TORMENTED_DONATOR	
[4/17/23 05:23PM] Jroc used command ::yell trading gear 700k-1m+ stats for bonds | Player rights = TORMENTED_DONATOR	
[4/17/23 06:32PM] Jroc used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/17/23 06:33PM] Jroc used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/17/23 06:33PM] Jroc used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/17/23 07:10PM] Jroc used command ::pos | Player rights = TORMENTED_DONATOR	
[4/17/23 08:16PM] Jroc used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 08:16PM] Jroc used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 08:16PM] Jroc used command ::Golden | Player rights = TORMENTED_DONATOR	
[4/17/23 08:27PM] Jroc used command ::yell buying sovereignty prayer scroll | Player rights = TORMENTED_DONATOR	
[4/17/23 08:48PM] Jroc used command ::pos | Player rights = TORMENTED_DONATOR	
[4/17/23 08:49PM] Jroc used command ::yell buying sov prayer scroll | Player rights = TORMENTED_DONATOR	
[4/17/23 08:50PM] Jroc used command ::yell buying $ scrolls 25k/$1 | Player rights = TORMENTED_DONATOR	
[4/17/23 09:08PM] Jroc used command ::perks | Player rights = TORMENTED_DONATOR	
[4/17/23 09:09PM] Jroc used command ::perk | Player rights = TORMENTED_DONATOR	
[4/17/23 09:09PM] Jroc used command ::perks | Player rights = TORMENTED_DONATOR	
[4/17/23 09:10PM] Jroc used command ::yell buying sov prayer scroll | Player rights = TORMENTED_DONATOR	
[4/17/23 09:25PM] Jroc used command ::yell buying $131 in scrolls 25k each $ | Player rights = TORMENTED_DONATOR	
[4/17/23 09:28PM] Jroc used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/17/23 09:29PM] Jroc used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/17/23 10:44PM] Jroc used command ::pos | Player rights = TORMENTED_DONATOR	
[4/17/23 10:59PM] Jroc used command ::pos | Player rights = TORMENTED_DONATOR	
[4/17/23 10:59PM] Jroc used command ::pos | Player rights = TORMENTED_DONATOR	
[4/17/23 11:00PM] Jroc used command ::pos | Player rights = TORMENTED_DONATOR	
[4/17/23 11:02PM] Jroc used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 11:02PM] Jroc used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 11:02PM] Jroc used command ::pos | Player rights = TORMENTED_DONATOR	
[4/17/23 11:06PM] Jroc used command ::yell buying sover prayer | Player rights = TORMENTED_DONATOR	
[4/17/23 11:07PM] Jroc used command ::pos | Player rights = TORMENTED_DONATOR	
[4/17/23 11:08PM] Jroc used command ::pos | Player rights = TORMENTED_DONATOR	
[4/17/23 11:10PM] Jroc used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 11:10PM] Jroc used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 11:11PM] Jroc used command ::pos | Player rights = TORMENTED_DONATOR	
[4/17/23 11:11PM] Jroc used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/17/23 11:12PM] Jroc used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 06:16AM] Jroc used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 06:19AM] Jroc used command ::yell buying sover prayer scroll | Player rights = TORMENTED_DONATOR	
[4/18/23 06:21AM] Jroc used command :::afj | Player rights = TORMENTED_DONATOR	
[4/18/23 06:21AM] Jroc used command ::Afk | Player rights = TORMENTED_DONATOR	
[4/18/23 06:21AM] Jroc used command ::Vote | Player rights = TORMENTED_DONATOR	
[4/18/23 06:21AM] Jroc used command ::Voteboss | Player rights = TORMENTED_DONATOR	
[4/18/23 06:22AM] Jroc used command ::reward 1 all | Player rights = TORMENTED_DONATOR	
[4/18/23 06:22AM] Jroc used command ::yell 47/50 vboss | Player rights = TORMENTED_DONATOR	
[4/18/23 06:25AM] Jroc used command ::Afk | Player rights = TORMENTED_DONATOR	
[4/18/23 05:41PM] Jroc used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 05:43PM] Jroc used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 05:56PM] Jroc used command ::perks | Player rights = TORMENTED_DONATOR	
[4/18/23 05:57PM] Jroc used command ::yell buying sover prayer scroll | Player rights = TORMENTED_DONATOR	
[4/18/23 06:04PM] Jroc used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 06:12PM] Jroc used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 06:15PM] Jroc used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 06:19PM] Jroc used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 06:31PM] Jroc used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 06:38PM] Jroc used command ::yell buying sover prayer scroll | Player rights = TORMENTED_DONATOR	
[4/18/23 06:42PM] Jroc used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 06:43PM] Jroc used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 06:44PM] Jroc used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 06:46PM] Jroc used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/18/23 06:49PM] Jroc used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 06:59PM] Jroc used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/18/23 07:01PM] Jroc used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 07:02PM] Jroc used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 07:05PM] Jroc used command ::Vote | Player rights = TORMENTED_DONATOR	
[4/18/23 07:07PM] Jroc used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 07:32PM] Jroc used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 07:42PM] Jroc used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 07:42PM] Jroc used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 07:43PM] Jroc used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/18/23 07:44PM] Jroc used command ::golden | Player rights = TORMENTED_DONATOR	
[4/18/23 07:57PM] Jroc used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 07:58PM] Jroc used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 08:02PM] Jroc used command ::afk | Player rights = TORMENTED_DONATOR	
[4/18/23 09:33PM] Jroc used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 09:36PM] Jroc used command ::afk | Player rights = TORMENTED_DONATOR	
[4/18/23 09:41PM] Jroc used command ::beigar | Player rights = TORMENTED_DONATOR	
[4/18/23 09:41PM] Jroc used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 09:43PM] Jroc used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/18/23 09:52PM] Jroc used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 10:03PM] Jroc used command ::teleport | Player rights = TORMENTED_DONATOR	
[4/18/23 10:11PM] Jroc used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 10:14PM] Jroc used command ::reward 1 all | Player rights = TORMENTED_DONATOR	
[4/18/23 10:14PM] Jroc used command ::yell vote boss 40/50 now gogogogo | Player rights = TORMENTED_DONATOR	
[4/18/23 10:16PM] Jroc used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 10:17PM] Jroc used command ::Vote | Player rights = TORMENTED_DONATOR	
[4/18/23 10:17PM] Jroc used command ::Vote | Player rights = TORMENTED_DONATOR	
[4/18/23 10:17PM] Jroc used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/19/23 04:36PM] Jroc used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 04:38PM] Jroc used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 04:39PM] Jroc used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 04:39PM] Jroc used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 04:39PM] Jroc used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 04:42PM] Jroc used command ::Vote | Player rights = TORMENTED_DONATOR	
[4/19/23 04:43PM] Jroc used command ::reward 1 all | Player rights = TORMENTED_DONATOR	
[4/19/23 04:43PM] Jroc used command ::yell voteboss 47/50!!@@@@@@@@@ | Player rights = TORMENTED_DONATOR	
[4/19/23 04:43PM] Jroc used command ::Veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 04:45PM] Jroc used command ::home | Player rights = TORMENTED_DONATOR	
[4/19/23 04:46PM] Jroc used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/19/23 04:48PM] Jroc used command ::pos | Player rights = TORMENTED_DONATOR	
