[4/15/23 12:39PM] Powaaaah used command ::rewads | Player rights = PLAYER	
[4/16/23 11:00AM] Powaaaah used command ::tasks | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:05AM] Powaaaah used command ::ref walkchaos | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:06AM] Powaaaah used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:22AM] Powaaaah used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:24AM] Powaaaah used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:24AM] Powaaaah used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:25AM] Powaaaah used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:30AM] Powaaaah used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:39AM] Powaaaah used command ::tasks | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:48AM] Powaaaah used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:52AM] Powaaaah used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:53AM] Powaaaah used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 12:00PM] Powaaaah used command ::ref | Player rights = GRACEFUL_DONATOR	
[4/16/23 12:04PM] Powaaaah used command ::ref | Player rights = GRACEFUL_DONATOR	
[4/16/23 12:18PM] Powaaaah used command ::Tasks | Player rights = GRACEFUL_DONATOR	
[4/16/23 12:23PM] Powaaaah used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 12:24PM] Powaaaah used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 12:53PM] Powaaaah used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:23PM] Powaaaah used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:24PM] Powaaaah used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:24PM] Powaaaah used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:28PM] Powaaaah used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:43PM] Powaaaah used command ::AFK | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:44PM] Powaaaah used command ::ENTS | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:39AM] Powaaaah used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:41AM] Powaaaah used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:42AM] Powaaaah used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:43AM] Powaaaah used command ::Vote | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:44AM] Powaaaah used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:46AM] Powaaaah used command ::claimvote | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:46AM] Powaaaah used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/17/23 06:09AM] Powaaaah used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 06:10AM] Powaaaah used command ::tasks | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:09AM] Powaaaah used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:15AM] Powaaaah used command ::Home | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:26AM] Powaaaah used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:34AM] Powaaaah used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:39AM] Powaaaah used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:40AM] Powaaaah used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:41AM] Powaaaah used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:29AM] Powaaaah used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:33AM] Powaaaah used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:34AM] Powaaaah used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:35AM] Powaaaah used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:36AM] Powaaaah used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:43AM] Powaaaah used command ::task | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:43AM] Powaaaah used command ::tasks | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:44AM] Powaaaah used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:02AM] Powaaaah used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:03AM] Powaaaah used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:04AM] Powaaaah used command ::progression | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:04AM] Powaaaah used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:05AM] Powaaaah used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:09AM] Powaaaah used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 11:32AM] Powaaaah used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 11:33AM] Powaaaah used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 11:44AM] Powaaaah used command ::tasks | Player rights = CLERIC_DONATOR	
[4/19/23 06:53AM] Powaaaah used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 06:59AM] Powaaaah used command ::tasks | Player rights = CLERIC_DONATOR	
[4/19/23 07:03AM] Powaaaah used command ::collection | Player rights = CLERIC_DONATOR	
[4/19/23 07:07AM] Powaaaah used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 07:21AM] Powaaaah used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/19/23 07:23AM] Powaaaah used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 07:25AM] Powaaaah used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 07:30AM] Powaaaah used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 07:39AM] Powaaaah used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 11:11AM] Powaaaah used command ::tasks | Player rights = CLERIC_DONATOR	
[4/19/23 11:13AM] Powaaaah used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 11:15AM] Powaaaah used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 11:16AM] Powaaaah used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 11:19AM] Powaaaah used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/19/23 11:26AM] Powaaaah used command ::tasks | Player rights = CLERIC_DONATOR	
[4/19/23 11:29AM] Powaaaah used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 11:33AM] Powaaaah used command ::Home | Player rights = CLERIC_DONATOR	
[4/19/23 11:34AM] Powaaaah used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 11:35AM] Powaaaah used command ::tasks | Player rights = CLERIC_DONATOR	
[4/19/23 11:36AM] Powaaaah used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 11:40AM] Powaaaah used command ::home | Player rights = CLERIC_DONATOR	
[4/19/23 11:41AM] Powaaaah used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/19/23 11:43AM] Powaaaah used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 11:44AM] Powaaaah used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 11:45AM] Powaaaah used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 11:46AM] Powaaaah used command ::golden | Player rights = CLERIC_DONATOR	
[4/19/23 11:47AM] Powaaaah used command ::home | Player rights = CLERIC_DONATOR	
[4/19/23 12:01PM] Powaaaah used command ::Tasks | Player rights = CLERIC_DONATOR	
[4/19/23 12:08PM] Powaaaah used command ::tasks | Player rights = CLERIC_DONATOR	
[4/19/23 12:13PM] Powaaaah used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 12:15PM] Powaaaah used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/19/23 12:15PM] Powaaaah used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 12:17PM] Powaaaah used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 12:18PM] Powaaaah used command ::golden | Player rights = CLERIC_DONATOR	
[4/19/23 12:19PM] Powaaaah used command ::Home | Player rights = CLERIC_DONATOR	
[4/19/23 12:21PM] Powaaaah used command ::Tasks | Player rights = CLERIC_DONATOR	
[4/19/23 12:56PM] Powaaaah used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 12:57PM] Powaaaah used command ::home | Player rights = CLERIC_DONATOR	
[4/19/23 12:57PM] Powaaaah used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 01:00PM] Powaaaah used command ::Home | Player rights = CLERIC_DONATOR	
[4/19/23 01:00PM] Powaaaah used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 01:03PM] Powaaaah used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 01:04PM] Powaaaah used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 01:04PM] Powaaaah used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 01:05PM] Powaaaah used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 01:08PM] Powaaaah used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 01:11PM] Powaaaah used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 01:13PM] Powaaaah used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/19/23 01:14PM] Powaaaah used command ::ninetail | Player rights = CLERIC_DONATOR	
[4/19/23 01:14PM] Powaaaah used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 01:15PM] Powaaaah used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 01:15PM] Powaaaah used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 01:16PM] Powaaaah used command ::home | Player rights = CLERIC_DONATOR	
[4/19/23 01:17PM] Powaaaah used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 01:19PM] Powaaaah used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/19/23 01:24PM] Powaaaah used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 01:35PM] Powaaaah used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 01:40PM] Powaaaah used command ::tasks | Player rights = CLERIC_DONATOR	
[4/19/23 01:43PM] Powaaaah used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 01:46PM] Powaaaah used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:35AM] Powaaaah used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:37AM] Powaaaah used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:39AM] Powaaaah used command ::tasks | Player rights = CLERIC_DONATOR	
[4/20/23 07:49AM] Powaaaah used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 08:16AM] Powaaaah used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/20/23 08:19AM] Powaaaah used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 08:21AM] Powaaaah used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 08:27AM] Powaaaah used command ::collection | Player rights = CLERIC_DONATOR	
[4/20/23 08:28AM] Powaaaah used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 08:29AM] Powaaaah used command ::tasks | Player rights = CLERIC_DONATOR	
[4/20/23 08:29AM] Powaaaah used command ::tasks | Player rights = CLERIC_DONATOR	
[4/20/23 08:31AM] Powaaaah used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 08:36AM] Powaaaah used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 10:34AM] Powaaaah used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:38AM] Powaaaah used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 10:42AM] Powaaaah used command ::merue | Player rights = CLERIC_DONATOR	
[4/20/23 10:42AM] Powaaaah used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 10:45AM] Powaaaah used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 10:46AM] Powaaaah used command ::Goldemn | Player rights = CLERIC_DONATOR	
[4/20/23 10:46AM] Powaaaah used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 10:47AM] Powaaaah used command ::Voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 10:49AM] Powaaaah used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:50AM] Powaaaah used command ::tasks | Player rights = CLERIC_DONATOR	
[4/20/23 10:51AM] Powaaaah used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 10:52AM] Powaaaah used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 12:17PM] Powaaaah used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 12:18PM] Powaaaah used command ::Home | Player rights = CLERIC_DONATOR	
[4/20/23 12:19PM] Powaaaah used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 12:19PM] Powaaaah used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 12:20PM] Powaaaah used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 12:21PM] Powaaaah used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 12:21PM] Powaaaah used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 12:22PM] Powaaaah used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 12:22PM] Powaaaah used command ::Vboss | Player rights = CLERIC_DONATOR	
[4/20/23 12:30PM] Powaaaah used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 12:31PM] Powaaaah used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 12:49PM] Powaaaah used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 12:50PM] Powaaaah used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 11:12AM] Powaaaah used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 11:29AM] Powaaaah used command ::vek | Player rights = CLERIC_DONATOR	
[4/21/23 11:31AM] Powaaaah used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/21/23 11:33AM] Powaaaah used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 11:35AM] Powaaaah used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 11:35AM] Powaaaah used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 11:43AM] Powaaaah used command ::tasks | Player rights = CLERIC_DONATOR	
[4/21/23 12:02PM] Powaaaah used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 12:05PM] Powaaaah used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/21/23 12:33PM] Powaaaah used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 12:34PM] Powaaaah used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 12:35PM] Powaaaah used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 05:01AM] Powaaaah used command ::tasks | Player rights = CLERIC_DONATOR	
[4/22/23 05:02AM] Powaaaah used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/22/23 05:32AM] Powaaaah used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 05:34AM] Powaaaah used command ::Ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 05:34AM] Powaaaah used command ::golden | Player rights = CLERIC_DONATOR	
[4/22/23 05:36AM] Powaaaah used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 05:51AM] Powaaaah used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/22/23 05:53AM] Powaaaah used command ::Home | Player rights = CLERIC_DONATOR	
[4/22/23 06:14AM] Powaaaah used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 06:14AM] Powaaaah used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 06:15AM] Powaaaah used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 06:26AM] Powaaaah used command ::tasks | Player rights = CLERIC_DONATOR	
[4/22/23 06:32AM] Powaaaah used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 06:33AM] Powaaaah used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 06:35AM] Powaaaah used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 11:32AM] Powaaaah used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 11:33AM] Powaaaah used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 11:34AM] Powaaaah used command ::golden | Player rights = CLERIC_DONATOR	
[4/22/23 12:02PM] Powaaaah used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 12:06PM] Powaaaah used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 12:09PM] Powaaaah used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 12:11PM] Powaaaah used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 12:13PM] Powaaaah used command ::meruem::golden | Player rights = CLERIC_DONATOR	
[4/22/23 12:13PM] Powaaaah used command ::Golden | Player rights = CLERIC_DONATOR	
[4/23/23 03:30AM] Powaaaah used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 03:31AM] Powaaaah used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/23/23 03:32AM] Powaaaah used command ::meruem | Player rights = CLERIC_DONATOR	
[4/23/23 03:33AM] Powaaaah used command ::golden | Player rights = CLERIC_DONATOR	
[4/23/23 03:33AM] Powaaaah used command ::Home | Player rights = CLERIC_DONATOR	
[4/23/23 03:34AM] Powaaaah used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 03:41AM] Powaaaah used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/23/23 10:13AM] Powaaaah used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 10:42AM] Powaaaah used command ::tasks::::tsks | Player rights = CLERIC_DONATOR	
[4/23/23 10:42AM] Powaaaah used command ::tasks | Player rights = CLERIC_DONATOR	
[4/23/23 10:42AM] Powaaaah used command ::home | Player rights = CLERIC_DONATOR	
[4/23/23 10:43AM] Powaaaah used command ::tasks | Player rights = CLERIC_DONATOR	
[4/23/23 10:46AM] Powaaaah used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 10:47AM] Powaaaah used command ::tsks | Player rights = CLERIC_DONATOR	
[4/23/23 10:47AM] Powaaaah used command ::tasks | Player rights = CLERIC_DONATOR	
[4/23/23 11:24AM] Powaaaah used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 11:39AM] Powaaaah used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 11:41AM] Powaaaah used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/23/23 11:51AM] Powaaaah used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 11:52AM] Powaaaah used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 11:53AM] Powaaaah used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 11:54AM] Powaaaah used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 11:55AM] Powaaaah used command ::meruem | Player rights = CLERIC_DONATOR	
[4/23/23 11:55AM] Powaaaah used command ::gold::ninetials | Player rights = CLERIC_DONATOR	
[4/23/23 11:55AM] Powaaaah used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/23/23 12:00PM] Powaaaah used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 12:01PM] Powaaaah used command ::Voteboss | Player rights = CLERIC_DONATOR	
[4/23/23 12:03PM] Powaaaah used command ::hide | Player rights = CLERIC_DONATOR	
[4/23/23 12:05PM] Powaaaah used command ::meruem | Player rights = CLERIC_DONATOR	
[4/23/23 12:08PM] Powaaaah used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 12:08PM] Powaaaah used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 12:11PM] Powaaaah used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 12:13PM] Powaaaah used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 12:31PM] Powaaaah used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 12:32PM] Powaaaah used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/23/23 12:33PM] Powaaaah used command ::meruem | Player rights = CLERIC_DONATOR	
[4/23/23 12:34PM] Powaaaah used command ::golden | Player rights = CLERIC_DONATOR	
[4/23/23 12:36PM] Powaaaah used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/23/23 12:43PM] Powaaaah used command ::tasks | Player rights = CLERIC_DONATOR	
[4/23/23 12:50PM] Powaaaah used command ::pos | Player rights = CLERIC_DONATOR	
<<<<<<< Updated upstream
[4/26/23 01:11AM] Powaaaah used command ::veigar | Player rights = CLERIC_DONATOR	
[4/26/23 01:14AM] Powaaaah used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/26/23 01:14AM] Powaaaah used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/26/23 01:16AM] Powaaaah used command ::meruem | Player rights = CLERIC_DONATOR	
[4/26/23 01:18AM] Powaaaah used command ::golden | Player rights = CLERIC_DONATOR	
[4/26/23 01:24AM] Powaaaah used command ::elo | Player rights = CLERIC_DONATOR	
[4/26/23 01:24AM] Powaaaah used command ::elo | Player rights = CLERIC_DONATOR	
[4/26/23 01:24AM] Powaaaah used command ::Elo | Player rights = CLERIC_DONATOR	
[4/26/23 01:26AM] Powaaaah used command ::elo | Player rights = CLERIC_DONATOR	
[4/26/23 01:26AM] Powaaaah used command ::elo | Player rights = CLERIC_DONATOR	
[4/26/23 01:26AM] Powaaaah used command ::elo | Player rights = CLERIC_DONATOR	
[4/26/23 01:26AM] Powaaaah used command ::Elo | Player rights = CLERIC_DONATOR	
[4/26/23 01:26AM] Powaaaah used command ::elo | Player rights = CLERIC_DONATOR	
[4/26/23 01:33AM] Powaaaah used command ::elo | Player rights = CLERIC_DONATOR	
[4/26/23 01:33AM] Powaaaah used command ::Elo | Player rights = CLERIC_DONATOR	
[4/26/23 01:33AM] Powaaaah used command ::elo | Player rights = CLERIC_DONATOR	
[4/26/23 01:41AM] Powaaaah used command ::veigar | Player rights = CLERIC_DONATOR	
[4/26/23 01:44AM] Powaaaah used command ::Home | Player rights = CLERIC_DONATOR	
[4/26/23 02:07AM] Powaaaah used command ::pos | Player rights = CLERIC_DONATOR	
