[4/16/23 05:23PM] Tgaming used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 06:02PM] Tgaming used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 06:09PM] Tgaming used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/17/23 06:09PM] Tgaming used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/17/23 06:33PM] Tgaming used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:03PM] Tgaming used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:04PM] Tgaming used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:04PM] Tgaming used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:08PM] Tgaming used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:08PM] Tgaming used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:09PM] Tgaming used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:16PM] Tgaming used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:20PM] Tgaming used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:21PM] Tgaming used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:32PM] Tgaming used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:33PM] Tgaming used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:33PM] Tgaming used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:33PM] Tgaming used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:53PM] Tgaming used command ::elo | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:04PM] Tgaming used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:04PM] Tgaming used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:11PM] Tgaming used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:11PM] Tgaming used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:13PM] Tgaming used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:14PM] Tgaming used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:16PM] Tgaming used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:18PM] Tgaming used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:27PM] Tgaming used command ::kc | Player rights = GRACEFUL_DONATOR	
[4/18/23 03:48PM] Tgaming used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/18/23 03:55PM] Tgaming used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/18/23 03:55PM] Tgaming used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:11PM] Tgaming used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:13PM] Tgaming used command ::Dr | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:15PM] Tgaming used command ::votebox | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:15PM] Tgaming used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:24PM] Tgaming used command ::::totem | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:24PM] Tgaming used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:38PM] Tgaming used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:39PM] Tgaming used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:41PM] Tgaming used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:42PM] Tgaming used command ::players | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:03PM] Tgaming used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:29PM] Tgaming used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:30PM] Tgaming used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:41PM] Tgaming used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:43PM] Tgaming used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:43PM] Tgaming used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:48PM] Tgaming used command ::elo | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:12PM] Tgaming used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:13PM] Tgaming used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:15PM] Tgaming used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:15PM] Tgaming used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:17PM] Tgaming used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:18PM] Tgaming used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:21PM] Tgaming used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:23PM] Tgaming used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:26PM] Tgaming used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:43PM] Tgaming used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:45PM] Tgaming used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:13PM] Tgaming used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:14PM] Tgaming used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:29PM] Tgaming used command ::elo | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:29PM] Tgaming used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:32PM] Tgaming used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:32PM] Tgaming used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:44PM] Tgaming used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:45PM] Tgaming used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:49PM] Tgaming used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:50PM] Tgaming used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 04:51PM] Tgaming used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 04:53PM] Tgaming used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/19/23 04:54PM] Tgaming used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/19/23 04:54PM] Tgaming used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 04:59PM] Tgaming used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 05:10PM] Tgaming used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 05:12PM] Tgaming used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/19/23 05:12PM] Tgaming used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 05:14PM] Tgaming used command ::veiger | Player rights = CLERIC_DONATOR	
[4/19/23 05:15PM] Tgaming used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 05:15PM] Tgaming used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 05:15PM] Tgaming used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 05:19PM] Tgaming used command ::dr | Player rights = CLERIC_DONATOR	
[4/19/23 05:23PM] Tgaming used command ::totem | Player rights = CLERIC_DONATOR	
[4/19/23 05:24PM] Tgaming used command ::totem | Player rights = CLERIC_DONATOR	
[4/19/23 05:29PM] Tgaming used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 05:30PM] Tgaming used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 05:32PM] Tgaming used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 05:44PM] Tgaming used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 05:52PM] Tgaming used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/19/23 05:53PM] Tgaming used command ::dr | Player rights = CLERIC_DONATOR	
[4/19/23 05:59PM] Tgaming used command ::dr | Player rights = CLERIC_DONATOR	
[4/19/23 06:05PM] Tgaming used command ::dr | Player rights = CLERIC_DONATOR	
[4/19/23 06:08PM] Tgaming used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/19/23 06:12PM] Tgaming used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 06:15PM] Tgaming used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 06:16PM] Tgaming used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 06:17PM] Tgaming used command ::totem | Player rights = CLERIC_DONATOR	
[4/19/23 06:17PM] Tgaming used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 12:04PM] Tgaming used command ::pod | Player rights = CLERIC_DONATOR	
[4/21/23 12:05PM] Tgaming used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/21/23 12:05PM] Tgaming used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 12:05PM] Tgaming used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/21/23 12:12PM] Tgaming used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 12:14PM] Tgaming used command ::totem | Player rights = CLERIC_DONATOR	
[4/21/23 12:14PM] Tgaming used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 04:54AM] Tgaming used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 04:56AM] Tgaming used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/22/23 04:56AM] Tgaming used command ::vote | Player rights = CLERIC_DONATOR	
[4/22/23 04:59AM] Tgaming used command ::veigar::dr | Player rights = CLERIC_DONATOR	
[4/22/23 04:59AM] Tgaming used command ::dr | Player rights = CLERIC_DONATOR	
[4/22/23 05:02AM] Tgaming used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 05:11AM] Tgaming used command ::kc | Player rights = CLERIC_DONATOR	
[4/22/23 04:32PM] Tgaming used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 04:33PM] Tgaming used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 04:34PM] Tgaming used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 04:38PM] Tgaming used command ::dr | Player rights = CLERIC_DONATOR	
[4/22/23 04:51PM] Tgaming used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 05:02PM] Tgaming used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 05:07PM] Tgaming used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 05:10PM] Tgaming used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/22/23 05:10PM] Tgaming used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 05:14PM] Tgaming used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 05:16PM] Tgaming used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 05:18PM] Tgaming used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/22/23 05:19PM] Tgaming used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/22/23 05:20PM] Tgaming used command ::dr | Player rights = CLERIC_DONATOR	
[4/22/23 05:32PM] Tgaming used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 05:33PM] Tgaming used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 05:34PM] Tgaming used command ::golden | Player rights = CLERIC_DONATOR	
[4/22/23 05:36PM] Tgaming used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 05:49PM] Tgaming used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 06:02PM] Tgaming used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 06:07PM] Tgaming used command ::totem | Player rights = CLERIC_DONATOR	
[4/22/23 06:08PM] Tgaming used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 06:13PM] Tgaming used command ::dr | Player rights = CLERIC_DONATOR	
