[4/15/23 01:43PM] Beef Supreme used command ::vote | Player rights = PLAYER	
[4/17/23 08:19PM] Beef Supreme used command ::elo | Player rights = TORMENTED_DONATOR	
[4/17/23 08:19PM] Beef Supreme used command ::elo | Player rights = TORMENTED_DONATOR	
[4/17/23 08:19PM] Beef Supreme used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 08:19PM] Beef Supreme used command ::elo | Player rights = TORMENTED_DONATOR	
[4/17/23 08:19PM] Beef Supreme used command ::elo | Player rights = TORMENTED_DONATOR	
[4/17/23 08:19PM] Beef Supreme used command ::elo | Player rights = TORMENTED_DONATOR	
[4/17/23 08:20PM] Beef Supreme used command ::elo | Player rights = TORMENTED_DONATOR	
[4/17/23 08:20PM] Beef Supreme used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 08:20PM] Beef Supreme used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 08:45PM] Beef Supreme used command ::veigar | Player rights = HELPER	
[4/17/23 08:49PM] Beef Supreme used command ::dropoff | Player rights = HELPER	
[4/17/23 08:50PM] Beef Supreme used command ::bank | Player rights = HELPER	
[4/17/23 09:00PM] Beef Supreme used command ::dropoff | Player rights = HELPER	
[4/17/23 09:25PM] Beef Supreme used command ::pos | Player rights = HELPER	
[4/17/23 09:27PM] Beef Supreme used command ::veigar | Player rights = HELPER	
[4/17/23 09:31PM] Beef Supreme used command ::dropoff | Player rights = HELPER	
[4/17/23 09:35PM] Beef Supreme used command ::Dr | Player rights = HELPER	
[4/17/23 09:53PM] Beef Supreme used command ::shop | Player rights = HELPER	
[4/17/23 09:53PM] Beef Supreme used command ::donate | Player rights = HELPER	
[4/17/23 09:58PM] Beef Supreme used command ::veigar | Player rights = HELPER	
[4/17/23 09:58PM] Beef Supreme used command ::ninetails | Player rights = HELPER	
[4/17/23 10:07PM] Beef Supreme used command ::dr | Player rights = HELPER	
[4/18/23 02:41PM] Beef Supreme used command ::veigar | Player rights = HELPER	
[4/18/23 02:42PM] Beef Supreme used command ::pos | Player rights = HELPER	
[4/18/23 02:45PM] Beef Supreme used command ::vote | Player rights = HELPER	
[4/18/23 02:46PM] Beef Supreme used command ::reward 1 all | Player rights = HELPER	
[4/18/23 02:48PM] Beef Supreme used command ::vboss | Player rights = HELPER	
[4/18/23 02:50PM] Beef Supreme used command ::pos | Player rights = HELPER	
[4/18/23 02:53PM] Beef Supreme used command ::pos | Player rights = HELPER	
[4/18/23 02:55PM] Beef Supreme used command ::pos | Player rights = HELPER	
[4/18/23 02:58PM] Beef Supreme used command ::pos | Player rights = HELPER	
[4/18/23 02:59PM] Beef Supreme used command ::pos | Player rights = HELPER	
[4/18/23 02:59PM] Beef Supreme used command ::bank | Player rights = HELPER	
[4/18/23 02:59PM] Beef Supreme used command ::pos | Player rights = HELPER	
[4/18/23 05:39PM] Beef Supreme used command ::pos | Player rights = HELPER	
[4/18/23 05:41PM] Beef Supreme used command ::veigar | Player rights = HELPER	
[4/18/23 05:41PM] Beef Supreme used command ::pos | Player rights = HELPER	
[4/18/23 05:43PM] Beef Supreme used command ::home | Player rights = HELPER	
[4/18/23 05:48PM] Beef Supreme used command ::pos | Player rights = HELPER	
[4/18/23 05:49PM] Beef Supreme used command ::pos | Player rights = HELPER	
[4/18/23 05:51PM] Beef Supreme used command ::pos | Player rights = HELPER	
[4/18/23 05:57PM] Beef Supreme used command ::pos | Player rights = HELPER	
[4/18/23 05:57PM] Beef Supreme used command ::pos | Player rights = HELPER	
[4/18/23 06:00PM] Beef Supreme used command ::pos | Player rights = HELPER	
[4/18/23 06:03PM] Beef Supreme used command ::yell don't forget to vote everyone! 3 sites to vote on now :D | Player rights = HELPER	
[4/18/23 06:11PM] Beef Supreme used command ::veigar | Player rights = HELPER	
[4/18/23 06:14PM] Beef Supreme used command ::dr | Player rights = HELPER	
[4/18/23 06:16PM] Beef Supreme used command ::pos | Player rights = HELPER	
[4/18/23 06:17PM] Beef Supreme used command ::pos | Player rights = HELPER	
[4/18/23 06:22PM] Beef Supreme used command ::teleto josh | Player rights = HELPER	
[4/18/23 06:24PM] Beef Supreme used command ::pos | Player rights = HELPER	
[4/18/23 06:25PM] Beef Supreme used command ::bank | Player rights = HELPER	
[4/18/23 06:25PM] Beef Supreme used command ::pos | Player rights = HELPER	
[4/18/23 06:40PM] Beef Supreme used command ::teleto josh | Player rights = HELPER	
[4/18/23 06:41PM] Beef Supreme used command ::veigar | Player rights = HELPER	
[4/18/23 06:41PM] Beef Supreme used command ::Veigar | Player rights = HELPER	
[4/18/23 06:43PM] Beef Supreme used command ::pos | Player rights = HELPER	
[4/18/23 06:45PM] Beef Supreme used command ::pos | Player rights = HELPER	
[4/18/23 06:48PM] Beef Supreme used command ::pos | Player rights = HELPER	
[4/18/23 06:49PM] Beef Supreme used command ::pos | Player rights = HELPER	
[4/18/23 06:51PM] Beef Supreme used command ::dr | Player rights = HELPER	
[4/18/23 06:51PM] Beef Supreme used command ::pos | Player rights = HELPER	
[4/18/23 06:59PM] Beef Supreme used command ::vboss | Player rights = HELPER	
[4/18/23 07:01PM] Beef Supreme used command ::dr | Player rights = HELPER	
[4/18/23 07:01PM] Beef Supreme used command ::dr | Player rights = HELPER	
[4/18/23 07:03PM] Beef Supreme used command ::pos | Player rights = HELPER	
[4/18/23 07:06PM] Beef Supreme used command ::pos | Player rights = HELPER	
[4/18/23 07:11PM] Beef Supreme used command ::veigar | Player rights = HELPER	
[4/18/23 07:42PM] Beef Supreme used command ::dr | Player rights = HELPER	
[4/18/23 07:53PM] Beef Supreme used command ::pos | Player rights = HELPER	
[4/18/23 08:11PM] Beef Supreme used command ::veigar | Player rights = HELPER	
[4/18/23 08:15PM] Beef Supreme used command ::pos | Player rights = HELPER	
[4/18/23 08:18PM] Beef Supreme used command ::teleto dadsbelt | Player rights = HELPER	
[4/18/23 08:22PM] Beef Supreme used command ::dr | Player rights = HELPER	
[4/18/23 08:24PM] Beef Supreme used command ::pos | Player rights = HELPER	
[4/18/23 08:26PM] Beef Supreme used command ::dr | Player rights = HELPER	
[4/18/23 08:27PM] Beef Supreme used command ::pos | Player rights = HELPER	
[4/18/23 08:56PM] Beef Supreme used command ::pos | Player rights = HELPER	
[4/18/23 09:06PM] Beef Supreme used command ::bank | Player rights = HELPER	
[4/18/23 09:07PM] Beef Supreme used command ::pos | Player rights = HELPER	
[4/18/23 09:12PM] Beef Supreme used command ::veigar | Player rights = HELPER	
[4/18/23 09:41PM] Beef Supreme used command ::veigar | Player rights = HELPER	
[4/18/23 09:45PM] Beef Supreme used command ::yell don't forget to vote and help the server out! | Player rights = HELPER	
[4/18/23 09:46PM] Beef Supreme used command ::yell can also share some love on the YT vids, bring in more people | Player rights = HELPER	
[4/18/23 09:48PM] Beef Supreme used command ::vote | Player rights = HELPER	
[4/18/23 09:54PM] Beef Supreme used command ::pos | Player rights = HELPER	
[4/18/23 10:04PM] Beef Supreme used command ::pos | Player rights = HELPER	
[4/18/23 10:06PM] Beef Supreme used command ::pos | Player rights = HELPER	
[4/18/23 10:11PM] Beef Supreme used command ::veigar | Player rights = HELPER	
[4/18/23 10:12PM] Beef Supreme used command ::poos | Player rights = HELPER	
[4/18/23 10:12PM] Beef Supreme used command ::pos | Player rights = HELPER	
[4/18/23 10:13PM] Beef Supreme used command ::pos | Player rights = HELPER	
[4/18/23 10:14PM] Beef Supreme used command ::yell 4 voters till vote boss! lets goooo | Player rights = HELPER	
[4/18/23 10:16PM] Beef Supreme used command ::dr | Player rights = HELPER	
[4/18/23 10:17PM] Beef Supreme used command ::vboss | Player rights = HELPER	
[4/18/23 10:24PM] Beef Supreme used command ::pos | Player rights = HELPER	
[4/18/23 10:35PM] Beef Supreme used command ::veigar | Player rights = HELPER	
[4/18/23 10:35PM] Beef Supreme used command ::pos | Player rights = HELPER	
[4/18/23 10:35PM] Beef Supreme used command ::pos | Player rights = HELPER	
[4/18/23 10:35PM] Beef Supreme used command ::pos | Player rights = HELPER	
[4/18/23 10:37PM] Beef Supreme used command ::pos | Player rights = HELPER	
[4/18/23 10:39PM] Beef Supreme used command ::veigar | Player rights = HELPER	
[4/18/23 10:39PM] Beef Supreme used command ::dr | Player rights = HELPER	
[4/18/23 10:39PM] Beef Supreme used command ::pos | Player rights = HELPER	
[4/18/23 10:41PM] Beef Supreme used command ::pos | Player rights = HELPER	
[4/18/23 10:42PM] Beef Supreme used command ::pos | Player rights = HELPER	
[4/18/23 10:43PM] Beef Supreme used command ::pos | Player rights = HELPER	
[4/18/23 10:43PM] Beef Supreme used command ::pos | Player rights = HELPER	
[4/18/23 10:43PM] Beef Supreme used command ::bank | Player rights = HELPER	
[4/18/23 10:46PM] Beef Supreme used command ::dr | Player rights = HELPER	
[4/18/23 10:55PM] Beef Supreme used command ::pos | Player rights = HELPER	
[4/18/23 11:04PM] Beef Supreme used command ::bank | Player rights = HELPER	
[4/19/23 04:57PM] Beef Supreme used command ::pos | Player rights = HELPER	
[4/19/23 05:01PM] Beef Supreme used command ::vote | Player rights = HELPER	
[4/19/23 05:02PM] Beef Supreme used command ::reward 1 all | Player rights = HELPER	
[4/19/23 05:13PM] Beef Supreme used command ::veigar | Player rights = HELPER	
[4/19/23 05:15PM] Beef Supreme used command ::dr | Player rights = HELPER	
[4/19/23 05:16PM] Beef Supreme used command ::pos | Player rights = HELPER	
[4/19/23 05:44PM] Beef Supreme used command ::veigar | Player rights = HELPER	
[4/19/23 07:17PM] Beef Supreme used command ::store | Player rights = HELPER	
[4/19/23 07:18PM] Beef Supreme used command ::pos | Player rights = HELPER	
[4/19/23 07:20PM] Beef Supreme used command ::pos | Player rights = HELPER	
[4/19/23 07:29PM] Beef Supreme used command ::pos | Player rights = HELPER	
[4/19/23 07:35PM] Beef Supreme used command ::dr | Player rights = HELPER	
[4/19/23 07:35PM] Beef Supreme used command ::bank | Player rights = HELPER	
[4/19/23 07:35PM] Beef Supreme used command ::dr | Player rights = HELPER	
[4/19/23 07:35PM] Beef Supreme used command ::bank | Player rights = HELPER	
[4/19/23 07:35PM] Beef Supreme used command ::dr | Player rights = HELPER	
[4/19/23 07:37PM] Beef Supreme used command ::bank | Player rights = HELPER	
[4/19/23 07:42PM] Beef Supreme used command ::dropoff | Player rights = HELPER	
[4/19/23 07:44PM] Beef Supreme used command ::veigar | Player rights = HELPER	
[4/19/23 07:51PM] Beef Supreme used command ::home | Player rights = HELPER	
[4/19/23 07:53PM] Beef Supreme used command ::pos | Player rights = HELPER	
[4/19/23 08:04PM] Beef Supreme used command ::pos | Player rights = HELPER	
[4/19/23 08:14PM] Beef Supreme used command ::veigar | Player rights = HELPER	
[4/19/23 08:39PM] Beef Supreme used command ::pos | Player rights = HELPER	
[4/19/23 08:43PM] Beef Supreme used command ::veigar | Player rights = HELPER	
[4/19/23 09:00PM] Beef Supreme used command ::Veigar | Player rights = HELPER	
[4/19/23 09:01PM] Beef Supreme used command ::pos | Player rights = HELPER	
[4/19/23 09:01PM] Beef Supreme used command ::pos | Player rights = HELPER	
[4/19/23 09:04PM] Beef Supreme used command ::ninetails | Player rights = HELPER	
[4/19/23 09:07PM] Beef Supreme used command ::kick o t t e r | Player rights = HELPER	
[4/19/23 09:07PM] Beef Supreme used command ::kick O t t e r | Player rights = HELPER	
[4/19/23 09:07PM] Beef Supreme used command ::kick O T T E R | Player rights = HELPER	
[4/19/23 09:08PM] Beef Supreme used command ::home | Player rights = HELPER	
[4/19/23 09:10PM] Beef Supreme used command ::dropoff | Player rights = HELPER	
[4/19/23 09:11PM] Beef Supreme used command ::kick o t t e r | Player rights = HELPER	
[4/19/23 09:11PM] Beef Supreme used command ::teleto tomzi | Player rights = HELPER	
[4/19/23 09:12PM] Beef Supreme used command ::kick O T T E R | Player rights = HELPER	
[4/19/23 09:12PM] Beef Supreme used command ::kick OTTER | Player rights = HELPER	
[4/19/23 09:12PM] Beef Supreme used command ::teleto o t t e r | Player rights = HELPER	
[4/19/23 09:12PM] Beef Supreme used command ::teleto O T T E R | Player rights = HELPER	
[4/19/23 09:13PM] Beef Supreme used command ::teletome O T T E R | Player rights = HELPER	
[4/19/23 09:20PM] Beef Supreme used command ::veigar | Player rights = HELPER	
[4/19/23 09:25PM] Beef Supreme used command ::home | Player rights = HELPER	
[4/19/23 09:25PM] Beef Supreme used command ::pos | Player rights = HELPER	
[4/19/23 09:26PM] Beef Supreme used command ::pos | Player rights = HELPER	
[4/19/23 09:28PM] Beef Supreme used command ::teleto slayer | Player rights = HELPER	
[4/19/23 09:29PM] Beef Supreme used command ::kill slayer | Player rights = HELPER	
[4/19/23 09:29PM] Beef Supreme used command ::teletome slayer | Player rights = HELPER	
[4/19/23 09:29PM] Beef Supreme used command ::teleto slayer | Player rights = HELPER	
[4/19/23 09:30PM] Beef Supreme used command ::dropoff | Player rights = HELPER	
[4/19/23 09:35PM] Beef Supreme used command ::dr | Player rights = HELPER	
[4/19/23 09:48PM] Beef Supreme used command ::teletome igotplugz | Player rights = HELPER	
[4/19/23 09:49PM] Beef Supreme used command ::veigar | Player rights = HELPER	
[4/19/23 09:58PM] Beef Supreme used command ::pos | Player rights = HELPER	
[4/19/23 10:10PM] Beef Supreme used command ::dr | Player rights = HELPER	
[4/19/23 10:18PM] Beef Supreme used command ::collection | Player rights = HELPER	
[4/19/23 10:19PM] Beef Supreme used command ::veigar | Player rights = HELPER	
[4/19/23 10:22PM] Beef Supreme used command ::pos | Player rights = HELPER	
[4/20/23 08:07PM] Beef Supreme used command ::vote | Player rights = HELPER	
[4/20/23 08:07PM] Beef Supreme used command ::pos | Player rights = HELPER	
[4/20/23 08:09PM] Beef Supreme used command ::reward 1 all | Player rights = HELPER	
[4/20/23 08:10PM] Beef Supreme used command ::pos | Player rights = HELPER	
[4/20/23 08:14PM] Beef Supreme used command ::veigar | Player rights = HELPER	
[4/20/23 08:33PM] Beef Supreme used command ::kill yavid | Player rights = HELPER	
[4/20/23 08:33PM] Beef Supreme used command ::kill yzshana | Player rights = HELPER	
[4/20/23 08:33PM] Beef Supreme used command ::kill zshana | Player rights = HELPER	
[4/20/23 08:34PM] Beef Supreme used command ::kill loonasee | Player rights = HELPER	
[4/20/23 08:34PM] Beef Supreme used command ::kill ascaris | Player rights = HELPER	
[4/20/23 08:34PM] Beef Supreme used command ::kill redx12 | Player rights = HELPER	
[4/20/23 08:34PM] Beef Supreme used command ::kill igotplugz | Player rights = HELPER	
[4/20/23 08:36PM] Beef Supreme used command ::bank | Player rights = HELPER	
[4/20/23 08:36PM] Beef Supreme used command ::pos | Player rights = HELPER	
[4/20/23 08:36PM] Beef Supreme used command ::kill resi | Player rights = HELPER	
[4/20/23 08:44PM] Beef Supreme used command ::golden | Player rights = HELPER	
[4/20/23 08:50PM] Beef Supreme used command ::dr | Player rights = HELPER	
[4/20/23 08:56PM] Beef Supreme used command ::pos | Player rights = HELPER	
[4/20/23 09:02PM] Beef Supreme used command ::veigar | Player rights = HELPER	
[4/20/23 09:23PM] Beef Supreme used command ::pos | Player rights = HELPER	
[4/20/23 09:28PM] Beef Supreme used command ::pos | Player rights = HELPER	
[4/20/23 09:33PM] Beef Supreme used command ::veigar | Player rights = HELPER	
[4/20/23 09:37PM] Beef Supreme used command ::Dr | Player rights = HELPER	
[4/20/23 09:40PM] Beef Supreme used command ::pos | Player rights = HELPER	
[4/20/23 09:45PM] Beef Supreme used command ::vboss | Player rights = HELPER	
[4/20/23 09:52PM] Beef Supreme used command ::pos | Player rights = HELPER	
[4/20/23 09:54PM] Beef Supreme used command ::Dr | Player rights = HELPER	
[4/20/23 10:02PM] Beef Supreme used command ::veigar | Player rights = HELPER	
[4/20/23 10:03PM] Beef Supreme used command ::pos | Player rights = HELPER	
[4/20/23 10:05PM] Beef Supreme used command ::dr | Player rights = HELPER	
[4/21/23 03:39PM] Beef Supreme used command ::vote | Player rights = HELPER	
[4/21/23 03:39PM] Beef Supreme used command ::pos | Player rights = HELPER	
[4/21/23 03:42PM] Beef Supreme used command ::Reward 1 all | Player rights = HELPER	
[4/21/23 03:58PM] Beef Supreme used command ::dr | Player rights = HELPER	
[4/21/23 08:28PM] Beef Supreme used command ::vboss | Player rights = HELPER	
[4/21/23 08:31PM] Beef Supreme used command ::dr | Player rights = HELPER	
[4/21/23 08:31PM] Beef Supreme used command ::dr | Player rights = HELPER	
[4/21/23 08:32PM] Beef Supreme used command ::veigar | Player rights = HELPER	
[4/21/23 08:49PM] Beef Supreme used command ::pos | Player rights = HELPER	
[4/21/23 08:50PM] Beef Supreme used command ::bank | Player rights = HELPER	
