[4/15/23 03:35AM] Supernum used command ::train | Player rights = PLAYER	
[4/15/23 03:33PM] Supernum used command ::golden | Player rights = PLAYER	
[4/15/23 03:34PM] Supernum used command ::pos | Player rights = PLAYER	
[4/15/23 03:34PM] Supernum used command ::golden | Player rights = PLAYER	
[4/15/23 03:57PM] Supernum used command ::Dr | Player rights = PLAYER	
[4/15/23 03:57PM] Supernum used command ::dr | Player rights = PLAYER	
[4/15/23 03:58PM] Supernum used command ::veigar | Player rights = PLAYER	
[4/15/23 03:59PM] Supernum used command ::teleport | Player rights = PLAYER	
[4/15/23 04:06PM] Supernum used command ::totem | Player rights = PLAYER	
[4/15/23 04:09PM] Supernum used command ::instances | Player rights = PLAYER	
[4/15/23 04:09PM] Supernum used command ::commands | Player rights = PLAYER	
[4/15/23 04:10PM] Supernum used command ::instance | Player rights = PLAYER	
[4/15/23 04:23PM] Supernum used command ::teleport | Player rights = PLAYER	
[4/15/23 04:23PM] Supernum used command ::dr | Player rights = PLAYER	
[4/15/23 04:25PM] Supernum used command ::dr | Player rights = PLAYER	
[4/15/23 04:29PM] Supernum used command ::global | Player rights = PLAYER	
[4/15/23 04:29PM] Supernum used command ::veigar | Player rights = PLAYER	
[4/15/23 04:31PM] Supernum used command ::ninetails | Player rights = PLAYER	
[4/15/23 04:33PM] Supernum used command ::meruem | Player rights = PLAYER	
[4/15/23 04:35PM] Supernum used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:48PM] Supernum used command ::Dr | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:56PM] Supernum used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:57PM] Supernum used command ::teleport | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:58PM] Supernum used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 05:10PM] Supernum used command ::lootoff | Player rights = GRACEFUL_DONATOR	
[4/15/23 05:10PM] Supernum used command ::toggleloot | Player rights = GRACEFUL_DONATOR	
[4/15/23 05:11PM] Supernum used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/15/23 05:14PM] Supernum used command ::perks | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:59PM] Supernum used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:24PM] Supernum used command ::perks | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:28PM] Supernum used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:30PM] Supernum used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:41PM] Supernum used command ::perks | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:49PM] Supernum used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:59PM] Supernum used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:01PM] Supernum used command ::winallday | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:03PM] Supernum used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:08PM] Supernum used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:18PM] Supernum used command ::perks | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:20PM] Supernum used command ::Dr | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:21PM] Supernum used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:24PM] Supernum used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:24PM] Supernum used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:27PM] Supernum used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:29PM] Supernum used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:30PM] Supernum used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:32PM] Supernum used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:45PM] Supernum used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:28PM] Supernum used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:30PM] Supernum used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:31PM] Supernum used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:45PM] Supernum used command ::Dr | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:25PM] Supernum used command ::teleport | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:28PM] Supernum used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:29PM] Supernum used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:30PM] Supernum used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:31PM] Supernum used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:32PM] Supernum used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:54PM] Supernum used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:59PM] Supernum used command ::viegar | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:59PM] Supernum used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:04PM] Supernum used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:08PM] Supernum used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:09PM] Supernum used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:10PM] Supernum used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:23PM] Supernum used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:25PM] Supernum used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:26PM] Supernum used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:27PM] Supernum used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:31PM] Supernum used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/15/23 11:33PM] Supernum used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/15/23 11:45PM] Supernum used command ::meruem | Player rights = CLERIC_DONATOR	
[4/15/23 11:50PM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 12:02AM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 12:04AM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 12:12AM] Supernum used command ::totem | Player rights = CLERIC_DONATOR	
[4/16/23 12:24AM] Supernum used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 12:24AM] Supernum used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 12:31AM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 12:53AM] Supernum used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 01:14AM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 01:14AM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 01:28AM] Supernum used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 01:30AM] Supernum used command ::muruem | Player rights = CLERIC_DONATOR	
[4/16/23 01:30AM] Supernum used command ::muruem | Player rights = CLERIC_DONATOR	
[4/16/23 01:30AM] Supernum used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 01:31AM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 01:44AM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 01:52AM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 01:53AM] Supernum used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 01:54AM] Supernum used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/16/23 01:55AM] Supernum used command ::titem | Player rights = CLERIC_DONATOR	
[4/16/23 01:55AM] Supernum used command ::totem | Player rights = CLERIC_DONATOR	
[4/16/23 02:23AM] Supernum used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 02:25AM] Supernum used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 02:26AM] Supernum used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 02:32AM] Supernum used command ::claim | Player rights = CLERIC_DONATOR	
[4/16/23 02:32AM] Supernum used command ::claim | Player rights = CLERIC_DONATOR	
[4/16/23 02:42AM] Supernum used command ::dr | Player rights = CLERIC_DONATOR	
[4/16/23 02:43AM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 02:43AM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 02:49AM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 02:50AM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 02:53AM] Supernum used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 02:59AM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 02:59AM] Supernum used command ::tasks | Player rights = CLERIC_DONATOR	
[4/16/23 03:30AM] Supernum used command ::votebos | Player rights = CLERIC_DONATOR	
[4/16/23 03:30AM] Supernum used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 03:31AM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 03:34AM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 11:57AM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 12:25PM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 12:25PM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 12:27PM] Supernum used command ::vote | Player rights = CLERIC_DONATOR	
[4/16/23 12:29PM] Supernum used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/16/23 12:46PM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 12:52PM] Supernum used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 12:52PM] Supernum used command ::Dr | Player rights = CLERIC_DONATOR	
[4/16/23 01:00PM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 01:00PM] Supernum used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/16/23 01:22PM] Supernum used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 01:24PM] Supernum used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 01:24PM] Supernum used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 01:25PM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 01:25PM] Supernum used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/16/23 01:41PM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 01:41PM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 01:50PM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 01:51PM] Supernum used command ::totem | Player rights = CLERIC_DONATOR	
[4/16/23 01:51PM] Supernum used command ::dr | Player rights = CLERIC_DONATOR	
[4/16/23 01:53PM] Supernum used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 01:53PM] Supernum used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 02:16PM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 02:37PM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 02:48PM] Supernum used command ::totem | Player rights = CLERIC_DONATOR	
[4/16/23 03:03PM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 03:23PM] Supernum used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 03:24PM] Supernum used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 03:24PM] Supernum used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 04:02PM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 04:27PM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 04:28PM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 05:23PM] Supernum used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 05:23PM] Supernum used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 05:24PM] Supernum used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 05:25PM] Supernum used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 05:26PM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 05:43PM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 06:37PM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 06:49PM] Supernum used command ::totem | Player rights = CLERIC_DONATOR	
[4/16/23 06:52PM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 06:53PM] Supernum used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 07:12PM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 07:16PM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 07:22PM] Supernum used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 07:22PM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 07:23PM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 07:24PM] Supernum used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 07:25PM] Supernum used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 07:34PM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 07:50PM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 08:08PM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 08:08PM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 08:09PM] Supernum used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/16/23 08:11PM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 08:12PM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 08:14PM] Supernum used command ::dr | Player rights = CLERIC_DONATOR	
[4/16/23 08:16PM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 08:17PM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 08:19PM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 08:21PM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 08:23PM] Supernum used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 08:24PM] Supernum used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 08:25PM] Supernum used command ::muruem | Player rights = CLERIC_DONATOR	
[4/16/23 08:25PM] Supernum used command ::muruem | Player rights = CLERIC_DONATOR	
[4/16/23 08:25PM] Supernum used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 08:25PM] Supernum used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 08:29PM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 08:31PM] Supernum used command ::Dr | Player rights = CLERIC_DONATOR	
[4/16/23 08:33PM] Supernum used command ::Ref | Player rights = CLERIC_DONATOR	
[4/16/23 08:34PM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 08:35PM] Supernum used command ::perks | Player rights = CLERIC_DONATOR	
[4/16/23 08:38PM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 08:40PM] Supernum used command ::Dr | Player rights = CLERIC_DONATOR	
[4/16/23 08:46PM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 08:48PM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 08:52PM] Supernum used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 08:53PM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 08:53PM] Supernum used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 08:54PM] Supernum used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 08:54PM] Supernum used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 08:54PM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 08:54PM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 08:54PM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 08:54PM] Supernum used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 08:56PM] Supernum used command ::muruem | Player rights = CLERIC_DONATOR	
[4/16/23 08:56PM] Supernum used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 08:56PM] Supernum used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 08:56PM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 08:57PM] Supernum used command ::vboss | Player rights = CLERIC_DONATOR	
[4/16/23 08:57PM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 08:59PM] Supernum used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/16/23 09:00PM] Supernum used command ::dr | Player rights = CLERIC_DONATOR	
[4/16/23 09:00PM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 09:39PM] Supernum used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 09:40PM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 09:41PM] Supernum used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 09:42PM] Supernum used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 09:43PM] Supernum used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 09:45PM] Supernum used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 09:53PM] Supernum used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/16/23 09:54PM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 09:54PM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 09:54PM] Supernum used command ::dr | Player rights = CLERIC_DONATOR	
[4/16/23 09:57PM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 09:57PM] Supernum used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/16/23 09:58PM] Supernum used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/16/23 09:58PM] Supernum used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/16/23 09:59PM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 09:59PM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 10:00PM] Supernum used command ::Dr | Player rights = CLERIC_DONATOR	
[4/16/23 11:27PM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 11:28PM] Supernum used command ::totem | Player rights = CLERIC_DONATOR	
[4/16/23 11:29PM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 11:29PM] Supernum used command ::dr | Player rights = CLERIC_DONATOR	
[4/16/23 11:30PM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 11:30PM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 11:30PM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 11:32PM] Supernum used command ::Dr | Player rights = CLERIC_DONATOR	
[4/16/23 11:33PM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 11:35PM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 11:39PM] Supernum used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 11:41PM] Supernum used command ::vote | Player rights = CLERIC_DONATOR	
[4/16/23 11:41PM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 11:46PM] Supernum used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 11:46PM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 11:47PM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 11:48PM] Supernum used command ::perks | Player rights = CLERIC_DONATOR	
[4/16/23 11:49PM] Supernum used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 11:54PM] Supernum used command ::donate | Player rights = CLERIC_DONATOR	
[4/16/23 11:55PM] Supernum used command ::Dr | Player rights = CLERIC_DONATOR	
[4/16/23 11:55PM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 11:55PM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 12:32AM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 12:32AM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 12:32AM] Supernum used command ::dr | Player rights = CLERIC_DONATOR	
[4/17/23 12:32AM] Supernum used command ::dr | Player rights = CLERIC_DONATOR	
[4/17/23 12:38AM] Supernum used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/17/23 12:39AM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 12:39AM] Supernum used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 12:40AM] Supernum used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:40AM] Supernum used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 12:41AM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 12:42AM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 12:43AM] Supernum used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 12:45AM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 12:47AM] Supernum used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 12:49AM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 12:49AM] Supernum used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/17/23 12:50AM] Supernum used command ::dr | Player rights = CLERIC_DONATOR	
[4/17/23 12:55AM] Supernum used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:56AM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 12:59AM] Supernum used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/17/23 12:59AM] Supernum used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/17/23 01:04AM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 01:04AM] Supernum used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 01:04AM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 01:06AM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 01:10AM] Supernum used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 01:12AM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 01:17AM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 01:19AM] Supernum used command ::dr | Player rights = CLERIC_DONATOR	
[4/17/23 01:22AM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 01:23AM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 01:25AM] Supernum used command ::dr | Player rights = CLERIC_DONATOR	
[4/17/23 01:37AM] Supernum used command ::dr | Player rights = CLERIC_DONATOR	
[4/17/23 01:41AM] Supernum used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 01:41AM] Supernum used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 01:41AM] Supernum used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 01:55AM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 01:55AM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 01:56AM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 01:57AM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 01:58AM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 01:59AM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 02:00AM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 02:03AM] Supernum used command ::ref | Player rights = CLERIC_DONATOR	
[4/17/23 02:04AM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 02:06AM] Supernum used command ::dropon | Player rights = CLERIC_DONATOR	
[4/17/23 02:06AM] Supernum used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/17/23 02:06AM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 02:09AM] Supernum used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 02:37AM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 02:37AM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 02:39AM] Supernum used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 02:40AM] Supernum used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 02:42AM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 02:44AM] Supernum used command ::pos | Player rights = CLERIC_DONATOR	
