[4/17/23 04:12PM] Wr3ckedyou used command ::empty | Player rights = DEVELOPER	
[4/18/23 12:12PM] Wr3ckedyou used command ::yELL NEW VIDEO NOW! w/$100 + GIVEAWAY @ YT/WR3CKEDYOU | Player rights = YOUTUBER	
[4/18/23 12:24PM] Wr3ckedyou used command ::Yell first tarn video + $100+ Giveaway! @ yt/wr3ckedyou | Player rights = YOUTUBER	
[4/18/23 12:34PM] Wr3ckedyou used command ::YEll $100+ Giveaway & First tarn vid @ yt/wr3ckedyou | Player rights = YOUTUBER	
[4/19/23 11:36AM] Wr3ckedyou used command ::Yell WE LIVE LETS SEE 60+ TODAY??? @ YT/WR3CKEDYOU RSPS | Player rights = YOUTUBER	
[4/19/23 11:40AM] Wr3ckedyou used command ::yELL LIVE CURSED BOX GIVEAWAY !!! @ YT/WR3CKEDYOU RSPS | Player rights = YOUTUBER	
[4/19/23 11:46AM] Wr3ckedyou used command ::Yell rolling cursed box rn! big giveaways all stream | Player rights = YOUTUBER	
[4/19/23 11:46AM] Wr3ckedyou used command ::Yell @::Wr3cked | Player rights = YOUTUBER	
[4/19/23 11:50AM] Wr3ckedyou used command ::yell cursed box g/a rn ! gl all @ yt/wr3ckedyou | Player rights = YOUTUBER	
[4/19/23 11:53AM] Wr3ckedyou used command ::bank | Player rights = YOUTUBER	
[4/19/23 11:54AM] Wr3ckedyou used command ::yell chat decides giveaway @::Wr3cked ! live rn big g/as | Player rights = YOUTUBER	
[4/19/23 11:58AM] Wr3ckedyou used command ::yell $100 box giveaway @ ::Wr3cked | Player rights = YOUTUBER	
[4/19/23 12:03PM] Wr3ckedyou used command ::Yell $100 box giveaway live! come sub & get hype @::Wr3cked | Player rights = YOUTUBER	
[4/19/23 12:05PM] Wr3ckedyou used command ::Yell all new players who link ign in stream get free box @::Wr3cked | Player rights = YOUTUBER	
[4/19/23 12:05PM] Wr3ckedyou used command ::Yell ::Wr3cked * | Player rights = YOUTUBER	
[4/19/23 12:05PM] Wr3ckedyou used command ::progression | Player rights = YOUTUBER	
[4/19/23 12:07PM] Wr3ckedyou used command ::yell live rn massssive giveaways @ ::Wr3cked $100 box rn | Player rights = YOUTUBER	
[4/19/23 12:09PM] Wr3ckedyou used command ::yell $100 box giveaway in 30 seconds @::Wr3cked | Player rights = YOUTUBER	
[4/19/23 12:22PM] Wr3ckedyou used command ::Yell cursed box + $25 bond giveaway! hype @::Wr3cked | Player rights = YOUTUBER	
[4/19/23 12:22PM] Wr3ckedyou used command ::Yell LETS FKIN GOOOOOOOOOOOOOOOOOOOOOOOOOO | Player rights = YOUTUBER	
[4/19/23 12:26PM] Wr3ckedyou used command ::Yell $125 giveaway rn! lets get itttt @::wr3cked | Player rights = YOUTUBER	
[4/19/23 12:48PM] Wr3ckedyou used command ::YELL live huge giveaway in 1 minute @::Wr3cked | Player rights = YOUTUBER	
[4/19/23 01:05PM] Wr3ckedyou used command ::yell $250 giveaway in 1 minute @::Wr3cked | Player rights = YOUTUBER	
[4/20/23 05:37AM] Wr3ckedyou used command ::yELL LIVE RN BE FIRST @::wR3CKED | Player rights = YOUTUBER	
[4/20/23 05:39AM] Wr3ckedyou used command ::Bank | Player rights = YOUTUBER	
[4/20/23 05:40AM] Wr3ckedyou used command ::Yell 50m item giveaway to start @ yt/wr3ckedyou | Player rights = YOUTUBER	
[4/20/23 05:48AM] Wr3ckedyou used command ::yell 50m stats body giveaway live rn @::Wr3cked | Player rights = YOUTUBER	
[4/20/23 05:51AM] Wr3ckedyou used command ::yell 2 mins till 50m+ giveaway live rn @::Wr3cked | Player rights = YOUTUBER	
[4/20/23 05:52AM] Wr3ckedyou used command ::Yell 4/20 vibes & fat giveaways live @::Wr3cked | Player rights = YOUTUBER	
[4/20/23 06:03AM] Wr3ckedyou used command ::yell fazula book + owner cape giveaway @::Wr3cked | Player rights = YOUTUBER	
[4/20/23 06:03AM] Wr3ckedyou used command ::Yell will be 2 giveaway winners | Player rights = YOUTUBER	
[4/20/23 06:07AM] Wr3ckedyou used command ::yell all new peeps link ign then trade for free box @::wr3cked | Player rights = YOUTUBER	
[4/20/23 06:08AM] Wr3ckedyou used command ::home | Player rights = YOUTUBER	
[4/20/23 06:09AM] Wr3ckedyou used command ::yell live massive 2 winner giveaway @::wr3cked | Player rights = YOUTUBER	
[4/20/23 06:11AM] Wr3ckedyou used command ::Yell first giveaway of many inc! @::Wr3cked | Player rights = YOUTUBER	
[4/20/23 06:13AM] Wr3ckedyou used command ::Yell live owner cape giveaway & 50m book @::Wr3cked | Player rights = YOUTUBER	
[4/20/23 06:17AM] Wr3ckedyou used command ::Bank | Player rights = YOUTUBER	
[4/20/23 06:17AM] Wr3ckedyou used command ::Yell $100 bond giveaway??? @::Wr3cked | Player rights = YOUTUBER	
[4/20/23 06:25AM] Wr3ckedyou used command ::yell live $100 bond giveaway rn!!! @::Wr3cked | Player rights = YOUTUBER	
[4/20/23 06:33AM] Wr3ckedyou used command ::yell live rn! vibes + $100 bond giveaway @::Wr3cked | Player rights = YOUTUBER	
[4/20/23 06:35AM] Wr3ckedyou used command ::yell $100 bond giveaway inc! gl all @::Wr3cked | Player rights = YOUTUBER	
[4/20/23 06:46AM] Wr3ckedyou used command ::Yell $100 bond giveaway @::wr3cke | Player rights = YOUTUBER	
[4/20/23 06:47AM] Wr3ckedyou used command ::Yell ::Wr3cked | Player rights = YOUTUBER	
[4/20/23 06:49AM] Wr3ckedyou used command ::Yell x2 sacred box giveaway ???? @::Wr3cked | Player rights = YOUTUBER	
[4/20/23 06:53AM] Wr3ckedyou used command ::Bank | Player rights = YOUTUBER	
[4/20/23 06:53AM] Wr3ckedyou used command ::Yell loool | Player rights = YOUTUBER	
[4/20/23 06:57AM] Wr3ckedyou used command ::Yell lets get 60+ for $200+ giveaway @::Wr3cked | Player rights = YOUTUBER	
[4/20/23 07:03AM] Wr3ckedyou used command ::Yell live free goodies & Fat giveaway going @::Wr3cked | Player rights = YOUTUBER	
[4/20/23 07:09AM] Wr3ckedyou used command ::Yell alright fellas! tarn hype to ::Wr3cked ! $200+ giveaway rn! | Player rights = YOUTUBER	
[4/20/23 07:12AM] Wr3ckedyou used command ::Yell the vibessssssssssssssssssssssss | Player rights = YOUTUBER	
[4/20/23 07:12AM] Wr3ckedyou used command ::yell get iN! $200 giveaway gl all @::Wr3cked | Player rights = YOUTUBER	
[4/20/23 07:15AM] Wr3ckedyou used command ::Yell quick fortune chest g/a! 1 minute @::Wr3cked | Player rights = YOUTUBER	
[4/22/23 08:37AM] Wr3ckedyou used command ::Donate | Player rights = YOUTUBER	
[4/22/23 08:39AM] Wr3ckedyou used command ::Bank | Player rights = YOUTUBER	
[4/22/23 08:39AM] Wr3ckedyou used command ::bank | Player rights = YOUTUBER	
[4/22/23 08:41AM] Wr3ckedyou used command ::refer | Player rights = YOUTUBER	
[4/22/23 08:42AM] Wr3ckedyou used command ::Refer | Player rights = YOUTUBER	
[4/22/23 12:14PM] Wr3ckedyou used command ::yell tarn vid inccccccccccccccccccc ????? @ ::Wr3cked | Player rights = YOUTUBER	
[4/22/23 12:14PM] Wr3ckedyou used command ::Yell in few min :P | Player rights = YOUTUBER	
[4/22/23 12:17PM] Wr3ckedyou used command ::donate | Player rights = YOUTUBER	
[4/22/23 12:34PM] Wr3ckedyou used command ::Bank | Player rights = YOUTUBER	
[4/22/23 12:37PM] Wr3ckedyou used command ::Yell be first now! #1 + huge g/a & Winners @ ::Wr3cked | Player rights = YOUTUBER	
[4/22/23 12:39PM] Wr3ckedyou used command ::yELL CHECKING FIRST NOW! + HUGE G/A @ yt/wr3ckedyou RSPS | Player rights = YOUTUBER	
[4/22/23 12:40PM] Wr3ckedyou used command ::yell road to bis #ep1 + fat giveaway !! @ ::Wr3cked | Player rights = YOUTUBER	
[4/22/23 12:43PM] Wr3ckedyou used command ::yell huge first comment rewards + Ep1 @::Wr3cked | Player rights = YOUTUBER	
[4/22/23 12:46PM] Wr3ckedyou used command ::Yell ep1 road to bis! @ ::Wr3cked (massive giveaway) | Player rights = YOUTUBER	
[4/22/23 01:07PM] Wr3ckedyou used command ::Yell #ep1 + huge $100 + Giveaway @ ::Wr3cked | Player rights = YOUTUBER	
[4/22/23 01:48PM] Wr3ckedyou used command ::yell new video!! #ep1 + $100+ giveaway @::WR3cked | Player rights = YOUTUBER	
[4/22/23 01:55PM] Wr3ckedyou used command ::yell new #ep1 + $100+ giveaway @ ::WR3cked (lesgoooo) | Player rights = YOUTUBER	
[4/22/23 02:01PM] Wr3ckedyou used command ::yell new video!! #ep1 + $100+ giveaway @::WR3cked | Player rights = YOUTUBER	
[4/22/23 03:51PM] Wr3ckedyou used command ::yell $100+ giveaway!! #ep1 now @::WR3cked | Player rights = YOUTUBER	
[4/22/23 06:18PM] Wr3ckedyou used command ::yell $100+ giveaway & #ep1 @ ::Wr3cked  | Player rights = YOUTUBER	
[4/22/23 06:19PM] Wr3ckedyou used command ::bank | Player rights = YOUTUBER	
[4/22/23 06:19PM] Wr3ckedyou used command ::Bank | Player rights = YOUTUBER	
[4/24/23 08:52AM] Wr3ckedyou used command ::Yell going live! first gets fat goodies @ ::wr3ckedyou | Player rights = YOUTUBER	
[4/24/23 08:53AM] Wr3ckedyou used command ::Yell first comments are hypeee @::wr3ckedyou | Player rights = YOUTUBER	
[4/24/23 08:57AM] Wr3ckedyou used command ::bANK | Player rights = YOUTUBER	
[4/24/23 08:57AM] Wr3ckedyou used command ::yELL $150 BOX GIVEAWAY @::WR3CKEDYOU | Player rights = YOUTUBER	
[4/24/23 08:59AM] Wr3ckedyou used command ::yell live $150 sacred giveaway @::wr3cked | Player rights = YOUTUBER	
[4/24/23 09:12AM] Wr3ckedyou used command ::yell live rn sacred box $150 giveaway in 1 minute @::Wr3ckedyou | Player rights = YOUTUBER	
[4/24/23 09:35AM] Wr3ckedyou used command ::yell live rn big giveaway in 30 seconds @::Wr3ckedyou | Player rights = YOUTUBER	
[4/24/23 09:37AM] Wr3ckedyou used command ::Yell live join fast! crazy giveaways @::Wr3ckedyou | Player rights = YOUTUBER	
[4/24/23 10:08AM] Wr3ckedyou used command ::Yell live damnnation box giveaway $150 @::Wr3ckedyou | Player rights = YOUTUBER	
[4/24/23 10:08AM] Wr3ckedyou used command ::Yell 60 seconds to enter! | Player rights = YOUTUBER	
[4/24/23 10:11AM] Wr3ckedyou used command ::Yell cursed box giveaway live @::Wr3ckedyou | Player rights = YOUTUBER	
[4/24/23 10:17AM] Wr3ckedyou used command ::Yell all ::Wr3ckedyou and show love! hype giveaway inc | Player rights = YOUTUBER	
[4/24/23 10:21AM] Wr3ckedyou used command ::yell live massive giveaway rn @::Wr3ckedyou | Player rights = YOUTUBER	
[4/24/23 10:21AM] Wr3ckedyou used command ::Yell 1 minute to enter | Player rights = YOUTUBER	
[4/25/23 03:44PM] Wr3ckedyou used command ::Yell new vid in moment @ yt/wr3ckedyou | Player rights = YOUTUBER	
[4/25/23 03:48PM] Wr3ckedyou used command ::Yell first gets $25 ! new #ep2 now @::Wr3cked | Player rights = YOUTUBER	
[4/25/23 03:50PM] Wr3ckedyou used command ::Yell #ep2 dropped + fat giveaway & free $25 @::Wr3cked | Player rights = YOUTUBER	
[4/25/23 03:51PM] Wr3ckedyou used command ::Yell all to ::Wr3cked | Player rights = YOUTUBER	
[4/25/23 04:18PM] Wr3ckedyou used command ::yell $100 giveaway & hype new vid @::Wr3cked | Player rights = YOUTUBER	
[4/25/23 05:30PM] Wr3ckedyou used command ::Yell $100 giveaway & #ep2 road to bis @::Wr3cked | Player rights = YOUTUBER	
[4/25/23 05:31PM] Wr3ckedyou used command ::bank | Player rights = YOUTUBER	
[4/25/23 05:34PM] Wr3ckedyou used command ::Yell $100 giveaway & road to BIS #2 @::WR3CKED | Player rights = YOUTUBER	
