[4/15/23 10:00PM] Shrazdek used command ::home | Player rights = PLAYER	
[4/18/23 05:11PM] Shrazdek used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 05:12PM] Shrazdek used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/18/23 05:12PM] Shrazdek used command ::dropon | Player rights = CLERIC_DONATOR	
[4/18/23 05:12PM] Shrazdek used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/19/23 12:29PM] Shrazdek used command ::drops off | Player rights = CLERIC_DONATOR	
[4/19/23 12:29PM] Shrazdek used command ::dropsoff | Player rights = CLERIC_DONATOR	
[4/19/23 12:30PM] Shrazdek used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/19/23 12:30PM] Shrazdek used command ::vote | Player rights = CLERIC_DONATOR	
[4/19/23 12:31PM] Shrazdek used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/19/23 01:13PM] Shrazdek used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 01:13PM] Shrazdek used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 01:14PM] Shrazdek used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 01:15PM] Shrazdek used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 01:32PM] Shrazdek used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/19/23 01:43PM] Shrazdek used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 02:13PM] Shrazdek used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 02:43PM] Shrazdek used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 03:13PM] Shrazdek used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 03:15PM] Shrazdek used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 03:16PM] Shrazdek used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 03:17PM] Shrazdek used command ::golden | Player rights = CLERIC_DONATOR	
[4/19/23 03:43PM] Shrazdek used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 04:13PM] Shrazdek used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 04:13PM] Shrazdek used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 04:43PM] Shrazdek used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 04:45PM] Shrazdek used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 05:13PM] Shrazdek used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 05:14PM] Shrazdek used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 05:15PM] Shrazdek used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 05:16PM] Shrazdek used command ::golden | Player rights = CLERIC_DONATOR	
[4/19/23 05:43PM] Shrazdek used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 01:46PM] Shrazdek used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/20/23 03:57PM] Shrazdek used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/20/23 04:19PM] Shrazdek used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 04:20PM] Shrazdek used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 02:01PM] Shrazdek used command ::store | Player rights = CLERIC_DONATOR	
[4/21/23 02:04PM] Shrazdek used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 02:06PM] Shrazdek used command ::claim | Player rights = CLERIC_DONATOR	
[4/21/23 02:06PM] Shrazdek used command ::claim | Player rights = CLERIC_DONATOR	
[4/21/23 02:32PM] Shrazdek used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 02:33PM] Shrazdek used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 02:34PM] Shrazdek used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 02:35PM] Shrazdek used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 02:45PM] Shrazdek used command ::dropoff | Player rights = TORMENTED_DONATOR	
[4/21/23 03:02PM] Shrazdek used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 07:32PM] Shrazdek used command ::Veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 07:34PM] Shrazdek used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/21/23 08:02PM] Shrazdek used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 08:07PM] Shrazdek used command ::dropoff | Player rights = TORMENTED_DONATOR	
[4/21/23 08:32PM] Shrazdek used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 08:33PM] Shrazdek used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/21/23 08:34PM] Shrazdek used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/21/23 08:35PM] Shrazdek used command ::golden | Player rights = TORMENTED_DONATOR	
[4/21/23 09:02PM] Shrazdek used command ::Veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 09:32PM] Shrazdek used command ::Veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 09:57PM] Shrazdek used command ::reward 1 all | Player rights = TORMENTED_DONATOR	
[4/21/23 10:04PM] Shrazdek used command ::elo | Player rights = TORMENTED_DONATOR	
[4/21/23 10:04PM] Shrazdek used command ::elo | Player rights = TORMENTED_DONATOR	
[4/21/23 10:04PM] Shrazdek used command ::elo | Player rights = TORMENTED_DONATOR	
[4/21/23 10:04PM] Shrazdek used command ::elo | Player rights = TORMENTED_DONATOR	
[4/21/23 10:04PM] Shrazdek used command ::elo | Player rights = TORMENTED_DONATOR	
[4/22/23 10:06AM] Shrazdek used command ::drop off | Player rights = TORMENTED_DONATOR	
[4/22/23 10:06AM] Shrazdek used command ::dropoff | Player rights = TORMENTED_DONATOR	
[4/22/23 10:35AM] Shrazdek used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 10:35AM] Shrazdek used command ::Veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 10:37AM] Shrazdek used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/22/23 10:38AM] Shrazdek used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/22/23 10:39AM] Shrazdek used command ::golden | Player rights = TORMENTED_DONATOR	
[4/22/23 11:59AM] Shrazdek used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/22/23 12:02PM] Shrazdek used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 12:04PM] Shrazdek used command ::highscored | Player rights = TORMENTED_DONATOR	
[4/22/23 12:05PM] Shrazdek used command ::highscores | Player rights = TORMENTED_DONATOR	
[4/24/23 01:08PM] Shrazdek used command ::dropoff | Player rights = TORMENTED_DONATOR	
[4/24/23 01:08PM] Shrazdek used command ::vote | Player rights = TORMENTED_DONATOR	
[4/24/23 01:10PM] Shrazdek used command ::claim 1 all | Player rights = TORMENTED_DONATOR	
[4/24/23 01:10PM] Shrazdek used command ::claim 1 all | Player rights = TORMENTED_DONATOR	
[4/24/23 01:10PM] Shrazdek used command ::claim all | Player rights = TORMENTED_DONATOR	
[4/24/23 01:10PM] Shrazdek used command ::reward 1 all | Player rights = TORMENTED_DONATOR	
[4/24/23 01:16PM] Shrazdek used command ::noble | Player rights = TORMENTED_DONATOR	
[4/24/23 01:54PM] Shrazdek used command ::elo | Player rights = TORMENTED_DONATOR	
[4/24/23 01:56PM] Shrazdek used command ::raids | Player rights = TORMENTED_DONATOR	
[4/24/23 01:56PM] Shrazdek used command ::elo | Player rights = TORMENTED_DONATOR	
[4/24/23 01:56PM] Shrazdek used command ::elo | Player rights = TORMENTED_DONATOR	
[4/24/23 01:56PM] Shrazdek used command ::elo | Player rights = TORMENTED_DONATOR	
[4/24/23 01:56PM] Shrazdek used command ::elo | Player rights = TORMENTED_DONATOR	
[4/24/23 01:56PM] Shrazdek used command ::elo | Player rights = TORMENTED_DONATOR	
[4/24/23 01:56PM] Shrazdek used command ::elo | Player rights = TORMENTED_DONATOR	
[4/24/23 01:57PM] Shrazdek used command ::elo | Player rights = TORMENTED_DONATOR	
[4/24/23 01:57PM] Shrazdek used command ::elo | Player rights = TORMENTED_DONATOR	
[4/25/23 03:03PM] Shrazdek used command ::vote | Player rights = TORMENTED_DONATOR	
[4/25/23 03:04PM] Shrazdek used command ::reward 1 all | Player rights = TORMENTED_DONATOR	
[4/25/23 03:04PM] Shrazdek used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/25/23 03:25PM] Shrazdek used command ::dropoff | Player rights = TORMENTED_DONATOR	
[4/25/23 03:31PM] Shrazdek used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/25/23 03:32PM] Shrazdek used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/25/23 03:34PM] Shrazdek used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/25/23 03:35PM] Shrazdek used command ::home | Player rights = TORMENTED_DONATOR	
