[4/22/23 12:50PM] Silver used command ::home | Player rights = PLAYER	
[4/23/23 09:37AM] Silver used command ::meruem | Player rights = PLAYER	
[4/23/23 09:38AM] Silver used command ::golden | Player rights = PLAYER	
[4/23/23 09:38AM] Silver used command ::voteboss | Player rights = PLAYER	
[4/23/23 09:41AM] Silver used command ::afk | Player rights = PLAYER	
[4/23/23 09:44AM] Silver used command ::voteboss | Player rights = PLAYER	
[4/23/23 10:02AM] Silver used command ::home | Player rights = PLAYER	
[4/23/23 10:03AM] Silver used command ::afk | Player rights = PLAYER	
[4/23/23 10:52AM] Silver used command ::voteboss | Player rights = PLAYER	
[4/23/23 10:57AM] Silver used command ::afk | Player rights = PLAYER	
[4/23/23 11:43AM] Silver used command ::voteboss | Player rights = PLAYER	
[4/23/23 11:49AM] Silver used command ::afk | Player rights = PLAYER	
[4/23/23 11:59AM] Silver used command ::afk | Player rights = PLAYER	
[4/23/23 12:00PM] Silver used command ::voteboss | Player rights = PLAYER	
[4/23/23 12:05PM] Silver used command ::afk | Player rights = PLAYER	
[4/23/23 12:09PM] Silver used command ::golden | Player rights = PLAYER	
[4/23/23 12:10PM] Silver used command ::afk | Player rights = PLAYER	
[4/23/23 12:12PM] Silver used command ::home | Player rights = PLAYER	
[4/23/23 12:13PM] Silver used command ::afk | Player rights = PLAYER	
[4/23/23 12:31PM] Silver used command ::afk | Player rights = PLAYER	
[4/23/23 12:51PM] Silver used command ::home | Player rights = PLAYER	
