[4/18/23 04:30PM] Lun4 used command ::teleport | Player rights = PLAYER	
[4/19/23 02:28PM] Lun4 used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:29PM] Lun4 used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:39PM] Lun4 used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:43PM] Lun4 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:43PM] Lun4 used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:44PM] Lun4 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:45PM] Lun4 used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:53PM] Lun4 used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:58PM] Lun4 used command ::kills | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:03PM] Lun4 used command ::kills | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:05PM] Lun4 used command ::kills | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:12PM] Lun4 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:15PM] Lun4 used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:16PM] Lun4 used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:17PM] Lun4 used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:19PM] Lun4 used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:24PM] Lun4 used command ::kills | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:33PM] Lun4 used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:33PM] Lun4 used command ::kills | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:34PM] Lun4 used command ::kills | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:35PM] Lun4 used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:36PM] Lun4 used command ::kills | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:42PM] Lun4 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:45PM] Lun4 used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:02PM] Lun4 used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:05PM] Lun4 used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:05PM] Lun4 used command ::teleport | Player rights = CLERIC_DONATOR	
[4/19/23 04:05PM] Lun4 used command ::bank | Player rights = CLERIC_DONATOR	
[4/19/23 04:06PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 04:13PM] Lun4 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 04:15PM] Lun4 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 04:41PM] Lun4 used command ::home | Player rights = CLERIC_DONATOR	
[4/19/23 04:43PM] Lun4 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 04:45PM] Lun4 used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/19/23 04:48PM] Lun4 used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 04:50PM] Lun4 used command ::home | Player rights = CLERIC_DONATOR	
[4/19/23 04:50PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 04:51PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 04:54PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 01:48PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 01:49PM] Lun4 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 01:51PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 01:53PM] Lun4 used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 01:53PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 01:59PM] Lun4 used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/20/23 02:01PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 02:19PM] Lun4 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 02:20PM] Lun4 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 02:22PM] Lun4 used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 02:34PM] Lun4 used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 02:38PM] Lun4 used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/20/23 02:38PM] Lun4 used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/20/23 02:42PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 02:49PM] Lun4 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 02:50PM] Lun4 used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 02:51PM] Lun4 used command ::vote | Player rights = CLERIC_DONATOR	
[4/20/23 02:54PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 02:57PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 05:35AM] Lun4 used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/21/23 05:36AM] Lun4 used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 05:36AM] Lun4 used command ::Home | Player rights = CLERIC_DONATOR	
[4/21/23 05:36AM] Lun4 used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 05:37AM] Lun4 used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 05:38AM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 05:39AM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 05:40AM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 06:02AM] Lun4 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 06:05AM] Lun4 used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 06:08AM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 06:12AM] Lun4 used command ::vote | Player rights = CLERIC_DONATOR	
[4/21/23 06:12AM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 06:12AM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 06:27AM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 06:33AM] Lun4 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 06:34AM] Lun4 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 06:35AM] Lun4 used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 06:36AM] Lun4 used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 06:36AM] Lun4 used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 06:36AM] Lun4 used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 06:36AM] Lun4 used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/21/23 06:37AM] Lun4 used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/21/23 06:38AM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 06:39AM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 06:40AM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 06:42AM] Lun4 used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 06:46AM] Lun4 used command ::dr | Player rights = CLERIC_DONATOR	
[4/21/23 06:47AM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 06:47AM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 06:56AM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 07:02AM] Lun4 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 07:05AM] Lun4 used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 07:05AM] Lun4 used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 07:07AM] Lun4 used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/21/23 07:07AM] Lun4 used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/21/23 07:08AM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 07:08AM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 07:22AM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 07:30AM] Lun4 used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 07:30AM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 07:32AM] Lun4 used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/21/23 07:34AM] Lun4 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 07:35AM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 07:37AM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 07:41AM] Lun4 used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 07:44AM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 07:45AM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 07:57AM] Lun4 used command ::votewboss | Player rights = CLERIC_DONATOR	
[4/21/23 07:57AM] Lun4 used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/21/23 07:58AM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:00AM] Lun4 used command ::Home | Player rights = CLERIC_DONATOR	
[4/21/23 08:00AM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:02AM] Lun4 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 08:05AM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:14AM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:17AM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:30AM] Lun4 used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 08:31AM] Lun4 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 08:32AM] Lun4 used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 08:32AM] Lun4 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 08:33AM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:33AM] Lun4 used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 08:34AM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:34AM] Lun4 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 08:35AM] Lun4 used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 08:35AM] Lun4 used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 08:36AM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:37AM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:37AM] Lun4 used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/21/23 08:38AM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:39AM] Lun4 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 08:40AM] Lun4 used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 08:41AM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:42AM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:43AM] Lun4 used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 08:45AM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:46AM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 09:00AM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 09:02AM] Lun4 used command ::totem | Player rights = CLERIC_DONATOR	
[4/21/23 09:02AM] Lun4 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 09:09AM] Lun4 used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 09:13AM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 09:13AM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 09:18AM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 09:23AM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 09:33AM] Lun4 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 09:33AM] Lun4 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 09:34AM] Lun4 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 09:35AM] Lun4 used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 09:51AM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 09:51AM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 09:54AM] Lun4 used command ::kills | Player rights = CLERIC_DONATOR	
[4/21/23 09:56AM] Lun4 used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 09:57AM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 09:59AM] Lun4 used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 10:03AM] Lun4 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 10:04AM] Lun4 used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 10:04AM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 10:33AM] Lun4 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 10:33AM] Lun4 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 10:34AM] Lun4 used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 10:35AM] Lun4 used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 10:36AM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 10:42AM] Lun4 used command ::totem | Player rights = CLERIC_DONATOR	
[4/21/23 11:01AM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 11:02AM] Lun4 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 11:03AM] Lun4 used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/21/23 11:04AM] Lun4 used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 11:05AM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 11:17AM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 11:20AM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 11:24AM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 11:31AM] Lun4 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 11:33AM] Lun4 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 11:35AM] Lun4 used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 11:36AM] Lun4 used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 11:36AM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 11:40AM] Lun4 used command ::bank | Player rights = CLERIC_DONATOR	
[4/21/23 11:41AM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 11:43AM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 11:45AM] Lun4 used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/21/23 11:45AM] Lun4 used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/21/23 11:46AM] Lun4 used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/21/23 11:46AM] Lun4 used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/21/23 11:46AM] Lun4 used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/21/23 11:47AM] Lun4 used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/21/23 11:48AM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 11:53AM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 11:58AM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 12:00PM] Lun4 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 12:01PM] Lun4 used command ::bank | Player rights = CLERIC_DONATOR	
[4/21/23 12:04PM] Lun4 used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 12:05PM] Lun4 used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/21/23 12:11PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 12:14PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 12:14PM] Lun4 used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 12:30PM] Lun4 used command ::kills | Player rights = CLERIC_DONATOR	
[4/21/23 12:32PM] Lun4 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 12:34PM] Lun4 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 12:35PM] Lun4 used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 12:36PM] Lun4 used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 12:37PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 12:37PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 12:48PM] Lun4 used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 12:53PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 12:59PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 01:00PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 01:01PM] Lun4 used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/21/23 01:02PM] Lun4 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 01:05PM] Lun4 used command ::teleport | Player rights = CLERIC_DONATOR	
[4/21/23 01:05PM] Lun4 used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 01:07PM] Lun4 used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/21/23 01:11PM] Lun4 used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 01:12PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 01:14PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 01:14PM] Lun4 used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 01:14PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 01:15PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 01:16PM] Lun4 used command ::kills | Player rights = CLERIC_DONATOR	
[4/21/23 01:18PM] Lun4 used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 01:29PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 01:31PM] Lun4 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 01:31PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 01:34PM] Lun4 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 01:36PM] Lun4 used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 01:39PM] Lun4 used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 01:53PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 01:55PM] Lun4 used command ::dr | Player rights = CLERIC_DONATOR	
[4/21/23 02:02PM] Lun4 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 02:02PM] Lun4 used command ::dr | Player rights = CLERIC_DONATOR	
[4/21/23 02:04PM] Lun4 used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 02:04PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 02:31PM] Lun4 used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 02:31PM] Lun4 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 02:33PM] Lun4 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 02:34PM] Lun4 used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 02:35PM] Lun4 used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 02:36PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 02:36PM] Lun4 used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 02:47PM] Lun4 used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 02:48PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 03:00PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 03:02PM] Lun4 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 03:04PM] Lun4 used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 03:05PM] Lun4 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 03:06PM] Lun4 used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/21/23 03:07PM] Lun4 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 03:07PM] Lun4 used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 03:07PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 03:13PM] Lun4 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 03:14PM] Lun4 used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 03:32PM] Lun4 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 03:33PM] Lun4 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 03:35PM] Lun4 used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 03:35PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 03:38PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 03:39PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 03:56PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 04:02PM] Lun4 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 04:04PM] Lun4 used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 04:04PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 04:08PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 04:21PM] Lun4 used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 04:30PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 04:33PM] Lun4 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 04:34PM] Lun4 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 04:35PM] Lun4 used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 04:35PM] Lun4 used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 04:36PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 04:52PM] Lun4 used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 04:55PM] Lun4 used command ::home | Player rights = CLERIC_DONATOR	
