[4/22/23 10:55PM] Ganon used command ::setpin | Player rights = PLAYER	
[4/23/23 01:46AM] Ganon used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/23/23 01:47AM] Ganon used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/23/23 11:03AM] Ganon used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/23/23 07:53PM] Ganon used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/24/23 12:56AM] Ganon used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/24/23 01:01AM] Ganon used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/24/23 01:04AM] Ganon used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/24/23 01:06AM] Ganon used command ::offdrops | Player rights = GRACEFUL_DONATOR	
[4/24/23 01:06AM] Ganon used command ::dropsoff | Player rights = GRACEFUL_DONATOR	
[4/24/23 01:06AM] Ganon used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/24/23 01:12AM] Ganon used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/24/23 01:31AM] Ganon used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/24/23 01:33AM] Ganon used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/24/23 02:01AM] Ganon used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/24/23 02:04AM] Ganon used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/24/23 06:52PM] Ganon used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/24/23 07:31PM] Ganon used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/24/23 07:40PM] Ganon used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/24/23 07:59PM] Ganon used command ::dropsoff | Player rights = GRACEFUL_DONATOR	
[4/24/23 07:59PM] Ganon used command ::offdrop | Player rights = GRACEFUL_DONATOR	
[4/24/23 07:59PM] Ganon used command ::offdrops | Player rights = GRACEFUL_DONATOR	
[4/24/23 07:59PM] Ganon used command ::dropoffs | Player rights = GRACEFUL_DONATOR	
[4/24/23 08:00PM] Ganon used command ::offdrop | Player rights = GRACEFUL_DONATOR	
[4/24/23 08:00PM] Ganon used command ::offdrops | Player rights = GRACEFUL_DONATOR	
[4/24/23 08:00PM] Ganon used command ::dropsoff | Player rights = GRACEFUL_DONATOR	
[4/24/23 08:00PM] Ganon used command ::dropsoffs | Player rights = GRACEFUL_DONATOR	
[4/24/23 08:00PM] Ganon used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/24/23 08:01PM] Ganon used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/24/23 08:31PM] Ganon used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/24/23 08:33PM] Ganon used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/24/23 08:35PM] Ganon used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/24/23 08:40PM] Ganon used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/24/23 08:44PM] Ganon used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/24/23 09:01PM] Ganon used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/24/23 09:14PM] Ganon used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/24/23 09:31PM] Ganon used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/24/23 09:32PM] Ganon used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/24/23 09:34PM] Ganon used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/25/23 07:37PM] Ganon used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/25/23 07:47PM] Ganon used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/25/23 07:51PM] Ganon used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/25/23 08:01PM] Ganon used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/25/23 08:31PM] Ganon used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/25/23 08:32PM] Ganon used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/25/23 08:57PM] Ganon used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/25/23 09:00PM] Ganon used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/25/23 09:10PM] Ganon used command ::ref | Player rights = GRACEFUL_DONATOR	
[4/25/23 09:10PM] Ganon used command ::ref | Player rights = GRACEFUL_DONATOR	
[4/25/23 09:24PM] Ganon used command ::ref | Player rights = GRACEFUL_DONATOR	
[4/25/23 09:31PM] Ganon used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/25/23 09:33PM] Ganon used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/25/23 09:35PM] Ganon used command ::meruem | Player rights = GRACEFUL_DONATOR	
