[4/17/23 09:03PM] Scary Terry used command ::train | Player rights = PLAYER	
[4/19/23 09:24PM] Scary Terry used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:25PM] Scary Terry used command ::Voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:49PM] Scary Terry used command ::viegar | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:49PM] Scary Terry used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:51PM] Scary Terry used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 10:18PM] Scary Terry used command ::viegar | Player rights = GRACEFUL_DONATOR	
[4/19/23 10:18PM] Scary Terry used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:49PM] Scary Terry used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:52PM] Scary Terry used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:52PM] Scary Terry used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:52PM] Scary Terry used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 12:19AM] Scary Terry used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 12:21AM] Scary Terry used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 12:23AM] Scary Terry used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/20/23 12:33AM] Scary Terry used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/20/23 12:37AM] Scary Terry used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/20/23 12:49AM] Scary Terry used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 11:19AM] Scary Terry used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 11:21AM] Scary Terry used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 11:22AM] Scary Terry used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/20/23 11:24AM] Scary Terry used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/20/23 11:28AM] Scary Terry used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/20/23 11:49AM] Scary Terry used command ::viegar | Player rights = GRACEFUL_DONATOR	
[4/20/23 11:49AM] Scary Terry used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 12:18PM] Scary Terry used command ::Voteboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 12:19PM] Scary Terry used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 12:20PM] Scary Terry used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 12:21PM] Scary Terry used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/20/23 12:22PM] Scary Terry used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 12:49PM] Scary Terry used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:18PM] Scary Terry used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:20PM] Scary Terry used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:21PM] Scary Terry used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:20PM] Scary Terry used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:23PM] Scary Terry used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:24PM] Scary Terry used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:32PM] Scary Terry used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:34PM] Scary Terry used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:36PM] Scary Terry used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:37PM] Scary Terry used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:15AM] Scary Terry used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:19AM] Scary Terry used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/21/23 03:56PM] Scary Terry used command ::noble | Player rights = GRACEFUL_DONATOR	
[4/21/23 04:02PM] Scary Terry used command ::Vote | Player rights = GRACEFUL_DONATOR	
[4/21/23 04:03PM] Scary Terry used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 04:04PM] Scary Terry used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 04:04PM] Scary Terry used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/21/23 04:31PM] Scary Terry used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 04:34PM] Scary Terry used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 04:35PM] Scary Terry used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:32PM] Scary Terry used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:34PM] Scary Terry used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:36PM] Scary Terry used command ::mermuem | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:36PM] Scary Terry used command ::mermuem | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:36PM] Scary Terry used command ::mermuem | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:37PM] Scary Terry used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:02PM] Scary Terry used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 06:59PM] Scary Terry used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 06:59PM] Scary Terry used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/22/23 07:01PM] Scary Terry used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:50PM] Scary Terry used command ::Voteboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:03PM] Scary Terry used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:32PM] Scary Terry used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:33PM] Scary Terry used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:34PM] Scary Terry used command ::mermuem | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:35PM] Scary Terry used command ::mermuem | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:02PM] Scary Terry used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 11:04PM] Scary Terry used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 11:07PM] Scary Terry used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/22/23 11:32PM] Scary Terry used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 11:33PM] Scary Terry used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 11:34PM] Scary Terry used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 11:35PM] Scary Terry used command ::golden | Player rights = CLERIC_DONATOR	
