[4/15/23 11:26PM] Jj Fly used command ::Ref | Player rights = PLAYER	
[4/16/23 04:11PM] Jj Fly used command ::yell so owner chest is 300? | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:12PM] Jj Fly used command ::yell he sure did sorry but thats dumb this is prolly a fly by server | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:12PM] Jj Fly used command ::yell should get spawns for everyone since he just made 900+ $$$ | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:13PM] Jj Fly used command ::yell wish there was dono boss most have them | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:13PM] Jj Fly used command ::yell how about a few spawns ? | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:15PM] Jj Fly used command ::yell 900$$$ +++ and no spawns... | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:21PM] Jj Fly used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:21PM] Jj Fly used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:21PM] Jj Fly used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:22PM] Jj Fly used command ::event | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:22PM] Jj Fly used command ::Events | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:24PM] Jj Fly used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:25PM] Jj Fly used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:53PM] Jj Fly used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:55PM] Jj Fly used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:58PM] Jj Fly used command ::vot | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:58PM] Jj Fly used command ::Vote | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:58PM] Jj Fly used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:02PM] Jj Fly used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:04PM] Jj Fly used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:06PM] Jj Fly used command ::Voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:03PM] Jj Fly used command ::jipy | Player rights = CLERIC_DONATOR	
[4/16/23 08:39PM] Jj Fly used command ::cOLLECTION | Player rights = CLERIC_DONATOR	
[4/17/23 01:09AM] Jj Fly used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 09:37AM] Jj Fly used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 09:42AM] Jj Fly used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 09:44AM] Jj Fly used command ::mereum | Player rights = CLERIC_DONATOR	
[4/17/23 09:44AM] Jj Fly used command ::murem | Player rights = CLERIC_DONATOR	
[4/17/23 09:44AM] Jj Fly used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 09:45AM] Jj Fly used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 09:45AM] Jj Fly used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 12:19PM] Jj Fly used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 12:19PM] Jj Fly used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 12:26PM] Jj Fly used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 12:29PM] Jj Fly used command ::vote | Player rights = CLERIC_DONATOR	
[4/17/23 12:32PM] Jj Fly used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:33PM] Jj Fly used command ::ninetials | Player rights = CLERIC_DONATOR	
[4/17/23 12:33PM] Jj Fly used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 12:33PM] Jj Fly used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 12:41PM] Jj Fly used command ::Botyer | Player rights = CLERIC_DONATOR	
[4/17/23 12:41PM] Jj Fly used command ::Voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 01:56PM] Jj Fly used command ::discord | Player rights = CLERIC_DONATOR	
[4/17/23 01:57PM] Jj Fly used command ::::donate | Player rights = CLERIC_DONATOR	
[4/17/23 01:57PM] Jj Fly used command ::donate | Player rights = CLERIC_DONATOR	
[4/17/23 01:58PM] Jj Fly used command ::yell buying aoe weapon | Player rights = CLERIC_DONATOR	
[4/17/23 01:59PM] Jj Fly used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 02:02PM] Jj Fly used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 02:17PM] Jj Fly used command ::vote | Player rights = CLERIC_DONATOR	
[4/17/23 02:18PM] Jj Fly used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/17/23 02:32PM] Jj Fly used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 02:33PM] Jj Fly used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 02:33PM] Jj Fly used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 02:34PM] Jj Fly used command ::meruemn | Player rights = CLERIC_DONATOR	
[4/17/23 02:34PM] Jj Fly used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 02:34PM] Jj Fly used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 02:51PM] Jj Fly used command ::ref | Player rights = CLERIC_DONATOR	
[4/17/23 02:52PM] Jj Fly used command ::yell rokas i sell one | Player rights = CLERIC_DONATOR	
[4/17/23 02:59PM] Jj Fly used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 02:59PM] Jj Fly used command ::Voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 03:02PM] Jj Fly used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 03:12PM] Jj Fly used command ::ef | Player rights = CLERIC_DONATOR	
[4/17/23 03:12PM] Jj Fly used command ::ref | Player rights = CLERIC_DONATOR	
[4/17/23 03:16PM] Jj Fly used command ::Hopme | Player rights = CLERIC_DONATOR	
[4/17/23 03:16PM] Jj Fly used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 03:31PM] Jj Fly used command ::vbeigar | Player rights = CLERIC_DONATOR	
[4/17/23 03:31PM] Jj Fly used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/17/23 03:33PM] Jj Fly used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 04:30PM] Jj Fly used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 04:32PM] Jj Fly used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 04:33PM] Jj Fly used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 04:34PM] Jj Fly used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 05:24PM] Jj Fly used command ::vote | Player rights = CLERIC_DONATOR	
[4/17/23 05:31PM] Jj Fly used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 05:33PM] Jj Fly used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 06:00PM] Jj Fly used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 06:01PM] Jj Fly used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 06:01PM] Jj Fly used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 06:02PM] Jj Fly used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 06:07PM] Jj Fly used command ::donate | Player rights = CLERIC_DONATOR	
[4/18/23 02:29AM] Jj Fly used command ::yell if u wasnt staff id be impressed but u are so... no gj here | Player rights = CLERIC_DONATOR	
[4/18/23 02:29AM] Jj Fly used command ::yell about 80% free? | Player rights = CLERIC_DONATOR	
[4/18/23 02:39AM] Jj Fly used command ::Voteboss | Player rights = CLERIC_DONATOR	
[4/18/23 02:40AM] Jj Fly used command ::Vote | Player rights = CLERIC_DONATOR	
[4/18/23 02:40AM] Jj Fly used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 02:42AM] Jj Fly used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 02:42AM] Jj Fly used command ::reward 1q | Player rights = CLERIC_DONATOR	
[4/18/23 02:42AM] Jj Fly used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/18/23 02:42AM] Jj Fly used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/18/23 02:42AM] Jj Fly used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/18/23 02:42AM] Jj Fly used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/18/23 02:43AM] Jj Fly used command ::mureum | Player rights = CLERIC_DONATOR	
[4/18/23 02:43AM] Jj Fly used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 03:09AM] Jj Fly used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 03:41AM] Jj Fly used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 03:42AM] Jj Fly used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 03:44AM] Jj Fly used command ::yell buying aoe for double and triple kc perks | Player rights = CLERIC_DONATOR	
[4/18/23 04:03AM] Jj Fly used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 04:10AM] Jj Fly used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 04:25AM] Jj Fly used command ::yell man collector neck is game changer lol] | Player rights = CLERIC_DONATOR	
[4/18/23 04:25AM] Jj Fly used command ::yell amazing how much money stacks up | Player rights = CLERIC_DONATOR	
[4/18/23 04:39AM] Jj Fly used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 04:42AM] Jj Fly used command ::ninetales | Player rights = CLERIC_DONATOR	
[4/18/23 04:42AM] Jj Fly used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 04:43AM] Jj Fly used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 04:44AM] Jj Fly used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 04:45AM] Jj Fly used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 05:12AM] Jj Fly used command ::vEIGAR | Player rights = CLERIC_DONATOR	
[4/18/23 05:13AM] Jj Fly used command ::YELL TELL ME THERE IS NO STAFF rng FUCKER GETS DROP EVERY BOSS lol | Player rights = CLERIC_DONATOR	
[4/18/23 08:41AM] Jj Fly used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 08:42AM] Jj Fly used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 08:42AM] Jj Fly used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 08:43AM] Jj Fly used command ::golden\ | Player rights = CLERIC_DONATOR	
[4/18/23 08:43AM] Jj Fly used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 09:10AM] Jj Fly used command ::vote | Player rights = CLERIC_DONATOR	
[4/18/23 09:11AM] Jj Fly used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 09:12AM] Jj Fly used command ::bank | Player rights = CLERIC_DONATOR	
[4/18/23 09:13AM] Jj Fly used command ::yell i am  | Player rights = CLERIC_DONATOR	
[4/18/23 09:13AM] Jj Fly used command ::yell im selling both 2x and 3x | Player rights = CLERIC_DONATOR	
[4/18/23 09:14AM] Jj Fly used command ::Voteboss | Player rights = CLERIC_DONATOR	
[4/18/23 09:16AM] Jj Fly used command ::yell selling 2x perk 3x perk | Player rights = CLERIC_DONATOR	
[4/18/23 09:24AM] Jj Fly used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 09:41AM] Jj Fly used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 09:54AM] Jj Fly used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 10:11AM] Jj Fly used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/18/23 10:32AM] Jj Fly used command ::donate | Player rights = CLERIC_DONATOR	
[4/18/23 12:09PM] Jj Fly used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 12:34AM] Jj Fly used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 10:44AM] Jj Fly used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 10:47AM] Jj Fly used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 10:47AM] Jj Fly used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 11:10AM] Jj Fly used command ::VEIGAR | Player rights = CLERIC_DONATOR	
[4/19/23 11:15AM] Jj Fly used command ::NINETAILS | Player rights = CLERIC_DONATOR	
[4/19/23 11:16AM] Jj Fly used command ::MUREM | Player rights = CLERIC_DONATOR	
[4/19/23 11:16AM] Jj Fly used command ::MEREUM | Player rights = CLERIC_DONATOR	
[4/19/23 11:16AM] Jj Fly used command ::MERUEM | Player rights = CLERIC_DONATOR	
[4/19/23 11:18AM] Jj Fly used command ::vOTE | Player rights = CLERIC_DONATOR	
[4/19/23 11:19AM] Jj Fly used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/19/23 11:19AM] Jj Fly used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/19/23 11:19AM] Jj Fly used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/19/23 11:19AM] Jj Fly used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/19/23 11:19AM] Jj Fly used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/19/23 11:19AM] Jj Fly used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/19/23 12:42PM] Jj Fly used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 12:45PM] Jj Fly used command ::Voteboss | Player rights = CLERIC_DONATOR	
[4/19/23 12:47PM] Jj Fly used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 12:59PM] Jj Fly used command ::wr3cked | Player rights = CLERIC_DONATOR	
[4/19/23 01:12PM] Jj Fly used command ::VEIGAR | Player rights = CLERIC_DONATOR	
[4/19/23 01:14PM] Jj Fly used command ::NINETAILS | Player rights = CLERIC_DONATOR	
[4/19/23 01:16PM] Jj Fly used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 01:18PM] Jj Fly used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 01:19PM] Jj Fly used command ::Voteboss | Player rights = CLERIC_DONATOR	
[4/19/23 01:31PM] Jj Fly used command ::vote | Player rights = CLERIC_DONATOR	
[4/19/23 02:38PM] Jj Fly used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 02:41PM] Jj Fly used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 02:41PM] Jj Fly used command ::noble | Player rights = CLERIC_DONATOR	
[4/19/23 02:43PM] Jj Fly used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 02:56PM] Jj Fly used command ::home | Player rights = CLERIC_DONATOR	
[4/19/23 02:56PM] Jj Fly used command ::yell goto ::noble for giveaways | Player rights = CLERIC_DONATOR	
[4/19/23 02:57PM] Jj Fly used command ::vote | Player rights = CLERIC_DONATOR	
[4/19/23 04:27PM] Jj Fly used command ::vote | Player rights = CLERIC_DONATOR	
[4/19/23 04:28PM] Jj Fly used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/19/23 05:09PM] Jj Fly used command ::vote | Player rights = CLERIC_DONATOR	
[4/19/23 05:12PM] Jj Fly used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 05:14PM] Jj Fly used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 05:15PM] Jj Fly used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 05:16PM] Jj Fly used command ::ninetials | Player rights = CLERIC_DONATOR	
[4/19/23 05:17PM] Jj Fly used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 09:36PM] Jj Fly used command ::Vote | Player rights = CLERIC_DONATOR	
[4/19/23 09:37PM] Jj Fly used command ::elo | Player rights = CLERIC_DONATOR	
[4/19/23 09:37PM] Jj Fly used command ::elo | Player rights = CLERIC_DONATOR	
[4/19/23 09:38PM] Jj Fly used command ::Elo | Player rights = CLERIC_DONATOR	
[4/19/23 09:39PM] Jj Fly used command ::elo | Player rights = CLERIC_DONATOR	
[4/19/23 09:39PM] Jj Fly used command ::elo | Player rights = CLERIC_DONATOR	
[4/20/23 04:33AM] Jj Fly used command ::Vote | Player rights = CLERIC_DONATOR	
[4/20/23 04:34AM] Jj Fly used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/20/23 10:20AM] Jj Fly used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 10:22AM] Jj Fly used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 10:22AM] Jj Fly used command ::Voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 10:22AM] Jj Fly used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 10:24AM] Jj Fly used command ::yell lots of stuff dropped at ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 10:03AM] Jj Fly used command ::Vote | Player rights = CLERIC_DONATOR	
[4/22/23 10:57AM] Jj Fly used command ::Vote | Player rights = CLERIC_DONATOR	
[4/22/23 10:58AM] Jj Fly used command ::reward 1 all | Player rights = CLERIC_DONATOR	
