[4/22/23 09:38AM] Jmaster used command ::ref nobledefeat | Player rights = PLAYER	
[4/24/23 09:19PM] Jmaster used command ::meruem | Player rights = CLERIC_DONATOR	
[4/24/23 09:20PM] Jmaster used command ::donate | Player rights = CLERIC_DONATOR	
[4/24/23 09:21PM] Jmaster used command ::claim | Player rights = CLERIC_DONATOR	
[4/24/23 09:21PM] Jmaster used command ::claim | Player rights = CLERIC_DONATOR	
[4/24/23 09:31PM] Jmaster used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/24/23 09:32PM] Jmaster used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/24/23 09:34PM] Jmaster used command ::golden | Player rights = TORMENTED_DONATOR	
[4/24/23 09:34PM] Jmaster used command ::golden | Player rights = TORMENTED_DONATOR	
[4/24/23 10:01PM] Jmaster used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/24/23 10:31PM] Jmaster used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/24/23 10:33PM] Jmaster used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/24/23 10:35PM] Jmaster used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/25/23 06:31AM] Jmaster used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/25/23 06:32AM] Jmaster used command ::vote | Player rights = TORMENTED_DONATOR	
[4/25/23 06:33AM] Jmaster used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/25/23 06:34AM] Jmaster used command ::rewards 1 all | Player rights = TORMENTED_DONATOR	
[4/25/23 07:33AM] Jmaster used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/25/23 07:34AM] Jmaster used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/25/23 07:34AM] Jmaster used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/25/23 07:36AM] Jmaster used command ::golden | Player rights = TORMENTED_DONATOR	
[4/25/23 09:31AM] Jmaster used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/25/23 09:32AM] Jmaster used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/25/23 09:33AM] Jmaster used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/25/23 09:44AM] Jmaster used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/25/23 10:01AM] Jmaster used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/25/23 10:08AM] Jmaster used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/25/23 10:31AM] Jmaster used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/25/23 10:32AM] Jmaster used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/25/23 10:34AM] Jmaster used command ::golden | Player rights = TORMENTED_DONATOR	
[4/25/23 11:10AM] Jmaster used command ::Rewards 1 all | Player rights = TORMENTED_DONATOR	
[4/25/23 11:25AM] Jmaster used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/25/23 11:31AM] Jmaster used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/25/23 11:32AM] Jmaster used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/25/23 11:33AM] Jmaster used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/25/23 11:34AM] Jmaster used command ::upgrade | Player rights = TORMENTED_DONATOR	
[4/25/23 12:01PM] Jmaster used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/25/23 12:17PM] Jmaster used command ::maxhit | Player rights = TORMENTED_DONATOR	
[4/25/23 12:31PM] Jmaster used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/25/23 12:32PM] Jmaster used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/25/23 01:01PM] Jmaster used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/25/23 01:13PM] Jmaster used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/25/23 01:30PM] Jmaster used command ::dropoff | Player rights = MYSTICAL_DONATOR	
[4/25/23 01:30PM] Jmaster used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/25/23 01:32PM] Jmaster used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/25/23 01:33PM] Jmaster used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/25/23 01:34PM] Jmaster used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/25/23 02:01PM] Jmaster used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/25/23 02:26PM] Jmaster used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/25/23 02:31PM] Jmaster used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/25/23 02:32PM] Jmaster used command ::niinetails | Player rights = MYSTICAL_DONATOR	
[4/25/23 02:33PM] Jmaster used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/25/23 02:34PM] Jmaster used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/25/23 02:38PM] Jmaster used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/25/23 02:42PM] Jmaster used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/25/23 03:05PM] Jmaster used command ::voteboss | Player rights = MYSTICAL_DONATOR	
[4/25/23 03:08PM] Jmaster used command ::voteboss | Player rights = MYSTICAL_DONATOR	
[4/25/23 03:09PM] Jmaster used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/25/23 03:24PM] Jmaster used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/25/23 03:31PM] Jmaster used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/25/23 03:32PM] Jmaster used command ::niinetails | Player rights = MYSTICAL_DONATOR	
[4/25/23 03:32PM] Jmaster used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/25/23 03:34PM] Jmaster used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/25/23 03:42PM] Jmaster used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/25/23 04:01PM] Jmaster used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/25/23 04:19PM] Jmaster used command ::dropoff | Player rights = MYSTICAL_DONATOR	
[4/25/23 04:23PM] Jmaster used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/25/23 04:27PM] Jmaster used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/25/23 04:31PM] Jmaster used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/25/23 04:32PM] Jmaster used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/25/23 04:34PM] Jmaster used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/25/23 04:47PM] Jmaster used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/25/23 05:01PM] Jmaster used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/25/23 05:12PM] Jmaster used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/25/23 05:20PM] Jmaster used command ::voteboss | Player rights = MYSTICAL_DONATOR	
[4/25/23 05:23PM] Jmaster used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/25/23 05:31PM] Jmaster used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/25/23 05:31PM] Jmaster used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/25/23 05:32PM] Jmaster used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/25/23 05:33PM] Jmaster used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/25/23 05:55PM] Jmaster used command ::voteboss | Player rights = MYSTICAL_DONATOR	
[4/25/23 06:01PM] Jmaster used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/25/23 06:01PM] Jmaster used command ::viegar | Player rights = MYSTICAL_DONATOR	
[4/25/23 06:01PM] Jmaster used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/25/23 06:21PM] Jmaster used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/25/23 06:24PM] Jmaster used command ::threw it in for 45m | Player rights = MYSTICAL_DONATOR	
[4/25/23 06:31PM] Jmaster used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/25/23 06:32PM] Jmaster used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/25/23 06:38PM] Jmaster used command ::yell selling 6x6 45m | Player rights = MYSTICAL_DONATOR	
[4/25/23 06:41PM] Jmaster used command ::Yell selling 6x6 45m will take bonds | Player rights = MYSTICAL_DONATOR	
[4/25/23 06:41PM] Jmaster used command ::voteboss | Player rights = MYSTICAL_DONATOR	
[4/25/23 06:42PM] Jmaster used command ::donate | Player rights = MYSTICAL_DONATOR	
[4/25/23 06:44PM] Jmaster used command ::claim | Player rights = MYSTICAL_DONATOR	
[4/25/23 06:50PM] Jmaster used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/25/23 07:01PM] Jmaster used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/25/23 07:03PM] Jmaster used command ::yell selling 6x6 and owners ring pm offers | Player rights = MYSTICAL_DONATOR	
[4/25/23 07:15PM] Jmaster used command ::yell selling cheap 6x6 in pos | Player rights = MYSTICAL_DONATOR	
[4/25/23 07:20PM] Jmaster used command ::yell selling cheap 6x6 and owners ring | Player rights = MYSTICAL_DONATOR	
[4/25/23 07:28PM] Jmaster used command ::yell selling cheap 6x6 | Player rights = MYSTICAL_DONATOR	
[4/25/23 07:30PM] Jmaster used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/25/23 07:32PM] Jmaster used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/25/23 07:33PM] Jmaster used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/25/23 07:35PM] Jmaster used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/25/23 07:36PM] Jmaster used command ::Yell selling cheap 6x6 33m | Player rights = MYSTICAL_DONATOR	
[4/25/23 07:40PM] Jmaster used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/25/23 07:50PM] Jmaster used command ::yell buying bonds 120k per $ | Player rights = MYSTICAL_DONATOR	
[4/25/23 07:59PM] Jmaster used command ::yell bying bonds 120k per $ | Player rights = MYSTICAL_DONATOR	
[4/25/23 08:01PM] Jmaster used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/25/23 08:03PM] Jmaster used command ::yell buying bonds 120k each $ | Player rights = MYSTICAL_DONATOR	
