[4/15/23 11:52AM] F E used command ::train | Player rights = PLAYER	
[4/16/23 11:53AM] F E used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 12:23PM] F E used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 12:24PM] F E used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 12:53PM] F E used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 01:23PM] F E used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 01:24PM] F E used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 01:24PM] F E used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 01:25PM] F E used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 01:53PM] F E used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 01:58PM] F E used command ::vboss | Player rights = CLERIC_DONATOR	
[4/16/23 02:23PM] F E used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 02:24PM] F E used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 02:24PM] F E used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 02:24PM] F E used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 02:53PM] F E used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 03:23PM] F E used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 03:23PM] F E used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 03:24PM] F E used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 03:29PM] F E used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 04:23PM] F E used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 04:24PM] F E used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 04:53PM] F E used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 05:02PM] F E used command ::vboss | Player rights = CLERIC_DONATOR	
[4/16/23 05:23PM] F E used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 05:24PM] F E used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 05:24PM] F E used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 05:25PM] F E used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 05:53PM] F E used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 06:23PM] F E used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 06:25PM] F E used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 06:53PM] F E used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 07:23PM] F E used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 07:24PM] F E used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 07:25PM] F E used command ::mereum | Player rights = CLERIC_DONATOR	
[4/16/23 07:25PM] F E used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 07:53PM] F E used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 08:23PM] F E used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 08:24PM] F E used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 08:25PM] F E used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 08:25PM] F E used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 08:55PM] F E used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 08:56PM] F E used command ::golden::golden | Player rights = CLERIC_DONATOR	
[4/16/23 08:56PM] F E used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 08:57PM] F E used command ::vboss | Player rights = CLERIC_DONATOR	
[4/16/23 09:39PM] F E used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 09:41PM] F E used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 09:42PM] F E used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 09:43PM] F E used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 09:45PM] F E used command ::vboss | Player rights = CLERIC_DONATOR	
[4/16/23 09:55PM] F E used command ::players | Player rights = CLERIC_DONATOR	
[4/17/23 02:02PM] F E used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 02:02PM] F E used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 02:17PM] F E used command ::vote | Player rights = CLERIC_DONATOR	
[4/17/23 02:19PM] F E used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/17/23 02:20PM] F E used command ::rewards 1 | Player rights = CLERIC_DONATOR	
[4/17/23 02:20PM] F E used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/17/23 02:20PM] F E used command ::Rewards | Player rights = CLERIC_DONATOR	
[4/17/23 02:20PM] F E used command ::Rewards 1 | Player rights = CLERIC_DONATOR	
[4/17/23 02:32PM] F E used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 02:33PM] F E used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 02:33PM] F E used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 02:34PM] F E used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 02:59PM] F E used command ::vboss | Player rights = CLERIC_DONATOR	
[4/17/23 03:02PM] F E used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 03:32PM] F E used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/17/23 03:33PM] F E used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 04:02PM] F E used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 04:32PM] F E used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 04:33PM] F E used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 04:33PM] F E used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 04:34PM] F E used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 05:02PM] F E used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 05:32PM] F E used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 05:33PM] F E used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 06:02PM] F E used command ::veiar | Player rights = CLERIC_DONATOR	
[4/17/23 06:02PM] F E used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 06:32PM] F E used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 06:33PM] F E used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 06:33PM] F E used command ::meruer | Player rights = CLERIC_DONATOR	
[4/17/23 06:33PM] F E used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 06:34PM] F E used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 07:02PM] F E used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 07:32PM] F E used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/17/23 07:33PM] F E used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 07:33PM] F E used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 08:14PM] F E used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 08:15PM] F E used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 08:15PM] F E used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 08:16PM] F E used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 08:16PM] F E used command ::vboss | Player rights = CLERIC_DONATOR	
[4/17/23 08:44PM] F E used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 08:58PM] F E used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 08:59PM] F E used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 09:00PM] F E used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 09:00PM] F E used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 09:28PM] F E used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 09:58PM] F E used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 09:58PM] F E used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 10:28PM] F E used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 10:41PM] F E used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 10:43PM] F E used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 10:44PM] F E used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 10:45PM] F E used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 10:46PM] F E used command ::Vboss | Player rights = CLERIC_DONATOR	
[4/17/23 11:11PM] F E used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 11:41PM] F E used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 11:42PM] F E used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 12:11AM] F E used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 12:41AM] F E used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 12:42AM] F E used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 12:42AM] F E used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 12:45AM] F E used command ::vboss | Player rights = CLERIC_DONATOR	
[4/18/23 01:41AM] F E used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 01:42AM] F E used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 01:42AM] F E used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 01:11PM] F E used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 01:23PM] F E used command ::vote | Player rights = CLERIC_DONATOR	
[4/18/23 01:24PM] F E used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/18/23 01:29PM] F E used command ::vboss | Player rights = CLERIC_DONATOR	
[4/18/23 01:41PM] F E used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 01:41PM] F E used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/18/23 01:42PM] F E used command ::Golden | Player rights = TORMENTED_DONATOR	
[4/18/23 02:11PM] F E used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 02:41PM] F E used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 02:41PM] F E used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/18/23 02:42PM] F E used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/18/23 02:50PM] F E used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/18/23 03:11PM] F E used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 03:41PM] F E used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 03:41PM] F E used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/18/23 04:11PM] F E used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 04:15PM] F E used command ::Vboss | Player rights = TORMENTED_DONATOR	
[4/18/23 04:15PM] F E used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/18/23 04:41PM] F E used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 04:41PM] F E used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/18/23 04:42PM] F E used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/18/23 04:42PM] F E used command ::golden | Player rights = TORMENTED_DONATOR	
[4/18/23 04:55PM] F E used command ::Vboss | Player rights = TORMENTED_DONATOR	
[4/18/23 05:11PM] F E used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 05:29PM] F E used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/18/23 05:30PM] F E used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/18/23 05:32PM] F E used command ::meruem# | Player rights = TORMENTED_DONATOR	
[4/18/23 05:32PM] F E used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/18/23 05:35PM] F E used command ::Golden | Player rights = TORMENTED_DONATOR	
[4/18/23 05:41PM] F E used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 05:43PM] F E used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/18/23 05:49PM] F E used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/18/23 06:11PM] F E used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 06:41PM] F E used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 06:43PM] F E used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/18/23 06:45PM] F E used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/18/23 06:59PM] F E used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/18/23 07:11PM] F E used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 07:39PM] F E used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 07:43PM] F E used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/18/23 07:44PM] F E used command ::Golden | Player rights = TORMENTED_DONATOR	
[4/18/23 08:11PM] F E used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 08:41PM] F E used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 08:43PM] F E used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/18/23 08:45PM] F E used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/18/23 09:11PM] F E used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 09:41PM] F E used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 09:43PM] F E used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/18/23 10:12PM] F E used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 10:18PM] F E used command ::Vboss | Player rights = TORMENTED_DONATOR	
[4/19/23 07:21AM] F E used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/19/23 07:23AM] F E used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 07:25AM] F E used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/19/23 07:26AM] F E used command ::Vote | Player rights = TORMENTED_DONATOR	
[4/19/23 07:27AM] F E used command ::Reward 1 | Player rights = TORMENTED_DONATOR	
[4/19/23 07:43AM] F E used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 07:44AM] F E used command ::golden | Player rights = TORMENTED_DONATOR	
[4/19/23 07:44AM] F E used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 07:48AM] F E used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/19/23 07:50AM] F E used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/19/23 07:51AM] F E used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/19/23 07:52AM] F E used command ::golden | Player rights = TORMENTED_DONATOR	
[4/19/23 08:16AM] F E used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 08:25AM] F E used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 08:29AM] F E used command ::yell bluezone | Player rights = TORMENTED_DONATOR	
[4/19/23 08:46AM] F E used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 08:47AM] F E used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/19/23 08:57AM] F E used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/19/23 09:10AM] F E used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 09:15AM] F E used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/19/23 09:16AM] F E used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/19/23 09:18AM] F E used command ::Golden | Player rights = TORMENTED_DONATOR	
[4/19/23 09:43AM] F E used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 10:14AM] F E used command ::Veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 10:15AM] F E used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/19/23 10:43AM] F E used command :::veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 10:44AM] F E used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 10:48AM] F E used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 11:13AM] F E used command :::Veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 11:14AM] F E used command ::Veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 11:15AM] F E used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/19/23 11:16AM] F E used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/19/23 11:17AM] F E used command ::golden | Player rights = TORMENTED_DONATOR	
[4/19/23 11:20AM] F E used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/19/23 11:42AM] F E used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 11:44AM] F E used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/19/23 11:45AM] F E used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/19/23 11:46AM] F E used command ::golden | Player rights = TORMENTED_DONATOR	
[4/19/23 12:14PM] F E used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 12:15PM] F E used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/19/23 12:15PM] F E used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/19/23 12:17PM] F E used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/19/23 12:18PM] F E used command ::Golden | Player rights = TORMENTED_DONATOR	
[4/19/23 12:45PM] F E used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/19/23 01:14PM] F E used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 01:14PM] F E used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/19/23 01:15PM] F E used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/19/23 01:19PM] F E used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/19/23 01:22PM] F E used command ::Vboss | Player rights = TORMENTED_DONATOR	
