[4/17/23 01:48PM] Goo used command ::dropoff | Player rights = PLAYER	
[4/17/23 04:34PM] Goo used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:01AM] Goo used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:02AM] Goo used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:03AM] Goo used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:12AM] Goo used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:14AM] Goo used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:15AM] Goo used command ::home | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:41AM] Goo used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:42AM] Goo used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:42AM] Goo used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:11AM] Goo used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:12AM] Goo used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:39AM] Goo used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:41AM] Goo used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:41AM] Goo used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:42AM] Goo used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:43AM] Goo used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:44AM] Goo used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:59AM] Goo used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:59AM] Goo used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:59AM] Goo used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/18/23 03:11AM] Goo used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 03:41AM] Goo used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 03:42AM] Goo used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 03:58AM] Goo used command ::home | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:11AM] Goo used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:40AM] Goo used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:42AM] Goo used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:43AM] Goo used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:44AM] Goo used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:44AM] Goo used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:22AM] Goo used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:23AM] Goo used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:23AM] Goo used command ::home | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:38AM] Goo used command ::home | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:41AM] Goo used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:42AM] Goo used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:56AM] Goo used command ::home | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:12AM] Goo used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:19AM] Goo used command ::elo | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:22AM] Goo used command ::home | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:07AM] Goo used command ::home | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:12AM] Goo used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:41AM] Goo used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:42AM] Goo used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:42AM] Goo used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:43AM] Goo used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 07:58AM] Goo used command ::bank | Player rights = CLERIC_DONATOR	
[4/18/23 07:58AM] Goo used command ::bank | Player rights = CLERIC_DONATOR	
[4/18/23 08:05AM] Goo used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/18/23 08:41AM] Goo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 08:42AM] Goo used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 08:42AM] Goo used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 08:43AM] Goo used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 08:43AM] Goo used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 09:11AM] Goo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 09:14AM] Goo used command ::vboss | Player rights = CLERIC_DONATOR	
[4/18/23 09:15AM] Goo used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 09:41AM] Goo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 09:42AM] Goo used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/27/23 10:52AM] Goo used command ::home | Player rights = CLERIC_DONATOR	
[4/27/23 10:54AM] Goo used command ::home | Player rights = CLERIC_DONATOR	
[4/27/23 11:01AM] Goo used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/27/23 11:05AM] Goo used command ::home | Player rights = CLERIC_DONATOR	
[4/27/23 11:15AM] Goo used command ::home | Player rights = CLERIC_DONATOR	
[4/27/23 11:15AM] Goo used command ::bank | Player rights = CLERIC_DONATOR	
[4/27/23 12:18PM] Goo used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/27/23 12:23PM] Goo used command ::home | Player rights = CLERIC_DONATOR	
[4/27/23 12:34PM] Goo used command ::home | Player rights = CLERIC_DONATOR	
[4/27/23 12:37PM] Goo used command ::afk | Player rights = CLERIC_DONATOR	
[4/27/23 12:37PM] Goo used command ::pickaxe | Player rights = CLERIC_DONATOR	
[4/27/23 05:44PM] Goo used command ::home | Player rights = CLERIC_DONATOR	
[4/27/23 05:49PM] Goo used command ::afk | Player rights = CLERIC_DONATOR	
[4/27/23 05:49PM] Goo used command ::bank | Player rights = CLERIC_DONATOR	
[4/27/23 05:49PM] Goo used command ::bank | Player rights = CLERIC_DONATOR	
[4/27/23 05:49PM] Goo used command ::pickaxe | Player rights = CLERIC_DONATOR	
