[4/20/23 05:52AM] Bobross used command ::voteboss | Player rights = PLAYER	
[4/21/23 01:38AM] Bobross used command ::mureum | Player rights = PLAYER	
[4/21/23 01:42AM] Bobross used command ::slayer | Player rights = PLAYER	
[4/21/23 01:45AM] Bobross used command ::slayer | Player rights = PLAYER	
[4/21/23 01:49AM] Bobross used command ::slayer | Player rights = PLAYER	
[4/21/23 01:53AM] Bobross used command ::slayer | Player rights = PLAYER	
[4/21/23 01:59AM] Bobross used command ::slayer | Player rights = PLAYER	
[4/21/23 02:02AM] Bobross used command ::veigar | Player rights = PLAYER	
[4/21/23 02:07AM] Bobross used command ::ninetails | Player rights = PLAYER	
[4/21/23 02:10AM] Bobross used command ::dr | Player rights = PLAYER	
[4/21/23 02:12AM] Bobross used command ::slayer | Player rights = PLAYER	
[4/21/23 02:22AM] Bobross used command ::vote | Player rights = PLAYER	
[4/21/23 02:25AM] Bobross used command ::reward 1 all | Player rights = PLAYER	
[4/21/23 02:25AM] Bobross used command ::voteboss | Player rights = PLAYER	
[4/21/23 02:29AM] Bobross used command ::veigar | Player rights = PLAYER	
[4/21/23 02:35AM] Bobross used command ::ninetails | Player rights = PLAYER	
[4/21/23 02:37AM] Bobross used command ::mereum | Player rights = PLAYER	
[4/21/23 02:37AM] Bobross used command ::meruem | Player rights = PLAYER	
[4/21/23 02:55AM] Bobross used command ::slayer | Player rights = PLAYER	
[4/21/23 11:28AM] Bobross used command ::veigatr | Player rights = PLAYER	
[4/21/23 11:29AM] Bobross used command ::veigar | Player rights = PLAYER	
[4/21/23 11:33AM] Bobross used command ::ninetails | Player rights = PLAYER	
[4/21/23 11:35AM] Bobross used command ::golden | Player rights = PLAYER	
[4/21/23 11:51AM] Bobross used command ::slayer | Player rights = PLAYER	
[4/21/23 12:02PM] Bobross used command ::veigar | Player rights = PLAYER	
[4/21/23 12:05PM] Bobross used command ::voteboss | Player rights = PLAYER	
[4/21/23 07:31PM] Bobross used command ::veigar | Player rights = PLAYER	
[4/21/23 07:34PM] Bobross used command ::ninetails | Player rights = PLAYER	
[4/21/23 07:36PM] Bobross used command ::golden | Player rights = PLAYER	
[4/21/23 07:57PM] Bobross used command ::Dr | Player rights = PLAYER	
[4/21/23 08:03PM] Bobross used command ::veigar | Player rights = PLAYER	
[4/21/23 08:21PM] Bobross used command ::vote | Player rights = PLAYER	
[4/21/23 08:25PM] Bobross used command ::voteboss | Player rights = PLAYER	
[4/21/23 08:26PM] Bobross used command ::reward 1 all | Player rights = PLAYER	
[4/21/23 08:29PM] Bobross used command ::veigar | Player rights = PLAYER	
[4/21/23 08:29PM] Bobross used command ::voteboss | Player rights = PLAYER	
[4/21/23 08:31PM] Bobross used command ::veigar | Player rights = PLAYER	
[4/21/23 08:33PM] Bobross used command ::ninetails | Player rights = PLAYER	
[4/21/23 08:34PM] Bobross used command ::mereum | Player rights = PLAYER	
[4/21/23 08:34PM] Bobross used command ::mereum | Player rights = PLAYER	
[4/21/23 08:34PM] Bobross used command ::meruem | Player rights = PLAYER	
[4/21/23 08:35PM] Bobross used command ::golden | Player rights = PLAYER	
[4/21/23 08:51PM] Bobross used command ::totem | Player rights = PLAYER	
[4/21/23 09:02PM] Bobross used command ::veiga | Player rights = PLAYER	
[4/21/23 09:02PM] Bobross used command ::veigar | Player rights = PLAYER	
[4/21/23 09:49PM] Bobross used command ::dr | Player rights = PLAYER	
[4/21/23 09:55PM] Bobross used command ::voteboss | Player rights = PLAYER	
[4/21/23 09:56PM] Bobross used command ::voteboss | Player rights = PLAYER	
[4/21/23 09:57PM] Bobross used command ::reward 1 all | Player rights = PLAYER	
[4/21/23 10:02PM] Bobross used command ::veigar | Player rights = PLAYER	
[4/21/23 10:33PM] Bobross used command ::veigar | Player rights = PLAYER	
