[4/15/23 06:54AM] Tarnow used command ::ref | Player rights = PLAYER	
[4/17/23 05:56AM] Tarnow used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/17/23 06:09AM] Tarnow used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 06:39AM] Tarnow used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/17/23 06:41AM] Tarnow used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 06:41AM] Tarnow used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 07:10AM] Tarnow used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 07:39AM] Tarnow used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/17/23 07:40AM] Tarnow used command ::nintails | Player rights = CLERIC_DONATOR	
[4/17/23 07:40AM] Tarnow used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 07:41AM] Tarnow used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 09:09AM] Tarnow used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/17/23 09:39AM] Tarnow used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/17/23 09:42AM] Tarnow used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 09:44AM] Tarnow used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 09:45AM] Tarnow used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 10:38AM] Tarnow used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/18/23 05:34AM] Tarnow used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/18/23 05:35AM] Tarnow used command ::vote | Player rights = CLERIC_DONATOR	
[4/18/23 05:37AM] Tarnow used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/18/23 05:41AM] Tarnow used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 05:42AM] Tarnow used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 06:11AM] Tarnow used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/18/23 06:26AM] Tarnow used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/18/23 06:41AM] Tarnow used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 06:42AM] Tarnow used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 06:43AM] Tarnow used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 07:11AM] Tarnow used command ::veigra | Player rights = CLERIC_DONATOR	
[4/18/23 07:11AM] Tarnow used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 07:41AM] Tarnow used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/18/23 07:42AM] Tarnow used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 07:42AM] Tarnow used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 08:11AM] Tarnow used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 08:41AM] Tarnow used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 08:42AM] Tarnow used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 08:42AM] Tarnow used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 08:43AM] Tarnow used command ::goldem | Player rights = CLERIC_DONATOR	
[4/18/23 10:04AM] Tarnow used command ::::elo | Player rights = CLERIC_DONATOR	
[4/18/23 10:04AM] Tarnow used command ::elo | Player rights = CLERIC_DONATOR	
[4/20/23 04:31AM] Tarnow used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/20/23 04:45AM] Tarnow used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 04:49AM] Tarnow used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/20/23 04:50AM] Tarnow used command ::vote | Player rights = CLERIC_DONATOR	
[4/20/23 04:53AM] Tarnow used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/20/23 05:49AM] Tarnow used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 05:52AM] Tarnow used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 05:55AM] Tarnow used command ::yell he agreed | Player rights = CLERIC_DONATOR	
[4/20/23 05:58AM] Tarnow used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 06:19AM] Tarnow used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 06:21AM] Tarnow used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 06:22AM] Tarnow used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 06:26AM] Tarnow used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 06:28AM] Tarnow used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 06:49AM] Tarnow used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/20/23 09:24AM] Tarnow used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 09:25AM] Tarnow used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/20/23 09:49AM] Tarnow used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:19AM] Tarnow used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 10:20AM] Tarnow used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:22AM] Tarnow used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 10:24AM] Tarnow used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:25AM] Tarnow used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 10:27AM] Tarnow used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:27AM] Tarnow used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 10:30AM] Tarnow used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 10:34AM] Tarnow used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:38AM] Tarnow used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 10:42AM] Tarnow used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 10:46AM] Tarnow used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 10:47AM] Tarnow used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 10:49AM] Tarnow used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:51AM] Tarnow used command ::upgrade | Player rights = CLERIC_DONATOR	
[4/21/23 03:26AM] Tarnow used command ::vote | Player rights = CLERIC_DONATOR	
[4/21/23 03:26AM] Tarnow used command ::Dropoff | Player rights = CLERIC_DONATOR	
[4/21/23 03:28AM] Tarnow used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/21/23 03:32AM] Tarnow used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/21/23 03:35AM] Tarnow used command ::nintails | Player rights = CLERIC_DONATOR	
[4/21/23 03:35AM] Tarnow used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 03:43AM] Tarnow used command ::yell anyone selling gold enchatment? | Player rights = CLERIC_DONATOR	
[4/21/23 03:48AM] Tarnow used command ::ref | Player rights = CLERIC_DONATOR	
[4/21/23 04:02AM] Tarnow used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/21/23 04:23AM] Tarnow used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/21/23 04:32AM] Tarnow used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 04:36AM] Tarnow used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 04:38AM] Tarnow used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 05:03AM] Tarnow used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/21/23 05:32AM] Tarnow used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/21/23 05:34AM] Tarnow used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 05:35AM] Tarnow used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 06:02AM] Tarnow used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 06:32AM] Tarnow used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/21/23 06:34AM] Tarnow used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 06:35AM] Tarnow used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 06:38AM] Tarnow used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/21/23 07:02AM] Tarnow used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 11:13PM] Tarnow used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/21/23 11:14PM] Tarnow used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 11:20PM] Tarnow used command ::vote | Player rights = CLERIC_DONATOR	
[4/21/23 11:23PM] Tarnow used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/21/23 11:24PM] Tarnow used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 11:32PM] Tarnow used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 11:33PM] Tarnow used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 11:35PM] Tarnow used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 11:38PM] Tarnow used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/22/23 02:02AM] Tarnow used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 02:06AM] Tarnow used command ::elo | Player rights = CLERIC_DONATOR	
[4/22/23 02:06AM] Tarnow used command ::elo | Player rights = CLERIC_DONATOR	
[4/22/23 02:06AM] Tarnow used command ::elo | Player rights = CLERIC_DONATOR	
[4/22/23 02:07AM] Tarnow used command ::elo | Player rights = CLERIC_DONATOR	
[4/22/23 02:07AM] Tarnow used command ::elo | Player rights = CLERIC_DONATOR	
[4/22/23 02:07AM] Tarnow used command ::elo | Player rights = CLERIC_DONATOR	
[4/22/23 02:07AM] Tarnow used command ::elo | Player rights = CLERIC_DONATOR	
[4/22/23 02:32AM] Tarnow used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 02:34AM] Tarnow used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 02:36AM] Tarnow used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 02:37AM] Tarnow used command ::golden | Player rights = CLERIC_DONATOR	
[4/22/23 03:42AM] Tarnow used command ::vboss | Player rights = CLERIC_DONATOR	
[4/22/23 03:43AM] Tarnow used command ::elo | Player rights = CLERIC_DONATOR	
[4/22/23 03:43AM] Tarnow used command ::elo | Player rights = CLERIC_DONATOR	
[4/22/23 03:55AM] Tarnow used command ::elo | Player rights = CLERIC_DONATOR	
[4/22/23 04:15AM] Tarnow used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 04:32AM] Tarnow used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/22/23 04:34AM] Tarnow used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 04:35AM] Tarnow used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 04:36AM] Tarnow used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 04:37AM] Tarnow used command ::Yell yay new rank | Player rights = TORMENTED_DONATOR	
[4/22/23 06:06AM] Tarnow used command ::dropoff | Player rights = TORMENTED_DONATOR	
[4/22/23 06:15AM] Tarnow used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 06:23AM] Tarnow used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 06:32AM] Tarnow used command ::Veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 06:33AM] Tarnow used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/22/23 06:34AM] Tarnow used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/22/23 06:36AM] Tarnow used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 07:03AM] Tarnow used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 07:23AM] Tarnow used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/22/23 07:32AM] Tarnow used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 07:33AM] Tarnow used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/22/23 07:36AM] Tarnow used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/22/23 08:32AM] Tarnow used command ::Veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 08:33AM] Tarnow used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/22/23 08:34AM] Tarnow used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/22/23 08:34AM] Tarnow used command ::golden | Player rights = TORMENTED_DONATOR	
[4/22/23 08:37AM] Tarnow used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/22/23 08:45AM] Tarnow used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 08:49AM] Tarnow used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 09:02AM] Tarnow used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 09:06AM] Tarnow used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 09:08AM] Tarnow used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 09:32AM] Tarnow used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 09:33AM] Tarnow used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/22/23 09:39AM] Tarnow used command ::ref | Player rights = TORMENTED_DONATOR	
[4/22/23 09:39AM] Tarnow used command ::Refer | Player rights = TORMENTED_DONATOR	
[4/22/23 09:44AM] Tarnow used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 09:47AM] Tarnow used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 10:01AM] Tarnow used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/22/23 10:02AM] Tarnow used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 10:32AM] Tarnow used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 10:33AM] Tarnow used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/22/23 10:34AM] Tarnow used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/22/23 10:35AM] Tarnow used command ::Veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 10:37AM] Tarnow used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/22/23 10:38AM] Tarnow used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/22/23 10:39AM] Tarnow used command ::golden | Player rights = TORMENTED_DONATOR	
[4/22/23 10:42AM] Tarnow used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 10:44AM] Tarnow used command ::Yell see ya tommorow | Player rights = TORMENTED_DONATOR	
[4/22/23 09:37PM] Tarnow used command ::vote | Player rights = TORMENTED_DONATOR	
[4/22/23 09:38PM] Tarnow used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 09:38PM] Tarnow used command ::dropoff | Player rights = TORMENTED_DONATOR	
[4/22/23 09:40PM] Tarnow used command ::Reward 1 all | Player rights = TORMENTED_DONATOR	
[4/22/23 09:42PM] Tarnow used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 09:49PM] Tarnow used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/22/23 09:55PM] Tarnow used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 09:56PM] Tarnow used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 10:02PM] Tarnow used command ::Veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 10:08PM] Tarnow used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 10:13PM] Tarnow used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 10:22PM] Tarnow used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 10:24PM] Tarnow used command ::yell who else was interested into ring certificate? | Player rights = TORMENTED_DONATOR	
[4/22/23 10:31PM] Tarnow used command ::Veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 10:33PM] Tarnow used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/22/23 10:34PM] Tarnow used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/22/23 11:00PM] Tarnow used command ::Veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 11:08PM] Tarnow used command ::Vboss | Player rights = TORMENTED_DONATOR	
[4/22/23 11:10PM] Tarnow used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 11:16PM] Tarnow used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 11:22PM] Tarnow used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 11:28PM] Tarnow used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 11:32PM] Tarnow used command ::Veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 11:33PM] Tarnow used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/22/23 11:34PM] Tarnow used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/22/23 11:35PM] Tarnow used command ::golden | Player rights = TORMENTED_DONATOR	
[4/23/23 12:01AM] Tarnow used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 12:02AM] Tarnow used command ::Veigar | Player rights = TORMENTED_DONATOR	
[4/23/23 12:04AM] Tarnow used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 12:08AM] Tarnow used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 12:31AM] Tarnow used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 12:31AM] Tarnow used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/23/23 12:33AM] Tarnow used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/23/23 12:35AM] Tarnow used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/23/23 12:53AM] Tarnow used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 01:03AM] Tarnow used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/23/23 01:07AM] Tarnow used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 01:07AM] Tarnow used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 01:09AM] Tarnow used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 01:15AM] Tarnow used command ::yell sale my pos | Player rights = TORMENTED_DONATOR	
[4/23/23 01:32AM] Tarnow used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/23/23 01:34AM] Tarnow used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/23/23 01:37AM] Tarnow used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 01:43AM] Tarnow used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 01:59AM] Tarnow used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 02:00AM] Tarnow used command ::bank | Player rights = TORMENTED_DONATOR	
[4/23/23 02:01AM] Tarnow used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 02:01AM] Tarnow used command ::bank | Player rights = TORMENTED_DONATOR	
[4/23/23 02:02AM] Tarnow used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/23/23 02:29AM] Tarnow used command ::Veigar | Player rights = TORMENTED_DONATOR	
[4/23/23 02:33AM] Tarnow used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/23/23 02:34AM] Tarnow used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/23/23 02:35AM] Tarnow used command ::golden | Player rights = TORMENTED_DONATOR	
[4/23/23 03:50AM] Tarnow used command ::Dropoff | Player rights = TORMENTED_DONATOR	
[4/23/23 04:07AM] Tarnow used command ::Dropoff | Player rights = TORMENTED_DONATOR	
[4/23/23 04:08AM] Tarnow used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 04:09AM] Tarnow used command ::Yell brb | Player rights = TORMENTED_DONATOR	
[4/23/23 05:12AM] Tarnow used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 05:16AM] Tarnow used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 05:16AM] Tarnow used command ::bank | Player rights = TORMENTED_DONATOR	
