[4/19/23 04:28PM] Habit used command ::ref walkchaos | Player rights = PLAYER	
[4/19/23 10:21PM] Habit used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 10:49PM] Habit used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 10:57PM] Habit used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 10:58PM] Habit used command ::bank | Player rights = CLERIC_DONATOR	
[4/19/23 10:58PM] Habit used command ::bank | Player rights = CLERIC_DONATOR	
[4/19/23 10:58PM] Habit used command ::bank | Player rights = CLERIC_DONATOR	
[4/19/23 10:59PM] Habit used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/19/23 11:19PM] Habit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 11:21PM] Habit used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 11:23PM] Habit used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 11:25PM] Habit used command ::bank | Player rights = CLERIC_DONATOR	
[4/19/23 11:25PM] Habit used command ::bank | Player rights = CLERIC_DONATOR	
[4/19/23 11:25PM] Habit used command ::home | Player rights = CLERIC_DONATOR	
[4/19/23 11:40PM] Habit used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:09AM] Habit used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/20/23 06:09AM] Habit used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:19AM] Habit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 06:21AM] Habit used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 06:22AM] Habit used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 06:23AM] Habit used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 06:24AM] Habit used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 06:24AM] Habit used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:25AM] Habit used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:25AM] Habit used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:26AM] Habit used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 06:28AM] Habit used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:28AM] Habit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 06:30AM] Habit used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:30AM] Habit used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:32AM] Habit used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 06:36AM] Habit used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 06:37AM] Habit used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:37AM] Habit used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:38AM] Habit used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:38AM] Habit used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 06:38AM] Habit used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:39AM] Habit used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:49AM] Habit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 07:18AM] Habit used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 07:34AM] Habit used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 07:37AM] Habit used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 07:38AM] Habit used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/20/23 10:44AM] Habit used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/20/23 10:46AM] Habit used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 10:46AM] Habit used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 10:47AM] Habit used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 10:49AM] Habit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:51AM] Habit used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 10:53AM] Habit used command ::vote | Player rights = CLERIC_DONATOR	
[4/20/23 10:54AM] Habit used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/20/23 10:54AM] Habit used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 10:55AM] Habit used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/20/23 10:55AM] Habit used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/20/23 10:56AM] Habit used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 11:00AM] Habit used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 11:19AM] Habit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 11:20AM] Habit used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 11:22AM] Habit used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 11:23AM] Habit used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 11:26AM] Habit used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 11:32AM] Habit used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 11:49AM] Habit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 12:21PM] Habit used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 12:21PM] Habit used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/20/23 12:21PM] Habit used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 12:22PM] Habit used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 12:32PM] Habit used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 12:33PM] Habit used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 12:49PM] Habit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 12:49PM] Habit used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/20/23 01:19PM] Habit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 01:20PM] Habit used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 01:21PM] Habit used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 01:30PM] Habit used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 01:35PM] Habit used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 01:35PM] Habit used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 01:36PM] Habit used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 01:44PM] Habit used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 01:46PM] Habit used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 01:46PM] Habit used command ::afk | Player rights = CLERIC_DONATOR	
[4/20/23 01:49PM] Habit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 01:51PM] Habit used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 01:51PM] Habit used command ::afk | Player rights = CLERIC_DONATOR	
[4/20/23 02:17PM] Habit used command ::afk | Player rights = CLERIC_DONATOR	
[4/20/23 05:37PM] Habit used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 05:37PM] Habit used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 05:38PM] Habit used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/20/23 05:49PM] Habit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 05:51PM] Habit used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 05:55PM] Habit used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 05:55PM] Habit used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:19PM] Habit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 06:20PM] Habit used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 06:21PM] Habit used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 06:22PM] Habit used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 06:38PM] Habit used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 06:38PM] Habit used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 06:38PM] Habit used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:42PM] Habit used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 10:39PM] Habit used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/20/23 11:02PM] Habit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 07:03AM] Habit used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/21/23 07:07AM] Habit used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 07:10AM] Habit used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 07:12AM] Habit used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 07:19AM] Habit used command ::vote | Player rights = CLERIC_DONATOR	
[4/21/23 07:22AM] Habit used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/21/23 07:32AM] Habit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 07:34AM] Habit used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 07:48AM] Habit used command ::bank | Player rights = CLERIC_DONATOR	
[4/21/23 07:48AM] Habit used command ::bank | Player rights = CLERIC_DONATOR	
[4/21/23 07:48AM] Habit used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 07:48AM] Habit used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 07:58AM] Habit used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 08:02AM] Habit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 08:05AM] Habit used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 08:06AM] Habit used command ::afk | Player rights = CLERIC_DONATOR	
[4/21/23 12:53PM] Habit used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 01:10PM] Habit used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 01:26PM] Habit used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 01:32PM] Habit used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 01:33PM] Habit used command ::::afk | Player rights = CLERIC_DONATOR	
[4/21/23 01:33PM] Habit used command ::afk | Player rights = CLERIC_DONATOR	
[4/21/23 01:45PM] Habit used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 01:45PM] Habit used command ::afk | Player rights = CLERIC_DONATOR	
[4/21/23 05:49PM] Habit used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/21/23 06:19PM] Habit used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 06:33PM] Habit used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 06:35PM] Habit used command ::holden | Player rights = CLERIC_DONATOR	
[4/21/23 06:35PM] Habit used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 06:36PM] Habit used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 06:39PM] Habit used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 07:10PM] Habit used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 07:16AM] Habit used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/22/23 07:31AM] Habit used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 07:33AM] Habit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 07:33AM] Habit used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 07:36AM] Habit used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/22/23 07:37AM] Habit used command ::vote | Player rights = CLERIC_DONATOR	
[4/22/23 07:39AM] Habit used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/22/23 08:02AM] Habit used command ::bank | Player rights = CLERIC_DONATOR	
[4/22/23 08:02AM] Habit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 08:03AM] Habit used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 08:04AM] Habit used command ::afk | Player rights = CLERIC_DONATOR	
[4/22/23 06:22PM] Habit used command ::bank | Player rights = CLERIC_DONATOR	
[4/22/23 06:22PM] Habit used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 06:32PM] Habit used command ::beigar | Player rights = CLERIC_DONATOR	
[4/22/23 06:32PM] Habit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 06:34PM] Habit used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 06:35PM] Habit used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 06:54PM] Habit used command ::bank | Player rights = CLERIC_DONATOR	
[4/22/23 06:57PM] Habit used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 07:02PM] Habit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 07:04PM] Habit used command ::home | Player rights = CLERIC_DONATOR	
[4/23/23 08:28AM] Habit used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/23/23 08:34AM] Habit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 09:04AM] Habit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 09:05AM] Habit used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/23/23 09:14AM] Habit used command ::bank | Player rights = CLERIC_DONATOR	
[4/23/23 09:14AM] Habit used command ::home | Player rights = CLERIC_DONATOR	
[4/23/23 09:20AM] Habit used command ::bank | Player rights = CLERIC_DONATOR	
[4/23/23 09:20AM] Habit used command ::home | Player rights = CLERIC_DONATOR	
[4/23/23 09:20AM] Habit used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 09:22AM] Habit used command ::afk | Player rights = CLERIC_DONATOR	
[4/23/23 10:54AM] Habit used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/23/23 10:54AM] Habit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 10:55AM] Habit used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/23/23 10:57AM] Habit used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 10:58AM] Habit used command ::home | Player rights = CLERIC_DONATOR	
[4/23/23 11:24AM] Habit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 11:25AM] Habit used command ::afk | Player rights = CLERIC_DONATOR	
