[4/15/23 07:50AM] Cidx used command ::afk | Player rights = PLAYER	
[4/18/23 03:41PM] Cidx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 03:41PM] Cidx used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 04:11PM] Cidx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 04:16PM] Cidx used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 05:29PM] Cidx used command ::vboss | Player rights = CLERIC_DONATOR	
[4/18/23 05:32PM] Cidx used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 05:35PM] Cidx used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 05:41PM] Cidx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 05:43PM] Cidx used command ::nintails | Player rights = CLERIC_DONATOR	
[4/18/23 05:43PM] Cidx used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 06:11PM] Cidx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 06:40PM] Cidx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 06:43PM] Cidx used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 06:45PM] Cidx used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 06:48AM] Cidx used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/19/23 07:22AM] Cidx used command ::vboss | Player rights = CLERIC_DONATOR	
[4/19/23 07:23AM] Cidx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 07:25AM] Cidx used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 07:44AM] Cidx used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/19/23 08:16AM] Cidx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 08:22AM] Cidx used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/19/23 08:46AM] Cidx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 08:47AM] Cidx used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 08:57AM] Cidx used command ::vboss | Player rights = CLERIC_DONATOR	
[4/19/23 09:32AM] Cidx used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/19/23 09:44AM] Cidx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 10:14AM] Cidx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 10:15AM] Cidx used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 10:43AM] Cidx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 01:20PM] Cidx used command ::vboss | Player rights = CLERIC_DONATOR	
[4/19/23 02:15PM] Cidx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 02:15PM] Cidx used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 02:28PM] Cidx used command ::vboss | Player rights = CLERIC_DONATOR	
[4/19/23 02:44PM] Cidx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 03:13PM] Cidx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 03:15PM] Cidx used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 03:16PM] Cidx used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 03:17PM] Cidx used command ::golden | Player rights = CLERIC_DONATOR	
[4/19/23 03:44PM] Cidx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 04:12PM] Cidx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 04:15PM] Cidx used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 04:43PM] Cidx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 04:45PM] Cidx used command ::vboss | Player rights = CLERIC_DONATOR	
[4/19/23 04:48PM] Cidx used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 06:43PM] Cidx used command ::vboss | Player rights = CLERIC_DONATOR	
[4/19/23 06:44PM] Cidx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 06:44PM] Cidx used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/19/23 06:45PM] Cidx used command ::vboss | Player rights = CLERIC_DONATOR	
[4/19/23 07:13PM] Cidx used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 07:14PM] Cidx used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/19/23 07:15PM] Cidx used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/20/23 05:49AM] Cidx used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/20/23 05:52AM] Cidx used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/20/23 05:58AM] Cidx used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/20/23 06:19AM] Cidx used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/20/23 06:21AM] Cidx used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/20/23 06:22AM] Cidx used command ::golden | Player rights = TORMENTED_DONATOR	
[4/20/23 06:27AM] Cidx used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/20/23 06:28AM] Cidx used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/20/23 06:33AM] Cidx used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/20/23 06:49AM] Cidx used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/20/23 09:49AM] Cidx used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/20/23 10:19AM] Cidx used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/20/23 10:20AM] Cidx used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/20/23 10:21AM] Cidx used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/20/23 10:24AM] Cidx used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/20/23 10:25AM] Cidx used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/20/23 10:27AM] Cidx used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/20/23 10:27AM] Cidx used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/20/23 10:30AM] Cidx used command ::golden | Player rights = TORMENTED_DONATOR	
[4/20/23 10:34AM] Cidx used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/20/23 10:36AM] Cidx used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/20/23 10:38AM] Cidx used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/20/23 10:42AM] Cidx used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/20/23 10:45AM] Cidx used command ::golden | Player rights = TORMENTED_DONATOR	
[4/20/23 10:47AM] Cidx used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/20/23 10:49AM] Cidx used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/20/23 10:54AM] Cidx used command ::vboss | Player rights = TORMENTED_DONATOR	
