[4/15/23 12:59PM] Freddie used command ::veigar | Player rights = PLAYER	
[4/20/23 08:47AM] Freddie used command ::claimvotes | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:47AM] Freddie used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:47AM] Freddie used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:47AM] Freddie used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:47AM] Freddie used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:49AM] Freddie used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:55AM] Freddie used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:03AM] Freddie used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:20AM] Freddie used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:20AM] Freddie used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:22AM] Freddie used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:24AM] Freddie used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:27AM] Freddie used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:27AM] Freddie used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:30AM] Freddie used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:31AM] Freddie used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:31AM] Freddie used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:34AM] Freddie used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:38AM] Freddie used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:42AM] Freddie used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:45AM] Freddie used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:46AM] Freddie used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:46AM] Freddie used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:47AM] Freddie used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:49AM] Freddie used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:53AM] Freddie used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 10:53AM] Freddie used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 10:53AM] Freddie used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 10:54AM] Freddie used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 10:55AM] Freddie used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 10:56AM] Freddie used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 11:00AM] Freddie used command ::donate | Player rights = CLERIC_DONATOR	
[4/20/23 11:01AM] Freddie used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 01:35AM] Freddie used command ::pod | Player rights = CLERIC_DONATOR	
[4/22/23 01:35AM] Freddie used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 01:35AM] Freddie used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 01:38AM] Freddie used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 01:39AM] Freddie used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 01:39AM] Freddie used command ::vote | Player rights = CLERIC_DONATOR	
[4/22/23 01:41AM] Freddie used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 01:44AM] Freddie used command ::reward1 all | Player rights = CLERIC_DONATOR	
[4/22/23 01:44AM] Freddie used command ::reward1 all | Player rights = CLERIC_DONATOR	
[4/22/23 01:44AM] Freddie used command ::voted | Player rights = CLERIC_DONATOR	
[4/22/23 01:44AM] Freddie used command ::claimvotes | Player rights = CLERIC_DONATOR	
[4/22/23 01:44AM] Freddie used command ::commands | Player rights = CLERIC_DONATOR	
[4/22/23 01:45AM] Freddie used command ::bank | Player rights = CLERIC_DONATOR	
[4/22/23 01:45AM] Freddie used command ::bank | Player rights = CLERIC_DONATOR	
[4/22/23 01:45AM] Freddie used command ::vboss | Player rights = CLERIC_DONATOR	
[4/22/23 01:48AM] Freddie used command ::reward1all | Player rights = CLERIC_DONATOR	
[4/22/23 01:48AM] Freddie used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/22/23 01:48AM] Freddie used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 01:49AM] Freddie used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 01:53AM] Freddie used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 01:54AM] Freddie used command ::checkdaily | Player rights = CLERIC_DONATOR	
[4/22/23 01:59AM] Freddie used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 01:59AM] Freddie used command ::bank | Player rights = CLERIC_DONATOR	
[4/22/23 01:59AM] Freddie used command ::bank | Player rights = CLERIC_DONATOR	
[4/22/23 01:59AM] Freddie used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 02:00AM] Freddie used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 02:02AM] Freddie used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 02:10AM] Freddie used command ::kills | Player rights = CLERIC_DONATOR	
[4/22/23 02:11AM] Freddie used command ::slayer | Player rights = CLERIC_DONATOR	
[4/22/23 02:16AM] Freddie used command ::slayer | Player rights = CLERIC_DONATOR	
[4/22/23 02:19AM] Freddie used command ::collection | Player rights = CLERIC_DONATOR	
[4/22/23 02:26AM] Freddie used command ::slayer | Player rights = CLERIC_DONATOR	
[4/22/23 02:26AM] Freddie used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 02:33AM] Freddie used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 02:33AM] Freddie used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 02:34AM] Freddie used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 02:36AM] Freddie used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 02:37AM] Freddie used command ::golden | Player rights = CLERIC_DONATOR	
[4/22/23 02:39AM] Freddie used command ::bank | Player rights = CLERIC_DONATOR	
[4/22/23 02:39AM] Freddie used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 02:46AM] Freddie used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 02:47AM] Freddie used command ::slayer | Player rights = CLERIC_DONATOR	
[4/22/23 02:52AM] Freddie used command ::slayer | Player rights = CLERIC_DONATOR	
[4/22/23 02:53AM] Freddie used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 02:53AM] Freddie used command ::slayer | Player rights = CLERIC_DONATOR	
[4/22/23 03:02AM] Freddie used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 03:06AM] Freddie used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 07:09AM] Freddie used command ::sasuke | Player rights = CLERIC_DONATOR	
[4/22/23 07:17AM] Freddie used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 07:19AM] Freddie used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 07:19AM] Freddie used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 07:20AM] Freddie used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 07:21AM] Freddie used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 07:23AM] Freddie used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 07:25AM] Freddie used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 07:28AM] Freddie used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 07:32AM] Freddie used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 07:33AM] Freddie used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 07:36AM] Freddie used command ::vboss | Player rights = CLERIC_DONATOR	
[4/22/23 07:37AM] Freddie used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 07:38AM] Freddie used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 07:38AM] Freddie used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 07:39AM] Freddie used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 07:40AM] Freddie used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 07:41AM] Freddie used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 07:44AM] Freddie used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 07:45AM] Freddie used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 07:47AM] Freddie used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 07:49AM] Freddie used command ::dr | Player rights = CLERIC_DONATOR	
[4/22/23 07:50AM] Freddie used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 07:53AM] Freddie used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 07:57AM] Freddie used command ::slayer | Player rights = CLERIC_DONATOR	
[4/22/23 08:01AM] Freddie used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 08:02AM] Freddie used command ::slayer | Player rights = CLERIC_DONATOR	
[4/22/23 08:02AM] Freddie used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 08:07AM] Freddie used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 08:08AM] Freddie used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 08:08AM] Freddie used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 08:08AM] Freddie used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 08:09AM] Freddie used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 08:11AM] Freddie used command ::slayer | Player rights = CLERIC_DONATOR	
[4/22/23 08:11AM] Freddie used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 08:16AM] Freddie used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 08:16AM] Freddie used command ::slayer | Player rights = CLERIC_DONATOR	
[4/22/23 08:19AM] Freddie used command ::slayer | Player rights = CLERIC_DONATOR	
[4/22/23 08:19AM] Freddie used command ::prayer | Player rights = CLERIC_DONATOR	
[4/22/23 08:20AM] Freddie used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 08:22AM] Freddie used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 08:24AM] Freddie used command ::callpet | Player rights = CLERIC_DONATOR	
[4/22/23 08:28AM] Freddie used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 08:32AM] Freddie used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 08:33AM] Freddie used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 08:34AM] Freddie used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 08:34AM] Freddie used command ::golden | Player rights = CLERIC_DONATOR	
[4/22/23 08:35AM] Freddie used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 08:36AM] Freddie used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 08:37AM] Freddie used command ::vboss | Player rights = CLERIC_DONATOR	
[4/22/23 08:38AM] Freddie used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 08:39AM] Freddie used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 08:39AM] Freddie used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 08:45AM] Freddie used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 08:46AM] Freddie used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 08:50AM] Freddie used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 08:51AM] Freddie used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 11:47PM] Freddie used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 11:48PM] Freddie used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 12:16AM] Freddie used command ::praye::pos | Player rights = CLERIC_DONATOR	
[4/23/23 12:16AM] Freddie used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 12:17AM] Freddie used command ::vote | Player rights = CLERIC_DONATOR	
[4/23/23 12:18AM] Freddie used command ::reward 1all | Player rights = CLERIC_DONATOR	
[4/23/23 12:18AM] Freddie used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/23/23 12:23AM] Freddie used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 12:26AM] Freddie used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 12:29AM] Freddie used command ::bank | Player rights = CLERIC_DONATOR	
[4/23/23 12:29AM] Freddie used command ::dr | Player rights = CLERIC_DONATOR	
[4/23/23 12:29AM] Freddie used command ::upgrade | Player rights = CLERIC_DONATOR	
[4/23/23 12:30AM] Freddie used command ::upgrades | Player rights = CLERIC_DONATOR	
[4/23/23 12:30AM] Freddie used command ::home | Player rights = CLERIC_DONATOR	
[4/23/23 12:32AM] Freddie used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 12:32AM] Freddie used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 12:33AM] Freddie used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 12:36AM] Freddie used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 12:36AM] Freddie used command ::home | Player rights = CLERIC_DONATOR	
[4/23/23 12:37AM] Freddie used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 12:38AM] Freddie used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 12:44AM] Freddie used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 12:44AM] Freddie used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 12:46AM] Freddie used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 12:50AM] Freddie used command ::vboss | Player rights = CLERIC_DONATOR	
[4/23/23 12:51AM] Freddie used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 12:52AM] Freddie used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 12:53AM] Freddie used command ::home | Player rights = CLERIC_DONATOR	
[4/23/23 12:54AM] Freddie used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 12:55AM] Freddie used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 12:56AM] Freddie used command ::dr | Player rights = CLERIC_DONATOR	
[4/23/23 12:58AM] Freddie used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 01:00AM] Freddie used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 01:02AM] Freddie used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 01:04AM] Freddie used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 01:14AM] Freddie used command ::home | Player rights = CLERIC_DONATOR	
[4/23/23 01:16AM] Freddie used command ::home | Player rights = CLERIC_DONATOR	
[4/23/23 01:17AM] Freddie used command ::home | Player rights = CLERIC_DONATOR	
[4/23/23 01:27AM] Freddie used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 01:30AM] Freddie used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 01:30AM] Freddie used command ::totem | Player rights = CLERIC_DONATOR	
[4/23/23 01:32AM] Freddie used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 01:33AM] Freddie used command ::callpet | Player rights = CLERIC_DONATOR	
[4/23/23 01:33AM] Freddie used command ::dismiss | Player rights = CLERIC_DONATOR	
[4/23/23 01:34AM] Freddie used command ::dr | Player rights = CLERIC_DONATOR	
[4/23/23 01:34AM] Freddie used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/23/23 01:35AM] Freddie used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 01:35AM] Freddie used command ::home | Player rights = CLERIC_DONATOR	
[4/23/23 01:36AM] Freddie used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 01:39AM] Freddie used command ::home | Player rights = CLERIC_DONATOR	
[4/23/23 01:39AM] Freddie used command ::dr | Player rights = CLERIC_DONATOR	
[4/23/23 01:39AM] Freddie used command ::dr | Player rights = CLERIC_DONATOR	
[4/23/23 01:45AM] Freddie used command ::dr | Player rights = CLERIC_DONATOR	
[4/23/23 01:50AM] Freddie used command ::home | Player rights = CLERIC_DONATOR	
[4/23/23 01:53AM] Freddie used command ::bank | Player rights = CLERIC_DONATOR	
[4/23/23 01:53AM] Freddie used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 01:59AM] Freddie used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 02:02AM] Freddie used command ::bank | Player rights = CLERIC_DONATOR	
[4/23/23 02:02AM] Freddie used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 02:11AM] Freddie used command ::home | Player rights = CLERIC_DONATOR	
[4/23/23 02:35AM] Freddie used command ::golden | Player rights = CLERIC_DONATOR	
[4/23/23 02:36AM] Freddie used command ::home | Player rights = CLERIC_DONATOR	
[4/23/23 02:37AM] Freddie used command ::pos | Player rights = CLERIC_DONATOR	
