[4/19/23 02:04PM] Some Guy used command ::store | Player rights = PLAYER	
[4/20/23 09:24AM] Some Guy used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:49AM] Some Guy used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:19AM] Some Guy used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:19AM] Some Guy used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:20AM] Some Guy used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:28AM] Some Guy used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:28AM] Some Guy used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:29AM] Some Guy used command ::merueum | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:29AM] Some Guy used command ::mureum | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:29AM] Some Guy used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:30AM] Some Guy used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 10:34AM] Some Guy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:39AM] Some Guy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 10:45AM] Some Guy used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 10:45AM] Some Guy used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 10:47AM] Some Guy used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 10:47AM] Some Guy used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 10:49AM] Some Guy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:54AM] Some Guy used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 11:55AM] Some Guy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 11:57AM] Some Guy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 12:19PM] Some Guy used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 12:19PM] Some Guy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 12:20PM] Some Guy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 12:21PM] Some Guy used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 12:22PM] Some Guy used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 01:03PM] Some Guy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 01:16PM] Some Guy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 01:17PM] Some Guy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 01:19PM] Some Guy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 01:20PM] Some Guy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 01:21PM] Some Guy used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 01:23PM] Some Guy used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 01:29PM] Some Guy used command ::yell if we all tell people to vote im sure this will go super fast guys! | Player rights = CLERIC_DONATOR	
[4/20/23 01:30PM] Some Guy used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 01:31PM] Some Guy used command ::droprate | Player rights = CLERIC_DONATOR	
