[4/21/23 05:03AM] Dark used command ::veigar | Player rights = PLAYER	
[4/21/23 06:51AM] Dark used command ::yell noble I have a dr one | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:52AM] Dark used command ::yell I'm next to altar | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:02AM] Dark used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:46AM] Dark used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:48AM] Dark used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:50AM] Dark used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:52AM] Dark used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:54AM] Dark used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:59AM] Dark used command ::dzone | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:59AM] Dark used command ::donorzone | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:59AM] Dark used command ::commands | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:00AM] Dark used command ::voted | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:00AM] Dark used command ::donate | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:01AM] Dark used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:19AM] Dark used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:20AM] Dark used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:22AM] Dark used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:23AM] Dark used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:26AM] Dark used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:27AM] Dark used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:28AM] Dark used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:29AM] Dark used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:29AM] Dark used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:31AM] Dark used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 08:32AM] Dark used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 08:32AM] Dark used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 08:33AM] Dark used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 08:34AM] Dark used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 08:35AM] Dark used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 08:35AM] Dark used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 08:37AM] Dark used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 08:39AM] Dark used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 08:40AM] Dark used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 08:45AM] Dark used command ::slayer | Player rights = CLERIC_DONATOR	
[4/21/23 08:46AM] Dark used command ::slayer | Player rights = CLERIC_DONATOR	
[4/21/23 08:48AM] Dark used command ::slayer | Player rights = CLERIC_DONATOR	
[4/21/23 08:51AM] Dark used command ::slayer | Player rights = CLERIC_DONATOR	
[4/21/23 08:51AM] Dark used command ::bank | Player rights = CLERIC_DONATOR	
[4/21/23 08:52AM] Dark used command ::bank | Player rights = CLERIC_DONATOR	
[4/21/23 08:55AM] Dark used command ::commands | Player rights = CLERIC_DONATOR	
[4/21/23 08:55AM] Dark used command ::stopmessage | Player rights = CLERIC_DONATOR	
[4/21/23 09:11AM] Dark used command ::slayer | Player rights = CLERIC_DONATOR	
[4/21/23 09:12AM] Dark used command ::slayer | Player rights = CLERIC_DONATOR	
[4/21/23 09:14AM] Dark used command ::slayer | Player rights = CLERIC_DONATOR	
[4/21/23 09:16AM] Dark used command ::slayer | Player rights = CLERIC_DONATOR	
[4/21/23 09:18AM] Dark used command ::slayer | Player rights = CLERIC_DONATOR	
[4/21/23 09:21AM] Dark used command ::slayer | Player rights = CLERIC_DONATOR	
[4/21/23 09:24AM] Dark used command ::slayer | Player rights = CLERIC_DONATOR	
[4/21/23 09:25AM] Dark used command ::pray | Player rights = CLERIC_DONATOR	
[4/21/23 09:25AM] Dark used command ::prayer | Player rights = CLERIC_DONATOR	
[4/21/23 09:25AM] Dark used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 09:54AM] Dark used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 09:56AM] Dark used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/22/23 07:02AM] Dark used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 07:33AM] Dark used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 07:36AM] Dark used command ::vboss | Player rights = CLERIC_DONATOR	
[4/22/23 08:00AM] Dark used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 08:31AM] Dark used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 08:37AM] Dark used command ::vboss | Player rights = CLERIC_DONATOR	
[4/22/23 08:02PM] Dark used command ::afk | Player rights = CLERIC_DONATOR	
[4/22/23 08:03PM] Dark used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 08:05PM] Dark used command ::afk | Player rights = CLERIC_DONATOR	
[4/22/23 08:05PM] Dark used command ::shop | Player rights = CLERIC_DONATOR	
[4/22/23 08:05PM] Dark used command ::shops | Player rights = CLERIC_DONATOR	
[4/22/23 08:13PM] Dark used command ::elo | Player rights = CLERIC_DONATOR	
[4/22/23 08:13PM] Dark used command ::raid | Player rights = CLERIC_DONATOR	
[4/22/23 08:13PM] Dark used command ::raid 2 | Player rights = CLERIC_DONATOR	
[4/22/23 08:13PM] Dark used command ::raid2 | Player rights = CLERIC_DONATOR	
