[4/19/23 06:42AM] Rsps2 used command ::train | Player rights = PLAYER	
[4/21/23 06:03AM] Rsps2 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 06:38AM] Rsps2 used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 06:39AM] Rsps2 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 06:40AM] Rsps2 used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 06:49AM] Rsps2 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 06:54AM] Rsps2 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 07:00AM] Rsps2 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 07:02AM] Rsps2 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 07:05AM] Rsps2 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 07:05AM] Rsps2 used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 07:29AM] Rsps2 used command ::altar | Player rights = CLERIC_DONATOR	
[4/21/23 08:40AM] Rsps2 used command ::vbos | Player rights = CLERIC_DONATOR	
[4/21/23 08:40AM] Rsps2 used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 08:41AM] Rsps2 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 10:57AM] Rsps2 used command ::ninetail | Player rights = CLERIC_DONATOR	
[4/21/23 10:57AM] Rsps2 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 10:58AM] Rsps2 used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 10:58AM] Rsps2 used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 10:58AM] Rsps2 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 11:02AM] Rsps2 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 11:03AM] Rsps2 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 11:32AM] Rsps2 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 11:35AM] Rsps2 used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 11:35AM] Rsps2 used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 11:36AM] Rsps2 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 11:44AM] Rsps2 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 12:03PM] Rsps2 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 12:04PM] Rsps2 used command ::altars | Player rights = CLERIC_DONATOR	
[4/21/23 12:04PM] Rsps2 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 12:05PM] Rsps2 used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 12:06PM] Rsps2 used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 12:32PM] Rsps2 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 12:34PM] Rsps2 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 12:35PM] Rsps2 used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 12:59PM] Rsps2 used command ::ref | Player rights = CLERIC_DONATOR	
[4/21/23 01:02PM] Rsps2 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 01:05PM] Rsps2 used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 01:13PM] Rsps2 used command ::nintails | Player rights = CLERIC_DONATOR	
[4/21/23 01:14PM] Rsps2 used command ::bank | Player rights = CLERIC_DONATOR	
[4/21/23 01:15PM] Rsps2 used command ::ninetail | Player rights = CLERIC_DONATOR	
[4/21/23 01:15PM] Rsps2 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 01:15PM] Rsps2 used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 01:32PM] Rsps2 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 01:34PM] Rsps2 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 01:34PM] Rsps2 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 01:35PM] Rsps2 used command ::golden | Player rights = CLERIC_DONATOR	
[4/22/23 04:19AM] Rsps2 used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 04:31AM] Rsps2 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 04:32AM] Rsps2 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 04:32AM] Rsps2 used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 04:32AM] Rsps2 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 04:34AM] Rsps2 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 04:35AM] Rsps2 used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 04:36AM] Rsps2 used command ::golden | Player rights = CLERIC_DONATOR	
[4/22/23 05:02AM] Rsps2 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 05:04AM] Rsps2 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 05:04AM] Rsps2 used command ::golden | Player rights = CLERIC_DONATOR	
[4/22/23 05:32AM] Rsps2 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 05:33AM] Rsps2 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 05:34AM] Rsps2 used command ::golden | Player rights = CLERIC_DONATOR	
[4/22/23 05:44AM] Rsps2 used command ::pos | Player rights = CLERIC_DONATOR	
