[4/22/23 11:27PM] Aynxs used command ::donate | Player rights = PLAYER	
[4/24/23 07:27AM] Aynxs used command ::yellowape::veigar | Player rights = PLAYER	
[4/24/23 07:27AM] Aynxs used command ::veigar | Player rights = PLAYER	
[4/24/23 07:30AM] Aynxs used command ::veigar | Player rights = PLAYER	
[4/24/23 07:31AM] Aynxs used command ::dn | Player rights = PLAYER	
[4/24/23 07:37AM] Aynxs used command ::home | Player rights = PLAYER	
[4/24/23 07:38AM] Aynxs used command ::reward 1 all | Player rights = PLAYER	
[4/24/23 07:38AM] Aynxs used command ::home | Player rights = PLAYER	
[4/24/23 07:49AM] Aynxs used command ::voteboss | Player rights = PLAYER	
[4/24/23 07:52AM] Aynxs used command ::home | Player rights = PLAYER	
[4/24/23 07:55AM] Aynxs used command ::store | Player rights = PLAYER	
[4/24/23 07:58AM] Aynxs used command ::afk | Player rights = PLAYER	
[4/24/23 10:01AM] Aynxs used command ::veigar | Player rights = PLAYER	
[4/24/23 10:01AM] Aynxs used command ::wr3ckedyou | Player rights = PLAYER	
[4/24/23 10:02AM] Aynxs used command ::wr3ckedyou | Player rights = PLAYER	
[4/24/23 10:02AM] Aynxs used command ::wr3ckedyou | Player rights = PLAYER	
[4/24/23 10:02AM] Aynxs used command ::home | Player rights = PLAYER	
[4/24/23 10:03AM] Aynxs used command ::wr3ckedyou | Player rights = PLAYER	
[4/24/23 10:03AM] Aynxs used command ::ref | Player rights = PLAYER	
[4/24/23 10:17AM] Aynxs used command ::maxhit | Player rights = PLAYER	
[4/24/23 10:37AM] Aynxs used command ::vote | Player rights = PLAYER	
[4/24/23 10:39AM] Aynxs used command ::reward 1 | Player rights = PLAYER	
[4/24/23 10:39AM] Aynxs used command ::voted | Player rights = PLAYER	
[4/24/23 10:40AM] Aynxs used command ::home | Player rights = PLAYER	
[4/24/23 10:40AM] Aynxs used command ::reward 1 all | Player rights = PLAYER	
[4/24/23 10:44AM] Aynxs used command ::vboss | Player rights = CLERIC_DONATOR	
[4/24/23 10:50AM] Aynxs used command ::hiderank | Player rights = CLERIC_DONATOR	
[4/24/23 10:50AM] Aynxs used command ::home | Player rights = CLERIC_DONATOR	
[4/24/23 01:48PM] Aynxs used command ::home | Player rights = CLERIC_DONATOR	
[4/24/23 01:49PM] Aynxs used command ::store | Player rights = CLERIC_DONATOR	
[4/24/23 02:01PM] Aynxs used command ::veigar | Player rights = CLERIC_DONATOR	
[4/24/23 02:23PM] Aynxs used command ::home | Player rights = CLERIC_DONATOR	
[4/24/23 02:47PM] Aynxs used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/24/23 02:48PM] Aynxs used command ::veigar | Player rights = CLERIC_DONATOR	
[4/24/23 02:51PM] Aynxs used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/24/23 02:54PM] Aynxs used command ::yellowape | Player rights = CLERIC_DONATOR	
[4/24/23 02:54PM] Aynxs used command ::golden | Player rights = CLERIC_DONATOR	
[4/24/23 02:54PM] Aynxs used command ::collections | Player rights = CLERIC_DONATOR	
[4/24/23 02:55PM] Aynxs used command ::collections | Player rights = CLERIC_DONATOR	
[4/24/23 02:55PM] Aynxs used command ::home | Player rights = CLERIC_DONATOR	
[4/24/23 02:56PM] Aynxs used command ::golden | Player rights = CLERIC_DONATOR	
[4/24/23 03:00PM] Aynxs used command ::veigar | Player rights = CLERIC_DONATOR	
[4/24/23 03:02PM] Aynxs used command ::slayer | Player rights = CLERIC_DONATOR	
[4/24/23 03:07PM] Aynxs used command ::raid | Player rights = CLERIC_DONATOR	
[4/24/23 03:25PM] Aynxs used command ::home | Player rights = CLERIC_DONATOR	
[4/24/23 03:31PM] Aynxs used command ::veigar | Player rights = CLERIC_DONATOR	
[4/24/23 03:32PM] Aynxs used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/24/23 03:34PM] Aynxs used command ::golden | Player rights = CLERIC_DONATOR	
[4/24/23 03:52PM] Aynxs used command ::home | Player rights = CLERIC_DONATOR	
[4/24/23 04:01PM] Aynxs used command ::veigar | Player rights = CLERIC_DONATOR	
[4/24/23 04:47PM] Aynxs used command ::home | Player rights = CLERIC_DONATOR	
[4/25/23 04:01PM] Aynxs used command ::veigar | Player rights = CLERIC_DONATOR	
[4/25/23 04:10PM] Aynxs used command ::home | Player rights = CLERIC_DONATOR	
[4/25/23 04:18PM] Aynxs used command ::wr3cked | Player rights = CLERIC_DONATOR	
[4/25/23 04:31PM] Aynxs used command ::veigar | Player rights = CLERIC_DONATOR	
[4/25/23 04:36PM] Aynxs used command ::store | Player rights = CLERIC_DONATOR	
[4/25/23 05:46PM] Aynxs used command ::home | Player rights = CLERIC_DONATOR	
[4/25/23 05:55PM] Aynxs used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/25/23 05:55PM] Aynxs used command ::vote | Player rights = CLERIC_DONATOR	
[4/25/23 05:59PM] Aynxs used command ::home | Player rights = CLERIC_DONATOR	
[4/25/23 06:05PM] Aynxs used command ::reward 1 all | Player rights = CLERIC_DONATOR	
